公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得持有至到期日金融資產,　　 應付款項增加,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　　　 股利收入,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之股利,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　　　 金融資產減損損失,　　 非控制權益變動,　　　　　 應付建造合約款增加（減少）,　　 處分持有至到期日金融資產
1726,2014年度,,1241476,1241476,,,77696,1688,25687,7887,872,-40528,9953,-22,,-7187,611,2620,94039,,,-61468,-62436,10413,87330,-4297,296,-19709,476,-26,138998,-11336,78241,,20509,-4424,-26010,1201,,32788,-5826,-4514,4357,18574,96815,190854,1432330,37861,-872,-237495,1241932,,36551,0,3350,-196012,425,0,321.0,-1560,93959,,,-13272.0,0,-263.0,-685733,32112,682270,1682956,2365226,2365226,250884.0,,,,-10108.0,0.0,10108.0,0.0,-619.0,-680400.0,24870.0,8821.0,493.0,
1726,2014年01月01日至2014年09月30日,,959094,959094,,,58262,1169,17964,2201,713,-29886,9019,-42,,-7187,-123,1957,68809,,,11394,38519,9045,3930,-482,97,-29818,9449,-2332,-359764,-9340,-329302,,-11431,-4252,-10962,101,,-78682,-1467,-4575,-1726,-115544,-444846,-376037,583057,22735,-713,-215834,399353,,36551,0,0,-130116,306,0,674.0,-1561,-42651,,627.0,,0,-152.0,-671544,2245,-312597,1682956,1370359,1370359,51495.0,,,,-10108.0,0.0,10108.0,0.0,-440.0,-680400.0,24870.0,8821.0,-2550.0,
1726,2014年01月01日至2014年06月30日,,673308,673308,,,38744,624,9002,-6420,499,-19076,10290,91,,-7187,-293,1308,27582,,,13014,3723,12291,30542,-6330,-5,69058,5930,-1035,-259710,-9791,-142313,,-1531,-4174,-50859,410,,-93270,91,-3339,-1237,-156727,-299040,-271458,401850,13938,-499,-123715,291574,,36551,0,0,-75120,77,-175,,-361,211856,,-415.0,,-657,,7464,-11622,499272,1682956,2182228,2182228,250884.0,-285.0,0.0,,,,,,,,,8821.0,-2818.0,
1726,2014年01月01日至2014年03月31日,,345945,345945,,,19487,309,-3188,-2018,291,-9191,2111,35,,-6359,2008,585,4070,,,-86499,191161,8362,-5106,-3320,102,62324,2804,-1426,-58553,-1108,108741,,-23462,-4259,-83020,-458,,-106737,0,808,-658,-220806,-112065,-107995,237950,5739,-191,-28416,215082,,32252,0,0,-10776,0,-2345,,-100,269915,,3964.0,0.0,0,-903.0,13982,1164,500143,1682956,2183099,2183099,,2100.0,,,,,,,,,,8821.0,-3020.0,250884.0
1726,2013年度,,1259519,1259519,,,79493,1105,968,-15004,504,-30913,16026,631,,-86291,325,2274,-43305,,,233627,-45442,-21284,-67985,6154,28,-59572,-26354,107,-290170,1520,-229394,,-116574,4166,69623,54,,77250,344,1207,-4648,34456,-194938,-238243,1021276,29214,-504,-232462,829947,,0,148339,1100,-86964,242,-5585,0.0,-873,-194625,,,-809.0,2056,0.0,-565573,33229,102978,1579978,1682956,1682956,-250884.0,,,,-12423.0,39977.0,12423.0,180.0,0.0,-567000.0,0.0,0.0,3034.0,
1726,2013年01月01日至2013年12月31日,,1259519,1259519,,,79493,1105,968,-15004,504,-30913,16026,631,0.0,-86291,325,2274,-43305,,,233627,-45442,-21284,-67985,6154,28,-59572,-26354,107,-290170,1520,-229394,,-116574,4166,69623,54,3034.0,77250,344,1207,-4648,34456,-194938,-238243,1021276,29214,-504,-232462,829947,,0,148339,1100,-86964,242,-5585,0.0,-873,-194625,,-809.0,,2056,,-565573,33229,102978,1579978,1682956,1682956,-250884.0,180.0,,0.0,-12423.0,39977.0,12423.0,,,-567000.0,0.0,0.0,,
1726,2013年01月01日至2013年09月30日,,942061,942061,,,60125,822,-3658,-12986,258,-22934,17769,490,0.0,-86291,301,1706,-56821,,,182911,48155,16024,-77156,2599,9,-42920,-23900,-8908,-267734,1082,-129861,,-135510,4133,17798,-214,-475.0,64516,287,2621,-2175,-49019,-178880,-235701,706360,16652,-249,-193262,541924,,0,148340,1500,-78258,242,-7095,0.0,-180,-136635,,200.0,,1015,,-562782,18685,-138808,1579978,1441170,1441170,-201184.0,,,,-12423.0,39977.0,12423.0,3003.0,0.0,-567000.0,,,,
1726,2013年01月01日至2013年06月30日,,648532,648532,,,39856,551,-3395,-2587,183,-14482,15991,484,0.0,-86288,178,1133,-48376,,,166229,87611,4191,-54992,3396,5,74320,-13157,-5965,-292258,1109,-29511,,-62284,4193,14826,-80,-475.0,8093,274,14923,-337,-20867,-50378,-98754,549778,10479,-183,-95702,464372,,0,148337,400,-39098,167,-3257,0.0,-180,-243631,,0.0,,522,,3365,21734,245840,1579978,1825818,1825818,-350000.0,893.0,1950.0,0.0,,,,,,,,,,
1726,2013年01月01日至2013年03月31日,,385270,385270,,,19839,278,-1950,776,70,-6560,4789,254,0.0,-75038,15,562,-56965,,,9750,104907,-6996,-22752,1543,-5,125254,-9388,-1445,1385,-7369,194884,,-35521,53,30618,56,-475.0,-57811,127,10844,426,-51683,143201,86236,471506,5469,-70,-25422,451483,,0,129189,400,-17374,105,-3160,0.0,-180,108980,,0.0,-5605.0,329,0.0,-5276,15171,570358,1765020,2335378,2335378,,,,,,,,,,,,,,
1726,2012年01月01日至2012年12月31日,,1120147,1120147,,,83355,743,-8617,2646,6,-31394,-11457,-230,104.0,-108783,145,2248,-58734,,,-167497,-28009,23014,-44738,-3080,81,134025,5276,-15,-101540,11600,-170883,,33599,0,-188976,-23604,-3292.0,41552,771,-1787,1255,-140482,-311365,-370099,750048,31157,-3029,-245342,548617,,202628,29949,400,-55948,792,0,7600.0,-10018,175403,,10936.0,,1774,,-559237,-17118,147665,1432313,1579978,1579978,0.0,3769.0,,-144950.0,-15783.0,0.0,15783.0,,,-405000.0,28283.0,-25766.0,,
