公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 金融資產證券化款項,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 非控制權益變動,　　 預付投資款增加,　　 停業單位稅前淨利（淨損）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 其他預付款項增加,　　 其他預付款項減少
6117,2015年01月01日至2015年09月30日,,-192458,-192458,,,91486,1767,-77.0,12672,-6822,-8518,90508.0,,,4012,53209,-37064,-10441,17871,-244.0,27343,,9561,70004,-4181,4628.0,-3869.0,76143,103486,193994,1536,-13509,-11973,,-100000.0,0.0,-58585,51049,-3280.0,3932.0,-628.0,236.0,-1912.0,0,6822,-102366,,2508374,-2559640.0,0,509.0,-509.0,0,-1238.0,-26595.0,-13439,-92538,-2416,-209293,701448,492155,492155,,,,,,,,,,,,
6117,2015年01月01日至2015年06月30日,,-144785,-144785,,,60898,1173,523.0,8837,-5701,-273,65457.0,,,2539,72410,-16939,66637,12106,-6265.0,130488,,-49237,-61799,-14752,417.0,-2431.0,-127802,2686,68143,-76642,-6625,-83267,,-39101.0,,-23543,5789,-2820.0,3762.0,-628.0,236.0,-5430.0,0,5701,-56034,,1643129,-1678938.0,0,509.0,-509.0,0,-1213.0,,-9101,-46123,-24643,-210067,701448,491381,491381,,,,,,,,,,,,
6117,2015年01月01日至2015年03月31日,,-57261,-57261,,,30600,580,439.0,4594,-3469,-16,32728.0,,,1004,37545,-4397,4769,20468,,50411,,-31938,-51511,-34056,29.0,-1066.0,-118542,-68131,-35403,-92664,0,-92664,,-39101.0,,-11524,16,-431.0,1370.0,-392.0,,0.0,825,3469,-45768,,750077,-709869.0,0,511.0,-511.0,0,-1230.0,,-4546,34432,-16841,-120841,701448,580607,580607,-8978.0,0.0,,,,,,,,,,
6117,2014年度,,53117,53117,,,127565,4213,,17242,-16031,-5397,,,,-3499,102908,5486,-27175,25783,179.0,103682,,-46783,-219698,-9612,1902.0,,-277985,-174303,-46711,6406,-18155,-11749,,,-21190.0,-55405,15429,-2394.0,1945.0,-1818.0,,0.0,5304,16031,-42098,,1745992,-1743277.0,-44688,2239.0,,846,0.0,-22163.0,-16995,-78046,46523,-85370,786818,701448,701448,,,,127592.0,-3794.0,0.0,,,,,,
6117,2014年01月01日至2014年09月30日,,73544,73544,,,96341,3519,0.0,12793,-12660,-2860,97133.0,,,-1669,-10447,-6437,-80810,50879,487.0,-47997,,-29383,-47972,13693,8563.0,-2890.0,-57989,-105986,-8853,64691,-18092,46599,,0.0,-21190.0,-43665,8097,-504.0,1909.0,-1817.0,0.0,0.0,3929,10382,-42859,,1298233,-1291704.0,-44688,2222.0,0.0,572,0.0,-22163.0,-12329,-69857,9629,-56488,786818,730330,730330,,,,,,,,,,,,
6117,2014年01月01日至2014年06月30日,,93705,93705,,,65108,2681,0.0,8501,-8063,-2796,65431.0,,,-4394,-95116,-10701,-85128,58868,315.0,-136156,,25735,77495,766,6011.0,-1972.0,108035,-28121,37310,131015,-11447,119568,,0.0,,-26053,7582,-198.0,1833.0,-1818.0,0.0,0.0,3157,5961,-9536,,854318,-847873.0,-44688,0.0,0.0,482,0.0,,-8505,-46266,-3956,59810,786818,846628,846628,,,,,,,,,,,,
6117,2014年01月01日至2014年03月31日,,42991,42991,,,32795,1420,0.0,4176,-4205,0,34186.0,,,-40,-92779,-11691,-32030,30033,,-106582,,-3155,38361,-14031,2597.0,-962.0,22810,-83772,-49586,-6595,0,-6595,,0.0,,-15929,0,-154.0,32.0,-842.0,,-2245.0,0,3215,-15923,,396539,-390046.0,-8938,0.0,0.0,611,0.0,,-3691,-5525,12104,-15939,786818,770879,770879,-75.0,0.0,,,,,,,,,,
6117,2013年度,,44689,44689,,,190750,5622,,16626,-9328,134,,,,321,10275,237,-33908,-15191,-1698.0,-39964,,-38943,73356,-14030,819.0,,15948,-24016,179788,224477,-5104,219373,,,-29720.0,-48544,110,-1871.0,1053.0,-480.0,,-7428.0,0,9328,-77552,,1587162,-1589781.0,-35750,0.0,,0,-353.0,-17730.0,-17016,-73468,43101,111454,675364,786818,786818,,,,203804.0,-5254.0,0.0,,,,,,
6117,2013年01月01日至2013年12月31日,,44689,44689,,,190750,5622,,16626,-9328,134,,,,321,10275,237,-33908,-15191,-1698.0,-39964,,-38943,73356,-14030,819.0,,15948,-24016,179788,224477,-5104,219373,,,-29720.0,-48544,110,-1871.0,1053.0,-480.0,,-7428.0,0,9328,-77552,,39049,,-35750,,,0,-353.0,-17730.0,-17016,-31800,1433,111454,675364,786818,786818,,,,203804.0,-5254.0,0.0,,,,,,
6117,2013年01月01日至2013年09月30日,,18359,18359,,,150097,4217,-325.0,12642,-6187,35,,,,321,45745,-10329,-60493,17189,-1525.0,-9092,,-86507,-15521,4052,6475.0,,-91971,-101063,59416,77775,-6607,71168,,,-29720.0,-34087,162,-1527.0,902.0,-479.0,,-2141.0,0,6187,-60703,,1141117,-1137067.0,-26813,3762.0,-3765.0,267,,-17730.0,-12561,-52790,28602,-13723,675364,661641,661641,,,,160479.0,-470.0,,,,,,,
