公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 現金增資,　　 合併發行新股追溯調整,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據（增加）減少,　　 其他應付款－關係人減少,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 取得無活絡市場之債券投資,　　 發放現金股利,　　 存出保證金增加,　　 短期借款減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 存出保證金減少,　　 其他預付款項增加
1340,2016年01月01日至2016年09月30日,,826936,826936,,,17792,1639,672,-29525,,,,,102124,,-24006,7875,85993,,-175840,-48990,-224830,-138837,-148259,678677,24869,-672,-123498,579376,,-267993,,,-281423,,,,,,-169650,-206009,-77706,3016221,2938515,2938515,,,,,,-109051.0,-1125.0,-60599.0,,-9422.0,-1475400.0,1770016.0,1184.0,-308105.0
1340,2016年01月01日至2016年06月30日,,529546,529546,,,12351,1111,672,-20104,,,,,18206,,-21659,164,-3289,,830,-58335,-57505,-60794,-66764,462782,21918,-672,-76951,407077,,-162506,,,1299464,,,,,,-60599,-137615,1508327,3016221,4524548,4524548,,,,,,,-1125.0,-60599.0,,-5970.0,0.0,1770016.0,1184.0,-308105.0
1340,2016年01月01日至2016年03月31日,,205753,205753,,,6216,561,672,-10224,,,,,300818,,-13785,-7712,279321,,-169347,-58921,-228268,51053,48278,254031,2300,-672,-42463,213196,,-90077,,,-396998,,,,,,-60599,-8673,-253074,3016221,2763147,2763147,,,,,,,0.0,-60599.0,,-2775.0,0.0,0.0,1184.0,-308105.0
1340,2015年度,,1030137,1030137,,,26931,2236,3441,-70162,26334.0,,,,-29149,,-13657,211,-42595,,112856,1018,113874,71279,60059,1090196,68040,-3441,-167242,987553,,-5231,0.0,,185946,,,0.0,,0.0,-167772,-59406,946321,2069900,3016221,3016221,,,0.0,0.0,,-167772.0,-14463.0,0.0,,-11220.0,-7757.0,213397.0,,
1340,2015年01月01日至2015年09月30日,,760260,760260,,,20341,1672,2686,-54196,0.0,,,,97191,,-38782,-7246,51163,,63194,-8936,54258,105421,75924,836184,39466,-2686,-126930,746034,,-2843,0.0,,191673,,,0.0,,0.0,-167772,50163,820098,2069900,2889998,2889998,,,0.0,0.0,,-167772.0,-14463.0,0.0,,-29497.0,-4418.0,213397.0,,
1340,2015年01月01日至2015年06月30日,,452883,452883,,,13606,1112,1884,-34388,0.0,,,,115604,0.0,-34108,32,81528,,35755,-12604,23151,104679,86893,539776,34388,-1884,-83816,488464,,-634,0.0,,-19485,,,0.0,,0.0,0,-46911,422068,2069900,2491968,2491968,,,0.0,0.0,,,-14433.0,0.0,,-17786.0,-4418.0,,,
1340,2015年01月01日至2015年03月31日,,183558,183558,,,7010,561,939,-9247,0.0,,,,366941,,-34596,-7035,325310,,-65858,-27790,-93648,231662,230925,414483,9247,-939,-48746,374045,,0,0.0,,-17986,,,0.0,,0.0,0,-19642,336417,2069900,2406317,2406317,,,0.0,0.0,,,-14547.0,0.0,,-737.0,-3439.0,,,
1340,2014年度,,1108580,1108580,,,32360,2186,5127,-10148,-328.0,-18626.0,,,-114308,,4106,-523,-110725,,-7523,22141,14618,-96107,-114733,993847,10148,-5127,-160098,838770,,-13436,352.0,0.0,-1872615,,,1101600.0,,-27540.0,719820,68589,-245436,2315336,2069900,2069900,,,-47823.0,85565.0,-1929747.0,-305040.0,-15349.0,-49200.0,,,,,,
1340,2014年01月01日至2014年09月30日,,786133,786133,,,25228,1629,4020,-7261,-344.0,-24551.0,,,-26608,0.0,-20972,-7446,-55026,,4108,1111,5219,-49807,-74358,711775,7261,-4020,-113383,601633,,-4688,352.0,0.0,-371826,,-26895.0,1101600.0,,-27540.0,742125,18384,990316,2315336,3305652,3305652,,,-47823.0,85565.0,-453055.0,-305040.0,,,,,,,,
1340,2014年01月01日至2014年06月30日,,494923,494923,,,17681,1089,2745,-4625,-344.0,-31277.0,,,32020,-162.0,-14461,139,17536,,-24536,-9970,-34506,-16970,-48247,446676,4625,-2745,-70908,377648,,-4706,352.0,0.0,81211,,-27363.0,1101600.0,,-27540.0,1046697,-90292,1415264,2315336,3730600,3730600,,,-47823.0,85565.0,,,,,,,,,,
1340,2014年01月01日至2014年03月31日,,222634,222634,,,9293,553,1442,-2117,-344.0,-38996.0,,,304354,0.0,-9458,-7344,287552,,-104312,-23220,-127532,160020,121024,343658,2117,-1442,-40401,303932,,-450,352.0,0.0,85467,,-27363.0,1101600.0,,-27540.0,1046697,-9962,1426134,2315336,3741470,3741470,,,-47823.0,85565.0,,,,,,,,,,
1340,2013年度,,839935,839935,,,38967,2523,7506,-6480,-494.0,42022.0,,,-239127,,9012,1843,-228272,,267890,34521,302411,74139,116161,956096,6480,-7697,-130625,824254,,-41172,1960.0,2541.0,-36671,,,603138.0,,-17308.0,575229,108461,1471273,844063,2315336,2315336,,,0.0,0.0,0.0,0.0,0.0,-10601.0,,,,,,
1340,2013年01月01日至2013年12月31日,,839935,839935,,,38967,2523,7506,-6480,-494.0,42022.0,,,-239127,,9012,1843,-228272,,267890,34521,302411,74139,116161,956096,6480,-7697,-130625,824254,,-41172,1960.0,2541.0,-36671,,-10601.0,603138.0,0.0,-17308.0,575229,108461,1471273,844063,2315336,2315336,,0.0,,,,,,,,,,,,
1340,2013年01月01日至2013年09月30日,,593242,593242,,,28852,1890,5692,-3679,-1927.0,30828.0,,,-56031,-85.0,-4337,-5228,-65681,,216125,1451,217576,151895,182723,775965,3679,-5882,-92233,681529,,-39392,1927.0,2541.0,-34924,,3851.0,603138.0,0.0,-17308.0,589681,50921,1287207,844063,2131270,2131270,0.0,0.0,,,,,,,,,,,,
