公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 其他金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股利收入,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他應收款（增加）減少,　　 收取之股利,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 其他應收款增加,　　 短期借款減少,　　 非控制權益變動,　　　　 買回應付公司債損失（利益）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 償還公司債,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分無活絡市場之債券投資,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 庫藏股票買回成本,　　 發放現金股利
3038,2016年01月01日至2016年09月30日,,159004,159004,,,84066,722,-95,9420,-2125,-8063,26253,,,,,-12919,110142,14102,,109745,,-779,-32874,-63830,,-28,,,0.0,-99249,10496,116788,275792,1945,-7998,-3933,274838,,-32464,116114,-19371,,-402,-491.0,0.0,-179592,,333028,-291200,-180461,-11568,-96783,963257,866474,866474,-367.0,,,367.0,0.0,4838.0,-8357.0,,-1580.0,9032.0,-16187.0,,,,,0.0,,,,,,63684.0,,106292.0,-1738.0,-290842.0,,-162026.0,-60263.0
3038,2016年01月01日至2016年06月30日,,111824,111824,,,56968,514,170,5848,-1334,-3106,5566,,,,,-36397,78182,12171,,54912,,-330,-23439,-42182,,831,,,0.0,-66284,-11372,52520,164344,1318,-5351,-3874,157014,,0,17273,-11043,,-330,6.0,,-9902,,47367,-36400,-151059,-3314,-7261,963257,955996,955996,-371.0,0.0,0.0,371.0,0.0,814.0,-1177.0,,956.0,577.0,-16187.0,,,,,,,,,,,,,63892.0,-1164.0,0.0,8.0,-162026.0,
3038,2016年01月01日至2016年03月31日,,71621,71621,,,28737,280,288,2898,-509,-2299,8951,,,,,4625,7440,-3996,,8580,,-44,47964,-42960,,1050,,,0.0,5422,14002,56446,128067,558,-2808,-1113,124983,,0,17263,-3768,,-35,-46.0,0.0,-2902,,0,-36400,-433250,-6754,-317923,963257,645334,645334,0.0,,0.0,,-129.0,4377.0,-279.0,,511.0,279.0,-16187.0,,,,-267843.0,,,,,,,,,42444.0,-588.0,,,-129007.0,
3038,2015年度,,317144,317144,,,128508,970,-1147,16136,-4991,-20362,-23857,,,,0.0,-9045,15618,-8906,,-4673,,-631,-38292,31466,,3138,,,-11.0,-5927,-10600,60627,377771,5395,-14830,-7387,374705,,-528132,357426,-44211,,-1538,281.0,0.0,-201408,,568655,-345800,13051,9846,196194,767063,963257,963257,-844.0,,0.0,1152.0,-7319.0,-9430.0,-13756.0,,-2340.0,13756.0,-105639.0,,0.0,,0.0,0.0,0.0,,0.0,,,126581.0,,71227.0,-1597.0,-9.0,0.0,-209804.0,
3038,2015年01月01日至2015年09月30日,,252361,252361,,,98536,689,-1061,12722,-4106,-20197,-28963,,,,0.0,-95119,32378,-8546,,-74003,,1047,-8584,21697,,4174,,,-11.0,16851,-57152,-25532,226829,4143,-11794,-7104,223655,,-478968,355992,-29991,,-1434,0.0,259.0,-156241,,305735,-345800,-113827,21650,-24763,767063,742300,742300,,,0.0,1152.0,-7320.0,-11675.0,-13481.0,-844.0,-2716.0,11581.0,-57130.0,,,,0.0,0.0,,,,,,61201.0,,31620.0,-1472.0,-2.0,0.0,-73762.0,
3038,2015年01月01日至2015年06月30日,,127769,127769,,,66991,450,-531,8668,-2899,-17721,7710,,,,0.0,-109554,37635,-4880,,-79858,,36,-28407,-30387,,4725,,,-11.0,-55031,-134889,-72524,55245,2865,-7979,-5102,45029,,-252320,318510,-22129,,-247,-3.0,0.0,-18707,,277100,-36400,240700,-4380,262642,767063,1029705,1029705,-974.0,276.0,0.0,1056.0,-6443.0,671.0,0.0,,-3335.0,0.0,-57130.0,,,,0.0,,,,,,,0.0,,62365.0,-987.0,-1.0,0.0,,
3038,2015年01月01日至2015年03月31日,,71422,71422,,,33673,227,-818,4264,-1495,-8838,-332,,,,0.0,-70511,-43861,-318,0.0,-118660,,163,43546,-46037,,6478,,,-11.0,3656,-115004,-89049,-17627,1567,-3850,-1240,-21150,,-65733,130347,-3234,,0,-2.0,0.0,-812,,165883,-36400,129483,1054,108575,767063,875638,875638,6.0,,0.0,,-5060.0,-732.0,0.0,,-3970.0,0.0,-57130.0,,,,0.0,,,,,,,,,25955.0,-483.0,,,,
3038,2014年度,,213155,213155,,,191419,946,19641,19572,-7355,-35707,-23716,150936.0,,,11896.0,196121,59669,-886,,280598,,2069,-131243,11228,,-21549,-1759.0,,-137.0,-151263,129335,280271,493426,7394,-17215,-5296,486946,,-718798,468947,-48663,,-769,0.0,1004.0,-293391,,0,-23000,-183859,10938,20634,746429,767063,767063,-1505.0,,-9872.0,1629.0,-8474.0,-3722.0,-8637.0,,13798.0,8637.0,2408.0,,0.0,,-160859.0,0.0,0.0,,0.0,,9325.0,,,,,,,,
3038,2014年01月01日至2014年09月30日,,142899,142899,,,157084,705,19474,14995,-6102,-17445,-8904,148468.0,,,11896.0,-13729,44004,-322,,55026,,2207,-38286,22284,,-19374,-1356.0,0.0,-103.0,-44500,10526,158994,301893,6018,-12955,-4250,299343,,-560622,322227,-43366,,-717,0.0,1006.0,-218166,,0,0,-86228,436,-4615,746429,741814,741814,,,-9872.0,229.0,-7746.0,-1197.0,-8637.0,-1505.0,13177.0,8637.0,0.0,9298.0,0.0,0.0,-86228.0,0.0,,,,,,61525.0,,,,,,,
3038,2014年01月01日至2014年06月30日,,93988,93988,,,108360,464,-690,9983,-4279,-6011,2125,106741.0,,,11896.0,46456,41444,-11329,,101120,,-558,-3563,-14643,,-18157,-917.0,-69.0,,-47684,53436,160177,254165,4000,-8313,-3262,247204,,-356179,180649,-31334,,-385,0.0,1027.0,-202061,,-25189,0,-25189,-7423,12531,746429,758960,758960,-185.0,,-9777.0,229.0,-7746.0,-1062.0,-1964.0,,12653.0,614.0,,,,,,,,,,2180.0,9498.0,,,,,,,,
