公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　　　 持有供交易之金融負債增加（減少）,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 取得無形資產,　　 短期借款增加,　　 庫藏股票處分,　　 取得持有至到期日金融資產,　　 發放現金股利,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　　 應收票據－關係人（增加）減少,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 存入保證金減少,　　 現金減資,　　 處分採用權益法之投資
2492,2016年01月01日至2016年09月30日,,1936724,1936724,,,751471,7489,-711,-65522,66929,-32858,-45768,26764,-111568,-4322,,-89063,-3600,-50353,2179,549432,,,-166864,4688,-701125,20687,25303,-8143,-196790,-26860,-2686,-1051790,,12496,352570,0,-34663,36963,13036,380402,-671388,-121956,1814768,29608,-66403,-151398,1692976,,0.0,-414094,-89582,,-1089034,20468,-47956.0,66401.0,0,-1680420,,1688658.0,130166,-422649,8652,-35617,70058.0,-39467,561001,-762825,-189268,2525493,2336225,2336225,98365.0,,,2622.0,-10989.0,,,-192.0,,,0.0,-420000.0,,,,,-51696.0,,,-418800.0,33.0
2492,2016年01月01日至2016年06月30日,,1162140,1162140,,,487780,4990,-599,-28662,45097,-22840,-1031,26764,-30994,-3988,,-69944,7853,-5428,1478,463032,,,-330824,32472,-161286,14174,-59262,-14088,-244037,-5832,-1556,-770239,,-8594,243229,4939,-36522,22469,13736,239257,-530982,-67950,1094190,17842,-45684,-105867,961512,,0.0,-413425,-231571,,-724736,18688,-29810.0,1031.0,0,-1442055,,1463267.0,205062,-1152724,-1615,-35617,70058.0,-2551,545880,-354987,-289650,2525493,2235843,2235843,52556.0,,0.0,1650.0,-11188.0,,,0.0,,,,,,,,,-51696.0,,,,33.0
2492,2016年01月01日至2016年03月31日,,489377,489377,,,248922,3468,0,-22766,23367,-11374,0,10349,615,-1929,0.0,-38562,-1861,-38906,747,190796,,,-251123,49691,197613,32482,-4155,-9023,-144322,10971,-740,-118606,,-29140,164339,4939,-139126,22931,2256,26199,-92407,98389,587766,10430,-23344,-24476,550376,,,-412332,-78548,0.0,-374966,10894,-7945.0,,0,-872712,,1122200.0,354643,-917596,2752,-35617,44372.0,-11971,558783,-134769,101678,2525493,2627171,2627171,18726.0,,,,,,,,,,,,,,,,-9848.0,,,,33.0
2492,2015年度,,1466536,1466536,,,1046475,10561,-14670,22425,94014,-61658,-45516,7614,-224247,3894,0.0,-105806,24796,29752,4079,759013,,,-359387,-69156,-457780,2201,9056,15372,289211,95065,28655,-446763,,-26024,105724,4729,159010,-87901,25354,180892,-265871,493142,1959678,66782,-93074,-43437,1990823,,252753.0,-38608,252102,0.0,-767821,51603,-17553.0,100874.0,69334,51826,,-495822.0,-169948,900000,-34043,-106160,94210.0,-54843,-1288821,-74242,679586,1845907,2525493,2525493,-32700.0,,0.0,2730.0,0.0,0.0,,-3916.0,0.0,,251202.0,-204920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1217295.0,
2492,2015年01月01日至2015年09月30日,,1083553,1083553,,,789104,8360,-28,35725,67030,-49047,-42566,3540,-214807,1671,0.0,-87639,-2523,6345,3326,498174,,,13591,-30992,-665671,2903,-16804,13403,262207,86664,7258,-327441,,-39663,3281,4729,-32999,-2984,22950,-44686,-372127,126047,1209600,60403,-67119,-23555,1277253,,258523.0,-38808,202927,0.0,-624101,51351,21277.0,97924.0,69334,190643,,-961279.0,-199701,270000,-35465,-106160,71724.0,-54843,-1220644,78222,325474,1845907,2171381,2171381,-20317.0,,,2730.0,0.0,,,-3792.0,,,251202.0,-204920.0,,,,,,,,,
2492,2015年01月01日至2015年06月30日,,566726,566726,,,531854,5895,-25,-4858,45581,-34472,-1750,3540,-167875,345,0.0,-48584,1785,-29825,2443,304054,,,7294,-44225,120608,1308,706,12758,150880,54982,2169,306480,,-37324,-118804,4786,-58292,-1085,-23602,-234321,72159,376213,942939,35389,-55697,-12141,910836,,248886.0,-1272,245640,0.0,-383018,8108,,346.0,69334,214135,,,0,270000,-36238,-75037,,-13068,-640846,-184432,299693,1845907,2145600,2145600,0.0,0.0,10479.0,0.0,0.0,19770.0,0.0,-3792.0,-858227.0,71724.0,,,,,,,,,,,
2492,2015年01月01日至2015年03月31日,,177182,177182,,,270996,2982,-3,-3836,26739,-20521,0,3540,7928,1680,0.0,-23947,-2116,-17773,1512,247181,,,277818,8074,235533,1926,-12942,6246,-12429,27061,-970,530317,,-6688,-172676,14190,-186741,-4566,-21451,-377932,152385,399566,576748,27019,-26289,-3996,573482,,0.0,-530,251374,0.0,-198019,8093,17922.0,0.0,69334,148174,,-233614.0,0,0,-27961,-48708,71724.0,-9419,-247978,-87981,385697,1845907,2231604,2231604,,,,,,,,,,,,,,,,,,,,,
2492,2014年度,,700112,700112,,,1341188,11015,-5,-32390,100569,-116275,-32843,42148,-78678,-4988,-2415.0,-34780,7435,4919,12020,1242559,,,-1780641,-27375,-633490,2442,-27458,-6848,-576254,910657,-641,-2139608,,6604,470310,-15960,200270,16644,3236,681104,-1458504,-215945,484167,109495,-102035,-43667,480803,,-255257.0,-36991,256046,55532.0,-610216,67284,-29966.0,32843.0,103539,-1544383,,648374.0,39704,-683687,26143,-224235,132892.0,11067,-49742,375153,-738169,2584076,1845907,1845907,25639.0,,0.0,1200.0,-844352.0,0.0,,0.0,0.0,,-251202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2492,2014年01月01日至2014年09月30日,,436049,436049,,,1045604,8128,62,-16935,77287,-94042,-32398,42148,-35216,-6869,-2401.0,-23630,9128,18614,8961,1005383,,,-1377016,-38499,-622674,2021,-16487,4359,-227894,807449,-2008,-1470749,,-25488,690787,-7186,84794,57116,2360,802383,-668366,337017,773066,94439,-78642,-39516,781745,,-148571.0,-23496,-127590,55205.0,-383465,63314,-3914.0,32398.0,-32184,-1271622,,278157.0,39789,-680218,-3711,-192749,132892.0,11067,-414773,156333,-748317,2584076,1835759,1835759,6942.0,,,1200.0,-429983.0,,,0.0,,,-242138.0,0.0,,,,,,,,,
2492,2014年01月01日至2014年06月30日,,83972,83972,,,728381,5464,62,-8564,52456,-69028,-560,42148,3450,-6802,-2407.0,-13171,8391,-45052,5989,700757,,,-716163,-15493,-193214,3288,-1601,1561,15193,-153414,-10208,-1070051,,-27640,352641,8440,-70432,13808,2903,279720,-790331,-89574,-5602,36841,-52476,-15893,-36570,,-298803.0,-598,211888,55349.0,-224434,32748,,560.0,-26918,-308212,,,39702,-387500,-3775,-72387,,0,234530,-67861,-178113,2584076,2405963,2405963,0.0,0.0,0.0,1200.0,-54666.0,-3978.0,0.0,0.0,525598.0,132892.0,,,,,,,,,,,
