公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還公司債,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　 處分子公司,　　 取得採用權益法之投資,　　 其他非流動資產減少,　　　　 其他項目,　　　　　 預付費用（增加）減少
6197,2015年01月01日至2015年09月30日,,276129,276129,,,95907,37660,0,1,-4496,-1859.0,-58,75,-10227,117003.0,,,-391106,-4088,-27706,-21972.0,1255.0,3640,-439977,,-14992,186680,17456,-11045,-11381,166718,-273259,-156256,119873,4496,-45183,79186,,-112124,151777,-23840.0,0.0,-142653,288,-1466.0,0.0,215062.0,-8801.0,1859.0,80102,,0.0,-381585.0,-61919.0,0.0,-443504.0,40260,-243956,1718042,1474086,1474086,,,,,,,,
6197,2015年01月01日至2015年06月30日,,119303,119303,,,64658,25165,0,1,-3490,,-137,128,-10642,75683.0,,,76487,-3165,-82680,-4169.0,1255.0,5157,-7115,,-17822,93132,5728,-10475,-11380,59183,52068,127751,247054,3490,-23310,227234,,-61468,107289,,,-98787,233,-288.0,,216587.0,-5511.0,,158055,,,,-61919.0,0.0,-61919.0,-11628,311742,1718042,2029784,2029784,,,,,,,,
6197,2015年01月01日至2015年03月31日,,91409,91409,,,32385,12656,0,0,-1325,,-192,22,-4118,39428.0,,,149814,-1519,-61705,3506.0,1305.0,-1299,90102,,10608,-6802,-5339,1101,0,-432,89670,129098,220507,1325,-3835,217997,,-40301,74606,,,-40910,0,0.0,87566.0,,-1443.0,,79518,,,,-61919.0,,-61919.0,-5592,230004,1718042,1948046,1948046,,,,,,,,
6197,2014年度,,378070,378070,,,119204,55525,6067,5765,-11071,-2953.0,1092,-828,-25063,,,,73568,43521,38217,-400.0,,-4796,150110,,-8910,-114498,30971,-2592,2703,-92326,57784,205522,583592,11071,-75043,519620,,-219657,218135,0.0,20633.0,-130351,1451,-1763.0,-144848.0,,-8705.0,2953.0,-225204,,-300000.0,-208137.0,-2823.0,-19834.0,-530794.0,17514,-218864,1936906,1718042,1718042,,147738.0,0.0,36948.0,,,,
6197,2014年01月01日至2014年09月30日,,237182,237182,,,87559,38370,5014,5764,-8521,-2946.0,1217,-991,-23710,101756.0,,,123421,80605,72720,10154.0,0.0,89,286989,,-25174,-209546,-16881,-5757,11719,-245639,41350,143106,380288,8521,-63131,325678,,-148542,138487,0.0,20633.0,-92688,1407,-1117.0,-80432.0,0.0,-7373.0,2946.0,-166679,,-300000.0,-208137.0,0.0,-33625.0,-541762.0,-345,-383108,1936906,1553798,1553798,,,,,,,,
6197,2014年01月01日至2014年06月30日,,152469,152469,,,57800,25677,4112,4992,-6127,,1202,-1044,-25683,60929.0,,,233112,80959,53868,11887.0,1484.0,77,381387,,-8362,-321851,-34321,-7893,11789,-360638,20749,81678,234147,6127,-37107,203167,,-134269,135494,,,-63859,1156,-950.0,,10134.0,-5867.0,,-58161,,,,0.0,-33625.0,-33625.0,-13419,97962,1936906,2034868,2034868,,,,,,,,
6197,2014年01月01日至2014年03月31日,,105662,105662,,,28886,13096,2010,2496,-3274,,1292,-1042,-10814,32650.0,,,255933,77527,19933,-1030.0,435.0,65,352863,,-4544,-266987,-19333,-4911,429,-295346,57517,90167,195829,3274,-446,198657,,-73160,67574,,,-19437,1042,-342.0,-195774.0,,-2221.0,,-222318,,,,0.0,,0.0,-1660,-25321,1936906,1911585,1911585,,,,,,,,
6197,2013年度,,216226,216226,,,130453,56964,-110,9984,-8343,-1182.0,3184,-10185,-12319,,,,-353394,-21827,-195309,15302.0,,2523,-552705,,14700,233730,128642,-6919,-1291,368862,-183843,-15397,200829,8343,-24791,184381,,-121167,175754,-10097.0,0.0,-103235,44167,-12503.0,-41620.0,,-2144.0,1182.0,-116040,,0.0,-138758.0,0.0,-25842.0,-164600.0,51910,-44349,1981255,1936906,1936906,,168446.0,7496.0,-53873.0,,,,
6197,2013年01月01日至2013年12月31日,,216226,216226,,,130453,56964,-110,9984,-8343,-1182.0,3184,-10185,-12319,,,,-353394,-21827,-195309,15302.0,,2523,-552705,,14700,233730,128642,-6919,-1291,368862,-183843,-15397,200829,8343,-24791,184381,,-121167,175754,-10097.0,,-103235,44167,-12503.0,-41620.0,,-2144.0,1182.0,-116040,,,-138758.0,,-25842.0,-164600.0,51910,-44349,1981255,1936906,1936906,,168446.0,7496.0,-53873.0,0.0,,,
6197,2013年01月01日至2013年09月30日,,172788,172788,,,101390,42751,-923,7486,-7737,-1036.0,2987,-10974,-10774,,,,-169639,11153,-116764,5829.0,,2325,-267096,,15497,110739,68843,-2808,-58,192213,-74883,48287,221075,7737,-24105,204707,,-91535,133477,-10097.0,0.0,-67824,43612,-12344.0,-355905.0,,-5504.0,1036.0,-357588,,0.0,0.0,,-25842.0,-25842.0,29239,-149484,1981255,1831771,1831771,,123170.0,7496.0,,,,,
