公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分其他資產損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 其他非流動資產減少,　　 應付短期票券減少,　　 存入保證金增加,　　　　 非金融資產減損迴轉利益,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　 存入保證金減少,　　 以成本衡量之金融資產減資退回股款,　　 短期借款減少,　　 其他金融資產增加,　　 其他借款增加,　　 其他籌資活動,　　 其他金融資產減少
1717,2016年01月01日至2016年06月30日,,1775129,1775129,,,779709,9307,46159,,177204,-66764,-1000.0,-94352,6145,331.0,44247,13807,,,,304731,-91316,-237425,-228787,-300331,,-7160,541188,-36189,-38815,-221232,-521563,393230,2168359,58579,0.0,-196457,-205819,1824662,,,,166.0,-72529.0,,-1924789,1797,-2418,,,,-1896022,,982799,0.0,3459499,-3074874,,,88620,1455927,-528335,856232,7449271,8305503,8305503,,,-680256.0,-306339.0,,,,,914793.0,-2858.0,-44676.0,-117.0,,,,,,408090.0
1717,2016年01月01日至2016年03月31日,,663715,663715,,,386196,4605,55955,0.0,98522,-31347,,-7858,1424,160.0,11273,6022,,,,-26981,582083,98141,-168988,485673,,-13743,47148,-228017,-21385,-888247,-402574,122378,786093,27735,,-90430,-105812,617586,,,,,-48576.0,,-1010823,1163,-929,,,-529410.0,-1588575,,626465,,2252134,-2482663,,,44918,419371,-84447,-636065,7449271,6813206,6813206,,0.0,-672250.0,,,244.0,,,524952.0,-10.0,1428.0,,,,,,-21727.0,
1717,2015年度,,3491120,3491120,,,1473717,17956,91191,-5801.0,319284,-128372,-33195.0,-154975,11071,0.0,0,23418,,,,280696,585144,795367,-256404,1435567,,-8153,-375909,145850,27773,-194601,1240966,2815263,6306383,157027,387959.0,-314636,-637320,5899413,,,0.0,0.0,-289993.0,0.0,-3917755,8236,-6949,,-241929.0,1281682.0,-3111716,,0,,11786855,-9139568,,-1839904.0,17913,-470826,-284990,2031881,5417390,7449271,7449271,-39997.0,5801.0,10037.0,36819.0,0.0,0.0,,,1574297.0,2047.0,28717.0,-676.0,18173.0,-1446203.0,0.0,150757.0,,
1717,2015年01月01日至2015年09月30日,,2439339,2439339,,,1107102,13521,95087,-5266.0,232935,-98145,-30605.0,-107567,6812,0.0,0,17439,,,,186063,-530825,457661,-369346,-240524,,-6834,-188567,42911,2979,-132335,-372859,858454,3297793,125714,329569.0,-232399,-379494,3141183,,,,0.0,-196497.0,,-2822696,5021,-6389,,-63693.0,2107723.0,-927054,,0,,11497619,-9242644,,-1839904.0,17913,-387613,350477,2176993,5417390,7594383,7594383,0.0,5266.0,11910.0,37074.0,,0.0,,,1231313.0,1248.0,14675.0,-986.0,12403.0,-819611.0,,,,
1717,2015年01月01日至2015年06月30日,,1473539,1473539,,,731859,8787,78729,-4615.0,151429,-65976,-1250.0,-67713,2919,0.0,0,11511,,,,242434,-398438,121042,-189897,-240808,,-12386,64124,17779,-5966,78318,-162490,683190,2156729,97909,1250.0,-150819,-273270,1831799,,,,0.0,-148750.0,,-1538156,6962,-4624,,,2528056.0,856200,,1326376,499359.0,2657866,-4449732,,,4531,37329,-152189,2573139,5417390,7990529,7990529,0.0,4615.0,10152.0,12712.0,,,,,845680.0,1793.0,-17742.0,-1071.0,,,,,,
1717,2015年01月01日至2015年03月31日,,657198,657198,,,373281,4361,51355,-2963.0,78336,-34695,,-24764,1389,,0,6212,,,,185424,373244,267739,-231293,585565,,956,-89961,-175829,-4658,-254852,330713,783225,1440423,41909,,-78449,-69341,1334542,,,,,,,-889593,4549,-745,,-29216.0,1506806.0,591801,,169018,,487111,-1099432,,,6819,-436010,-95386,1394947,5417390,6812337,6812337,,2963.0,11677.0,,,474.0,,,452512.0,618.0,-10167.0,,,,,,,
1717,2014年度,,3007562,3007562,,,1484769,16120,61975,-10064.0,333994,-167735,-28441.0,-108702,6427,-578.0,30766,22700,1639670.0,,,-512626,-92188,-348592,143870,-809536,,-72678,-430620,135888,-25820,-334576,-1144112,495558,3503120,177096,161334.0,-330197,-610196,2901157,,,0.0,,0.0,0.0,-1873156,12328,-26887,,-252093.0,-302412.0,-2434497,,-1116301,,11193356,-8932274,,-1389356.0,169963,-73842,179680,572498,4844892,5417390,5417390,-1561.0,10064.0,48590.0,7723.0,0.0,770.0,0.0,,,,,,,,,,,
1717,2014年01月01日至2014年09月30日,,2227015,2227015,,,1079859,11449,46498,-7830.0,250679,-127900,-28441.0,-63759,5701,-478.0,9192,86035,1259515.0,,,-181909,-570786,-391678,-243222,-1387595,,-31112,287172,134415,-76854,371157,-1016438,243077,2470092,109123,27982.0,-241454,-409182,1956561,,,0.0,513.0,0.0,0.0,-1256607,15888,-21277,,-254394.0,-106631.0,-1615138,,502813,,9564579,-8064400,,-1389356.0,169961,784152,6463,1132038,4844892,5976930,5976930,-1490.0,7830.0,49706.0,7370.0,0.0,555.0,,,,,,,,,,,,
1717,2014年01月01日至2014年06月30日,,1285480,1285480,,,719597,7365,33199,-5140.0,169024,-83758,0.0,-40155,5037,-478.0,9192,9584,829320.0,,,152583,-287801,-192176,-186598,-513992,,-75143,50959,28929,-60982,-51097,-565089,264231,1549711,65482,0.0,-159409,-302358,1153426,,,0.0,513.0,0.0,0.0,-898153,12876,-9250,0.0,-67042.0,141971.0,-819085,,6854,0.0,6405453,-5131043,39144.0,,141962,1462370,-1576,1795135,4844892,6640027,6640027,5853.0,5140.0,,,,,,,,,,,,,,,,
1717,2014年01月01日至2014年03月31日,,481033,481033,,,367452,3469,14391,0.0,84273,-37940,0.0,-22716,2424,0.0,8948,4677,424978.0,,,-214660,1132279,-22115,96575,992079,,-40441,-248624,-344313,-55274,-688652,303427,728405,1209438,18501,0.0,-76767,-118836,1032336,,0.0,0.0,0.0,0.0,0.0,-527465,3905,-1400,0.0,23241.0,-177353.0,-679072,,-214455,0.0,2552585,-1120481,28803.0,0.0,0,1246452,10725,1610441,4844892,6455333,6455333,,,,,,,,,,,,,,,,,,
