公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現銷貨利益（損失）,　　　　　 應付票據增加（減少）,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 其他項目,　　 處分不動產、廠房及設備,　　 收取之股利,　　 發行公司債,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　 存出保證金減少,　　　　 買回應付公司債損失（利益）,　　 償還公司債,　　　　　 其他應付款－關係人增加（減少）,　　 員工執行認股權
3514,2016年01月01日至2016年09月30日,,-1930360,-1930360,,,1256342,3715,847,58248,-10368,3702,-4124,81120,,,,,968948,,-53416,1704,491293,310597,280482,1999608,,-1185945,-44597,-142287,41644,671,,-1318588,681020,3402086,1471726,10185,-55967,-1984,1423960,,,0,-312848,,-3419.0,-564189,-798251,,,462107,2753662,-3686792,-1101,-469083,-139012,17614,4612593,4630207,4630207,,,-7261.0,139269.0,,1199589.0,11018.0,7261.0,,0.0,,2721066.0,63926.0,-13.0,-200.0,11926.0,3241.0
3514,2016年01月01日至2016年06月30日,,682664,682664,,,833742,2677,376,39308,-8386,2468,-77053,72958,,,,,-624943,0.0,-1426,610,-249339,131117,276141,-467840,,-463558,89318,-24571,35796,1474,,-364264,-832104,33973,716637,8234,-38249,-1912,684710,,,0,-188894,,-3357.0,-357489,-482150,,,175566,2093377,-3460442,-552,-1189010,-82960,-1069410,4612593,3543183,3543183,,,,,,,,,,,,866077.0,67590.0,-13.0,-200.0,-2723.0,3241.0
3514,2016年01月01日至2016年03月31日,,564245,564245,,,414548,1331,8143,20120,-4473,1234,-50459,25694,,,,,-581320,0.0,-320453,-11581,-79060,12542,275027,-704845,,-476191,7765,-172837,1512,4310,,-647167,-1352012,-935887,-371642,4405,-18585,-36,-385858,,,0,-84174,,,-223411,-244396,,,469912,1223842,-2300792,-310,-604307,-82829,-1317390,4612593,3295203,3295203,,,,,,,,,,,,416125.0,63189.0,-13.0,-200.0,-11726.0,3241.0
3514,2015年度,,-91040,-91040,,,1786106,5972,837,106979,-19598,15907,71105,75916,,,,,776284,7441.0,-5036,47981,-249255,153639,-70588,660466,,749573,36439,130610,-18365,2236,,903390,1563856,3640357,3549317,20120,-97508,-635,3471294,,0.0,-94500,-401348,,-1244.0,-324569,-364226,,,-276738,1972552,-2548950,9399,-803370,-75438,2228260,2384333,4612593,4612593,,,-6767.0,0.0,-1877.0,,0.0,9241.0,,712407.0,,2076501.0,448194.0,41921.0,-672040.0,2897.0,
3514,2015年01月01日至2015年09月30日,,-485250,-485250,,,1362008,4694,8284,84301,-13264,13658,108143,50744,,,,,-1055608,7441.0,-156423,-89918,244123,161522,-9265,-898128,,840618,54144,78505,193152,12336,0.0,1178983,280855,1934577,1449327,13471,-71997,-417,1390384,,0.0,-94500,-186827,,0.0,-270754,-220343,,,603935,982500,-2147700,9099,70854,-64050,1176845,2384333,3561178,3561178,,228.0,-6767.0,0.0,,,0.0,6767.0,,712407.0,,1653722.0,324971.0,41921.0,-89387.0,,
3514,2015年01月01日至2015年06月30日,,-627783,-627783,,,914053,3381,6428,57612,-4533,9105,98618,83489,,,,,-48340,1420.0,-7787,49723,276405,41534,-677,312278,,448385,79030,-7851,-8864,903,0.0,511602,823880,1992033,1364250,4065,-48393,-318,1319604,,0.0,-94500,-119831,,0.0,-144566,-130659,,,361346,931200,-1746450,-297,-454201,-76262,658482,2384333,3042815,3042815,,-1.0,,,,,,,,,,1168153.0,228238.0,,,,
3514,2015年01月01日至2015年03月31日,,-295960,-295960,,,455512,1716,-443,29263,-827,4553,49524,76638,,,,,248157,7441.0,-130558,49723,-185242,73584,-3476,59629,,309780,28876,-39606,-21756,-141,,273236,332865,948801,652841,768,-24320,-91,629198,,,-94500,-62761,,,-101261,-128238,,,560625,935460,-1345200,0,150885,-63386,588459,2384333,2972792,2972792,,,,,,,,,,,,615936.0,130284.0,0.0,0.0,-3917.0,0.0
3514,2014年度,,-396874,-396874,,,1735408,8114,2141,114874,-6393,44039,254003,33992,,,,,-31871,-7157.0,2396,101724,-185662,119309,-10270,-11531,,-261369,-161150,-97824,17386,1007,,-493072,-504603,1674729,1277855,5763,-104145,-641,1178832,,-149.0,-602016,-94745,,-6868.0,-965850,-1283936,,,281256,2844600,-3466604,343,-340405,-51605,-497114,2881447,2384333,2384333,,,-6962.0,116.0,0.0,,44.0,6962.0,,0.0,,2179332.0,378686.0,0.0,0.0,8878.0,
3514,2014年01月01日至2014年09月30日,,-159618,-159618,,,1310792,6341,10239,85967,-4289,35875,223901,73123,,,,,262600,0.0,-227906,145929,-699084,111085,-12557,-419933,,-325426,-99987,-73158,10869,5374,1401.0,-480927,-900860,835216,675598,3882,-77513,-443,601524,,-149.0,-602016,-77173,,-6440.0,-884572,-1315837,,,406974,1500650,-1564704,30,342950,-74571,-445934,2881447,2435513,2435513,,0.0,-5989.0,116.0,,,44.0,5989.0,,0.0,,1736076.0,248480.0,0.0,0.0,,
3514,2014年01月01日至2014年06月30日,,328674,328674,,,888148,4486,4851,58927,-3318,23917,149941,77894,,,,,620110,-77.0,-12596,-43115,-430590,257547,-5325,385954,,-262397,-148683,-86174,10036,4218,1508.0,-481492,-95538,1109308,1437982,2950,-53106,-343,1387483,,-149.0,-599816,-6399,,-6440.0,-762476,-1264324,,,531074,0,-1172304,30,-641200,-86132,-604173,2881447,2277274,2277274,,0.0,,,,,,,,,,1204846.0,110956.0,,,,
