公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據增加（減少）,　　 存出保證金減少,　　 短期借款減少,　　 應付短期票券減少,　　 預付投資款增加
4746,2015年01月01日至2015年09月30日,,210158,210158,,,159471,9577,75,24022,-247,0,391,994.0,-8415,185868.0,,,0,-81583,-5589,8382,-105545,4079,-3375,-101.0,-183732,,1654,33676,0,34349,3010,-766,71923,-111809,74059,284217,247,-14577,-60224,209663,,0,9528,0,-324399,72.0,-922.0,-4544,0,0,-320265,,50000.0,0.0,0,428000,-173544,-168823.0,0,135633,26,25057,404743,429800,429800,,,,,,,
4746,2015年01月01日至2015年06月30日,,74651,74651,,,100374,6417,234,14935,-203,0,278,-6.0,-8415,113614.0,,,-23,-14575,10781,6607,-131075,8079,1158,-101.0,-119149,,-274,11128,0,24047,3418,0,38319,-80830,32784,107435,203,-8705,-35777,63156,,0,9528,-766,-256473,32.0,-1182.0,-4544,0,0,-253405,,66927.0,0.0,0,210000,-68846,,0,208081,-44,17788,404743,422531,422531,,,,,,,
4746,2015年01月01日至2015年03月31日,,50048,50048,,,48394,3255,2597,7459,-36,0,161,-6.0,-8415,53409.0,,,0,31929,7524,3092,-61831,11362,1467,-101.0,-6558,,-274,-6032,0,-9015,471,64,-14786,-21344,32065,82113,36,-4194,-54,77901,,0,9528,0,-154550,32.0,-216.0,-227,0,0,-145433,,240000.0,0.0,0,0,-21669,0.0,0,218331,-19,150780,404743,555523,555523,,,,,,,
4746,2014年度,,309844,309844,,,179102,14400,-3039,24059,-279,0,159,-314.0,0,,,,0,98646,63,7854,-278112,2537,433,-8501.0,-177080,,-232,-55390,0,20896,498,6,-34222,-211302,2786,312630,279,-17430,-15071,280408,,-61000,0,0,-457377,447.0,,-11172,-712,-1531,-529289,,,,496000,243000,-189740,0.0,0,240314,63,-8504,413247,404743,404743,,214088.0,0.0,2056.0,-308946.0,0.0,
4746,2014年01月01日至2014年09月30日,,245396,245396,,,131064,11114,-2919,16433,-158,0,21,-314.0,0,155241.0,,,0,135675,-6693,10823,-251468,-35637,459,-6604.0,-153445,,332,-76475,0,47435,2532,7,-26169,-179614,-24373,221023,158,-19830,-11149,190202,,0,0,0,-371636,447.0,1980.0,-6769,-712,-23769,-400459,,-463011.0,0.0,496000,173000,-120000,0.0,0,85989,-1,-124269,413247,288978,288978,,,,,,,
4746,2014年01月01日至2014年06月30日,,138361,138361,,,84775,7884,-458,10056,-152,0,18,-314.0,0,101809.0,,,0,2665,-1125,855,-148589,-5941,350,-4729.0,-156514,,-506,-44434,0,41607,390,7,-2936,-159450,-57641,80720,152,-13367,-9769,57736,,0,0,0,-249731,447.0,1848.0,-5704,-712,-11280,-265132,,-61974.0,0.0,0,123000,-60000,,0,1026,-52,-206422,413247,206825,206825,,,,,,,
4746,2014年01月01日至2014年03月31日,,67157,67157,,,38863,4122,-3093,4432,-18,0,-82,0.0,0,44224.0,,,-3690,-30956,4309,8126,-62016,-2708,567,0.0,-86368,,-399,4824,0,6586,146,6,11163,-75205,-30981,36176,18,-6554,-10968,18672,,0,0,0,-125770,0.0,-525.0,0,-712,-2729,-129736,,-123379.0,0.0,0,53000,-30000,0.0,0,-100379,-12,-211455,413247,201792,201792,,,,,,,
4746,2013年度,,-58388,-58388,,,133658,16940,5331,26515,-393,6603,387,0.0,-139,,,,177,-106963,-5641,-2139,17985,-20216,-1627,0.0,-118424,,506,73032,-8538,8191,-12622,-42,60437,-57987,130915,72527,393,-18829,-21838,32253,,-103840,201,0,-548845,0.0,,-11035,-10361,-4120,-673575,,,,0,372200,-108000,0.0,498750,799081,130,157889,255358,413247,413247,,188902.0,-90.0,4425.0,245957.0,-209826.0,
4746,2013年01月01日至2013年09月30日,,-121312,-121312,,,98824,12681,3034,20040,-137,6603,441,0.0,0,,,,177,-33562,-24299,1335,24834,-28728,-2808,0.0,-63051,,0,42199,-8538,2935,-3758,-114,32634,-30417,111069,-10243,137,-13195,-21814,-45115,,-88500,0,0,-377529,0.0,,-10247,-9962,-8988,-505873,,334290.0,,0,372200,-78000,0.0,498750,917414,88,366514,255358,621872,621872,,141486.0,-90.0,4693.0,0.0,-209826.0,-15340.0
4746,2013年01月01日至2013年06月30日,,-162995,-162995,,,65462,8116,3082,12669,-127,0,253,0.0,0,,,,177,-81670,-4614,235,5410,-41111,-1835,0.0,-123408,,311,9079,-8538,7267,-2357,-139,5533,-117875,-28420,-191415,127,-7608,0,-198896,,-88500,0,0,-233746,0.0,,-9617,-3876,-39188,-374688,,335903.0,,0,325500,-38000,0.0,0,553531,117,-19936,255358,235422,235422,,89455.0,-90.0,239.0,,-69872.0,
