公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 應付短期票券減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 以成本衡量之金融資產減資退回股款,　　 償還長期借款,　　 發放現金股利,　　 現金減資,　　　　 股利收入,　　 收取之股利,　　 短期借款減少,　　 非控制權益變動,　　 其他非流動資產增加,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分以成本衡量之金融資產,　　 存出保證金減少,　　 取得無活絡市場之債務工具投資,　　 庫藏股票處分
1459,2016年01月01日至2016年09月30日,,-59533,-59533,,,165694,1797,40770,-3925,0,,12329.0,,,,466,10441,91273,,-208224,-23266,-1340,,-130650,,,-830,-7190,-16243,17837,,-6200,-136850,79299,19766,-56252,-36486,,-78781,-54820,,9816,3258,-130101,,6363259,6515000.0,,700000.0,25.0,0.0,0.0,-177880.0,,,-41099,306534,-2402,137545,709088,846633,846633,-50.0,5570.0,-24495.0,,-6347000.0,-466.0,9350.0,-589700.0,-63788.0,,,,-6047995.0,-4288.0,,,,,216149.0,226.0,0.0,1.0,0.0,0.0
1459,2016年01月01日至2016年06月30日,,-30918,-30918,,,113444,1219,26565,-2550,0,,11384.0,,,,474,39197,78851,,-202700,-17426,-8411,,-110015,,,-1235,-15455,-16447,2542,,-30514,-140529,9059,-21859,-35925,-57784,,-7988,-10008,,6322,798,-276437,,4273975,4143000.0,,400000.0,33.0,0.0,,-174884.0,,,-36464,367719,-2144,31354,709088,740442,740442,0.0,0.0,-271025.0,,-4123000.0,-474.0,5463.0,-446600.0,,,,,-3668341.0,,,,,,149588.0,81.0,0.0,1.0,,
1459,2016年01月01日至2016年03月31日,,-18828,-18828,,,58039,618,12934,-1155,0,,11436.0,,,,0,-8607,30789,,-94624,-6402,30,,-78814,,,-450,7813,-18577,11020,,-156,-78970,2902,-15926,-4021,-19947,,-2447,-9249,,3194,639,-283441,,1995910,2169000.0,,150000.0,1.0,0.0,,-172102.0,,,-11791,97723,-1576,-207241,709088,501847,501847,0.0,0.0,-281041.0,,-2033000.0,0.0,5463.0,-146600.0,,,,,-1853695.0,,,,,,81872.0,38.0,,,,
1459,2015年度,,277455,277455,,,235857,2474,43709,-11103,16,,,,,,94,76076,-42165,,28436,6888,24307,,93636,,0.0,224,5543,-2367,-23737,,-20041,73595,167384,444839,-41587,403252,,-1633225,-142492,0.0,3590,12416,-359298,,5583275,6191000.0,,400000.0,0.0,-10.0,16020.0,,,,-43864,-492739,12869,-435916,1145004,709088,709088,-126424.0,1347922.0,-56410.0,0.0,-6124000.0,11.0,67213.0,-310300.0,-174722.0,,-50751.0,50751.0,-6055136.0,-1906.0,0.0,0.0,0.0,,93789.0,296.0,937.0,,-10000.0,26904.0
1459,2015年01月01日至2015年09月30日,,289066,289066,,,177284,1849,32598,-9586,16,,,,,,93,21338,-9491,0.0,-66233,-7623,23846,,-38070,,0.0,123,3076,-10679,-7275,,-14630,-52700,23329,312395,-36108,276287,,-1567738,-9022,0.0,137,10534,-354944,,0,20000.0,,100000.0,0.0,-7.0,5811.0,,,,-32336,-486966,5372,-560251,1145004,584753,584753,-126144.0,1347890.0,-147445.0,,,12.0,19763.0,-206100.0,-174722.0,,,,-221827.0,-1906.0,0.0,0.0,0.0,,76029.0,125.0,937.0,,-10000.0,24121.0
1459,2015年01月01日至2015年06月30日,,240267,240267,,,118666,1221,21159,-6320,16,,,,,,511,17156,6742,,-69824,-18146,17131,,-46430,,0.0,670,7773,-19646,-9966,,-21085,-67515,-57212,183055,-29078,153977,,-1379738,-7904,0.0,4243,7543,-17272,,0,,,,0.0,-1.0,,-4569.0,,,-21475,-405943,-5045,-274283,1145004,870721,870721,-123684.0,1347557.0,-5354.0,,-49111.0,-755.0,15443.0,-206099.0,,,,,-124688.0,,0.0,,,,10303.0,84.0,937.0,1.0,,
1459,2015年01月01日至2015年03月31日,,101592,101592,,,60250,615,10884,-3404,5,,,,,,51,38612,-10831,,-23315,-7380,26099,,23236,,0.0,-792,31701,-11046,14809,,34714,57950,85636,187228,-235,186993,,-458964,-2149,0.0,1378,2892,-118886,,0,,,,0.0,-1.0,,-2154.0,,,-10988,-444991,-3695,-380579,1145004,764425,764425,-40718.0,347114.0,-9157.0,,-249898.0,54.0,,-102600.0,,,,,-79350.0,,0.0,,,,27686.0,42.0,,,,
1459,2014年度,,207977,207977,,,230757,2401,46665,-29069,-76,,-8.0,39360.0,,,-105,162039,29781,,56779,5294,21646,,275434,,-28.0,827,-9863,5972,20073,244.0,17225,292659,332019,539996,-21084,518912,,-2067750,-18667,-6.0,0,27718,-464969,,278334,224901.0,0.0,0.0,112.0,,10495.0,0.0,,,-38804,363376,15167,432486,712518,1145004,1145004,-184419.0,1290091.0,,264384.0,,5.0,35219.0,0.0,-111186.0,0.0,-26896.0,26896.0,0.0,-476.0,-6397.0,345.0,-16802.0,,,,,,,
1459,2014年01月01日至2014年09月30日,,165969,165969,,,172798,1786,33840,-22123,-76,,,48634.0,,,-215,145113,31294,-1621.0,-46316,-11754,14962,,131463,,-392.0,680,16963,-8629,-882,123.0,7863,139326,187960,353929,-15690,338239,,-1753122,-17942,-5.0,0,6817,-1068909,,523635,199977.0,0.0,0.0,195.0,0.0,3663.0,0.0,,,-33447,582361,4806,-143503,712518,569015,569015,-137743.0,899768.0,-189409.0,0.0,,152.0,4799.0,0.0,-111186.0,0.0,,,,-476.0,-3491.0,342.0,-16666.0,,,,,,,
1459,2014年01月01日至2014年06月30日,,44523,44523,,,115046,1190,21456,-13949,7,0.0,,96438.0,,,0,112348,75135,6828.0,379,17468,11264,,223422,,-520.0,475,22589,-22389,19732,81.0,19968,243390,339828,384351,-12122,372229,,-890380,-4875,-5.0,0,2340,-1080833,,463299,0.0,0.0,0.0,122.0,0.0,0.0,-5640.0,,,-14454,443266,-5142,-270480,712518,442038,442038,-27804.0,75997.0,-266332.0,0.0,-61.0,492.0,4799.0,0.0,,,,,,,-2377.0,,,,,,,,,
