公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　　 其他流動資產（增加）減少,　　 處分待出售非流動資產,　　 存出保證金增加,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 其他非流動負債增加,　　 停業單位稅前淨利（淨損）,　　　　　 其他應付款－關係人增加（減少）,　　 取得備供出售金融資產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分無形資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
1301,2016年01月01日至2016年09月30日,,30435792,30435792,,,6295465,454725,693,,1006670,-247812,,-20661074,140,0.0,254392,,,,,805634,-475074,754298,-672096,5022354,-74938,,5814348,,-2207854,-1387987,20170,2685468,,-3430176,2384172,-10512629,19923163,228161,13168123.0,-1761787,-3671722,27885938,,-85000.0,-2323056,4471,,-8119741.0,0,,0.0,595078.0,-14875721,,152246901.0,7499610.0,-1331877,0.0,-908441.0,-275949.0,-23367333,-16913362,370223,-3532922,19756722,16223800,16223800,,0.0,454170.0,,,-146026273.0,0.0,0.0,-8550000.0,3800000.0,0.0,,-407506.0,-4918250.0,,0.0,0.0,0.0,0.0,-29223.0,,,-12896801.0,-2132467.0
1301,2016年01月01日至2016年06月30日,,18307268,18307268,,,4190910,308642,1334,,656057,-155771,,-14042558,-413,0.0,142498,,,,,605896,-1190360,293956,-170002,4579832,-1015491,,2672741,,-2774754,-238802,363789,2153788,,-780052,1892689,-7006612,11300656,153855,2037971.0,-705509,-2805644,9981329,,-85000.0,-1655290,3441,,,-4011936,,0.0,294304.0,-10401954,,95465614.0,9000000.0,-795782,214486.0,0.0,0.0,-231748,668369,115021,362765,19756722,20119487,20119487,,0.0,-431090.0,,,-91497734.0,-4000000.0,0.0,-7500000.0,0.0,13533.0,,-99398.0,-4918250.0,,0.0,0.0,0.0,0.0,-29223.0,,,-8899301.0,-184675.0
1301,2016年01月01日至2016年03月31日,,6653161,6653161,,,2067317,165102,1496,,325184,-75784,,-4710296,129,,-357963,,,,,280013,-1275802,223183,-307830,3348908,-384640,,1985723,,-2271743,249755,194840,1020088,,-902012,1083711,-1501104,5152057,69823,165413.0,-175246,-148200,5063847,,,-591518,1007,,,832972,,281219.0,,-1967870,,35687540.0,4000000.0,-57143,,-944312.0,-3991.0,-1223,7522844,203508,10822329,19756722,30579051,30579051,,,101891.0,,,-31158027.0,,,,0.0,,,-47470.0,-2491550.0,,,,0.0,0.0,0.0,,,-2584815.0,-47482.0
1301,2015年度,,35094308,35094308,,,7759297,630262,-1236,0.0,1354812,-361271,,-20003445,-9251,0.0,-637476,,,,,-887967,696835,1394847,-47203,4430922,5716392,,11884874,,-1109735,-709405,3696368,1275928,,3383668,15268542,2745554,37839862,359011,4156538.0,-1393936,-109471,40852004,,-5475568.0,-5649693,31919,,8932926.0,0,,,1387460.0,1096350,,133096899.0,,-14344531,782880.0,0.0,,-10337193,-27489490,-94967,14363897,5392825,19756722,19756722,,0.0,581048.0,,,-134464807.0,0.0,0.0,-8000000.0,5640055.0,137207.0,,1081791.0,-3500000.0,,-1094025.0,1656179.0,-160655.0,3809549.0,-96422.0,0.0,,-12522988.0,-851279.0
1301,2015年01月01日至2015年09月30日,,28426569,28426569,,,5744791,487479,121,,1021720,-279719,,-15332248,-7173,0.0,-103389,,,,,-715088,569847,333956,-152148,4490973,4112979,,8062929,,-3458348,-1064081,1035554,3225601,,465962,8528891,-100182,28326387,262787,4143477.0,-893891,-48051,31790709,,-2349150.0,-2851847,29498,,0.0,5227657,,0.0,945098.0,1285805,,92682689.0,,-7304287,940641.0,0.0,-111885.0,-10340505,-11831227,172012,21417299,5392825,26810124,26810124,,0.0,-577590.0,,,-88707880.0,0.0,0.0,-3000000.0,4010000.0,0.0,,1131614.0,-3500000.0,,0.0,0.0,-160655.0,3809549.0,-25000.0,,,-8629073.0,-404378.0
1301,2015年01月01日至2015年06月30日,,16681264,16681264,,,3790677,353008,-454,,694731,-159748,,-10968625,-9717,0.0,-262295,,,,,-405241,931464,-32823,136159,1728923,3709139,,5373808,,-3769272,1469145,634187,3435442,,1532446,6906254,184018,16865282,144922,1586895.0,-726733,-37104,17833262,,-2349150.0,-1802766,29188,,,5260901,,0.0,278797.0,1700677,,55184184.0,,-7009985,0.0,-172019.0,-27611.0,-5975,-8733776,224579,11024742,5392825,16417567,16417567,,0.0,-693813.0,,,-57702370.0,0.0,0.0,-3000000.0,4000000.0,0.0,,43428.0,0.0,,0.0,0.0,-159813.0,308707.0,-25000.0,,,-6722236.0,-280484.0
1301,2015年01月01日至2015年03月31日,,4451984,4451984,,,1895668,241165,197,,361212,-80637,,-1902405,-5705,0.0,-381420,,,,,38830,181302,-179472,13185,-143039,3892369,,3953067,,-3903561,1760949,1149840,2846849,,1818388,5771455,5739717,10191701,82055,120300.0,-184061,-8732,10201263,,,-865048,7398,,,932255,,-475463.0,,-117151,,22562214.0,,-4737464,0.0,-6712.0,,-3712,-4463023,102070,5723159,5392825,11115984,11115984,,,149892.0,,,-25403685.0,0.0,,,3100000.0,26336.0,,76908.0,0.0,,0.0,0.0,-159813.0,308707.0,-25000.0,,,-31738.0,-112597.0
1301,2014年度,,20551553,20551553,,,7555974,544066,-1248,0.0,1565536,-500464,,-9232820,-35459,854.0,-784395,,-3533541.0,,,32736,1579701,405951,495932,-7440132,-1160199,,-6241817,,976877,-5495120,103961,847516,-407398.0,-3956190,-10198007,-13731548,6820005,544287,8415528.0,-1641691,-699730,13438399,,-1177877.0,-8074296,50875,,-122671.0,0,,,1594673.0,-3973961,,,,-16950306,36721.0,0.0,,-12093820,-11630201,-114289,-2280052,7672877,5392825,5392825,,-16058.0,-155806.0,,,-3756752.0,-3099844.0,5984010.0,-6000000.0,24199654.0,50136.0,,17974.0,-2400965.0,,-2627625.0,3776928.0,-1902.0,2401902.0,-21600.0,-930.0,,,
1301,2014年01月01日至2014年09月30日,,20856731,20856731,,,5669158,427832,-1732,0.0,1168415,-364582,,-12071089,-21999,854.0,-214963,,-8053691.0,,,-240281,2053126,-449954,649913,-3032615,-584461,,-2458668,,-2458286,-4165250,59525,2495632,-289552.0,-4340863,-6799531,-14853222,6003509,331729,8371120.0,-931189,-707681,13067488,,-1177877.0,-6701506,24090,,,-6075942,0.0,,-696419.0,-10871389,,,,-16306859,-61879.0,,,-12097798,-2968944,4818,-768027,7672877,6904850,6904850,,-16058.0,-854396.0,,,4621856.0,-3099844.0,5984010.0,-6000000.0,24021598.0,-30028.0,,17068.0,-2400965.0,,-2627625.0,3776928.0,-1902.0,2401902.0,-21600.0,,,,
1301,2014年01月01日至2014年06月30日,,12798714,12798714,,,3787254,292396,-306,0.0,773965,-242264,,-8015556,-18607,854.0,37279,,-6028668.0,,,-66505,534177,-995160,322043,-1666728,-1010883,,-3181944,,-2138493,-678924,97265,2680734,-244084.0,-264919,-3446863,-9475531,3323183,257926,1447123.0,-912447,-700293,3415492,,-1162877.0,-4906455,20389,,,2176051,0.0,,-540800.0,-3037729,,,,-12038326,311976.0,,,-3450,-1699870,14411,-1307696,7672877,6365181,6365181,,-16058.0,-298888.0,,,-3620299.0,-3099844.0,5984010.0,-6000000.0,16678186.0,87877.0,,18583.0,-2400965.0,0.0,-2627625.0,3776928.0,,,,,,,
