公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收帳款－關係人（增加）減少,　　 處分無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 存入保證金增加,　　 發放現金股利,　　 處分子公司,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　　　　 其他營業資產（增加）減少,　　 持有至到期日金融資產到期還本,　　 取得子公司股權,　　 取得投資性不動產,　　 舉借長期借款,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分無形資產損失（利益）,　　　　　 應收票據（增加）減少
2454,2016年01月01日至2016年09月30日,,21645082,21645082,,,2238647,2901745,-78735,14559,404467,-1869927,-307808,129728,-649907,7104,74895,71172,,,,2247381,-7198311,337085,-11046147,-131011,-1288012,-17045577,,13457605,475866,2663940,-115099,,41386,16526934,-518643,2417795,24062877,1566407,307808,-416820,-2181594,23338678,,-6286456,5009943,,-1652687,131,37185,-2410972,-2406378.0,-5423498,53394,-61681.0,,-296101,0.0,13866.0,-14443623,,16042553,,,,0,1000488,-14171682,-4059014,-9335641,153279687,143944046,143446484,,,0.0,,0.0,189932.0,,,5351.0,-17201686.0,,,2936438.0,3236.0,-2128493.0,311686.0,78429.0,607237.0,-14184102.0,-731.0,165714.0,497562.0,498.0,-44991.0
2454,2016年01月01日至2016年06月30日,,13029675,13029675,,,1469592,1905743,-177444,36433,260518,-1265290,-209503,18919,-195043,4281,70640,71172,,,,1110785,-3590835,-118429,-8456650,-318190,-174753,-11469643,,13231234,414541,2634966,909627,,-25177,17164744,5695101,7685119,20714794,1105540,209503,-271020,-1590140,20168677,,-3100913,3174149,,-627484,0,0,-1630443,-2406378.0,-4038815,57370,-65537.0,0.0,-231743,0.0,8517.0,-9579850,,11301823,,,0.0,0,39031,-2542918,-1396106,6649803,153279687,159929490,159213927,,,0.0,,,12348.0,,,10330.0,,,,1990018.0,-447.0,-1369394.0,320300.0,78429.0,318904.0,-14184102.0,-731.0,290000.0,715563.0,,
2454,2016年01月01日至2016年03月31日,,5278187,5278187,,,725781,933013,-228457,-10966,134483,-617646,-102902,10505,-128151,3428,-17846,5257,,,,268464,679234,312356,-2879132,-153872,345415,-1349106,,6900736,-34354,-3337896,-520113,,-2234,3006857,1657751,2364250,7642437,579926,115249,-145755,-233420,7958437,,-984108,596545,,-362437,0,0,-48423,,-1874280,56046,-50579.0,0.0,-121655,0.0,3907.0,-3350724,,66178,,,-422.0,0,40813,106569,-2031141,2683141,153279687,155962828,155962828,,,0.0,,,0.0,,,,,,,706499.0,718.0,-893491.0,328482.0,78429.0,,,-731.0,,,,
2454,2015年度,,29368493,29368493,,,2076791,3056971,184018,136005,545218,-2817091,-478971,37279,-658079,13405,-1394606,851478,,,,-2072298,-866371,2075440,792360,162455,-489315,-414140,,226012,-37181,-4247755,1288894,,-26700,-2785569,-3199709,-1647291,27721202,3134028,787318,-533631,-7733039,23375878,,-10825598,6943493,,-1518260,33708,36340,-480926,-14922171.0,-9368345,21279,-18088.0,,-2025250,-30944.0,,-32781055,,2395130,,0.0,,30132,219387,-32009655,1897013,-39517819,192797506,153279687,153279687,,,-1773290.0,,280103.0,21824.0,,,15382.0,-34403228.0,,,1552418.0,11161.0,-2079078.0,2250587.0,-16411.0,673561.0,-266458.0,,,,,
2454,2015年01月01日至2015年09月30日,,24623511,24623511,,,1356624,2053785,-28545,74538,417076,-2238214,-366078,32302,-373626,6344,-1224250,851478,,,,-426072,-2822275,1856357,-11389931,-117797,-626089,-13525807,,3809013,97296,-6481084,962736,,-17336,-1620945,-15146752,-14585318,10038193,2531310,663445,-407494,-7613277,5212177,,-6906875,3913798,,-1198997,33721,29371,-459409,-1895647.0,-8379402,9182,-27537.0,,-1895402,-35297.0,0.0,-17744614,,10339590,,0.0,,30132,242032,-23788919,2639711,-33681645,192797506,159115861,159115861,,,-1773790.0,299121.0,248000.0,21864.0,,,2555.0,-34403228.0,,,561434.0,8430.0,-1578221.0,1850906.0,,,,,,,,
2454,2015年01月01日至2015年06月30日,,15549335,15549335,,,836576,1335519,-28018,-55570,254662,-1623035,-298173,33096,-218720,5841,-419467,851478,,,,2554711,417241,2019155,-11021248,-454293,-165823,-6650257,,4090420,26717,-5128998,308164,,-29701,-724892,-7375149,-6700960,8848375,1722405,378389,-189678,-6205072,4554419,,-3457035,1872910,,-379335,23964,27547,-285047,-1105005.0,-5976486,3861,,3121.0,-1766624,-30430.0,0.0,-12135998,,11330289,,0.0,-2941.0,29624,134489,11491461,-883178,3026704,192797506,195824210,195824210,,,-1254664.0,0.0,,20506.0,,,0.0,,,,674189.0,8506.0,-1330601.0,1497320.0,,,,,,,,
2454,2015年01月01日至2015年03月31日,,8142183,8142183,,,414281,640440,44311,-78395,155030,-815708,-48394,16760,-77716,481,-10039,56200,,,,1770021,-888098,2350299,-5643225,-137005,-126987,-2674995,,5189687,-144874,-4986432,-165633,,-21869,-115491,-2790486,-2493235,5648948,694732,63295,-132980,-274025,5999970,,-1384012,855847,,-75048,24219,7338,-40331,0.0,-4510686,2793,0.0,9086.0,-1451687,-32657.0,0.0,-6955301,,4773129,0.0,0.0,-1945.0,28076,59431,4858691,-557715,3345645,192797506,196143151,196143151,,,-753422.0,,,20725.0,,,,,,,297251.0,13630.0,-691197.0,1063731.0,,,,,,,,
2454,2014年度,,52349955,52349955,,,1312641,1453158,26806,40242,478782,-3125381,-238877,63935,-983941,2775,-928953,263372,-1635441.0,,,-3783596,-483221,-839604,-8836098,-711574,-309172,-14963265,,1883426,-1456969,11673202,-730994,62085.0,13932,11444682,-3518583,-5154024,47195931,2752253,355312,-485217,-5488505,44329774,,-4344406,827975,-1923564.0,-1857157,935500,41835,-204887,33097485.0,-9828126,105504,-35360.0,0.0,-795756,-1425.0,,17801767,,17109093,,-651000.0,,223003,560126,-6156784,3825023,59799780,132997726,192797506,192797506,0.0,959768.0,0.0,824381.0,0.0,0.0,,,50406.0,-23448412.0,0.0,,,,,,,,,,,,,
2454,2014年01月01日至2014年09月30日,,40567742,40567742,,,958315,1079725,14445,18461,342811,-2322611,-201049,49985,-777250,1561,-894939,263020,-1467526.0,,,-891016,-3637084,-979430,-11333860,-668324,-847946,-18357660,,8614475,-1381152,8621600,68398,23666.0,7885,15954872,-2402788,-3870314,36697428,2023564,303233,-307746,-4790762,33925717,,-3271101,411849,-622543.0,-1579285,930174,27482,-202396,33097485.0,-3073986,90747,,-159877.0,-182497,,,26513937,,14436372,,-651000.0,,208987,164835,-9243124,876089,52072619,132997726,185070345,185070345,0.0,411668.0,0.0,634620.0,0.0,0.0,0.0,1597.0,46094.0,-23448412.0,,,,,,,,,,,,,,
2454,2014年01月01日至2014年06月30日,,25654177,25654177,,,607225,694160,55325,32218,195526,-1427765,-116827,37878,-627471,1319,-701966,263020,-987358.0,,,722003,-1364205,-295569,-6170323,-824620,-344609,-8277323,,4713061,-348001,3781231,-105331,20566.0,8900,8070426,-206897,-1194255,24459922,1364147,201262,-179639,-3661695,22183997,,-299516,20941,-299564.0,-1101317,932241,19012,-125304,33097485.0,-1290118,67505,,12394.0,-192033,,,31204161,,5028046,,-651000.0,,62461,-262,4482769,-730522,57140405,132997726,190138131,190138131,0.0,102000.0,0.0,256223.0,0.0,0.0,0.0,4212.0,43524.0,,,,,,,,,,,,,,,
