公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 其他金融資產增加,　　 短期借款增加,　　 處分不動產、廠房及設備,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 其他金融資產減少,　　 存入保證金減少,　　 非控制權益變動,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產
2482,2014年度,,-14005,-14005,,,15860,4371,-1896,730,-711,-25,,18329,,,783.0,-32516.0,1061,509,-2317,-32480,,9093.0,20063,-19618,737,-104,10171,-22309,-3980,-17985,626,-726,-774,-18859,,-22642,-194,0,-3448,-52693,,,0,-5,6160,-65397,298671,233274,233274,,,-27835.0,,381.0,,,,,-5.0,0.0,1045.0
2482,2014年01月01日至2014年09月30日,,-23886,-23886,,,11474,3296,-1539,653,-520,-25,0.0,13339,,,690.0,5835.0,1142,5460,-6545,6582,,18655.0,29221,-25618,1063,263,23584,30166,43505,19619,484,-641,-825,18637,,-18482,329,0,-2799,-46006,,,0,-5,1830,-25544,298671,273127,273127,0.0,1045.0,-26480.0,,381.0,,,,,-5.0,,
2482,2014年01月01日至2014年06月30日,,-29418,-29418,,,7412,2267,-1938,421,-323,-25,0.0,7814,,,460.0,2169.0,1024,10595,5116,19364,,789.0,13662,-11828,-130,263,2756,22120,29934,516,291,-415,-774,-382,,-12171,-58,0,-2639,-38510,,,0,-5,213,-38684,298671,259987,259987,0.0,1045.0,-25068.0,,381.0,,,,,-5.0,,
2482,2014年01月01日至2014年03月31日,,-3742,-3742,,,3405,1232,-1224,216,-135,0,,3494,,,,15733.0,1058,-29166,2080,-10295,,,24051,-17502,-457,263,6355,-3940,-446,-4188,135,-216,-774,-5043,,-3485,-15,0,0,-13199,,,0,0,2757,-15485,298671,283186,283186,,1045.0,-10744.0,,,,,,,,,
2482,2013年度,,-7936,-7936,,,18714,5842,306,727,-595,47,,25041,,,-1115.0,21220.0,-1686,4451,-10059,12811,,573.0,-13822,-3156,-2116,-15549,-34070,-21259,3782,-4154,595,-727,-4643,-8929,,-2533,-24,9700,-1286,1794,,,27,27,3081,-4027,302698,298671,298671,,,-6112.0,,2049.0,,,,,0.0,-8600.0,8600.0
2482,2013年01月01日至2013年12月31日,,-7936,-7936,,,18714,5842,306,727,-595,47,,25041,,,,20105.0,-1686,4451,-10059,12811,,,-13249,-3156,-2116,-15549,-34070,-21259,3782,-4154,595,-727,-4643,-8929,,-2533,-24,9700,-1286,1794,,0.0,27,27,3081,-4027,302698,298671,298671,-8600.0,8600.0,-6112.0,,2049.0,0.0,0.0,0.0,0.0,,,
2482,2013年01月01日至2013年09月30日,,2111,2111,,,14644,4623,993,641,-435,47,774.0,21287,,,22703.0,,-76,-30169,-8022,-15564,,,18758,-20221,-696,-8393,-10552,-26116,-4829,-2718,435,-641,-3429,-6353,,-2359,-15,9700,-851,2647,,0.0,142,142,2068,-1496,302698,301202,301202,-8600.0,8600.0,-5876.0,,2048.0,,,,,,,
2482,2013年01月01日至2013年06月30日,,7066,7066,,,9847,3516,1001,425,-274,-9,-1061.0,13445,,,-1602.0,4718.0,-380,-2225,-10709,-10198,,11497.0,5093,-22488,-3002,-1844,-10744,-20942,-7497,-431,274,-425,-3410,-3992,,-1057,-20,9700,-600,1804,,0.0,142,142,3877,1831,302698,304529,304529,-8600.0,8600.0,-6219.0,0.0,,,,,,,,
2482,2013年01月01日至2013年03月31日,,6430,6430,,,4937,2055,-356,213,-146,-9,-1383.0,5311,,,-2214.0,12430.0,-2059,-19385,-8875,-20103,,682.0,10476,-27765,801,0,-15806,-35909,-30598,-24168,145,-210,-210,-24443,,-1044,-13,9700,-600,8043,,0.0,146,146,3164,-13090,331979,318889,318889,,,,,,,,,,,,
2482,2012年01月01日至2012年12月31日,,18983,18983,,,18603,26524,-4199,1149,-332,321,,42114,,,,607.0,-9777,22404,17856,31090,,,8683,-1775,-6451,527,984,32074,74188,93171,332,-1149,-8976,83378,,-17210,-121,0,-2179,-4296,,-20634.0,0,-20774,-6667,51641,251057,302698,302698,0.0,676.0,0.0,,0.0,48.0,9700.0,4838.0,-140.0,,,
