公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 採用權益法之被投資公司減資退回股款,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他金融資產減少,　　　　 股份基礎給付酬勞成本,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）
8081,2015年01月01日至2015年09月30日,,398962,398962,,,25791,18807,3382,-13300,-15885.0,-143,-1595,-18255,0.0,3317,2119.0,,,5488,-4039,34845,-9740,26554,,-80493,-19842,-829,-5922,68984,-38102,-11548,-9429,389533,13653,15885.0,-4870,-93616,320585,,-157319,9877,-50000,49223.0,9000.0,-10564,4657,4,-32731,0.0,111.0,0.0,-177742,,1480880,-1305970,6513,-514372.0,1877,-331072,6067,-182162,2668213,2486051,2486051,,,,,,,,,,,,,
8081,2015年01月01日至2015年06月30日,,222948,222948,,,17882,11715,2038,-10491,,-97,-1595,-18255,0.0,-26809,-25612.0,,,112135,2376,-15156,-3440,95915,,-61266,-36567,-1680,-4246,30584,-73175,22740,-2872,220076,10900,,-3354,-52686,174936,,-155134,9877,-50000,49223.0,9000.0,-8107,4606,8,-18645,111.0,,,-159061,,872520,-807540,942,,1877,67799,5357,89031,2668213,2757244,2757244,0.0,0.0,,,,,,,,,,,
8081,2015年01月01日至2015年03月31日,,132089,132089,,,9201,5862,973,-6184,,-53,0,-18255,0.0,-17293,-25749.0,,,94151,-657,-18808,-8238,66448,,12427,-44145,-1660,-1214,25300,-9292,57156,31407,163496,539,,-913,-563,162559,,-130481,9877,-50000,49223.0,,-3040,0,0,-18652,-11.0,,0.0,-143084,,378320,-337860,15,,1878,42353,551,62379,2668213,2730592,2730592,,,,,,,,,,,,,
8081,2014年度,,702194,702194,,,37478,7426,4632,-34215,-6600.0,-158,-3067,-21727,,-1658,,,,-86676,-1059,-101301,4194,-184842,,2319,-722,-1530,-8916,1540,-8476,-193318,-190134,512060,34093,6600.0,-4723,-125417,422613,,-139818,150356,0,19394.0,,-15969,26381,165,-16502,-111.0,,497.0,24073,,1937706,-1936776,9254,-484367.0,8844,-465339,9386,-9267,2677480,2668213,2668213,,,,21073.0,3184.0,0.0,0.0,-1167.0,-320.0,,,,
8081,2014年01月01日至2014年09月30日,,537116,537116,,,28089,3596,3423,-25386,-6600.0,-128,-3067,-15059,-9.0,-6956,-22097.0,,,-89551,-11858,-154678,-3875,-259962,,115057,-25667,-1392,-12817,103747,178928,-81034,-103131,433985,24997,6600.0,-3389,-118849,343344,,-19850,149438,0,0.0,0.0,-14660,26381,152,-16502,-320.0,0.0,497.0,125136,,1566996,-1456426,8306,-484367.0,8844,-356647,4592,116425,2677480,2793905,2793905,,,,,,,,,,,,,
8081,2014年01月01日至2014年06月30日,,327278,327278,,,18609,844,2164,-16461,,-67,-2698,-15059,-9.0,-7358,-20035.0,,,18597,597,-98546,4536,-74816,,56237,-37737,-3154,-9932,68000,73414,-1402,-21437,305841,15953,,-2189,-82716,236889,,-19850,149438,0,0.0,0.0,-9611,25000,157,-2671,-320.0,,,142640,,906476,-854156,3080,,8844,64244,-919,442854,2677480,3120334,3120334,497.0,0.0,,,,,,,,,,,
8081,2014年01月01日至2014年03月31日,,180978,180978,,,9100,379,895,-7209,,-9,-2698,-15590,-9.0,-8623,-23764.0,,,19623,285,-29910,2635,-7367,,24526,-44571,-477,-14438,39200,4240,-3127,-26891,154087,6845,,-943,-4746,155243,,-19850,130119,0,0.0,,-1730,25000,-53,-2672,-320.0,,497.0,130991,,334486,-340120,3080,,8845,6291,1019,293544,2677480,2971024,2971024,,,,,,,,,,,,,
8081,2013年度,,635511,635511,,,37299,37366,5229,-18974,-3377.0,-890,0,-6376,,8203,,,,223807,17709,116505,82,529804,,-68886,53018,-1434,13251,-25583,-31721,498083,556563,1192074,18770,3377.0,-5342,-76738,1132141,,-406498,688457,-77100,0.0,,-11767,0,65,-804,0.0,,26660.0,219013,,2094200,-2247315,8230,-608674.0,0,-753559,1960,599555,2077925,2677480,2677480,,,,0.0,58480.0,171701.0,-968.0,-1119.0,0.0,,,,
8081,2013年01月01日至2013年12月31日,,635511,635511,,,37299,37366,5229,-18974,-3377.0,-890,0,-6376,,8203,,,,223807,17709,116505,82,529804,,-68886,53018,-1434,13251,-25583,-31721,498083,556563,1192074,18770,3377.0,-5342,-76738,1132141,,-406498,688457,-77100,,,-11767,0,65,-804,,,26660.0,219013,,2094200,-2247315,8230,-608674.0,0,-753559,1960,599555,2077925,2677480,2677480,,,,,58480.0,171701.0,-968.0,-1119.0,,,0.0,0.0,0.0
8081,2013年01月01日至2013年09月30日,,485775,485775,,,27990,37039,4000,-14016,-3377.0,-816,0,-5483,7.0,8342,,,,93848,10014,92258,3741,361692,,60435,42010,-3432,1200,84206,183479,545171,598857,1084632,13894,3377.0,-4207,-76210,1021486,,-404476,357565,-77100,,,-11332,0,61,-743,,,26660.0,-109365,,1635710,-1636525,6754,-608674.0,0,-602735,-1936,307450,2077925,2385375,2385375,,,,,53686.0,161831.0,-940.0,,,0.0,,,
8081,2013年01月01日至2013年06月30日,,306767,306767,,,18503,24648,2608,-9170,,-802,0,-5103,0.0,-7485,,,,95163,11332,160936,6976,301319,,-31610,21687,-3809,-797,64438,49020,350339,373538,680305,8705,,-2726,-75702,610582,,-341122,354644,-32000,,,-6788,0,65,-662,,,0.0,-25863,,1097875,-1054200,1434,,0,45109,2357,632185,2077925,2710110,2710110,,,,,23199.0,26912.0,-889.0,,,0.0,,,
8081,2013年01月01日至2013年03月31日,,145894,145894,,,9114,12297,1266,-4215,,-737,0,-3833,0.0,-2288,,,,181318,-3073,90909,4094,275013,,-110187,7295,-5275,239,30700,-77356,197657,209261,355155,3992,,-1245,-4306,353596,,-11122,21234,-32000,,,-1861,0,57,-135,,,0.0,-23827,,515945,-524805,1435,,0,-7425,1640,323984,2077925,2401909,2401909,,,,,11604.0,1765.0,-128.0,,,0.0,,,
8081,2012年01月01日至2012年12月31日,,766083,766083,,,36542,52551,2028,-10214,-379.0,-4091,-600,-3835,,-11314,,,,209941,-13532,72414,-2443,95102,,28924,-121338,3037,-1934,76884,-14516,80586,145028,911111,10152,379.0,-1369,-67789,852484,,-779276,635958,0,,,-26379,2099,671,-23556,,,0.0,-181819,,1312226,-729151,0,-600100.0,2836,-14189,-471,656005,1421920,2077925,2077925,,,,,64442.0,-171278.0,968.0,-1057.0,,,3754.0,-16660.0,25324.0
