公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 收取之利息,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 其他非流動負債增加,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 償還長期借款,　　 現金增資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 其他項目
2722,2015年度,,201593,201593,,,23681,62289,4,-1018,1397,1249.0,87602.0,,,-1337,373,-1646,-4243,1732,-5121,,1036,5913,-5704,-556,386.0,1075,-4046,83556,285149,-41212.0,243937,,-9279.0,-78194,134,-17232,-41,-312.0,490,-34429.0,-138863,,-48.0,-44601.0,-4,-44653,60421,56803,117224,117224,,,,,,,,,,,,,,,
2722,2015年01月01日至2015年09月30日,,185015,185015,,,18149,46544,4,-681,1362,1249.0,66627.0,,,-4305,1138,-1306,-7729,-4597,-16799,,10583,-10727,-287,-439,289.0,-581,-17380,49247,234262,-41175.0,193087,,-8643.0,-74794,105,-16546,-41,-244.0,299,-34429.0,-134293,,-68.0,-44601.0,-4,-44673,14121,56803,70924,70924,0.0,,,,,,,,,,,,,,
2722,2015年01月01日至2015年06月30日,,78430,78430,,,11964,30857,3,-546,31,429.0,42738.0,,,-4714,1142,-875,312,-2433,-6568,,9878,-3985,29100,-720,193.0,34466,27898,70636,149066,-23776.0,125290,,,-93433,0,-10349,-41,,228,-34429.0,-134397,,-43.0,,-3,-46,-9153,56803,47650,47650,2356.0,1271.0,,,,,,,,,,,,,
2722,2014年度,,210582,210582,,,25361,57170,12,-1071,848,12.0,82332.0,,,-780,1200,-89,326,-850,-193,,-351,6682,16294,641,365.0,23631,23438,105770,316352,-30659.0,285693,,-260.0,-109484,49,-71577,-70008,-5.0,479,-28360.0,-279166,,-83.0,-59468.0,-12,-59563,-53036,109839,56803,56803,,,,,,,,,,,,,,,
2722,2014年01月01日至2014年09月30日,,197008,197008,,,18761,41809,10,-797,742,0.0,60525.0,,,-3078,2199,-92,-1812,-1788,-4571,,9154,-7197,13649,-202,315.0,15719,11148,71673,268681,-30551.0,238130,,0.0,-91761,49,-70404,-12410,-105.0,331,-28360.0,-202244,,-62.0,-59468.0,-10,-59540,-23654,109839,86185,86185,416.0,,,,,,,,,,,,,,
2722,2014年01月01日至2014年06月30日,,78654,78654,,,11729,25880,7,-545,712,0.0,37783.0,,,-6971,2312,-1541,2975,-773,-3998,,7818,-1907,32860,-327,283.0,38727,34729,72512,151166,-16777.0,134389,,,-74875,49,-68927,-12407,,232,-28360.0,-183681,,-41.0,,-7,-48,-49340,109839,60499,60499,412.0,195.0,,,,,,,,,,,,,
2722,2014年01月01日至2014年03月31日,,16031,16031,,,5637,11151,4,-266,4,,,,,-1749,991,-606,1133,-1157,-1388,,-1447,-20847,-11590,56,,-33686,-35074,-18544,-2513,,-2513,,,-23248,20,-28957,-103,580.0,105,,-51603,,,,-4,-25,-54141,109839,55698,55698,,,,16530.0,142.0,0.0,-21.0,,,,,,,,
2722,2013年01月01日至2013年12月31日,,174192,174192,,,24907,46162,19,-2155,2073,17906.0,,,,5658,-1203,-748,-281,-1481,1945,,1664,4674,12004,378,,19039,20984,109896,284088,-30281.0,253807,,,-84372,712,-89523,-441104,,1956,-28338.0,-186391,,-77.0,-56636.0,-19,-56732,10684,99155,109839,109839,,650.0,,88912.0,319.0,453628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2722,2013年01月01日至2013年09月30日,,185413,185413,,,18699,34508,15,-1644,540,,,,,2618,-1203,-577,-1485,-2651,-3298,,8376,-5042,-474,227,,3511,213,52331,237744,-30034.0,207710,,,-83850,230,-41269,-340666,-4607.0,1566,-28338.0,-40353,,,-56636.0,-15,-56709,110648,99155,209803,209803,,,,52118.0,424.0,456581.0,-58.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2722,2013年01月01日至2013年06月30日,,71646,71646,,,12353,22306,11,-1190,374,,,,,-4579,149,-855,3538,-2361,-4108,,7717,-382,31977,88,,39683,35575,69429,141075,-16466.0,124609,,,-12646,230,-40972,-340666,-14149.0,1236,-28338.0,21010,,,,-11,-48,145571,99155,244726,244726,,,,33854.0,283.0,456315.0,-37.0,0.0,,,0.0,0.0,0.0,,0.0
