公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 存入保證金減少,　　 發放現金股利,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 預付設備款增加,　　 存入保證金增加,　　　　 金融資產減損損失,　　　　 處分投資損失（利益）,　　 償還公司債,　　 員工執行認股權,　　　　　 其他營業資產（增加）減少,　　 以成本衡量之金融資產減資退回股款,　　 處分不動產、廠房及設備,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 股利收入,　　 收取之股利,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　 無活絡市場之債務工具投資到期還本,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 其他籌資活動,　　　　 處分其他資產損失（利益）,　　 處分以成本衡量之金融資產
3016,2016年01月01日至2016年09月30日,,25722,25722,,,169728,6601,0,-3567,1511,-300,3046,7277,,,,137134,-579,68098,-2529,7249,19961,1838,189189,,0.0,-19631,-63034,5193,,-86091,103098,285559,311281,300,-3792,,308051,,-147892,-30125.0,-413.0,-57296,,-49355.0,,-38096,1052,213711,276106,489817,489817,,-1518.0,,-1903.0,,,,,330.0,,12777.0,1333.0,,2762.0,,182461.0,-10564.0,-262.0,262.0,-33138.0,-10178.0,-133.0,-5833.0,2189.0,5722.0,-2387.0,117407.0,-1043.0,0.0,,4395.0
3016,2016年01月01日至2016年06月30日,,43603,43603,,,113802,4546,0,-2288,634,-251,2030,5719,,,,126736,-684,22408,-2437,-38318,7253,582,-7677,,-1500.0,2100,-28297,1521,,-15260,-22937,101015,144618,247,-2011,,142854,,-66408,-96.0,-413.0,47884,,-23458.0,,-12714,1119,179143,276106,455249,455249,,-1518.0,,-915.0,,,,,,,12262.0,1284.0,,1524.0,,123952.0,-9065.0,,,-86814.0,-37687.0,13874.0,-5136.0,1526.0,9717.0,-7165.0,117407.0,-1360.0,0.0,675.0,4395.0
3016,2016年01月01日至2016年03月31日,,12238,12238,,,58324,566,0,-1082,-119,-90,1015,2405,,,,30000,620,74235,7290,-26807,11177,-15431,84681,,-1500.0,-4507,-37012,2206,,-32409,52272,113291,125529,92,-1527,,124094,,-38321,-32.0,-413.0,72525,,-96581.0,,-87728,440,109331,276106,385437,385437,,-1506.0,,0.0,,,,,,,10359.0,1284.0,,0.0,,61019.0,-6348.0,,,10993.0,-8680.0,16865.0,-1242.0,1109.0,-1980.0,-1840.0,117407.0,-4276.0,0.0,,
3016,2015年度,,-14771,-14771,,,91028,2193,39,-1523,746,-599,0,9336,,,,-47733,380,-72178,-3994,-26563,70371,-3061,-82987,,852.0,-27712,9074,-1975,,-19761,-102748,433,-14338,599,-746,-1084.0,-15430,,-45639,-19.0,-138.0,-45164,,,,-10122,280,-70436,187843,117407,117407,,-724.0,-9398.0,0.0,,,,2100.0,0.0,0.0,0.0,-209.0,0.0,632.0,,103181.0,0.0,-139.0,139.0,,,,,,,,,,,,
3016,2015年01月01日至2015年09月30日,,25340,25340,,,67624,1716,0,-815,716,-523,0,6454,,,,-47977,464,-121813,-13063,-28392,69881,-10,-141107,,-629.0,6003,-3673,-1288,,413,-140694,-65522,-40182,523,-716,-977.0,-41352,,-41409,-22.0,-138.0,-41569,,,,-10122,388,-92655,187843,95188,95188,0.0,-724.0,-9398.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-197.0,0.0,,,75172.0,0.0,,,,,,,,,,,,,,
3016,2015年01月01日至2015年06月30日,,874,874,,,44132,1154,0,-5114,658,-366,0,4598,,,,54973,464,-15314,-2701,-51102,67596,-6,53725,,-648.0,12263,395,-872,,11337,65062,110124,110998,366,-658,-753.0,109953,,-34972,0.0,,-34944,,,,-723,-476,73810,187843,261653,261653,28.0,-723.0,,,199.0,,0.0,0.0,0.0,0.0,0.0,-185.0,,,,45062.0,0.0,,,,,,,,,,,,,,
3016,2015年01月01日至2015年03月31日,,-8079,-8079,,,21813,591,0,-3034,337,-154,0,1731,,,,21679,464,4579,-14317,-44089,71899,-3,40040,,-648.0,-1369,-9834,-582,,-12270,27770,49054,40975,154,-337,-804.0,39988,,-28199,0.0,,-29930,,,,-146,-161,9751,187843,197594,197594,9.0,-146.0,,,163.0,-1740.0,,,,,,-172.0,,,,21284.0,0.0,,,,,,,,,,,,,,
3016,2014年度,,17856,17856,,,89511,2577,-643,-17379,4548,-2376,1212,3820,88914.0,,,37696,-346,-21993,-112,7989,-2955,-10,17736,,18.0,22539,11831,-445,-3237.0,30706,48442,137356,155212,2376,-1201,-908.0,155479,,-76104,,-1082.0,-64991,,,,-291909,-765,-202186,390029,187843,187843,45.0,,,2018.0,,,3987.0,5880.0,-254.0,-299000.0,3104.0,-2533.0,10950.0,1200.0,,,,,,,,,,,,,,,,,
3016,2014年01月01日至2014年09月30日,,26933,26933,,,67998,2016,-370,-9685,4168,-1866,1212,2892,71990.0,,,48160,118,-37998,-6048,-8041,4363,-10,-2487,,1395.0,42123,11159,-1222,-2321.0,51134,48647,120637,147570,1866,-820,-924.0,147692,,-30339,,-521.0,-21083,,,,-295866,-244,-169501,390029,220528,220528,13.0,,,0.0,0.0,-1186.0,270.0,5880.0,-255.0,-299000.0,2864.0,-3031.0,10950.0,,,,,,,,,,,,,,,,,,
3016,2014年01月01日至2014年06月30日,,35815,35815,,,45286,1467,44,-3973,3746,-1550,1212,1906,53763.0,,,94730,-111,-80327,1074,-9747,8523,-6,14136,,-630.0,35931,13595,-975,-781.0,47140,61276,115039,150854,1550,-399,-482.0,151523,,-29123,-26.0,0.0,-29149,,,,-296723,345,-174004,390029,216025,216025,0.0,,,,,,253.0,5880.0,-255.0,-299000.0,2024.0,,,,,,,,,,,,,,,,,,,,
3016,2014年01月01日至2014年03月31日,,20977,20977,,,22540,772,44,-1710,2035,-817,1161,834,24859.0,,,-25425,-585,-9232,-6548,-4887,6376,-4,-40305,,-630.0,19194,3848,-572,-389.0,21451,-18854,6005,26982,817,-201,-540.0,27058,,-23375,-29.0,0.0,-23404,,0.0,,0,390,4044,390029,394073,394073,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
