公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 攤銷費用,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　 存入保證金增加,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 收取之股利,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 償還公司債,　　 取得以成本衡量之金融資產,　　　 收益費損項目,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 股份基礎給付酬勞成本,　　　　 其他項目
3376,2016年01月01日至2016年09月30日,,923936,923936,,,417696,66431.0,21790,-72648,,15420,0.0,,,,,-1439,694138,-32016,-311105,15922,-2161,363339,,3895,78130,-205528,,-25590,-149093,214246,678771,1602707,118122,-21333,-648020,1052726,,-1137845,30431,-2852,478,1297223,-401641,-214206,,5421377,-4973786,-267782,-288011,282727,2444932,2727659,2727659,,,,0.0,-1250.0,,1250.0,-471.0,-714902.0,0.0,,,,,464525.0,,7528.0,9558.0
3376,2016年01月01日至2016年06月30日,,602319,602319,,,261569,24703.0,14220,-55923,,12451,,,,,-32612.0,237,1047211,-18302,-205932,13516,0,804118,,288,-224489,-77598,,19619,-283621,520497,777517,1379836,80095,-13688,-352321,1093922,,-299681,23837,-2861,277,450767,-721433,-549094,,2124535,-1577124,546929,-157486,934271,2444932,3379203,3379203,,,,0.0,,,,-482.0,,0.0,,,,,257020.0,-1441.0,,
3376,2016年01月01日至2016年03月31日,,229643,229643,,,131225,32637.0,6908,-27829,,5832,,,,,-386315.0,957,895679,20052,-102478,-105240,0,322655,,-240,-220914,-154490,,-60796,-437160,-114505,34268,263911,27920,-6089,-23527,262215,,-73452,14034,-529,217,-22916,-77262,-159908,,1161457,-808263,352707,-35392,419622,2444932,2864554,2864554,,,,,,,,-487.0,,0.0,,,,0.0,148773.0,-720.0,,
3376,2015年度,,2109437,2109437,,,530172,-1036.0,13377,-111523,,97681,17149.0,,,,,17,-476528,8554,-44738,47295,-1762,-467162,,-16335,-47623,187130,0.0,66030,189202,-277960,350211,2459648,83295,-12988,-280719,2249749,,-457074,48639,-9757,13703,-106413,-2199772,-2710674,,1894184,-409042,765936,-53610,251401,2193531,2444932,2444932,2864.0,,,1089.0,-513.0,,513.0,-423.0,-714902.0,-4970.0,0.0,0.0,,80000.0,628171.0,,,
3376,2015年01月01日至2015年09月30日,,1554841,1554841,,,399387,,9894,-84255,,77720,17149.0,,,,,101,-42961,-13383,-19945,-37416,-1023,-114627,,-15413,-199362,-62228,0.0,4054,-272949,-387576,33025,1587866,62295,-10013,-272066,1368595,,-278525,29299,-9463,12735,-114850,-38441,-399245,,962959,-995735,-752567,99383,316166,2193531,2509697,2509697,1219.0,,,495.0,-513.0,,513.0,-414.0,-714902.0,-4970.0,0.0,0.0,,,420601.0,,,
3376,2015年01月01日至2015年06月30日,,946512,946512,,,272623,,6636,-55686,,32336,,,,,,-2096,290808,-4636,29596,-33144,318,280846,,-14279,-317205,-63066,0.0,2003,-392547,-111701,144806,1091318,43056,-6066,-166673,961635,,-222232,21742,-1908,3931,-316277,33200,-481544,,753838,-686665,62662,-120995,421758,2193531,2615289,2615289,598.0,,,502.0,,,,-43.0,,-4970.0,0.0,,,,256507.0,,,
3376,2015年01月01日至2015年03月31日,,474702,474702,,,136628,,3075,-27776,,15318,,,,,,56,99339,-20894,-56213,-9734,159,12713,,-6684,-87351,-164427,0.0,-2507,-260969,-248256,-100602,374100,27205,-1763,-16678,382864,,-35379,14836,-1828,1515,-378223,17429,-381650,,467475,-185576,276929,-49654,228489,2193531,2422020,2422020,409.0,,,,,,,,,-4970.0,0.0,,,20000.0,147654.0,,,
3376,2014年度,,1460323,1460323,,,499147,0.0,15156,-121086,0.0,52009,,446327.0,,,,-703,-104015,-11875,-60924,6224,-1068,-172361,,-11693,120216,86612,-214.0,4973,199894,27533,473860,1934183,88139,-16378,-246711,1759733,,-996445,217231,-18053,27277,-121351,-81217,-989707,,1416402,-1518505,-640414,180962,310574,1882957,2193531,2193531,1601.0,0.0,0.0,42.0,-500.0,,500.0,-277.0,-536176.0,,-1900.0,-17149.0,,,,,,
3376,2014年01月01日至2014年09月30日,,964817,964817,,,363588,0.0,10789,-71058,0.0,12877,,315696.0,,,,-1033,-64759,-55888,-68962,58964,-1214,-132892,,-16647,142003,-2613,-214.0,10017,132546,-346,315350,1280167,67011,-13728,-223254,1110696,,-345691,167318,-17310,4702,-380278,-415254,-1003513,,941688,-859820,-456483,35920,-313380,1882957,1569577,1569577,,0.0,0.0,0.0,-500.0,,500.0,-275.0,-536176.0,,-1900.0,-17000.0,,,,,,
3376,2014年01月01日至2014年06月30日,,611830,611830,,,248334,0.0,8545,-54251,0.0,17013,,219641.0,,,,-520,209281,-27695,-69222,68769,-1359,179254,,-20877,14405,16205,-214.0,5413,14932,194186,413827,1025657,50232,-9669,-111590,954630,,-275445,64498,-1742,4931,-382884,-148334,-738976,,735146,-735974,-3004,-98791,113859,1882957,1996816,1996816,,0.0,0.0,,,,,-276.0,,,-1900.0,,,,,,,
