公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　　 其他金融資產（增加）減少,　　 其他投資活動,　　 存入保證金減少,　　 發放現金股利,　　 處分採用權益法之投資,　　 存出保證金增加,　　 其他非流動資產減少,　　 其他籌資活動,　　　　 處分其他資產損失（利益）,　　　　 非金融資產減損損失,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　 收益費損項目,　　　　 金融資產減損迴轉利益,　　　　 收益費損項目合計,　　 處分投資性不動產,　　 其他非流動資產增加,　　 處分以成本衡量之金融資產,　　　　 投資性不動產公允價值調整損失(利益),　　 收取之股利,　　　　 股利收入,　　 應付短期票券減少
1536,2016年01月01日至2016年09月30日,,987127,987127,,,225841,2561,-11525,-8286,38650,-1745,-11536,115,0.0,0.0,,,,5780,-543,242424,-15429,57828,-28948,0.0,261112,,-12891,8064,-19383,-8140,-58923.0,-91273,169839,403914,1391041,2256,-38432,-312971,1041894,,0.0,0.0,0.0,-1028897,942,,-3719,,0.0,,,-1089851,,0.0,69931.0,50000.0,3946929,-3049177,,264191,-1759,214475,684584,899059,899059,0.0,,,0.0,0.0,0.0,-753492.0,,0.0,-37862.0,,0.0,,,,,234075.0,0.0,-4157.0,-30089.0,0.0,13931.0,,
1536,2016年01月01日至2016年06月30日,,709967,709967,,,147988,1716,-10504,-2796,34995,-1356,-4900,-101,,,,,,0,449,132869,12874,78802,-74043,0.0,150951,,-32308,-2702,37533,10432,-54050.0,-41095,109856,274898,984865,1865,-34436,-200833,751461,,,,,-512650,138,,-3541,,,,,-627562,,,-56259.0,30000.0,1908620,-1332837,,549524,2873,676296,684584,1360880,1360880,,,,,,,,,,39021.0,,0.0,,,,,165042.0,0.0,-120753.0,-29777.0,0.0,0.0,,
1536,2016年01月01日至2016年03月31日,,320966,320966,,,72360,1300,7423,2317,16158,-849,-886,0,,,,,,0,3974,-24505,634,33819,-22863,0.0,-8941,,-28666,-22983,-18674,5226,-55141.0,-120238,-129179,-31356,289610,1359,-15124,-9787,266058,,,,,-100643,0,,-2617,,-39891.0,,,-459637,,181630.0,0.0,30000.0,782774,-346955,,647449,-1622,452248,684584,1136832,1136832,,,,,-317696.0,,,,,987.0,,0.0,,,,,97823.0,0.0,,223.0,0.0,,,
1536,2015年度,,1331402,1331402,,,278328,7744,19981,13390,47176,-3771,-20738,-157,-2855.0,,,,,-181575,1402,-269542,12214,-78740,-24389,54999.0,-485631,,-35188,-132700,217264,-8109,35000.0,76267,-409364,-49281,1282121,3999,-46893,-171724,1067503,,-3421.0,0.0,-15785.0,-704665,7454,890.0,-2246,,,,,-1278910,,144313.0,,,3781280,-3059392,,342791,318,131702,552882,684584,684584,0.0,0.0,,,,,-493410.0,1510.0,,-572769.0,,0.0,,,,,360083.0,,,10122.0,,,20985.0,-30000.0
1536,2015年01月01日至2015年09月30日,,962869,962869,,,207703,4947,10742,11785,43794,-3134,-27485,-2740,0.0,0.0,,,,-184697,4681,-384671,45554,-117039,-42547,,-678719,,2500,-107735,210197,30556,31734.0,167252,-511467,-272435,690434,3326,-43300,-168734,481726,,0.0,0.0,-732.0,-616668,9970,,-598,,,,-396387.0,-952252,,247269.0,0.0,0.0,791368,-166728,,378499,3080,-88947,552882,463935,463935,0.0,,,,67968.0,0.0,-493410.0,,0.0,-37049.0,0.0,4539.0,,,,,239032.0,,,258.0,-11119.0,20986.0,,
1536,2015年01月01日至2015年06月30日,,545673,545673,,,135124,1955,3323,4868,27530,-2371,-17699,-1604,0.0,0.0,,,,-172767,-597,-241579,55786,-83093,-23730,4596.0,-461384,,-13902,-124400,231489,17311,30333.0,140831,-320553,-176007,369666,2150,-27412,-105882,238522,,0.0,0.0,0.0,-452305,2780,,-198,,,,,-654740,,58163.0,0.0,0.0,783433,-108832,,732764,-2212,314334,552882,867216,867216,0.0,,-11119.0,,-188919.0,0.0,0.0,,0.0,-16356.0,0.0,4539.0,,,,0.0,144546.0,,,258.0,,,,
1536,2015年01月01日至2015年03月31日,,240711,240711,,,68800,733,3378,-790,13235,-1576,-12118,-425,0.0,0.0,,,,-97585,162,-227808,63033,-13345,-36061,,-310802,,-24461,-272536,254399,23067,,-19531,-330333,-253119,-12408,1294,-13209,-1840,-26163,,0.0,0.0,0.0,-193902,1190,,-198,0.0,,,,-253699,,-32566.0,0.0,0.0,583000,-62005,,488429,-13546,195021,552882,747903,747903,0.0,-11119.0,12557.0,802.0,,0.0,0.0,,0.0,,,4539.0,,,,0.0,77214.0,69461.0,-130250.0,,,,,
1536,2014年度,,865626,865626,,,270762,6592,-27562,-459,48879,-1899,-27852,3426,12359.0,,266719.0,,,185,455,-38562,-69987,-118663,25439,-7712.0,-208845,,-221992,329262,68399,12383,-5263.0,182789,-26056,240663,1106289,1669,-48740,-98233,960985,,-104742.0,20178.0,-29914.0,-233799,3084,,-452,,,,,-604522,,25778.0,0.0,0.0,2263734,-2166285,,-171001,15397,200859,352023,552882,552882,,-6662.0,6895.0,,,0.0,-294228.0,0.0,14321.0,-273198.0,0.0,-17760.0,0.0,0.0,,,,,,,,,,
1536,2014年01月01日至2014年09月30日,,600226,600226,,,203643,5958,-25467,-459,37350,-809,-18702,3924,12358.0,,202975.0,,,185,-3253,-34896,3599,-81918,19319,,-96964,,-211423,268279,55358,-28742,-21953.0,61519,-35445,167530,767756,592,-36365,-106192,625791,,-104742.0,20178.0,-2487.0,-174198,2224,,-452,,,,-224800.0,-431260,,37516.0,0.0,,1651202,-1638161,,57336,36011,287878,352023,639901,639901,,-6662.0,-8159.0,,,0.0,6779.0,0.0,13680.0,39337.0,0.0,,,,,,,,,,,,,
1536,2014年01月01日至2014年06月30日,,373760,373760,,,136991,4259,-16948,-459,23833,-339,-13026,2402,-7.0,0.0,111044.0,,,185,-5257,22945,16911,-41438,27248,,58640,,-274439,272422,30103,-51350,-490.0,-23754,34886,145930,519690,339,-24121,-63496,432412,,,40.0,-1425.0,-150603,150,13511.0,-512,,,,-121063.0,-266946,,-41446.0,0.0,20000.0,35653,-774,,10708,-6121,170053,352023,522076,522076,4000.0,-6662.0,-23000.0,38046.0,-7044.0,0.0,-2725.0,,,,,,,,,,,,,,,,,
