公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款減少,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分其他資產損失（利益）,　　 預付設備款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 其他金融資產增加,　　 應付短期票券減少,　　 其他應付款－關係人增加,　　　　　 預付費用（增加）減少,　　 應收款項增加,　　 應付短期票券增加,　　 其他投資活動
9944,2015年01月01日至2015年09月30日,,189812,189812,,,140273,8623,7353,654.0,20842.0,-14431.0,2166,0,165480.0,,,-36644,29545,273,-8966,-9258,8059,0.0,-16991,,1108,-19939,-15782,-13758,62,-13702.0,-185,-62196,-79187,86293,276105,14293.0,-21220,-66418,202760,,-229677,6273,0.0,13630.0,786.0,-1745,0.0,5832.0,-1192,49942,-3764.0,-159915,,56007.0,0.0,0.0,-878,-4108.0,0.0,-11148,39873,-7210,75508,873255,948763,948763,,,,,,,,,,,,,
9944,2015年01月01日至2015年06月30日,,144325,144325,,,91733,4308,3850,286.0,13896.0,-9600.0,-863,0,103610.0,,,-31481,16901,6099,-55214,-9642,9533,0.0,-63804,,3879,-25156,-2031,-9107,-320,-11416.0,-123,-44274,-108078,-4468,139857,9034.0,-12282,-45240,91369,,-144579,2754,0.0,14519.0,779.0,-268,0.0,-60890.0,-1785,13150,0.0,-176320,,198650.0,,0.0,-309,-4108.0,,-11148,183085,-16039,82095,873255,955350,955350,0.0,0.0,0.0,,,,,,,,,,
9944,2015年01月01日至2015年03月31日,,70427,70427,,,45372,2165,-191,457.0,5851.0,-3732.0,-93,0,49829.0,,,-6762,12767,-1953,-97826,-37933,-15068,0.0,-146775,,3293,8914,-19648,-10938,-218,-2120.0,0,-20717,-167492,-117663,-47236,3726.0,-4609,-15834,-63953,,-85579,3144,0.0,11965.0,,-61,,1318.0,-668,11789,0.0,-58092,,196774.0,0.0,0.0,6218,-4108.0,,-9583,189301,-6504,60752,873255,934007,934007,,0.0,,,,,,,,,,,
9944,2014年度,,212033,212033,,,159835,9149,3177,-1358.0,30716.0,-14101.0,-4783,-6817,,,,-1369,24898,2505,-17538,-13157,-26906,,-31567,,2744,-103611,-11103,9265,-10686,,-239,-113630,-145197,32579,244612,15523.0,-25188,-17042,217905,,-403753,27855,-18155.0,,-11869.0,-5799,-500.0,80749.0,-1035,-61780,0.0,-394287,,,-45950.0,344715.0,604,0.0,-40282.0,-13892,249332,20237,93187,780068,873255,873255,,,,,1958.0,177776.0,0.0,0.0,4137.0,,,,
9944,2014年01月01日至2014年09月30日,,187660,187660,,,115986,6605,3604,-965.0,23353.0,-8098.0,-264,0,140221.0,,,875,90327,-4728,-8368,-32480,-43873,0.0,1753,,2062,-111465,-24440,2825,205,-6633.0,-178,-137624,-135871,4350,192010,10144.0,-20792,-28240,153122,,-171237,9590,0.0,-14676.0,-11408.0,-77,-500.0,66021.0,-291,-168845,0.0,-291423,,-109061.0,0.0,344715.0,305,0.0,0.0,-13892,222067,4405,88171,780068,868239,868239,,,,,,,,,,,,,
9944,2014年01月01日至2014年06月30日,,146800,146800,,,75584,4713,1961,-1352.0,14682.0,-4451.0,-1844,0,89293.0,,,-3163,-25463,1213,2390,-30545,-12183,0.0,-67751,,14331,-75510,-3253,19887,269,278.0,-119,-44117,-111868,-22575,124225,5357.0,-14519,-15813,99250,,-124866,8979,0.0,715.0,-11199.0,0,-500.0,69981.0,0,-39510,0.0,-96400,,-319673.0,,344715.0,300,0.0,,-13892,11450,-4067,10233,780068,790301,790301,0.0,0.0,0.0,,,,,,,,,,
9944,2014年01月01日至2014年03月31日,,71935,71935,,,37792,2465,-1779,-595.0,5851.0,-1402.0,-1442,0,40890.0,,,3049,51284,-9,5642,-23419,-8759,0.0,27788,,23399,-94027,-27596,-10586,-674,70.0,0,-109414,-81626,-40736,31199,3005.0,-6265,1366,29305,,-65118,8224,0.0,806.0,,0,,128904.0,0,-23738,0.0,49078,,-366939.0,0.0,344715.0,295,0.0,,-13892,-35821,6403,48965,780068,829033,829033,,0.0,,,,,,,,,,,
9944,2013年度,,173759,173759,,,157401,9858,-2295,0.0,29791.0,-15382.0,-3807,1057,,,,9736,-179867,4129,-79753,-15708,-7879,,-269342,,-20718,179664,52582,5394,915,,11632,229469,-39873,138304,312063,17201.0,-26713,-23150,279401,,-292220,56536,-164.0,,0.0,-123,-230.0,0.0,-4957,17467,-65796.0,-333637,,,-47910.0,0.0,263,0.0,-20141.0,-15112,-112900,7534,-159602,939670,780068,780068,,,,,1554.0,178177.0,-44150.0,-30000.0,0.0,,,,
9944,2013年01月01日至2013年09月30日,,154557,154557,,,116250,6399,-11057,0.0,20546.0,-9887.0,-2966,828,,,,19942,-107173,7344,-68132,-44266,-8512,-41586.0,-242383,,-2207,60751,34031,12644,6183,,11643,123045,-119338,775,155332,11706.0,-19842,-28287,118909,,-122374,18492,-163.0,,0.0,-48,0.0,,-7039,8397,-65780.0,-168515,,,-81126.0,0.0,516,,-20141.0,-15112,-115863,6118,-159351,939670,780319,780319,,,,,,120113.0,,,,,,,
9944,2013年01月01日至2013年06月30日,,129535,129535,,,78003,4268,-4609,0.0,13119.0,-6700.0,-336,662,,,,23479,-163564,4801,-49416,-29205,-6609,21112.0,-199402,,17841,55838,13330,-1327,6348,,11750,103780,-95622,-11215,118320,9702.0,-12654,-7001,108367,,-62878,5331,0.0,-283.0,0.0,-47,0.0,,-14845,1298,-56618.0,-128042,,,-41769.0,0.0,524,,,-15112,-56357,12581,-63451,939670,876219,876219,0.0,0.0,0.0,,,84407.0,,,,,,,
