公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 應收帳款－關係人（增加）減少,　　　　　 負債準備增加（減少）,　　 退還（支付）之所得稅,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產減少,　　 預付設備款減少,　　 短期借款減少,　　　　 股份基礎給付酬勞成本,　　　　 處分無形資產損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 發行公司債,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 發放現金股利,　　 現金增資,　　　　 處分投資損失（利益）,　　　　 其他項目,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　　　 處分採用權益法之投資損失（利益）,　　　　　 應收票據－關係人（增加）減少,　　　　 處分投資性不動產損失（利益）,　　 採用權益法之被投資公司減資退回股款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少)
4119,2014年01月01日至2014年03月31日,,79948,79948,,,34442,111,,-104,-460,3802.0,331,40615.0,,,3171.0,-28842,18513,378,2102,2461,580,0.0,-1637,,653,-8136,-1548,37857,87,-12452.0,15882,14245,54860,134808,460,1902,134625,,-94538,-33013.0,-110910,,75000.0,,-31000,-80.0,-7365,677204,669839,669839,,1491.0,,,-579.0,-2545.0,,,,,16505.0,-106000.0,1002.0,,136.0,,,,,,,,,,,,,,,,,
4119,2013年度,,193780,193780,,,122513,470,,103,-590,12167.0,676,172397.0,,,105.0,24807,-22098,-113626,-1428,2035,-1051,9307.0,-101949,,-1336,824,18959,1535,97,-152.0,20264,-81685,90712,284492,590,-3681,238571,,-690369,-82659.0,-815963,,106000.0,1516.0,1231322,,653930,23274,677204,677204,0.0,2834.0,1673.0,,337.0,-42830.0,846.0,-500.0,,9964.0,,-35024.0,32426.0,82.0,-120000.0,597000.0,,-132170.0,694000.0,-51.0,94.0,45051.0,22.0,,,0.0,,,21682.0,,,
4119,2013年01月01日至2013年12月31日,,193780,193780,,,122513,470,0.0,103,-590,12167.0,676,172397.0,,,105.0,24807,-22098,-113626,-1428,2035,-1051,9307.0,-101949,,-1336,824,18959,1535,97,-152.0,20264,-81685,90712,284492,590,-3681,238571,,-690369,-82659.0,-815963,,106000.0,1516.0,1231322,0.0,653930,23274,677204,677204,,2834.0,1673.0,,337.0,-42830.0,846.0,-500.0,0.0,9964.0,,-35024.0,32426.0,82.0,-120000.0,597000.0,0.0,-132170.0,694000.0,-51.0,94.0,45051.0,22.0,0.0,21682.0,,,,,,,
4119,2013年01月01日至2013年09月30日,,148599,148599,,,89278,359,,-135,-19,9294.0,579,134512.0,,,4365.0,-6579,-4335,-61721,69,4924,-6529,9307.0,-60499,,-2811,4015,3843,1310,102,213.0,6682,-53817,80695,229294,19,-3631,182469,,-645936,-65223.0,-820823,,,1517.0,1132223,881.0,494750,23274,518024,518024,,1085.0,1536.0,,10.0,-43213.0,846.0,-500.0,0.0,9990.0,,-28124.0,32453.0,82.0,-120000.0,597000.0,0.0,-132170.0,694000.0,,,,,,,,,,,,,
4119,2013年01月01日至2013年06月30日,,121302,121302,,,56656,248,,0,-11,5534.0,89,62519.0,,,5834.0,-1557,-689,-49452,-1843,5439,-723,-448.0,-43439,,1993,-19346,-2116,15256,9,144.0,-3933,-47372,15147,136449,11,-2408,111694,,-556222,,-639533,,,505.0,536454,1527.0,10142,23274,33416,33416,,3.0,0.0,0.0,127.0,-22358.0,1110.0,-500.0,0.0,-480.0,-83441.0,535949.0,,,,,,,,,,,,,,,,,,,,
4119,2013年01月01日至2013年03月31日,,64578,64578,,,28321,126,0.0,160,-1,1942.0,541,31089.0,,,854.0,-6535,-209941,-28961,-1238,3131,-216,9307.0,-233599,,3429,-19423,-13179,1073,21,75.0,-28004,-261603,-230514,-165936,1,-560,-166495,,-335221,-10726.0,-345947,,517126.0,0.0,517126,395.0,5079,23274,28353,28353,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,2012年01月01日至2012年12月31日,,238811,238811,,,111591,467,-144.0,0,-115,6786.0,295,119657.0,,,1165.0,-13413,-767,17585,-582,-4763,5,2780.0,2010,,360,10512,39151,14650,-342,1048.0,65867,67877,187534,426345,115,-297,387530,,-135939,-44959.0,-181159,,1108379.0,3092.0,-215589,104.0,-9114,32388,23274,23274,,228.0,549.0,,488.0,-38633.0,22.0,0.0,13.0,0.0,,-1249272.0,0.0,0.0,0.0,0.0,-66.0,-77722.0,0.0,0.0,0.0,0.0,64.0,-360.0,0.0,,,,,,,
4119,2012年01月01日至2012年09月30日,,172192,172192,,,83684,341,,0,-62,4668.0,444,89746.0,,,2273.0,21495,-1570,66419,-1495,111,-1102,949.0,87080,,-885,-17939,19471,-242,-70,238.0,799,87879,177625,349817,62,-763,314789,,-97177,-31164.0,-128503,,,2385.0,-167533,-714.0,18039,32388,50427,50427,,228.0,443.0,,226.0,-34327.0,129.0,0.0,10.0,-301.0,,-92130.0,0.0,0.0,0.0,0.0,-66.0,-77722.0,0.0,,,,,,,,,,,,,
4119,2012年01月01日至2012年06月30日,,111589,111589,,,55204,178,,-66,-61,2722.0,261,58230.0,,,-2332.0,-11544,-470,55937,-100,-592,-277,736.0,34445,,-2751,-19794,-2404,1769,79,147.0,-22911,11534,69764,181353,61,-466,165478,,-72606,,-82567,,,545.0,-94373,-497.0,-11959,32388,20429,20429,,121.0,-129.0,-6913.0,43.0,-15470.0,129.0,0.0,3.0,-419.0,-9674.0,-94918.0,,,,,,,,,,,,,,,,,,,,
4119,2012年01月01日至2012年03月31日,,67987,67987,,,27046,79,-504.0,-66,-1,1086.0,324,27964.0,,,916.0,-3884,-81,65910,1878,-272,-420,389.0,64436,,-674,-25878,-13738,2078,134,85.0,-37993,26443,54407,122394,1,-557,121838,,-49345,14571.0,-34774,,-72418.0,545.0,-71873,-382.0,14809,32388,47197,47197,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
