公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券減少,　　　　　 應付票據－關係人增加（減少）,　　 其他金融資產增加,　　 其他非流動資產增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分子公司,　　 現金增資,　　　　　 應付建造合約款（增加）減少,　　 發行公司債,　　 其他非流動負債減少,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 存入保證金增加
5522,2015年01月01日至2015年09月30日,,5799678,5799678,,,34744,7678.0,-23868,187066,-8190,-458317,0.0,0.0,32184.0,-228703.0,,,-536432,-202901,0.0,468898,-626869,143677,-843968,330136,23681,-581389.0,-1825167,,-80372,-1813648,-72374,762641.0,116937,-438719,0,-1208764,-40524,2155.0,-2772668,-4597835,-4826538,973140,8190,-675044,-870309,-564023,,0.0,-240000.0,-2060,-338,0.0,44427.0,50047.0,0.0,-147924,,1082461.0,2957889.0,-1996980.0,0,-45000,0.0,965.0,-3175737.0,0.0,-1176402,43587.0,-1844762,2368089,523327,523327,,,,,,,,,,,,,,,,,
5522,2015年01月01日至2015年06月30日,,4451290,4451290,,,23124,3008.0,-20338,122175,-7541,-489254,,0.0,32184.0,-336642.0,,,-1679175,-94761,-96198.0,531357,-441008,137130,-48951,279662,22742,-792299.0,-2181501,,-97788,-1697760,-245586,683687.0,174515,-390961,0,-784272,-60188,7945.0,-2410408,-4591909,-4928551,-477261,7541,-391654,-561271,-1422645,,0.0,-240000.0,-2014,0,,6718.0,10657.0,0.0,-224639,,-717349.0,,-1996980.0,0,-30000,,951.0,,0.0,862648,-61730.0,-846366,2368089,1521723,1521723,3606026.0,,,,,,,,,,,,,,,,
5522,2015年01月01日至2015年03月31日,,1836219,1836219,,,11541,1655.0,-19418,64738,-1678,-114971,,,32099.0,-26034.0,,,187,-171454,0.0,504449,-807013,142731,-88961,170355,71645,235899.0,57838,,1256092,-1132639,136659,394136.0,-79340,-51861,0,544425,-35102,3977.0,1036347,1094185,1068151,2904370,1678,-198571,-54713,2652764,,,,-1248,0,,,,0.0,-491862,,,,-1995979.0,0,-15000,,28.0,,,-3107102,-2371.0,-948571,2368089,1419518,1419518,-82430.0,0.0,-500279.0,9665.0,-1013721.0,,,,,,,,,,,,
5522,2014年度,,6101522,6101522,,,43753,8860.0,55661,98388,-10594,-479152,-523476.0,-4236.0,3089.0,,,,373,53944,21610.0,-489824,-224245,-167,-13422924,-393339,14296,-660696.0,-15100972,,-1460651,4362088,630065,7837.0,17813,-856771,-511,2082829,103549,1149.0,4887397,-10213575,-11005768,-4904246,10594,-923664,-1028238,-6845554,,4486.0,-180000.0,-1475404,-5357254,913879.0,,30170.0,42300.0,-6030370,,7952742.0,390995.0,-49985.0,3370000,-60000,,544.0,-1253149.0,4406992.0,14758139,76714.0,1958929,409160,2368089,2368089,,,-13873.0,,,,15514.0,0.0,-792193.0,5326.0,0.0,,,,,,
5522,2014年01月01日至2014年09月30日,,3274710,3274710,,,33115,1608.0,57108,65018,-5545,174142,-483027.0,-1213.0,3089.0,-155705.0,,,1585,63623,21610.0,-99756,366663,22876,-8731666,-396096,-499,71427.0,-8680233,,-1569416,226577,99550,143291.0,-147323,-436657,-506,1067225,144478,509.0,-472272,-9152505,-9308210,-6033500,5545,-657095,-959549,-7644599,,1296.0,-60000.0,-1409036,-2331731,841990.0,-13283.0,12000.0,42300.0,-2916464,,7036209.0,527370.0,-49985.0,2020000,-45000,150000.0,2129.0,-1253149.0,2135000.0,10522574,-5290.0,-43779,409160,365381,365381,,,,,,,,,,,,,,,,,
5522,2014年01月01日至2014年06月30日,,2209259,2209259,,,21920,998.0,52861,-29351,-4967,108864,,-1213.0,3089.0,152201.0,,,1585,-4619,21610.0,29011,14727,40412,-5449314,-343672,-1863,605039.0,-5087084,,-1618194,-264503,-49968,-5467.0,-116333,-476378,-155,145513,24696,232.0,-2360557,-7447641,-7295440,-5086181,4967,-415080,-613667,-6109961,,1296.0,0.0,-805237,-1356592,,36717.0,21061.0,42300.0,-2060455,,6590305.0,,-49985.0,1300000,-30000,,170915.0,,560000.0,8470477,-69150.0,230911,409160,640071,640071,-70758.0,,,,,,,,,,,,,,,,
5522,2014年01月01日至2014年03月31日,,1416463,1416463,,,10755,382.0,-26356,9255,-511,88971,,,3089.0,85585.0,,,136,29944,-102588.0,32366,82531,92812,-2872396,-60765,9758,-172661.0,-2960863,,-1502512,-794573,-25714,2763.0,9539,-277771,-180,-152866,-37910,-118.0,-2731042,-5691905,-5606320,-4189857,511,-191032,-75769,-4456147,,,,-214674,-744468,,,,42300.0,-589578,,,,-49985.0,600000,-15000,,2.0,,,5055771,-23000.0,-12954,409160,396206,396206,-7575.0,48300.0,327305.0,-41.0,4528329.0,,,,,,,,,,,,
5522,2013年度,,7714048,7714048,,,40154,1028.0,31779,132774,-9402,-11497,31028.0,0.0,0.0,,,,2114632,107280,-21610.0,380555,-436518,-79044,-11162073,-1332591,14168,-2250980.0,-12666181,,1588748,1386981,216338,5467.0,583983,1462854,-1101,718143,124227,863.0,6086503,-6579678,-6351629,1362419,9402,-707392,-1387390,-722961,,0.0,-124113.0,-567369,-2159423,21281.0,,7117.0,0.0,-1818652,,-2387192.0,918721.0,0.0,2750000,-40000,,-14315.0,-2701538.0,451029.0,2176705,15000.0,-349908,759068,409160,409160,,,1003855.0,,,,0.0,12185.0,228049.0,0.0,3200000.0,,,,,,
5522,2013年01月01日至2013年12月31日,,7714048,7714048,,,40154,1028.0,31779,132774,-9402,-11497,31028.0,,,,,,2114632,107280,-21610.0,380555,-436518,-79044,-11162073,-1332591,14168,-2250980.0,-12666181,,1588748,1386981,216338,,583983,1462854,-1101,718143,124227,863.0,6086503,-6579678,-6351629,1362419,9402,-707392,-1387390,-722961,,,-124113.0,-567369,-2159423,21281.0,1003855.0,7117.0,,-1818652,,,918721.0,,2750000,-40000,,,-2701538.0,451029.0,2176705,15000.0,-349908,759068,409160,409160,,,,,-2387192.0,,,12185.0,228049.0,,3200000.0,5467.0,0.0,-14315.0,,,
5522,2013年01月01日至2013年09月30日,,5416725,5416725,,,29461,554.0,-17915,141897,-5445,112972,31028.0,0.0,0.0,,,,1741221,95020,0.0,297777,-230405,37959,-4766527,-926225,-320244,-1175830.0,-5247254,,103391,148944,119859,26629.0,-162608,750974,-1060,762783,430464,652.0,2180028,-3067226,-2762489,2654236,5445,-527618,-1179094,952969,,0.0,0.0,-451203,-1516787,21281.0,,2492.0,0.0,-1602254,,-682265.0,273479.0,0.0,2750000,-30000,400000.0,-14088.0,-2700016.0,236008.0,233118,0.0,-416167,759068,342901,342901,,,341963.0,,,,,12185.0,304737.0,,,,,,,,
