公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 折舊費用,　　 存出保證金增加,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　 備供出售金融資產減資退回股款,　　 處分以成本衡量之金融資產,　　 取得投資性不動產,　　 舉借長期借款,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 金融資產重分類淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 以成本衡量之金融負債增加（減少）,　　 庫藏股票買回成本,　　 停業單位稅前淨利（淨損）,　　 其他非流動負債增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 預付投資款增加,　　　　　 應付建造合約款（增加）減少
6205,2015年01月01日至2015年09月30日,,219699,219699,,,1698,75,-11043,2.0,-2466,0.0,-18903,1762,18768.0,-41550.0,0.0,0.0,56,-51601.0,,,43692.0,4073,153067,542,38069,30708,0.0,-7209,262942,,-1640,-108751,3513,-38070,-720,1198,282,-144188,118754,67153,286852,2420,13505.0,-2.0,-60494,242281,,-30600,17542,58631,-23924,0.0,1310.0,0,-1720.0,0.0,21239,,5000.0,-5000.0,0.0,0.0,-259.0,-158046.0,-7097,-165402,1947,100065,776751,876816,876816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2015年01月01日至2015年03月31日,,58190,58190,,,557,-57,2356,,-430,,-3021,16,,-2863.0,,,1117,4783.0,,,176.0,1779,111088,-5342,29211,-7540,,-8599,120773,,-5386,-42415,5715,-30128,-595,266,169,-72374,48399,53182,111372,430,,,-4172,107630,,-3046,0,6229,-10248,,,-932,,,-7168,,,,0.0,-19.0,,,-7143,-7162,3182,96482,776751,873233,873233,7108.0,829.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年度,,328897,328897,,,3405,2025,-26173,676.0,-5299,,-19591,226,,-37504.0,,,6115,,,,26225.0,-524,-118865,-2721,-30092,2567,,-46590,-170000,,-11578,101112,1072,26571,1594,3778,364,122913,-47087,-69451,259446,4751,11513.0,-676.0,-42484,232550,,-9320,77109,4786,-141751,698.0,,-3045,,1174.0,-70349,,,,-8750.0,17.0,,-107759.0,6739,-109753,5786,58234,718517,776751,776751,38389.0,,,,15367.0,-22364.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年01月01日至2014年09月30日,,249170,249170,,,2475,1730,-13115,235.0,-3669,-1001.0,-14126,193,30382.0,-37504.0,0.0,0.0,5931,-28469.0,,,4725.0,2085,-81726,2833,3503,-15718,0.0,-32577,-116875,,-13433,84490,2350,16561,792,3735,954,95449,-21426,-49895,199275,3121,12513.0,-235.0,-38879,175795,,-9320,77109,4786,-139654,514.0,0.0,0,-2470.0,3242.0,-65793,,105000.0,0.0,-8750.0,113.0,0.0,-107759.0,6194,-5202,1328,106128,718517,824645,824645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年01月01日至2014年03月31日,,77466,77466,,,750,-422,-10152,,-997,,-4199,0,,-1851.0,,,3638,-2443.0,,,8921.0,-299,-27075,-2911,-21672,-12813,,-4748,-60597,,-20171,42848,184,-2148,-131,6256,343,27181,-33416,-35859,41607,997,,,-3506,39098,,-511,7485,4779,-5801,,,-523,,,-28477,,,,-834.0,231.0,,,5,-598,-449,9574,718517,728091,728091,10790.0,4394.0,-38300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2013年度,,178473,178473,,,2834,452,-3970,0.0,-3742,,-16548,3042,,-9892.0,,,10414,,,,-59665.0,8928,67989,-7629,19750,-11850,,12320,31273,,-43707,17673,-6194,-6190,497,5601,-2133,-34453,-3180,29034,207507,3742,12564.0,0.0,-41278,182535,,-55431,29412,3325,-32389,0.0,,-2311,,-5510.0,-85120,,,,-1250.0,-294.0,,-86207.0,-24502,-102253,1362,-3476,721993,718517,718517,49624.0,,,,0.0,32214.0,1430.0,627.0,25124.0,-47967.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2013年01月01日至2013年12月31日,,178473,178473,,,2834,452,-3970,,-3742,,-16548,3042,,,,,10414,,,,-59665.0,8928,67989,-7629,19750,-11850,,12320,31273,,-43707,17673,-6194,-6190,497,5601,-2133,-34453,-3180,29034,207507,3742,12564.0,,-41278,182535,,-55431,29412,3325,-32389,0.0,,-2311,,,-85120,,0.0,,-1250.0,,,-86207.0,-24502,-102253,1362,-3476,721993,718517,718517,49624.0,,-5510.0,,,32214.0,1430.0,627.0,25124.0,-47967.0,10000.0,,,,,-9892.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,-294.0,0.0,,
6205,2013年01月01日至2013年09月30日,,149181,149181,,,1301,-92,-125,31.0,-2777,-2493.0,-11418,2363,,-9046.0,,,5252,,,,-30110.0,9246,-12083,-8203,14289,-14098,,5017,-35784,,-38664,40674,-5313,-13568,841,6358,916,-8756,-44540,-23313,125868,2777,15057.0,-31.0,-38991,104680,,-27336,23528,3325,-19931,0.0,,-1239,,-4743.0,-49239,,0.0,,-472.0,-131.0,,-86207.0,-4422,-83232,215,-27576,721993,694417,694417,38231.0,,,,,21227.0,158.0,,25124.0,-47967.0,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2013年01月01日至2013年06月30日,,100250,100250,,,865,1,0,0.0,-2025,0.0,-7784,0,0.0,-8683.0,0.0,0.0,4136,,,,,7782,-12087,-2290,5102,-5827,,-31556,-38788,,-45421,25181,-4852,212,988,15210,612,-8070,-46858,-33897,66353,2025,0.0,0.0,-22664,45714,,-21266,18643,3325,-13270,0.0,,-1090,,,-43886,,1472.0,,,,,,-4412,-3222,408,-986,721993,721007,721007,26451.0,,-7385.0,,0.0,12961.0,88.0,,25124.0,-47967.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,-282.0,,,
6205,2013年01月01日至2013年03月31日,,48532,48532,,,428,4,0,0.0,-892,0.0,-6158,0,0.0,-437.0,0.0,0.0,1934,,,,0.0,8434,-5150,-855,5632,-6327,0.0,-1342,728,,-41373,-19373,-449,-16820,769,2385,-176,-75037,-74309,-65412,-16880,892,,,-993,-16981,,-9625,7468,0,-7057,0.0,,-810,,,-15316,,,,0.0,245.0,,,220,465,418,-31414,721993,690579,690579,14018.0,-5292.0,0.0,,0.0,8897.0,336.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
