公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金減少,　　 應付款項減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 預付設備款減少,　　 短期借款減少,　　 舉借長期借款,　　　　 金融資產減損損失,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 發行公司債,　　 存入保證金增加,　　 處分無活絡市場之債券投資
2022,2015年01月01日至2015年09月30日,,-458548,-458548,,,274192,16625,-2913,-81313,101834,-4210,-17524,8226,57250.0,352167.0,,,-26305,-43418,223475,-23812,584158,20016,5368,19625.0,759107,,-14023,-60088,-195893,-4058,0,65764,6232,541.0,8264.0,-193261,565846,918013,459465,3938,-101765,-1759,359879,,-12749.0,-288741,30098,492.0,-4921.0,57596.0,-941.0,-219166,,260915.0,239401.0,-343975.0,-4305.0,17,0.0,-107031,45022,221669,407404,447926,855330,855330,,,,,,,,,,,,,,
2022,2015年01月01日至2015年06月30日,,-232017,-232017,,,185091,11020,-2703,-12215,59745,-3186,-9892,3013,54414.0,285287.0,,,-3096,-21620,124611,-559,534151,-29895,4346,19066.0,627004,,-12206,-21490,-192453,-19722,0,55026,7376,185.0,,-183284,443720,729007,496990,3427,-76285,-2718,421414,,51511.0,-212512,23313,,-4955.0,,-758.0,-127801,,,0.0,,-4421.0,356,,-113739,-398259,172335,67689,447926,515615,515615,35.0,15565.0,-532546.0,252091.0,,,,,,,,,,
2022,2015年01月01日至2015年03月31日,,-111975,-111975,,,96231,5587,-939,20713,31334,-1646,-4498,3788,,192000.0,,,1319,-31869,108963,-1083,207088,-47140,3665,15986.0,256929,,20558,-10932,-92016,-30447,0,69300,2533,527.0,,-40477,216452,408452,296477,1416,-32911,-1820,263162,,25036.0,-123469,0,-212.0,-15.0,20434.0,-49.0,-78275,,359988.0,,,-4411.0,-2702,,-5756,-1091,-64838,118958,447926,566884,566884,,,,-348210.0,41430.0,0.0,,,,,,,,
2022,2014年度,,51939,51939,,,307330,19650,2020,-44998,113341,-15993,-12337,1659,0.0,,,,29179,15802,-251835,-9315,-413828,-104550,-29545,-17279.0,-781371,,-7195,53594,263288,-251592,-5529,10666,-3140,,0.0,63806,-717565,-346893,-294954,16402,-109854,-13303,-401709,,,-1238862,45240,-722.0,-3967.0,-2130.0,-888.0,-1319391,,359603.0,-49988.0,,,-1726,0.0,32180,915282,-70633,-876451,1324377,447926,447926,,,,576412.0,,,,370672.0,3714.0,-118062.0,0.0,0.0,-1199.0,
2022,2014年01月01日至2014年09月30日,,68489,68489,,,222431,16506,-1352,-15409,78192,-6704,-12909,3218,0.0,283973.0,,,11832,-6380,-4517,-39339,-338008,-82766,929,216.0,-458033,,-4767,22520,105607,-295380,-3733,38659,-3224,104.0,0.0,-140214,-598247,-314274,-245785,7063,-76516,-11670,-326908,,28117.0,-766180,30654,-451.0,-1385.0,57127.0,0.0,-652118,,658360.0,-49988.0,-99429.0,-5907.0,-1080,0.0,-9764,492192,-16679,-503513,1324377,820864,820864,,,,,,,,,,,,,,
2022,2014年01月01日至2014年06月30日,,66397,66397,,,144471,11305,-731,-3418,52784,-4557,-8652,3258,0.0,194460.0,,,32525,15708,-81133,-40945,226370,-8224,-3806,551.0,141046,,-3339,-5652,-127022,-87885,-4504,22428,-1447,59.0,,-207362,-66316,128144,194541,5160,-127845,-8372,63484,,-39648.0,-488816,20060,,-1101.0,,0.0,-460780,,,-49988.0,,-3638.0,-438,,-38598,-188019,23213,-562102,1324377,762275,762275,-350.0,49075.0,-386629.0,291272.0,,,,,,,,,,
2022,2014年01月01日至2014年03月31日,,58240,58240,,,74567,5350,-171,-11852,26408,-2374,-4263,4201,,91866.0,,,26499,38085,-3102,-10764,80168,38350,3026,-1766.0,170496,,-3823,11519,494186,-333252,-5529,34024,-1089,845.0,,196881,367377,459243,517483,1984,-35750,-4683,479034,,5548.0,-348640,4492,-602.0,-999.0,31292.0,0.0,-308909,,-568037.0,,,-4338.0,-561,,-8945,-359970,-25956,-215801,1324377,1108576,1108576,,,,221991.0,0.0,-80.0,,,,,,,,
2022,2013年度,,-523554,-523554,,,319268,24467,-18290,2328,107277,-10621,-13182,30615,84404.0,,,,-12625,-34097,-14230,8118,888593,57380,12405,4188.0,909732,,-10210,-41321,-436358,361574,-18131,-56629,-11086,,0.0,-216661,693071,1219337,695783,10517,-132195,-3730,570375,,,-2122365,16711,10618.0,-3288.0,436302.0,-2821.0,-1782499,,362110.0,49988.0,,,-644,0.0,14132,1705452,-55035,438293,886084,1324377,1324377,,,,978049.0,,,,526266.0,-4500.0,-108251.0,-9405.0,300000.0,1817.0,
2022,2013年01月01日至2013年12月31日,,-523554,-523554,,,319268,24467,-18290,2328,107277,-10621,-13182,30615,84404.0,,,,-12625,-34097,-14230,8118,888593,57380,12405,4188.0,909732,,-10210,-41321,-436358,361574,-4625,-56629,-11086,,0.0,-216661,693071,1219337,695783,10517,-132195,-3730,570375,,,-2122365,16711,10618.0,-3288.0,436302.0,-2821.0,-1782499,,362110.0,49988.0,,,-644,0.0,14132,1705452,-55035,438293,886084,1324377,1324377,,,,978049.0,,,,526266.0,-18006.0,-108251.0,-9405.0,300000.0,1817.0,
2022,2013年01月01日至2013年09月30日,,-240185,-240185,,,256022,21915,-17750,1013,83415,-7009,-12222,16629,3187.0,,,,-16983,-39678,16366,-233991,850611,151016,-16233,2356.0,713464,,14952,-16921,-261204,37198,-6698,-25943,-10727,,-935.0,-287559,425905,771105,530920,6378,-111850,1716,427164,,,-1305590,8917,11406.0,0.0,260233.0,-1011.0,-1131079,,510091.0,50000.0,,-3963.0,-5072,0.0,4157,1233943,-36640,493388,886084,1379472,1379472,,,,378730.0,,,,345200.0,-17281.0,-95629.0,-9405.0,300000.0,,
2022,2013年01月01日至2013年06月30日,,-130267,-130267,,,162904,12184,-15149,-12894,55232,-5498,-7586,2738,2840.0,,,,-8639,-36726,-43876,-229437,98986,6998,-5,1144.0,-211555,,7997,18439,-497280,6279,-6414,-8191,288063,,,-208482,-420037,-225266,-355533,5247,-58087,3639,-404734,,,-811651,10498,,0.0,179957.0,,-735892,,875777.0,49998.0,,-3964.0,-5072,,36610,998138,-44898,-187386,886084,698698,698698,11635.0,,,44789.0,,,,194771.0,-17375.0,-116926.0,-9405.0,,,
2022,2013年01月01日至2013年03月31日,,76503,76503,,,78893,5154,-3657,-6296,25698,-2056,-6719,590,,,,,2106,-53917,-166286,-241701,-694841,106396,-4416,-411.0,-1053070,,-2705,16233,-580220,28999,-5405,24466,570797,,0.0,34708,-1018362,-926755,-850252,1135,-25684,4205,-870596,,,-234309,6805,,0.0,-145353.0,,-439904,,1025977.0,,,-3984.0,-5072,,0,1095891,142939,-71670,886084,814414,814414,11078.0,,,78970.0,,0.0,,91607.0,-17457.0,-68720.0,-9405.0,,,
2022,2012年01月01日至2012年12月31日,,-443825,-443825,,,330989,25807,-10884,42254,111544,-11297,-10160,4178,38726.0,,,,-26046,15618,29680,8136,292599,-120632,51953,2784.0,254092,,-6217,28373,218225,-60128,-11960,65317,5638,,-154.0,235790,489882,1011039,567214,11337,-111910,-6912,459729,,,-229234,110550,-11671.0,-780.0,-404511.0,0.0,-615808,,122357.0,-49875.0,,,3097,-31335.0,-60735,141978,-3415,-17516,903600,886084,886084,,,,-139530.0,,,,521157.0,-3304.0,-80162.0,0.0,300000.0,-2001.0,
2022,2012年01月01日至2012年09月30日,,-341136,-341136,,,258722,19234,-10712,-3105,84491,-6896,-13289,-668,0.0,,,,4626,-5046,20644,-2988,801721,22923,40418,,882298,,3297,27635,-45940,-41099,-3542,58490,15665,,-154.0,11700,893998,1221775,880639,6891,-87954,-3735,795841,,,-75957,1612,112.0,-225.0,-313609.0,0.0,-383570,,-442952.0,-49875.0,,-5984.0,-1975,-31335.0,-45539,-349044,-36499,26728,903600,930328,930328,,,,-71384.0,,,,327777.0,-2652.0,4497.0,0.0,300000.0,,
