公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 其他應付款－關係人減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 舉借長期借款,　　 其他應付款－關係人增加,　　 員工購買庫藏股,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他金融資產增加,　　 償還公司債,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 備供出售金融資產減資退回股款,　　　　 買回應付公司債損失（利益）,　　 非控制權益變動,　　　　　 其他營業資產（增加）減少
2387,2015年01月01日至2015年09月30日,,701412,701412,,,634416,14800,-6152.0,-38,16363,-16227,0.0,1292,24909,0,1445.0,0.0,0,670808.0,,,1743,-487346,28999,-195576,13864,-27038,10337.0,-655017,,-6994,-51865,78352,77417,331,97241,-557776,113032,814444,14968,-25146,-153947,650319,,0.0,13914.0,-329258,4633,-16616,0.0,-86415.0,-413742,,113171,-425900,-25885.0,-54477.0,-122121.0,10849.0,-504363,123874,-143912,2343111,2199199,2199199,,,,,,,,,,,,,,,
2387,2015年01月01日至2015年06月30日,,304815,304815,,,408046,9926,-6152.0,-3354,11533,-10608,0.0,1292,20126,1445,,0.0,0,432254.0,,,1860,383844,-21329,-65488,-3163,-16891,5333.0,284166,,-6999,-315877,-4938,14127,497,-313190,-29024,403230,708045,9891,-13542,-96886,607508,,0.0,13914.0,-197363,4554,-16346,-51271.0,-25770.0,-272282,,-43779,-250900,,,-64224.0,10849.0,-367940,-122331,-155045,2343111,2188066,2188066,0.0,0.0,-19886.0,0.0,,,,,,,,,,,
2387,2015年01月01日至2015年03月31日,,164891,164891,,,201169,4757,0.0,-1138,7817,-4427,0.0,731,6110,0,,0.0,0,215019.0,,,2391,514408,3471,32876,13636,-11674,,492127,,-2279,-526498,-86378,-24954,326,-639783,-147656,67363,232254,3337,-8659,-49692,177240,,0.0,,-80890,255,-1615,151485.0,11286.0,80521,,-68620,-218850,,0.0,-64224.0,5950.0,-350790,-25359,-118388,2343111,2224723,2224723,0.0,0.0,-5046.0,0.0,-62981.0,0.0,,,,,,,,,
2387,2014年度,,986756,986756,,,718291,14830,-14797.0,-831,41755,-15385,2431.0,6111,36891,-9197,,0.0,0,,,,2534,123449,58389,-183163,103403,-104416,,70829,,-5,-165699,-148003,18370,-2293,-297630,-226801,553298,1540054,17278,-53031,-229100,1275201,,39689.0,,-292751,28202,-62887,,-59938.0,-500460,,562259,-587538,,-54287.0,-5279.0,602.0,16511,1731,792983,1550128,2343111,2343111,0.0,0.0,76387.0,24367.0,70633.0,,,780099.0,-152775.0,,,,,,
2387,2014年01月01日至2014年09月30日,,671028,671028,,,531254,10072,0.0,161,33842,-11590,0.0,2968,32956,-9197,0.0,0.0,0,590466.0,,,2766,-473122,-36145,-226094,80183,-11485,59919.0,-603978,,-1498,-117424,46392,35975,386,-36169,-640147,-49681,621347,60128,-70475,-100961,510039,,39689.0,0.0,-155921,17841,-53072,-148024.0,-29697.0,-329184,,241206,-309725,0.0,0.0,-5279.0,0.0,-73798,-44310,62747,1550128,1612875,1612875,,,,,,,,,,,,,,,
2387,2014年01月01日至2014年06月30日,,302774,302774,,,351691,6379,0.0,-4890,22818,-9405,0.0,1262,11554,0,,0.0,0,379409.0,,,905,-107912,-5481,-59325,62085,-11488,40022.0,-81194,,1203,-447088,-105785,31494,378,-519798,-600992,-221583,81191,19747,-31078,-53253,16607,,0.0,0.0,-94475,14465,-50514,0.0,-21407.0,-151931,,65705,-261188,,,0.0,0.0,-195483,-44374,-375181,1550128,1174947,1174947,0.0,0.0,0.0,0.0,,,,,,,,,,,
2387,2014年01月01日至2014年03月31日,,81395,81395,,,176424,3231,0.0,-70,12070,-2873,0.0,320,316,0,,13942.0,0,203360.0,,,-1338,56185,21078,-42054,26348,-105705,,-25469,,-6083,-469523,-58036,-15310,-5,-548957,-574426,-371066,-289671,13941,-19881,-28988,-324599,,0.0,,-48274,5881,-15361,0.0,-14306.0,-72060,,241679,-99088,,0.0,0.0,0.0,142591,-1283,-255351,1550128,1294777,1294777,0.0,0.0,0.0,0.0,20017.0,0.0,,,,,,,,,
2387,2013年度,,198368,198368,,,587872,21764,0.0,-2936,31707,-16135,0.0,1529,89269,-2134,,0.0,0,,,,3963,-902479,17249,191353,19176,50474,,-540130,,-5915,832086,-433796,7080,-371,399084,-141046,569890,768258,16970,-95349,-97109,592770,,0.0,,-758422,47415,-11112,,-38523.0,-760642,,117919,-1143375,,-54055.0,0.0,242.0,176514,9489,18131,1531997,1550128,1550128,0.0,1232503.0,0.0,23280.0,80134.0,,,710936.0,0.0,,,,,,
2387,2013年01月01日至2013年12月31日,,198368,198368,,,587872,21764,0.0,-2936,31707,-16135,,1529,89269,-2134,,0.0,972,,,,3963,-902479,17249,191353,19176,50474,,-540130,,-5915,832086,-433796,7080,-371,399084,-141046,570862,769230,16970,-95349,-97109,593742,,,,-758422,47415,-11112,0.0,0.0,-760642,,117919,-1143375,,-54055.0,0.0,242.0,219528,-34497,18131,1531997,1550128,1550128,0.0,1232503.0,,23280.0,80134.0,-38523.0,,711908.0,,0.0,,0.0,0.0,43014.0,
2387,2013年01月01日至2013年09月30日,,175596,175596,,,427340,16222,0.0,-2456,25512,-14286,,1437,6484,-536,,8819.0,0,,,,5781,-602811,-11413,219232,93904,-4488,,-249676,,-5238,581814,-83166,-66242,1571,428739,179063,647599,823195,14286,-25303,-71001,741177,,0.0,,-696596,47800,-1201,-100524.0,-3832.0,-754353,,223629,-73560,,,0.0,,-64931,86377,8270,1531997,1540267,1540267,0.0,275000.0,,,50119.0,0.0,,468536.0,,-490000.0,,,,,
