公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債券投資,　　 非控制權益變動,　　 存入保證金增加,　　 發放現金股利,　　　　 股利收入,　　 存出保證金增加,　　 收取之股利,　　 存出保證金減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 取得採用權益法之投資,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 短期借款增加
3515,2015年01月01日至2015年09月30日,,216498,216498,,,9415,1004,2437.0,-51525,0.0,,,,-160570,491403,40797,371630,,840,430757,57466,51226,,541606,913236,887485,1103983,-37596,1066387,,0.0,,-17545,-10238,,,68902,1988441,,,-2437.0,-119084.0,144484,3080228,610033,3690261,3690261,,3520.0,,-460167.0,,-2874.0,,0.0,12918.0,0.0,,,-25751.0,1317.0,,1950196.0,340000.0
3515,2015年01月01日至2015年06月30日,,148621,148621,,,6159,333,1166.0,-40937,0.0,,,,87907,1140932,29538,1258377,,1260,-386593,-49070,-10705,,-418904,839473,814697,963318,-6928,956390,,0.0,,-6657,-238,,,44086,-619092,,,-1166.0,402354.0,-91380,648272,610033,1258305,1258305,,3520.0,,,,,,-434.0,8503.0,0.0,,,-24776.0,26204.0,0.0,-655849.0,400000.0
3515,2015年01月01日至2015年03月31日,,90397,90397,,,3115,190,,-16518,,,,,117824,627084,-13875,731033,,0,-313356,-65575,26070,,-352084,378949,369830,460227,-4852,455375,,,,-1341,-238,,,28289,308032,,,,3520.0,-41203,725724,610033,1335757,1335757,,3520.0,,,,,,987.0,4094.0,,,,-9119.0,777.0,0.0,280335.0,
3515,2014年度,,567365,567365,,,18304,1240,,-85008,-34807.0,-86451.0,,,-12528,-283614,-11723,-307865,,-420,-767236,-111631,-14725,1828.0,-892184,-1200049,-1286500,-719135,-120595,-839730,,47865.0,0.0,-151766,-2143,,,98839,212948,,,,-1101639.0,212218,-1516203,2126236,610033,610033,248444.0,0.0,,-1101639.0,0.0,1889.0,0.0,,13786.0,-30180.0,34.0,,,,,,
3515,2014年01月01日至2014年09月30日,,422836,422836,,,14210,1034,,-67492,-34807.0,-79316.0,,,-95938,-137393,-66581,-299912,,420,-663034,-53170,-40562,1371.0,-754975,-1054887,-1134203,-711367,-124745,-836112,,47865.0,0.0,-146748,-2143,,,69591,255650,,,,-1101639.0,70105,-1611996,2126236,514240,514240,316768.0,0.0,,-1101639.0,,497.0,,,7739.0,-30180.0,,,,,,,
3515,2014年01月01日至2014年06月30日,,269962,269962,,,8712,723,,-45540,-34807.0,-67915.0,,,203762,-100004,-62121,41637,,840,-630721,-72261,-37614,914.0,-738842,-697205,-765120,-495158,-57960,-553118,,47865.0,-557159.0,-139058,-1000,,,29547,-648998,,,,0.0,5952,-1196164,2126236,930072,930072,,0.0,,,,0.0,,987.0,2997.0,-30180.0,,,,,,,
3515,2014年01月01日至2014年03月31日,,288495,288495,,,4371,445,,-20800,0.0,-15984.0,,,-10633,215434,17627,222428,,-420,-487212,-29339,-2515,458.0,-519028,-296600,-312584,-24089,8060,-16029,,0.0,-608351.0,-6236,-1000,,,13450,-601159,,,,,77129,-540059,2126236,1586177,1586177,,,,,,,,978.0,,,,,,,,,
3515,2013年度,,1267141,1267141,,,6101,5602,,-65867,-8239.0,-63153.0,,,-68811,161828,-11364,81653,,-713,268133,27020,-66618,-530.0,227292,308945,245792,1512933,-183296,1329637,,55182.0,-1991323.0,-26650,-5489,,,35082,-1932723,,,,-861583.0,84695,-1379974,3506210,2126236,2126236,0.0,58750.0,,-920333.0,-750.0,-275.0,750.0,,0.0,0.0,0.0,,,,,,
3515,2013年01月01日至2013年12月31日,,1267141,1267141,,,6101,5602,0.0,-65867,-8239.0,-63153.0,,,-68811,161828,-11364,81653,,-713,268133,27020,-66618,-530.0,227292,308945,245792,1512933,-183296,1329637,,55182.0,-1991323.0,-26650,-5489,,,35082,-1932723,,0.0,0.0,-861583.0,84695,-1379974,3506210,2126236,2126236,0.0,58750.0,,-920333.0,-750.0,-275.0,750.0,,,,,,,,,,
3515,2013年01月01日至2013年09月30日,,1011274,1011274,,,3747,4535,0.0,-45305,-8239.0,-45262.0,,,-251407,695469,29209,473271,,-42,-213881,18769,-63330,-760.0,-259244,214027,168765,1180039,-173753,1006286,,55182.0,-1956752.0,-8365,-5489,-925.0,,22084,-1894265,,0.0,0.0,-861583.0,57064,-1692498,3506210,1813712,1813712,,58750.0,0.0,-920333.0,,,,,,,,,,,,,
