公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 取得採用權益法之投資,　　 存出保證金增加,　　 應付短期票券增加,　　 發放現金股利,　　 員工執行認股權,　　　　 股份基礎給付酬勞成本,　　 存入保證金增加,　　 庫藏股票買回成本,　　　　 非金融資產減損迴轉利益
2316,2015年01月01日至2015年03月31日,,395631,395631,,,80931,585,-489,10390,-18232,40429,-341,-363564.0,19478,12642,-218171.0,,,0,176618,-21843,13366,-116459,34908,835,87425,,-204923,-23424,-91852,-9998,2156,2462.0,-325579,-238154,-456325,-60694,-14026,-74720,,-15200,0,511177.0,-101908,341,0.0,0.0,25242,17400,437052,,300445.0,0.0,0,-88070,-10,-11037,201328,-14740,548920,2033906,2582826,2582826,,,,,,,,,,,,,,,
2316,2014年度,,419308,419308,,,339446,10482,-1993,36811,-65789,9670,-6040,,99903,86359,,,,66,-219790,-7566,2503,-318877,-28869,-1268,-573801,,284966,25250,112245,-82845,3196,,353480,-220321,288761,708069,-86155,767332,,-845460,1034224,,-290473,8010,,0.0,363078,56070,325449,,,-240693.0,1050000,-734163,-11536,-42179,-233867,87185,946099,1087807,2033906,2033906,,233.0,509082.0,0.0,10668.0,145418.0,0.0,0.0,0.0,-255296.0,0.0,,,,
2316,2014年01月01日至2014年09月30日,,276939,276939,,,253417,8391,-1673,27042,-48699,13616,-3651,,103636,73239,,,,66,-174100,-10153,12034,-420081,-22138,-591,-614963,,191332,9957,32536,-46003,2403,,198104,-416859,8459,285398,-74466,356350,,-845460,1034224,,-228754,4829,0.0,0.0,369763,42455,377057,,,-82951.0,875000,-571624,-7924,-31408,-74203,36688,695892,1087807,1783699,1783699,,,425318.0,0.0,7879.0,145418.0,0.0,,0.0,-255296.0,0.0,,,,
2316,2014年01月01日至2014年06月30日,,203954,203954,,,166815,4367,-1233,17579,-33077,-30459,-563,,71788,39898,,,,66,55320,-4241,23454,-246592,-11808,-2156,-185957,,131089,-2761,-2285,-25178,1924,,108758,-77199,157916,361870,-60360,301510,,-742260,704933,,-145168,1743,0.0,,390681,30718,240647,,,-90768.0,470000,-178323,-3529,-20618,176762,-31753,687166,1087807,1774973,1774973,,,235115.0,0.0,5969.0,0.0,0.0,,0.0,,0.0,,,,
2316,2014年01月01日至2014年03月31日,,98104,98104,,,82182,1595,-600,8216,-15805,-27867,-798,0.0,27670,14575,89168.0,,,-74,48856,-2763,-898,-163716,-8437,-611,-127643,,53574,-4450,-7388,-4520,3605,2966.0,43787,-83856,5312,103416,-14741,88675,,-342290,416354,0.0,-88959,1033,0.0,0.0,5782,17362,9282,,0.0,-67528.0,150000,-70299,-3372,-10086,-1285,-503,96169,1087807,1183976,1183976,,,,,,,,,,,,,,,
2316,2013年度,,332477,332477,,,346431,8624,-4322,33688,-39285,-204941,-1198,,59686,57915,,,,175,297702,83957,3496,-112464,-27842,-1719,243180,,-262952,-1591,-7512,-39359,2949,,-302867,-59687,196911,529388,-35512,759408,,-1900810,2142257,,-514471,12982,,-466929.0,0,30380,-754594,,,-353805.0,348400,-193431,-3761,-39235,-273523,51338,-217371,1305178,1087807,1087807,,0.0,256598.0,-125.0,5598.0,265532.0,-57984.0,-19.0,30000.0,-63778.0,2087.0,,,,
2316,2013年01月01日至2013年12月31日,,332477,332477,,,346431,8624,-4322,33688,-39285,-204941,-1198,,59686,57915,,,,175,297702,83957,3496,-112464,-27842,-1719,243180,,-262952,-1591,-7512,-39359,2949,,-302867,-59687,196911,529388,-35512,759408,,-1900810,2142257,,-514471,12982,0.0,-466929.0,0,30380,-754594,,,-353805.0,348400,-193431,-3761,-39235,-273523,51338,-217371,1305178,1087807,1087807,,,256598.0,-125.0,5598.0,265532.0,-57984.0,-19.0,30000.0,-63778.0,2087.0,0.0,0.0,0.0,
2316,2013年01月01日至2013年09月30日,,270390,270390,,,260706,6214,-3371,25474,-26328,-216717,-1726,,42185,31183,,,,-167,334282,88423,8044,-143703,-41314,-2368,243071,,-127365,-6346,-28250,-16801,13458,,-160291,82780,200400,470790,-33091,703231,,-1490164,1572141,,-370328,12355,21.0,-155799.0,0,24120,-465638,,,-406244.0,348600,-145454,-3829,-29334,-267952,73570,43211,1305178,1348389,1348389,,,117620.0,-126.0,5013.0,265532.0,-57984.0,,30000.0,-63778.0,2087.0,,,,
2316,2013年01月01日至2013年06月30日,,129688,129688,,,171510,4193,-2134,17074,-16255,-144353,-3055,,26402,17583,,,,-127,431193,83520,8957,-14250,-25417,-1167,482585,,-328720,-6053,-63824,-12512,14830,,-392273,90312,161277,290965,-33416,523081,,-1078650,920059,,-242495,2869,21.0,,70767,14473,-370940,,,-200439.0,200000,-97203,-3686,-19831,-89734,78441,140848,1305178,1446026,1446026,,,70965.0,-124.0,4006.0,265532.0,-57984.0,,30000.0,,1425.0,,,,
2316,2013年01月01日至2013年03月31日,,38855,38855,,,84595,217,-1145,8511,-8042,-64704,-2754,,20325,1246,,,,-573,309797,56312,-4932,-19075,1499,-519,342509,,-275822,-8055,-57359,-435,11724,,-327427,15082,53331,92186,-5063,87123,,-337950,515551,,-143864,2878,21.0,-49922.0,0,6202,-7084,,6017.0,0.0,50000,-18418,-3721,-9692,25138,49030,154207,1305178,1459385,1459385,,,38249.0,,2520.0,,,,,,952.0,,,,
