公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 短期借款減少,　　 償還公司債,　　 庫藏股票買回成本,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 金融資產減損損失,　　　　 其他項目,　　 存入保證金減少,　　 應付短期票券增加,　　 處分無活絡市場之債券投資
6164,2015年01月01日至2015年09月30日,,65209,65209,,,57455,5772,938,3970,-4180,8211,-718,71448.0,,,-37156,41298,63984,11713,79839,,61.0,-52813,9623,8355,-197.0,-34971,44868,116316,181525,4245,67.0,-18893,166944,,-1527691.0,1510746,-100000.0,40718,-1230.0,-76906,20,-121.0,-380,0.0,28586.0,0.0,3390.0,-122868,,32000.0,66260.0,0,-97,-100558.0,-3871,926.0,-5340,17037,55773,418970,474743,474743,,,,,,,,,,,,,,
6164,2015年01月01日至2015年06月30日,,51462,51462,,,37652,3973,-1386,2444,-3281,986,-226,40162.0,,,-2788,-19076,15920,7410,1466,,0.0,-8638,2889,6830,209.0,1290,2756,42918,94380,3042,,-9924,87498,,-870113.0,881184,-10000.0,10226,-1230.0,-45094,16,-77.0,0,0.0,24832.0,-914.0,0.0,-11170,,0.0,,-2487,-64,,-2405,0.0,-17956,-19869,38503,418970,457473,457473,0.0,-13000.0,0.0,0.0,,,,,,,,,,
6164,2015年01月01日至2015年03月31日,,17072,17072,,,18912,2021,-1201,1184,-1675,755,0,19996.0,,,-44767,46193,869,4956,7251,,,6792,-17719,2483,65.0,-8379,-1128,18868,35940,751,,-2787,33904,,-343613.0,390746,,0,,-32693,0,-17.0,0,-5931.0,,0.0,3348.0,10610,,,,-1240,-31,,-1170,0.0,-5441,-7419,31654,418970,450624,450624,,-3000.0,,,-1230.0,,,,,,,,,
6164,2014年度,,175244,175244,,,74328,8312,509,3399,-5491,-5272,6833,,,,6667,-63663,-31654,-1627,-90277,,0.0,31046,-1953,-4771,,22920,-67357,15225,190469,4772,36.0,-49604,145673,,-1491335.0,1382175,-45000.0,68414,,-42542,18479,,-510,-13453.0,0.0,-2679.0,,-126451,,151000.0,,-4908,-112,-118303.0,-4102,11715.0,35290,28700,83212,335758,418970,418970,,,0.0,0.0,,,-36.0,82582.0,-1402.0,,,,,
6164,2014年01月01日至2014年09月30日,,132059,132059,,,55137,7583,92,1985,-3907,-5714,6407,61583.0,,,-18858,-73672,-40085,793,-131822,,107.0,19698,52619,-39885,-1019.0,31520,-100302,-38719,93340,2898,36.0,-45207,51067,,-1112637.0,982567,0.0,10777,0.0,-18557,16288,-1.0,-510,-17282.0,0.0,-3305.0,0.0,-142660,,233000.0,0.0,-3672,-83,-118303.0,-2582,11715.0,120075,2710,31192,335758,366950,366950,,,,,,,,,,,,,,
6164,2014年01月01日至2014年06月30日,,84102,84102,,,36417,5023,-718,815,-2632,-8072,4233,35066.0,,,11094,-62868,-46764,-2796,-101334,,0.0,19598,16717,5144,-984.0,40475,-60859,-25793,58309,2487,,-29926,30870,,-673952.0,633086,0.0,10777,0.0,-13237,15496,0.0,-110,-16297.0,0.0,-1324.0,0.0,-45556,,25000.0,,-2442,-54,,-1573,-119.0,20812,-10665,-4539,335758,331219,331219,5.0,0.0,0.0,0.0,,,,,,,,,,
6164,2014年01月01日至2014年03月31日,,20697,20697,,,18351,2543,-351,52,-1381,254,917,20385.0,,,4569,30463,-47306,4487,-7787,,,18143,-15159,3481,338.0,6803,-984,19401,40098,1200,,-8853,32445,,-227836.0,252387,,4093,,-4962,30,-8.0,-100,-48811.0,,-37.0,0.0,-25244,,,,-1218,-26,,-799,-21.0,-9064,-2063,-3926,335758,331832,331832,,-7000.0,,,0.0,,,,,,,,,
6164,2013年度,,181556,181556,,,72531,10965,1211,4135,-3332,7583,1175,,,,-10409,-65617,56110,5720,-14196,,-315.0,-43436,18879,-9903,,-33406,-47602,46623,228179,2599,43.0,-23411,207410,,-882230.0,848816,0.0,31968,,-28724,3535,,-757,0.0,2412.0,-5945.0,,-30925,,97000.0,,-5216,-97,-35491.0,-4001,283.0,-50206,37339,163618,172140,335758,335758,,,-68900.0,-33784.0,,,-43.0,94225.0,1369.0,,,,,
6164,2013年01月01日至2013年12月31日,,181556,181556,,,72531,10965,1211,4135,-3332,7583,1175,,,,-10409,-65617,56110,5720,-14196,,-315.0,-43436,18879,-9903,,-33406,-47602,46623,228179,2599,43.0,-23411,207410,,-882230.0,848816,,31968,,-28724,3535,,-757,,2412.0,-5945.0,,-30925,,97000.0,,-5216,-97,-35491.0,-4001,283.0,-50206,37339,163618,172140,335758,335758,,,-68900.0,-33784.0,,,-43.0,94225.0,1369.0,0.0,0.0,0.0,,
6164,2013年01月01日至2013年09月30日,,160917,160917,,,54329,8661,-881,3309,-2272,2103,1174,,,,13778,-92782,64802,6955,-7247,,-315.0,-60233,51189,-52709,,-61057,-68304,-1881,159036,2338,44.0,-19029,142389,,-565679.0,619871,,31968,,-16002,2861,-98.0,-756,0.0,3271.0,-1852.0,,73584,,110000.0,,-4288,-72,-35491.0,-3125,0.0,-35375,19961,200559,172141,372700,372700,,,-68615.0,-33784.0,,,,66423.0,1011.0,,,,,
