公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 收取之股利,　　 處分無活絡市場之債券投資,　　 其他非流動資產增加,　　 短期借款減少,　　 發行公司債,　　 發放現金股利,　　　　　 持有供交易之金融負債增加（減少）,　　 取得無活絡市場之債券投資,　　 其他非流動資產減少,　　　　 股利收入,　　　　　 應付建造合約款增加（減少）,　　　　 應付公司債匯率影響數,　　　　 非金融資產減損損失,　　 因合併產生之現金流入,　　 其他應收款－關係人增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　　　 金融資產減損損失,　　 償還公司債
1504,2016年01月01日至2016年09月30日,,3678759,3678759,,,1158134,-23715,17811,239416,-152044,-15631,-1696,-394993,,,,-40744,-128245,-12519,85402,-30544,-240512,46381,291813,150009,-478630,20268.0,,-337321,,101849,232,161572,6908,,-366964,-18937,270561,-13675,-14239,-351560,116065,3794824,152044,-239416,-459033,3916911,,-131286,361944,-108426.0,,-538948,31131,-198701,-11538,-2309246,,,0,6527073,,-735388,-959835,-87558,14919042,14831484,14831484,73565.0,668492.0,,,-4160187.0,0.0,-1602154.0,,,-737894.0,-525165.0,-155785.0,1620.0,90323.0,266268.0,,,467625.0,-1241796.0,,-1500120.0
1504,2016年01月01日至2016年06月30日,,2510908,2510908,,,792902,-36200,1227,163307,-113175,-31866,2408,-379492,,,,-132347,-220031,-17856,-482329,-21229,-168592,87601,141457,272751,-419156,83394.0,,-876337,,-10032,-2925,-51334,51106,,609,3522,176977,72705,100296,-776041,-349290,2161618,113175,-163307,-340154,2070949,,-112293,262008,-46500.0,,-370083,26838,-177741,-29155,-2039884,,,0,1148406,,-194520,-507858,-671313,14919042,14247729,14247729,91987.0,299617.0,,,157194.0,0.0,,,,-429235.0,-156290.0,-140332.0,1620.0,,266268.0,,,426751.0,-1429991.0,90323.0,-1500120.0
1504,2016年01月01日至2016年03月31日,,1061756,1061756,,,379627,-14180,24117,96299,-60630,52607,1157,-330054,,,,44501,-47427,-19850,173445,-20278,-74004,93572,152167,50088,-282397,-52753.0,,17064,,29535,1994,-416569,15983,,-132908,29667,28926,-176167,-696200,-679136,-413873,647883,60630,-96299,-77823,534391,,27972,143873,-12500.0,,-214907,2844,-51585,-6670,-1816076,,,0,359130,,211891,-30327,-1100121,14919042,13818921,13818921,32897.0,0.0,,,-147239.0,0.0,0.0,,,-395701.0,0.0,-76661.0,-6900.0,0.0,266268.0,,,265263.0,-1575670.0,90323.0,
1504,2015年度,,4563271,4563271,,,1307539,39009,-41910,227691,-178084,-153936,10233,-177504,,,,108945,67433,84189,504850,389858,38847,-63257,9242,982140,-82285,81192.0,,2121154,,-7824,-7537,-1857814,2178,,164156,67746,-270965,-141878,-1975812,145342,1221477,5784748,178084,-227691,-844718,5541428,,-222856,699142,-370784.0,,-1696681,28591,-167084,-282817,-5867946,,,0,-5793025,,-1269326,-686804,-2282648,17201690,14919042,14919042,136665.0,651005.0,,,3726661.0,3000000.0,-2202962.0,,,57590.0,-476663.0,76126.0,-29100.0,412195.0,-3894036.0,0.0,,1076135.0,-19011.0,,
1504,2015年01月01日至2015年09月30日,,3764676,3764676,,,954305,35095,-24159,150209,-129314,-175918,10296,-169184,,,,140117,-134613,79139,-318590,434393,166611,40204,-67586,156592,-95966,42550.0,,442851,,5940,-3370,-989520,-12162,,-503497,72701,-20634,-65371,-1518804,-1075953,-737619,3027057,129314,-150209,-638524,2983124,,-582968,941500,-346280.0,,-1068136,19139,-58332,-1256129,-2210033,,,10828541,-12810764,,-1361622,-232409,-820940,17201690,16380750,16380750,71792.0,615486.0,,,-176437.0,3000000.0,-2202962.0,,,139292.0,-439358.0,-2891.0,25200.0,29370.0,-3108.0,,,338334.0,4989.0,,
1504,2015年01月01日至2015年06月30日,,2389373,2389373,,,630080,20125,-27175,94184,-85757,-95342,6018,-186555,,,,102601,-101014,87206,-182846,426746,-117158,17861,-127289,110525,-183317,-1225.0,,32090,,-20067,-1042,-608779,15483,,-275818,9618,-183800,10410,-1114304,-1082214,-895534,1493839,85757,-87321,-393199,1431787,,-299352,676524,-78004.0,,-880649,16314,-31331,-281826,-770642,,,7600000,-11691094,,-1740314,-686779,-1765948,17201690,15435742,15435742,65281.0,332711.0,,,-649220.0,3000000.0,,,,105796.0,-202479.0,-60309.0,-35700.0,4000.0,-3108.0,,,186680.0,4994.0,,
1504,2015年01月01日至2015年03月31日,,1108947,1108947,,,307962,11512,-36373,43910,-45244,-46811,3353,-110887,,,,31506,-13009,88914,134267,404359,-147277,-9093,-64014,178822,-195263,6386.0,,415598,,38130,1380,-1185309,-4380,,-895360,4138,118034,5998,-1944391,-1528793,-1400898,-291951,45244,-44162,-16903,-307772,,77171,302544,-10800.0,,-393174,2602,-5715,-360788,-210281,,,5260000,-6401486,,-1253467,-341055,-2112575,17201690,15089115,15089115,14873.0,0.0,,,-111981.0,,,,,175993.0,0.0,-27022.0,-14400.0,,-3108.0,,,127895.0,4994.0,,
1504,2014年度,,5703935,5703935,,,1349115,5644,-70336,234712,-151561,-215438,-646332,-139044,130864.0,,,99229,125556,-60267,378193,-9897,34797,-54855,-47497,-205962,88847,78331.0,,426475,,-233039,-8073,-81892,7979,,206201,-20859,-865868,193552,-754094,-327619,-196755,5507180,151561,-235668,-1197456,4784127,,-371327,950148,-86242.0,,-1935081,1219435,-50266,103097,-770357,,,1553880,-577500,0.0,-1620645,-95285,2297840,14908571,17206411,17206411,-156281.0,558510.0,,,-394063.0,0.0,-2202962.0,,-15910.0,-401211.0,-392277.0,47905.0,51900.0,260762.0,0.0,-183000.0,,,,,
1504,2014年01月01日至2014年09月30日,,4746969,4746969,,,983320,13470,-35031,179596,-116384,-249870,-798117,-59463,-359585.0,,,-40164,33148,-4321,-99271,-63569,-36554,-20387,-34846,-182808,-100647,55460.0,,-493959,,-157046,-14109,583524,30451,,-184846,-23167,-29428,51602,444483,-49476,-409061,4337908,116384,-179596,-962773,3863383,,-543568,754053,-32559.0,,-1741148,1266804,-50266,-15323,-685643,,,2500000,-2330746,0.0,-2176619,-64792,936329,14908571,15844900,15844900,-114507.0,551460.0,,-310625.0,-142911.0,0.0,-2202962.0,,-13011.0,,-385227.0,187502.0,4500.0,218128.0,0.0,,,,,,
1504,2014年01月01日至2014年06月30日,,3327440,3327440,,,718275,-1452,-3305,113193,-84320,-143686,-809458,-171552,-414737.0,,,-14316,-70395,-12841,-889014,-166993,-86541,-22136,-48958,203054,-117474,,-162300.0,-1387914,,-190477,-12317,969354,40042,,158647,-56324,-31886,35540,934509,-453405,-868142,2459298,84320,-113193,-621835,2040413,,-167429,400223,-27121.0,,-971609,239763,-50266,-9483,-600341,,,1500000,-1962211,0.0,-691269,-222641,526162,14908571,15434733,15434733,-101798.0,231823.0,,-9613.0,-229058.0,0.0,,,-4806.0,,-101284.0,21930.0,-32400.0,203050.0,0.0,,,,,,
