公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他非流動負債減少,　 匯率變動對現金及約當現金之影響,　　 存出保證金增加,　　 存出保證金減少,　　　　　 其他流動資產（增加）減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 股利收入,　　　　　 其他營業資產（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　 取得備供出售金融資產,　　　　　 持有供交易之金融負債增加（減少）
1615,2016年01月01日至2016年09月30日,,64437,64437,,,30632,162,22237.0,4264,-141,-535,,-541.0,,,,-9695,4890,-92239,2831,-18312,-4677,-9316.0,-126518,,-267,-9242,10356,-356,2360,,-8410,-134928,-77689,-13252,141,-4508,-15278.0,-32897,,8940.0,-13762,825.0,-2787.0,,,-14846,,,0.0,-30000,-33558.0,61298,13555,91022,104577,104577,124856.0,,,0.0,337.0,0.0,,,1161.0,,57239.0,-11432.0,,,,-8399.0,171.0
1615,2016年01月01日至2016年06月30日,,26849,26849,,,21353,113,19087.0,2699,-102,-545,,-401.0,,,,-5634,-11430,-84006,1851,-90361,-12051,849.0,-200782,,602,9589,31110,-2877,5443,,33340,-167442,-128450,-101601,102,-2881,-10567.0,-114947,,6339.0,-14219,825.0,0.0,,,-15182,,133856.0,,-30000,,103856,-26273,91022,64749,64749,0.0,,,271.0,0.0,,,,-1945.0,0.0,38992.0,-10527.0,-1267.0,0.0,0.0,-8398.0,
1615,2016年01月01日至2016年03月31日,,-9711,-9711,,,11238,62,9636.0,1249,-30,52,,,,,,-9571,-5202,-53559,4136,89361,554,2286.0,28005,,-946,7981,25550,-5016,4344,,22280,50285,72105,62394,30,-1415,,61009,,,-2837,,0.0,,,-2566,,-34144.0,,-30000,0.0,-64144,-5701,91022,85321,85321,,,,0.0,271.0,,0.0,,-387.0,0.0,21820.0,-9633.0,,,,,
1615,2015年度,,23831,23831,,,46567,112,15331.0,6491,-261,-2819,3625.0,,,,,17076,91746,52694,-1413,-95957,-1611,-1250.0,60636,,-8373,-5322,17013,-2597,-2964,,-3646,56990,127308,151139,261,-6405,-7330.0,137665,,,-22190,17753.0,-23663.0,,,-33939,,-87856.0,0.0,0,-33559.0,-121415,-17689,108711,91022,91022,0.0,,0.0,0.0,-5839.0,-649.0,0.0,,,1272.0,70318.0,-1403.0,,,,,
1615,2015年01月01日至2015年09月30日,,21836,21836,,,35339,62,1874.0,5020,-185,852,,1272.0,,,,20524,74974,-113335,10,-31917,567,1608.0,-48222,,-1398,24299,18500,-2310,-1331,,36707,-11515,21858,43694,185,-4928,-7326.0,31625,,,-19213,0.0,-23663.0,,,-48410,,,0.0,0,-33559.0,-17775,-34560,108711,74151,74151,15784.0,,,-5534.0,0.0,,,,-10861.0,,33373.0,-1053.0,,-653.0,,,
1615,2015年01月01日至2015年06月30日,,345,345,,,23620,11,,3149,-149,852,,1272.0,,,,-1197,51920,120909,-5588,-121303,-16883,727.0,27933,,917,-23067,-17848,-3435,-4890,,-49020,-21087,16471,16816,149,-3208,-4090.0,9667,,,-3064,0.0,-23663.0,,,-32216,,-15251.0,0.0,0,,-15251,-37800,108711,70911,70911,0.0,,,-5489.0,0.0,,,,9688.0,,37558.0,-697.0,-885.0,-652.0,,,
1615,2015年01月01日至2015年03月31日,,46,46,,,11824,11,0.0,1566,-68,22,0.0,0.0,,,,-714,41289,-26540,2281,1563,2167,833.0,20879,,-8475,-6827,43470,-3086,5245,,29978,50857,69176,69222,68,-1607,0.0,67683,,,-1492,0.0,-23663.0,,0.0,-25960,,-93000.0,0.0,0,0.0,-93000,-51277,108711,57434,57434,,,,-805.0,0.0,,0.0,,3692.0,1272.0,18319.0,-349.0,,,,,
1615,2014年度,,90884,90884,,,47814,35,0.0,7068,-352,-43814,0.0,3625.0,14376.0,,,-5784,-38671,36022,-2345,-81247,-1700,,-94565,,-1367,12259,-46483,1653,-12540,-1163.0,-47641,-142206,-127830,-36946,352,-7088,-4054.0,-47736,,0.0,-19726,115845.0,,,,96848,,,30000.0,-75000,-33559.0,-21348,27764,80947,108711,108711,57211.0,,0.0,,729.0,-840.0,0.0,,,,,,,,,,
1615,2014年01月01日至2014年09月30日,,74388,74388,,,35996,35,,5343,-241,-43906,,0.0,-2773.0,,,-3853,-26815,107520,-799,-110404,1066,-4150.0,-37435,,-9703,23414,-45853,-354,-13093,-858.0,-46447,-83882,-86655,-12267,241,-5435,-3863.0,-21324,,0.0,-16197,115843.0,,,,100380,,,30000.0,-75000,-33559.0,-74684,4372,80947,85319,85319,3875.0,0.0,0.0,0.0,734.0,,,,,,,,,,,,
1615,2014年01月01日至2014年06月30日,,73257,73257,,,24155,35,,3690,-173,-43979,,0.0,-16272.0,,,-2900,16653,10011,-2139,-152435,-2457,-1255.0,-134522,,2742,908,-68685,-2288,-8563,-576.0,-76462,-210984,-227256,-153999,173,-3734,-1281.0,-158841,,0.0,-14644,115827.0,,734.0,0.0,101917,,,30000.0,-50000,,31785,-25139,80947,55808,55808,51785.0,0.0,0.0,,,,,,,,,,,,,,
