公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款－關係人增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動資產減少,　　 短期借款減少,　　 庫藏股票買回成本
6142,2015年01月01日至2015年09月30日,,-104139,-104139,,,93741,17372,228,-37236,34282,-91389,-5575,1025.0,40229,0,52677.0,,,41356,-119665.0,42092,22063,-11469,-25623,,-128390,-32729,-17484,-178603,-204226,-151549,-255688,110125,-36578,-479,-182620,,3973.0,-14950,6186,5540.0,-16817,1129711,61,1113704,,-1247888,0.0,11.0,0.0,-1247877,18021,-298772,2148354,1849582,1849582,,,,,,
6142,2015年01月01日至2015年06月30日,,-111749,-111749,,,69567,11733,-148,20450,26743,-68026,-1755,1025.0,-26050,0,33539.0,,,-113713,263750.0,8622,85254,-1314,242599,,-102524,-51747,10095,-135695,106904,140443,28694,73105,-28987,1147,73959,,3973.0,-7763,1942,4727.0,-14280,-203168,758,-213811,,-461503,0.0,,,-461503,-27202,-628557,2148354,1519797,1519797,8481.0,,,,,
6142,2015年01月01日至2015年03月31日,,-78509,-78509,,,39633,6086,-66,6696,16029,-36773,0,1025.0,-11541,0,21089.0,,,-118693,-7562.0,42662,-59706,-344,-143643,,-27511,-42864,16830,-43973,-187616,-166527,-245036,37073,-12975,-615,-221553,,3973.0,-5034,0,,-6755,-865984,363,-873437,,677122,,,,677122,-10883,-428751,2148354,1719603,1719603,9572.0,,,,,
6142,2014年度,,-246816,-246816,,,142923,23489,346,-16718,73151,-184227,-13846,,60838,846,,,,301432,-98757.0,14620,281116,23149,521560,,-599872,-55022,16312,-638582,-117022,-30220,-277036,177774,-73968,-18246,-191476,,,-326261,19747,,-12080,1247819,-1803,927422,,0,0.0,52.0,-107294.0,-401072,39895,374769,1773585,2148354,2148354,,,86802.0,0.0,-293830.0,0.0
6142,2014年01月01日至2014年09月30日,,-190550,-190550,,,110837,18074,115,-3198,56996,-139793,157,0.0,20280,0,63468.0,,,336384,-183787.0,19003,317372,10447,499419,,-705986,-83471,16043,-773414,-273995,-210527,-401077,114139,-49742,-6884,-343564,,0.0,-40094,76,0.0,-10976,-947282,-46842,-1045118,,636496,0.0,1039.0,-107294.0,530241,5672,-852769,1773585,920816,920816,,,,,,
6142,2014年01月01日至2014年06月30日,,-175898,-175898,,,74543,12201,11,12499,35696,-89307,-30,0.0,1979,0,47592.0,,,198990,-63585.0,20862,256362,18491,431120,,-557740,-82375,4677,-635438,-204318,-156726,-332624,69576,-34444,-6884,-304376,,0.0,-35213,30,205.0,-8418,-1420939,714,-1463621,,1437199,0.0,,,1437199,-25399,-356197,1773585,1417388,1417388,0.0,,,,,
6142,2014年01月01日至2014年03月31日,,-91360,-91360,,,37366,6494,124,3055,18920,-44462,-30,0.0,21928,0,43395.0,,,155966,106062.0,14677,152907,9748,439360,,-384582,-93425,7121,-470886,-31526,11869,-79491,33077,-16972,0,-63386,,0.0,-18769,30,,-4784,-44217,408,-67332,,93915,,,,93915,-5414,-42217,1773585,1731368,1731368,0.0,,,,,
6142,2013年度,,125816,125816,,,169281,26561,-1774,-22771,57670,-137880,-6778,,25225,0,,,,802542,390320.0,-3537,294904,-21692,1462537,,-1021462,51891,-3882,-973453,489084,598618,724434,129454,-55509,-17364,781015,,,-50987,7262,,-21385,-176052,-677,-241839,,0,0.0,0.0,-147530.0,-381736,55491,212931,1560654,1773585,1773585,,,109534.0,0.0,-234206.0,0.0
6142,2013年01月01日至2013年12月31日,,125816,125816,,,169281,26561,-1774,-22771,57670,-137880,-6778,,25225,0,,,,802542,390320.0,-3537,294904,-21692,1462537,,-1021462,51891,-3882,-973453,489084,598618,724434,129454,-55509,-17364,781015,,,-50987,7262,,-21385,-176052,-677,-241839,,0,0.0,,-147530.0,-381736,55491,212931,1560654,1773585,1773585,,,109534.0,0.0,-234206.0,0.0
6142,2013年01月01日至2013年09月30日,,96474,96474,,,128662,19663,-1229,-12840,43106,-101261,-6399,,17476,-4855,,,,670874,-242957.0,38699,337687,3872,808175,,-895078,67709,11080,-816289,-8114,74209,170683,93004,-43071,-16902,203714,,,-46869,6679,,-18698,470545,-34,411623,,-351235,0.0,,-147530.0,-498765,33504,150076,1560654,1710730,1710730,,,82323.0,,,0.0
