公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　 發放現金股利,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 其他非流動資產減少,　　 其他非流動負債增加,　　 其他預付款項增加,　　 應付短期票券減少,　　　　 處分投資性不動產損失（利益）,　　 收取之股利,　　 取得備供出售金融資產,　　 短期借款減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 攤銷費用,　　 以成本衡量之金融資產減資退回股款,　　　　 金融資產減損損失
1434,2014年01月01日至2014年03月31日,,730808,730808,,,912223,3630,26,56254.0,-4750,1310,-2453.0,,962585.0,,,-399760,-2833,2454,-567792,-204475,49145,-360435,-200644,,-14273.0,-1698613,,-240.0,50406,102569,149261,-62083,-340419,62933,,-37573,-1736186,-773601,-42793,4750,-67745,-166,-105954,,0.0,-270166,4696,-481851,,229288.0,,1500000,-1594748,-1054.0,61944,65874,-459987,3064945,2604958,2604958,,,,-3655.0,,,128438.0,-216381.0,-199980.0,,,,,,,,,
1434,2013年度,,2659932,2659932,,,3981235,5020,11763,215881.0,-16661,-246263,-93687.0,,3634780.0,,,3675,155547,7661,272426,309439,-47511,-248822,158985,-162157.0,,449243,,-3674.0,14925,-300850,-211680,-56534,-325068,-46893,,-929774,-480531,3154249,5814181,16661,-216579,-258134,5485533,,-3528714.0,-1579873,127236,-4187180,,868351.0,849922.0,11510000,-12451758,-151495.0,-1002050,53886,350189,2714756,3064945,3064945,138619.0,-1684665.0,-129404.0,-93104.0,655552.0,,57595.0,,,,129404.0,0.0,,,,,,
1434,2013年01月01日至2013年12月31日,,2659932,2659932,,,3981235,5020,11763,215881.0,-16661,-279161,-93687.0,,3764184.0,,,3675,155547,7661,272426,309439,-47511,-248822,158985,-162157.0,,449243,,-3674.0,14925,-300850,-211680,-56534,-325068,-46893,,-929774,-480531,3283653,5943585,16661,-216579,-258134,5485533,,-3528714.0,-1579873,127236,-4187180,,868351.0,849922.0,11510000,-12451758,-151495.0,-1002050,53886,350189,2714756,3064945,3064945,,-1684665.0,32898.0,-93104.0,655552.0,138619.0,57595.0,,,,,,,,,,,
1434,2013年01月01日至2013年09月30日,,2000845,2000845,,,3296818,2629,12307,163975.0,-8806,-266891,-14995.0,,3185037.0,,,2173,141654,8878,-122061,315998,-51905,318698,11902,116847.0,,742184,,-2172.0,-15472,-275427,-61261,-391666,-212410,27003,146385.0,-785020,-42836,3142201,5143046,8806,-163634,-225834,4762384,,-2049111.0,-1258353,119360,-3431408,,243316.0,49992.0,9810000,-9458190,-151495.0,-1191042,-294454,-154520,2714756,2560236,2560236,-243304.0,-1684665.0,,,,,,,,,,,,,,,,
1434,2013年01月01日至2013年06月30日,,1466037,1466037,,,2331877,801,14733,109706.0,-8473,-82079,-31580.0,,2334985.0,,,2173,16051,-14883,-439939,167798,-159422,320589,-70379,105137.0,,-72875,,-2172.0,53351,150468,133951,-486436,-259439,79337,147322.0,-183618,-256493,2078492,3544529,8473,-113016,-218133,3221853,,-1605444.0,-1025329,84779,-2903002,,496308.0,49860.0,4510000,-5184893,-142278.0,-271003,3163,51011,2714756,2765767,2765767,-357008.0,,,,,,,,,,,,,,,,,
1434,2013年01月01日至2013年03月31日,,627969,627969,,,1148707,-2107,11272,54380.0,-2578,-2226,320.0,9421.0,1217189.0,,,2173,67428,4565,-223989,22745,-86646,-286531,-167194,28948.0,-64968.0,-703469,,-2172.0,56202,92091,246018,-82933,-617406,248059,117384.0,57243,-646226,570963,1198932,2578,-48422,-25633,1127455,,-685470.0,-465874,10972,-1140372,,294889.0,49818.0,10004021,-10300000,-11480.0,37248,-11408,12923,2714756,2727679,2727679,,,,,,,,,,,,,,,,,,
1434,2012年01月01日至2012年12月31日,,2953621,2953621,,,4862040,1783,-13276,243992.0,-6575,-158961,943.0,,4951878.0,,,1001,-7731,3591,-155855,64449,182763,739694,566293,-142734.0,,1251471,,-1001.0,-37937,-15986,-424173,535563,-10178,79503,,125791,1377262,6329140,9282761,6575,-246579,-384861,8657896,,-800643.0,-1098375,2825,-1782543,,-776525.0,-580859.0,13057272,-15559182,-245358.0,-6075451,102443,902345,1812411,2714756,2714756,,-2021597.0,21932.0,0.0,0.0,113650.0,50798.0,,,,,,,,,,,
1434,2012年01月01日至2012年09月30日,,2614521,2614521,,,3721282,9502,-8839,188439.0,-4458,-114380,-5900.0,,3785646.0,,,1001,54217,1752,-441139,113409,101683,1189258,280497,75693.0,,1376371,,-1001.0,-34407,-47951,-429327,54785,-126500,227364,157099.0,-199938,1176433,4962079,7576600,4458,-192130,-382166,7006762,,-611474.0,-904353,49493,-1381073,,-981779.0,318910.0,10246706,-12067133,-245358.0,-4750251,-55371,820067,1812411,2632478,2632478,85261.0,-2021597.0,,,,,,,,,,,,,,,,
1434,2012年01月01日至2012年06月30日,,1366532,1366532,,,2500373,-14533,4963,132493.0,-2622,-20005,-14681.0,,2585988.0,,,1002,-1819,-21840,-542848,-425851,123804,655826,340370,-47393.0,,81251,,-1002.0,-10598,9511,-333121,151579,-148400,198646,170017.0,36632,117883,2703871,4070403,2622,-139157,-344691,3589177,,-349769.0,-484148,20065,-674375,,-371359.0,277706.0,5393170,-7160316,-249459.0,-2110258,-10548,793996,1812411,2606407,2606407,139477.0,,,,,,,,,,,,,,,,,
1434,2012年01月01日至2012年03月31日,,567689,567689,,,1238758,-10734,-1980,69831.0,-802,53293,-4847.0,-114907.0,1228612.0,,,1002,28364,-1211,-699067,-146389,122985,60348,233357,104543.0,77037.0,-219031,,-1002.0,-26110,-467877,-167311,580731,-627188,146420,99940.0,-462397,-681428,547184,1114873,802,-75347,-40,1040288,,-37569.0,-171905,9218,-200256,,-525865.0,393938.0,877815,-1070000,18554.0,-305558,42836,577310,1812411,2389721,2389721,,,,,,,,,,,,,,,,,,
