公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 因合併產生之現金流入,　　 償還長期借款,　　 非控制權益變動,　　　　 金融資產減損迴轉利益,　　 預付投資款增加,　　 其他非流動資產增加,　　 償還公司債,　　 發放現金股利,　　 員工執行認股權,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　　 其他營業資產（增加）減少,　　 發行公司債,　　 存入保證金增加,　　 庫藏股票買回成本,　　　　　 其他應付款－關係人增加（減少）,　　 其他金融資產增加,　　 對子公司之收購（扣除所取得之現金）,　　　 收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他金融資產減少,　　 處分採用權益法之投資,　　 其他非流動資產減少,　　 預收款項增加－處分資產
3591,2014年01月01日至2014年03月31日,,6391,6391,,,53273,8186,1,-10322,5523,-7900,3778,299,544,0.0,53382.0,,,,-1875,0.0,-10476,-4198,-19847,1455,68463,12939,-5368,,41624,,-4911,-9620,-2353,-34545,6746,128.0,0,-44189,-2565,50817,57208,12576,-567,-1715,67502,,,0.0,-78830,0,-5390,2997.0,-8822,-30729,-120774,,244620.0,-119415.0,-72,121370,3238,71336,1861646,1932982,1932982,,,-4421.0,,,,,,,,,,,531.0,,658.0,,366.0,,,,,,,,,,
3591,2013年度,,-231182,-231182,,,212224,20665,-6828,8929,13975,-32389,-2413,6417,32830,17472.0,430231.0,,,,33312,,143377,-4764,13122,-1713,51720,-8921,6245,,231061,,-205700,-78653,-12592,34358,-2853,986.0,-53,-264507,-33446,396785,165603,29839,-6176,-27825,161441,,,-80126.0,-410237,26410,-9085,6026.0,-15378,-223165,-606513,,1486950.0,-1763899.0,-90,334689,42436,-67947,1929593,1861646,1861646,0.0,99042.0,-50747.0,7149.0,,,,-244776.0,-95000.0,,208.0,159390.0,-249.0,-1317.0,995000.0,102.0,0.0,,0.0,0.0,,,,,,,,
3591,2013年01月01日至2013年12月31日,,-231182,-231182,,,212224,20665,-6828,8929,13975,-32389,-2413,6417,32830,17472.0,430231.0,,,0.0,33312,,143377,-4764,13122,-1713,51720,-8921,6245,,231061,,-205700,-78653,-12592,34358,-2853,986.0,-53,-264507,-33446,396785,165603,29839,-6176,-27825,161441,,0.0,-80126.0,-410237,26410,-3167,0.0,-15378,-223165,-606621,,0.0,-276949.0,0,334690,42543,-67947,1929593,1861646,1861646,0.0,99042.0,-50747.0,7149.0,,,,-244776.0,-95000.0,0.0,208.0,159390.0,-249.0,-1317.0,995000.0,13.0,0.0,,,,,,,,,,,
3591,2013年01月01日至2013年09月30日,,3282,3282,,,153489,14301,-15444,13922,9614,-24765,-3444,6151,9099,17472.0,171750.0,,,0.0,21895,,53961,-31009,-18454,-16,-41876,-49687,3909,-286.0,-61563,,-197255,199379,-10411,47343,-5238,845.0,-30,34633,-26930,144820,148102,23834,-4509,-12955,154472,,0.0,-80126.0,-250195,19285,-2887,,-14170,-237520,-466571,,208436.0,,13,-160386,25227,-447258,1929593,1482335,1482335,0.0,99042.0,-36208.0,7149.0,-8645.0,0.0,0.0,-244776.0,-95000.0,0.0,,,,,,,,,,,,,,,,,,
3591,2013年01月01日至2013年06月30日,,-16455,-16455,,,89435,7879,-9785,2041,6447,-16831,-10321,6352,-388,17472.0,92301.0,,,0.0,-2027,-1789.0,-99954,-6262,-8430,-444,79960,-28930,2347,0.0,-65529,,-102216,133534,-15805,42605,10901,550.0,-60,69509,3980,96281,79826,16526,-2333,-12004,82015,,0.0,-80126.0,-158613,9592,-3275,0.0,-11969,-95330,-240679,,,-31560.0,-2,-48929,34119,-173474,1929593,1756119,1756119,0.0,99042.0,-24693.0,7326.0,,,,,,,,,,,,,,,,,,,,,,,,
3591,2013年01月01日至2013年03月31日,,-40840,-40840,,,40672,3594,436,-2202,3267,-9547,10289,863,-91,25340.0,72621.0,,,0.0,33640,-60244.0,42192,-44864,-7106,-1294,44133,-30766,2141,0.0,-22168,,1677,12140,-12449,-29922,6815,259.0,-40,-21520,-43688,28933,-11907,9139,-1594,485,-3877,,0.0,-44456.0,-36737,4377,-2722,0.0,-6663,-49128,-135329,,865014.0,-854024.0,-6,10984,20692,-107530,1929593,1822063,1822063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2012年01月01日至2012年12月31日,,48750,48750,,,152102,9201,278,2641,11356,-32377,46924,0,-6401,0.0,183724.0,,,1863.0,33239,,47453,-41586,-888,0,1257,16827,-5982,,52134,,-4631,-89847,16356,-23591,-8320,885.0,90,-109058,-56924,126800,175550,33592,-4420,-17672,187050,,-20998.0,0.0,-129885,1404,0,3997.0,-36039,-121616,-371998,,12985.0,0.0,-573,-381837,-15850,-582635,2512228,1929593,1929593,-68861.0,0.0,0.0,5230.0,,,,0.0,-333000.0,30.0,0.0,0.0,0.0,-49.0,0.0,0.0,-66509.0,,,,,,,,,,,
3591,2012年01月01日至2012年09月30日,,88377,88377,,,114246,7252,1451,-2003,8607,-24319,34619,0,-3684,0.0,136169.0,,,1863.0,13577,,52697,-98083,-8642,0,-7024,143,-1495,691.0,-46273,,-3773,-43932,32490,3702,-10920,670.0,-663,-22426,-68699,67470,155847,20808,-3646,-1341,171668,,-20932.0,0.0,-163284,296,2871,,-38956,-50085,-340337,,228670.0,,-485,-104785,-16364,-289818,2512228,2222410,2222410,-29711.0,0.0,0.0,0.0,0.0,-40500.0,-36.0,0.0,-333000.0,30.0,,,,,,,,,,,,,,,,,,
3591,2012年01月01日至2012年06月30日,,80884,80884,,,74953,3850,-580,-1521,5407,-15560,26928,0,-252,0.0,93225.0,,,1863.0,-21808,0.0,51242,-84196,-9893,0,-43449,3010,-1505,460.0,-104276,,-5448,95253,5925,3028,-4054,447.0,-441,94710,-9566,83659,164543,10701,-1941,-934,172369,,-20932.0,0.0,-129795,373,0,2895.0,-38770,-20504,-236444,,,-35015.0,-497,-35512,-10040,-109627,2512228,2402601,2402601,-29711.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3591,2012年01月01日至2012年03月31日,,48279,48279,,,37246,1476,984,-3079,3962,-7151,13464,0,-182,0.0,46720.0,,,-54820.0,-1040,0.0,35740,-84208,-8456,0,12995,-19687,-703,230.0,-119949,,-1933,31495,0,-20642,-2644,223.0,-221,6278,-113671,-66951,-18672,5784,-1789,-411,-15088,,-20932.0,0.0,-20318,1287,0,2904.0,-1868,-108701,-147628,,263590.0,-273535.0,-535,-10480,-11616,-184812,2512228,2327416,2327416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
