公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 退還（支付）之所得稅,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 存出保證金減少,　　 發行公司債,　　 取得備供出售金融資產,　　 短期借款減少,　　 發放現金股利,　　　　 其他項目,　　 取得無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 其他籌資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　　　　 持有供交易之金融資產（增加）減少,　　 處分無活絡市場之債務工具投資,　　 現金增資,　　　　 股利收入,　　　　　 應付建造合約款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 收取之股利,　　 存出保證金增加,　　 其他預付款項增加,　　　　 股份基礎給付酬勞成本,　　 償還公司債,　　　　　 其他金融負債增加（減少）
3056,2016年01月01日至2016年09月30日,,1026999,1026999,,,3825,171,3521,-2330.0,,-2545.0,,,,,,3470,,290,2326224,299018,2630008,,-36025,-116110,,4022,-976205,,,-1161695,1468313,1469769,2496768,2515.0,-42277,2446683,,,,36570.0,,-19264,267.0,-1008,-526,-543157,,0,,-2046512,-9,-142995,886469,743474,743474,294.0,-267.0,-13238.0,1029508.0,0.0,,,,,-1845023.0,-1029900.0,-576212.0,1702.0,,,,,,1456.0,,1006.0,256319.0,,-2915.0,,,2915.0,,0.0,,-440400.0,-37377.0
3056,2016年01月01日至2016年06月30日,,1051965,1051965,,,2044,84,3030,-2108.0,,-378.0,,,,,,3472,,408,2407355,232753,2644994,,-9537,-82281,,35364,-1055602,-10729.0,,-1122785,1522209,1526042,2578007,2388.0,-30322,2547733,,,,11802.0,,-19264,267.0,-788,83,-1056207,,-997900,,-1438300,-186,53040,886469,939509,939509,294.0,-267.0,-2340.0,400378.0,0.0,,,,,-1701762.0,,,1134.0,,,,,,3833.0,0.0,1006.0,253077.0,,,,,,,,,-440400.0,
3056,2016年01月01日至2016年03月31日,,-19600,-19600,,,861,12,1852,-1095.0,,-378.0,,,,,,3480,,-297,-261663,-15760,-274034,,-7831,-92353,,-855,322070,-25013.0,,196018,-78016,-76194,-95794,1043.0,-17921,-112769,,,,,,-1871,267.0,-662,23,97101,,-330600,,-330600,-4,-346272,886469,540197,540197,270.0,-267.0,-97.0,400378.0,,,,,,-251083.0,,,567.0,,,,,,1822.0,-49951.0,206.0,,,,,,,,,,,
3056,2015年度,,754540,754540,,,2732,140,6018,-4699.0,,-569.0,,,,,,-4022,0.0,3878,-101455,253993,152394,,-62262,39582,,67879,-187076,114806.0,,-27071,125323,128856,883396,4699.0,-80419,751421,,,,,,-13472,532.0,-102,-233,-723705,,37226,,265753,8,293477,592992,886469,886469,-6328.0,-399.0,-56255.0,107569.0,-5645.0,,,,,-675018.0,,-86473.0,885.0,,,,,,3533.0,0.0,0.0,19197.0,315000.0,-2347.0,0.0,,2347.0,,-158880.0,8100.0,,
3056,2015年01月01日至2015年09月30日,,632880,632880,,,1956,132,4639,-3220.0,0.0,-443.0,,,,,0.0,434,0.0,1588,132855,180975,315852,,-30267,69726,,44230,-271849,103707.0,,-84453,231399,226101,858981,3220.0,-53337,755300,,,,0.0,0.0,-655,4.0,-54,-4609,-679160,,86790,0.0,317,10,76467,592992,669459,669459,-6328.0,-4.0,-55911.0,42443.0,-5645.0,0.0,0.0,0.0,0.0,-561465.0,,-86473.0,317.0,,,,,,-5298.0,0.0,0.0,9863.0,0.0,-2347.0,0.0,0.0,2347.0,-162.0,-158880.0,,,
3056,2015年01月01日至2015年06月30日,,58594,58594,,,1339,90,3636,-2412.0,,-227.0,,,,,,434,,1611,-862663,32751,-827867,,3039,-14705,,21462,327458,92885.0,,430139,-397728,-401630,-343036,2412.0,-40842,-409918,,,,,,-7044,0.0,0,-9474,-101430,,377590,,377590,-6,-133764,592992,459228,459228,-6328.0,,-28452.0,41226.0,-5645.0,,,,,-104137.0,,,,,,,,,-3902.0,-16356.0,0.0,0.0,0.0,,,,,,,,,
3056,2015年01月01日至2015年03月31日,,66778,66778,,,713,46,1813,-743.0,,,,,,,,444,,2269,-212854,75511,-134630,,-60513,-19972,,6024,123453,104674.0,,153666,19036,16338,83116,743.0,-20150,63698,,,,,,-5730,,0,-320,-9797,,200000,,200000,-3,253898,592992,846890,846890,-4527.0,,-11.0,,,,,,,,,,,,,,,,-2698.0,-3747.0,,,,,,,,,,,,
3056,2014年度,,438317,438317,,,3459,508,1815,-3825.0,,-41.0,,,,,,-203,0.0,7264,-914446,-262335,-1171020,,53132,-111962,,33898,704587,-73666.0,,605989,-565031,-555582,-117265,3825.0,-80548,-306656,,,,,,-74240,1403.0,-42,-1697,-271285,,402250,,615346,16,37421,555571,592992,592992,6095.0,244.0,-112668.0,80041.0,0.0,,,,,-80000.0,,-269904.0,0.0,,,,,,9449.0,-196750.0,-1300.0,0.0,483000.0,0.0,0.0,,0.0,,0.0,1194.0,,
3056,2014年01月01日至2014年09月30日,,15202,15202,,,2656,436,1,-2150.0,0.0,-41.0,,,,,0.0,-468,0.0,6774,-1442278,-185890,-1623042,,12945,-47145,,11605,946477,-41375.0,,882507,-740535,-731679,-716477,2150.0,-60710,-878259,,,,0.0,0.0,-64098,1404.0,-42,-1651,-166046,,775750,0.0,988846,3,-55456,555571,500115,500115,7711.0,243.0,-103222.0,80041.0,0.0,0.0,0.0,0.0,0.0,-80000.0,,-269904.0,0.0,,,,,,8856.0,-101700.0,-1180.0,0.0,483000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3056,2014年01月01日至2014年06月30日,,24784,24784,,,1833,310,1,-990.0,,-41.0,,,,,,-429,,-73168,-1039869,-101537,-1216159,,23977,15888,,347,607372,-48123.0,,599461,-616698,-613047,-588263,990.0,-37704,-697651,,,,,,-50696,927.0,-41,-1605,-123703,,799126,,813728,-2,-7628,555571,547943,547943,2538.0,,-72674.0,80041.0,0.0,,,,,-80000.0,,,,,,,,,3651.0,-72329.0,-1156.0,0.0,14602.0,,,,,,,,,
3056,2014年01月01日至2014年03月31日,,21136,21136,,,989,156,1,-134.0,,,,,,,,133,,4112,-459078,-56083,-510916,,18697,31826,,-7181,284718,-54403.0,,273657,-237259,-235279,-214143,134.0,-19496,-233516,,,,,,-20242,,-42,-1920,-51980,,404986,,404986,0,119490,555571,675061,675061,968.0,,-11.0,,,,,,,,,,,,,,,,1980.0,-29776.0,,,,,,,,,,,,
3056,2013年01月01日至2013年12月31日,,1425427,1425427,,,3027,642,267,-2633.0,,7935.0,,4887.0,,,6075.0,54024,0.0,-10238,-1913690,-18175,-1882004,,3250,204230,0.0,14372,-249703,-17012.0,-33.0,-44896,-1926900,-1922013,-496586,2633.0,-39034,-565483,,,,0.0,0.0,-50195,0.0,0,-496,-247610,,407014,0.0,967439,-865,153481,402090,555571,555571,-4351.0,,-32496.0,743452.0,-101198.0,,758.0,-96.0,694563.0,-740000.0,,-133538.0,0.0,-91680.0,95.0,-8250.0,-600.0,,,,,,,,,,,,,,,
3056,2013年01月01日至2013年09月30日,,1370067,1370067,,,2395,744,0,-1091.0,0.0,84.0,,-1681.0,,,5525.0,46621,0.0,-9769,792067,150459,984903,,50605,272281,0.0,59739,-747854,27186.0,-33.0,-338076,646827,645146,2015213,1091.0,-36939,1947023,,,76.0,95.0,0.0,-553,0.0,0,-213596,-801248,,166920,0.0,-138914,-865,1005996,402090,1408086,1408086,-3813.0,0.0,-32342.0,253053.0,-101198.0,243.0,758.0,-126.0,694563.0,-740000.0,-866859.0,-133538.0,,,,,,,,,,,,,,,,,,,,
3056,2013年01月01日至2013年06月30日,,690511,690511,,,1472,368,0,,0.0,111.0,,1847.0,,,5960.0,17372,0.0,-47922,8550,227430,211390,,-33253,115158,0.0,66610,-316776,62744.0,-6.0,-105523,105867,107714,798225,,-28504,749041,,,76.0,95.0,0.0,-529,,0,-214222,-313882,,-438566,0.0,255997,-18,691138,402090,1093228,1093228,-104.0,0.0,-20680.0,1021.0,-101198.0,243.0,758.0,-126.0,694563.0,,,,,,,,,,,,,,,,,,,,,,,
3056,2013年01月01日至2013年03月31日,,366504,366504,,,681,182,2,-7.0,0.0,127.0,-897.0,88.0,,,6075.0,13479,0.0,-5074,2875,-32828,-15473,,-45781,213605,0.0,18827,-395286,187319.0,-4.0,-21320,-36793,-36705,329799,7.0,-2,329804,,-101198.0,0.0,95.0,758.0,0,0.0,0,-96,-100441,,228472,0.0,228472,51,457886,402090,859976,859976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,2012年01月01日至2012年12月31日,,63955,63955,,,3175,554,768,-1266.0,,72.0,,3233.0,,,31769.0,41861,41232.0,-2614,-2352031,-62301,-2302084,,4076,44596,-13248.0,26561,676632,105145.0,33.0,843795,-1458289,-1455056,-1391101,1266.0,-12991,-1435468,,,,18905.0,7050.0,-4618,55.0,-506,-588,-191130,,1757210,1438.0,1648921,-39,22284,379806,402090,402090,0.0,,-32642.0,1001.0,-20570.0,,0.0,2306.0,0.0,0.0,,-110327.0,-70.0,-194165.0,0.0,0.0,600.0,,,,,,,,,,,,,,,
3056,2012年01月01日至2012年09月30日,,-24040,-24040,,,2451,386,768,-607.0,-71.0,72.0,,3037.0,,,37844.0,65388,41232.0,0,-1867495,33083,-1689948,,-52784,28217,-13248.0,16767,675716,25183.0,85.0,679936,-1010012,-1006975,-1031015,607.0,-12989,-1075974,,,3160.0,1805.0,7050.0,-2126,16.0,-586,1607,8560,,1569520,1438.0,1307331,-35,239882,379806,619688,619688,0.0,38.0,-32577.0,1001.0,-3470.0,0.0,0.0,103.0,0.0,0.0,-153300.0,-110327.0,,,,,,,,,,,,,,,,,,,,
3056,2012年01月01日至2012年06月30日,,-14285,-14285,,,1615,254,599,,-71.0,72.0,,2509.0,,,33903.0,22399,41232.0,0,-1549536,23456,-1428546,,-51401,30758,-13248.0,11229,349074,31440.0,84.0,357936,-1070610,-1068101,-1082386,,-12820,-1118838,,,3160.0,1805.0,0.0,-2107,,-151,-147,194,,1273110,1438.0,1274548,-13,155891,379806,535697,535697,0.0,40.0,-23632.0,1001.0,-3470.0,0.0,0.0,103.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
3056,2012年01月01日至2012年03月31日,,-12560,-12560,,,769,126,311,-32.0,40.0,0.0,159.0,1373.0,,,16490.0,40482,23738.0,0,-1281907,35192,-1166005,,-39315,-5053,-13248.0,-460,157315,-1412.0,80.0,97907,-1068098,-1066725,-1079285,32.0,-311,-1079564,,-3470.0,600.0,1805.0,0.0,-1096,41.0,-80,0,-2200,,1026110,1437.0,1027547,-182,-54399,379806,325407,325407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
