公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應付款－關係人增加（減少）,　　 處分按攤銷後成本衡量之金融資產,　　 處分備供出售金融資產,　　　　 呆帳費用提列（轉列收入）數,　　　　　 應付建造合約款（增加）減少,　　 存出保證金減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加
9933,2014年01月01日至2014年09月30日,,1937463,1937463,,,236199,109810,67100,36978,-109397,-46510.0,25436,-28329,2268,-2040,63779,381,355675,,,-251882,3237113,-1634189.0,-1030187,3294,-5781460,26105,-32826,-417803,-736119,761787,142001,-5714166,,139644,1013190,83422,4940751.0,-639590,0.0,2026959,153672,7718048,2003882,2359557,4297020,104677,48205.0,-36213,-290337,4123352,,-54146.0,-79210.0,1995.0,-1390933.0,-58853,6852,-35833.0,-6646,-25774,-1642548,,-469992,0.0,-295165,7425,-1877835.0,283648,-2351919,128885,9327026,9455911,9455911,,,,,,,
9933,2014年01月01日至2014年06月30日,,1189100,1189100,,,162642,73533,48133,28834,-67512,0.0,21117,-23804,1973,-783,23784,128,268045,,,-1443562,1604523,,-1742221,1633,-1658102,25924,16018,-207655,-646062,791438,126958,-3131108,,148836,-102393,34130,5925747.0,-502236,0.0,355266,166863,6026213,2895105,3163150,4352250,48871,0.0,-29639,-108212,4263270,,0.0,,1995.0,0.0,-19873,3264,-32392.0,-264,-7881,-1057753,,138086,0.0,-249382,-11260,0.0,129209,6653,3212170,9327026,12539196,12539196,0.0,-1005900.0,3298.0,,,,
9933,2014年01月01日至2014年03月31日,,585714,585714,,,86125,38060,62913,-17443,-32545,0.0,10530,-10412,-253,-392,0,128,116585,,,-1334302,-39581,,-1258592,2778,1116187,-1528,9076,-76533,-30193,-344764,56231,-1901221,,37975,70982,64587,4787393.0,-1107775,0.0,-17227,166014,4001949,2100728,2217313,2803027,21010,0.0,-18335,-2243,2803459,,0.0,,0.0,0.0,-9483,3125,-37770.0,-1429,-1143,-44471,,-23134,0.0,-45177,5563,0.0,60774,-1974,2757014,9327026,12084040,12084040,,,2229.0,-20126.0,,,
9933,2013年01月01日至2013年12月31日,,2509910,2509910,,,353326,137598,17331,106126,-77754,-40075.0,70878,-74059,-3813,-93263,82536,808,557572,,,864044,-3234780,,-259582,14410,955926,48762,-15362,-16838,564313,-351813,326824,-1104096,,-638,2285851,16134,,101761,0.0,-81381,336359,-4343437,-5447533,-4889961,-2380051,80429,48203.0,-120807,-830938,-3203164,,-28146.0,,12497.0,0.0,-166824,10656,32426.0,-76742,-41494,-98026,,139092,0.0,-590776,-2077,-2447272.0,339932,-2561101,-5862291,15189317,9327026,9327026,,,159601.0,77933.0,-7001523.0,,
9933,2013年01月01日至2013年09月30日,,1918739,1918739,,,256606,116127,64153,44272,-54207,-37438.0,63764,-48146,-1605,-2458,62000,601,463669,,,187726,-2776080,0.0,-1465825,4880,2975452,128762,-23714,-29897,-700518,-485359,118796,-2065777,,-4598,1329684,0,-5442264.0,-81390,0.0,-59920,142210,-4116278,-6182055,-5718386,-3799647,63109,39119.0,-58072,-702174,-4457665,,55481.0,0.0,7800.0,-45500.0,-88140,7534,-17123.0,-49640,-35180,-164768,,411980,0.0,-288310,-20322,-2447272.0,305178,-2038746,-6661179,15189317,8528138,8528138,,,,,,,
9933,2013年01月01日至2013年06月30日,,1287067,1287067,,,187618,78767,213590,27211,-46026,0.0,49964,-38073,-766,-2628,42000,40,511697,,,-535983,-1734741,,-576129,-7462,3253147,117579,-20735,-39899,-559443,141995,108716,147045,,24790,711921,0,-3493710.0,-806347,0.0,8839,75932,-3440973,-3293928,-2782231,-1495164,45009,0.0,-33202,-407330,-1890687,,0.0,,7800.0,-33000.0,-64127,6346,-25446.0,-49937,-15977,-174341,,466898,0.0,-250093,-35282,0.0,100919,282442,-1782586,15189317,13406731,13406731,37602.0,0.0,0.0,,,,
9933,2013年01月01日至2013年03月31日,,671765,671765,,,96134,38201,89359,12954,-25990,0.0,33590,-23670,-3,-2628,22000,1150,241097,,,-447335,-12081,,515999,8248,227988,64499,12780,-12350,-944191,37190,65549,-483704,,4778,-170337,0,-955813.0,-792807,0.0,61365,18468,-1834346,-2318050,-2076953,-1405188,14543,0.0,-20262,-9255,-1420162,,0.0,,0.0,0.0,-18602,3635,40399.0,-931,-3544,20957,,722435,0.0,-41521,-18720,0.0,80025,742219,-656986,15189317,14532331,14532331,,,0.0,0.0,,,
9933,2012年01月01日至2012年12月31日,,3453387,3453387,,,380739,143385,-119017,97765,-115805,-41819.0,123188,-77189,-21485,-1191,79000,6157,446288,,,1865723,13968,,857907,-16871,-5361709,422832,-51847,153393,-182119,514202,378338,-1406183,,-1336,-207606,-176165,,475441,0.0,240570,416430,-73252,-1479435,-1033147,2420240,124045,46091.0,-102943,-643170,1844263,,-129294.0,,11116.0,-13842.0,-451816,36125,-29113.0,-63904,-45388,-655850,,220731,-341140.0,-855476,-4928,-2315737.0,526395,-2770155,-1581742,16771059,15189317,15189317,,,30266.0,-7440.0,-820586.0,,
9933,2012年01月01日至2012年09月30日,,2508584,2508584,,,272190,107113,-105350,67713,-94403,-46091.0,129239,-48247,-20113,-843,48000,4004,313212,,,1362033,16917,,64427,-8325,-1337409,306938,-71718,89837,-3105891,368864,146599,-2167728,,17554,-1030990,-176165,,-349535,0.0,97235,212456,-561736,-2729464,-2416252,92332,93034,46091.0,-68948,-622747,-460238,,-100219.0,,1845.0,-13817.0,-174079,30455,13765.0,-56826,-34844,-333720,,127936,,-364753,-36631,-2332744.0,460719,-2145473,-2939431,16771059,13831628,13831628,33.0,,,,667676.0,,
9933,2012年01月01日至2012年06月30日,,1685800,1685800,,,182870,71019,-13140,46441,-67378,,81567,-41117,-15034,-689,27000,2764,274303,,,2274207,19628,,-1714002,-5125,-380305,229022,-64918,117667,-1426249,200195,135667,-614213,,11288,-602148,-74478,,-670421,,113549,60255,218749,-395464,-121161,1564639,60032,,-39998,-330931,1253742,,-105453.0,,1845.0,-13817.0,-127781,22667,10178.0,-31210,-32415,-275986,,-164420,,-400748,-44874,,143827,-466215,511541,16771059,17282600,17282600,33.0,,,,1380671.0,,
