公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 處分採用權益法之投資,　　 因合併產生之現金流入,　　 其他金融資產增加,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少
2355,2015年01月01日至2015年09月30日,,1822052,1822052,,,630959,0.0,26059,-95564,-886.0,19965,-33488.0,1297,548342.0,,,0.0,1724,-591581,-9891,-18146,-29411,19895,-627410,,473.0,-47750,-70164,93613,82235.0,21701,80108,-547302,1040,1823092,97692,886.0,-21198,-498734,1401738,,-1036233,1994687,-782388,17040,143122.0,86.0,-1130108,-793794,,31727.0,-336788.0,0.0,85810.0,-30625,-874490.0,-11159.0,0.0,-1135525,71506,-456075,3488190,3032115,3032115,,,,,,,,,,,,
2355,2015年01月01日至2015年06月30日,,912581,912581,,,415152,0.0,17829,-51366,,3314,-24929.0,837,360837.0,,,0.0,-4311,-114679,-9906,63004,-5107,-27679,-98678,,,-35586,-33018,-22709,56411.0,-9386,-44288,-142966,217871,1130452,61419,,-18608,-277721,895542,,-259783,1059459,-674098,16249,222241.0,,-692883,-328749,,,-178192.0,,68808.0,0,,-11159.0,,-120543,-105249,341001,3488190,3829191,3829191,66.0,,,,,,,,,,,
2355,2015年01月01日至2015年03月31日,,492106,492106,,,207617,0.0,11559,-23633,,3345,-8155.0,422,191155.0,,,,-11462,-98758,18105,123345,26209,-1414,56025,,0.0,9429,-116867,-237537,29949.0,-63630,-378656,-322631,-131476,360630,29423,,-9190,-29742,351121,,-262289,400000,-423669,263,728054.0,0.0,-381678,60681,,,-79940.0,,,0,,,,-79940,-38349,293513,3488190,3781703,3781703,,,,,,,,,,,,
2355,2014年度,,2344901,2344901,,,816688,,39196,-134334,-860.0,5119,-29677.0,1643,,,,1240.0,-9198,-912046,-16454,-380596,-12288,-14589,-1343931,,,120979,336894,-68955,171699.0,57547,621346,-722585,-24810,2320091,119641,860.0,-39844,-535990,1863898,,-200000,1179595,-725024,8666,117514.0,,-638867,-193697,,,155748.0,147744.0,89522.0,-5000,-1033488.0,-11345.0,-23573.0,-680392,228504,1218313,2269877,3488190,3488190,63559.0,,697775.0,3182.0,0.0,0.0,,,,,,
2355,2014年01月01日至2014年09月30日,,1688388,1688388,,,609559,206.0,23527,-104971,-860.0,3061,-27625.0,21841,524738.0,,,1240.0,-5307,-163837,-14810,-368079,-38171,-7104,-596068,,0.0,128527,163309,-104720,0.0,11488,198604,-397464,127274,1815662,91215,860.0,-22092,-511695,1373950,,-74311,1177542,-486853,8145,420008.0,61721.0,-274668,831584,,444152.0,0.0,143591.0,0.0,-5000,-1033488.0,-11345.0,-14292.0,-476382,37026,1766178,2269877,4036055,4036055,,,,,,,,,,,,
2355,2014年01月01日至2014年06月30日,,1101752,1101752,,,405589,206.0,14982,-66510,,2857,-20069.0,20638,357693.0,,,1240.0,-15432,-246341,-5739,-202850,-23345,12995,-479472,,,58943,84749,-164309,0.0,-5969,-26586,-506058,-148365,953387,60498,,-17709,-297923,698253,,0,937096,-150211,7636,539017.0,,-234268,1161072,,,-225202.0,,0.0,-5000,,-11345.0,,-241547,-7002,1610776,2269877,3880653,3880653,61802.0,,,,,,,,,,,
2355,2014年01月01日至2014年03月31日,,633363,633363,,,205097,206.0,6991,-31095,,2489,-20069.0,4795,168414.0,,,,-3591,-313299,1827,-161281,25164,7684,-443496,,4212.0,-46282,51122,-217835,0.0,-12055,-220838,-664334,-495920,137443,29396,,-9754,-24418,132667,,0,937097,-53158,7935,434676.0,-2131.0,-116442,1207977,,,-70087.0,,,-5000,,,,-75087,27906,1293463,2269877,3563340,3563340,,,,,,,,,,,,
2355,2013年度,,2270446,2270446,,,824822,,32892,-100713,-4351.0,2563,-47856.0,1612,,,,-1240.0,-4072,-393149,342696,-595272,-42375,-75084,-768496,,,28021,507980,444081,0.0,-8810,948385,179889,888858,3159304,96763,4351.0,-34003,-482153,2739911,,-830060,594623,-206016,4168,-674982.0,,-425798,-1548922,,,-507757.0,0.0,0.0,-25000,-874490.0,-12155.0,0.0,-1419402,15353,-213060,2482937,2269877,2269877,-63480.0,,708969.0,-22887.0,-108407.0,156679.0,,,,,,
2355,2013年01月01日至2013年12月31日,,2270446,2270446,,,824822,0.0,32892,-100713,-4351.0,2563,-47856.0,1612,,,,-1240.0,-4072,-393149,342696,-595272,-42375,-75084,-768496,,,28021,507980,444081,,-8810,948385,179889,888858,3159304,96763,4351.0,-34003,-482153,2739911,,-830060,594623,-206016,4168,-674982.0,,-425798,-1548922,,,-507757.0,,,-25000,-874490.0,-12155.0,,-1419402,15353,-213060,2482937,2269877,2269877,-63480.0,,708969.0,-22887.0,-108407.0,156679.0,0.0,0.0,0.0,,,
2355,2013年01月01日至2013年09月30日,,1743701,1743701,,,618868,60473.0,22420,-71992,-4351.0,1816,,-33899,,,,0.0,-4853,-491551,313583,-417445,-53880,-101440,-755586,,,-81381,324683,309539,,7898,560815,-194771,398564,2142265,70440,4351.0,-26358,-443899,1746799,,-530060,586219,-121690,3833,-318847.0,,-254016,-602846,,-396859.0,,0.0,,-20000,-874490.0,-12155.0,0.0,-1303504,14745,-144806,2482937,2338131,2338131,-103.0,,593335.0,76.0,,31818.0,,,,,,
