公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之股利,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分不動產、廠房及設備,　　 非控制權益變動,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 其他項目,　　 以成本衡量之金融資產減資退回股款,　　 取得投資性不動產,　　　　 股利收入,　　 取得無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 存出保證金增加,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他預付款項增加,　　 應付短期票券增加,　　 其他預付款項減少,　　 短期借款減少,　　 其他應收款－關係人減少,　　　　 投資性不動產公允價值調整損失(利益),　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 停業單位稅前淨利（淨損）,　　 處分子公司,　　 對子公司之收購（扣除所取得之現金）,　　 支付之利息-營業活動,　　 處分無活絡市場之債務工具投資,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 其他非流動負債增加
1217,2016年01月01日至2016年09月30日,,-44357,-44357,,,101186,4638,5615,2186,97076,-5460,-29183,656,0,,-4405,,,,-54761,-526288,-456,86168,18509,27269,-449559,,37088,109301,64866,2197,1098,,104494,-345065,-179241,-223598,5460,-98072,-8562,-220113,,0.0,0.0,0,0,-84526,3567,0,-393,-3932.0,-215558,,569827,-30000.0,0.0,-486309,2134103,-1818206,-13731,0,278257,4768,-152646,636247,483601,483601,0.0,,0.0,6587.0,-11567.0,-91377.0,0.0,475.0,-12149.0,,,102.0,0.0,0.0,-6587.0,,902.0,,,-2454.0,0.0,0.0,0.0,,13747.0,,0.0,,,165824.0,-110056.0,-50000.0,0.0,0.0,,,10000.0,0.0,25088.0,7706.0
1217,2016年01月01日至2016年06月30日,,-80703,-80703,,,67860,3011,2798,2734,54539,-985,-4305,213,0,,-4405,,,,-15438,-263531,-3247,-121926,3253,18142,-382747,,38542,71145,41923,1184,1177,,85729,-297018,-181505,-262208,985,-56261,-2685,-257855,,,,0,0,-34225,3406,0,-366,-1997.0,-81585,,163982,-30000.0,0.0,-486309,2120000,-1647181,-12789,0,96463,9673,-233304,636247,402943,402943,0.0,,0.0,6053.0,0.0,-65085.0,,434.0,19201.0,,,106.0,,0.0,-6053.0,,902.0,,,-2454.0,0.0,,0.0,0.0,7800.0,0.0,0.0,,,115513.0,-68242.0,0.0,0.0,,,,10000.0,0.0,25820.0,
1217,2016年01月01日至2016年03月31日,,-30268,-30268,,,34913,1752,821,3083,29393,-238,7121,-193,0,0.0,-4288,,,,5590,-91689,-2622,4659,728,52299,-31035,,9076,-255,-45295,438,259,,-60227,-91262,-18789,-49057,238,-31363,592,-48227,,0.0,0.0,0,0,-12759,0,0,-324,0.0,-3691,,77275,-30000.0,0.0,-485210,1920000,-1512578,-10843,0,-72719,-9088,-133725,636247,502522,502522,0.0,,0.0,,,0.0,,231.0,0.0,0.0,,109.0,,0.0,,,,3723.0,,0.0,,2225.0,3213.0,0.0,0.0,0.0,,,,72473.0,-24450.0,0.0,0.0,,,0.0,,,,
1217,2015年度,,56977,70844,,,273972,6551,972,-48736,148589,-12070,21187,-52575,-258529,0.0,-1831,,,,-24814,-72952,-250980,20666,-35777,-321,-356372,,9002,196653,84096,-326,1379,,267535,-88837,-85803,-14959,10658,-130101,1011,5344,,,,0,-31680,-175408,-10354,0,-400,,43118,,-78424,,,-558183,963000,-840982,15647,0,-360293,19848,-291983,928230,636247,636247,0.0,110.0,7806.0,8634.0,,-16565.0,,355.0,401758.0,,,0.0,5876.0,-371.0,-3755.0,,0.0,0.0,0.0,-15.0,0.0,14742.0,4967.0,-133008.0,,,452900.0,-70851.0,,3034.0,-23269.0,-211000.0,13867.0,,10071.0,,,,,
1217,2015年01月01日至2015年09月30日,,68194,102307,,,229609,5029,5125,-17630,122268,-11210,21955,5,-242910,,-1831,,,,-95804,-687709,-252584,121251,-37166,52425,-891781,,50983,239854,137569,3041,8020,,430168,-461613,-352199,-249892,9678,-110067,-5513,-353180,,0.0,0.0,0,0,-107340,1581,0,-463,0.0,182593,,1176,0.0,0.0,-558183,593000,-642589,5183,0,-226009,16718,-379878,928230,548352,548352,1618.0,0.0,7806.0,2614.0,0.0,-11696.0,0.0,17781.0,425409.0,0.0,,0.0,0.0,-281.0,-2614.0,,0.0,,,-8.0,0.0,-7700.0,634.0,-50005.0,,,354900.0,,,109414.0,-9299.0,-55000.0,34113.0,-9815.0,,,,,,
1217,2015年01月01日至2015年06月30日,,-133295,-133295,,,150123,3199,523,-19363,83278,-9497,-11146,42,-1496,,-1831,,,,-54367,-277000,39876,-144306,-3847,7543,-424295,,64744,120060,29543,806,10296,,220126,-204169,-8593,-141888,6977,-72880,-472,-206155,,,,0,0,-95485,1391,0,-265,-7754.0,-153621,,102343,-25000.0,0.0,-558183,818000,-520934,3961,0,97803,-9200,-271173,928230,657057,657057,3852.0,,7806.0,2108.0,0.0,-86964.0,,15104.0,277616.0,,,,,-281.0,-2108.0,,0.0,,,-8.0,0.0,,-59259.0,0.0,0.0,0.0,79900.0,,,195576.0,-5323.0,0.0,,,,,,,,
1217,2015年01月01日至2015年03月31日,,-79451,-79451,,,76254,1622,-522,-25957,42516,-4812,-1379,-242,-11,0.0,-1831,,,,-29547,-166005,49033,52393,-5239,5573,-93397,,-30059,28026,-81749,525,13728,,-76101,-169498,-82835,-162286,2789,-34658,1713,-192442,,0.0,0.0,0,0,-78901,-8585,0,-85,0.0,-146181,,302330,0.0,0.0,-558183,463000,-166077,3549,0,143146,3434,-192043,928230,736187,736187,1025.0,,395.0,,,-12730.0,,243.0,93527.0,0.0,,,,-281.0,,,,,,0.0,,4493.0,-50335.0,5000.0,0.0,0.0,,,,86663.0,-6572.0,0.0,,,,,,,,
1217,2014年度,,-395397,-395397,,,299618,6107,3498,17023,171248,-19453,-16647,4304,431,0.0,-13283,397020.0,,,3047,11155,-65825,-17481,-65640,13125,-94138,,33195,38956,9018,1913,-4688,-1822.0,76572,-17566,379454,-15943,20685,-144050,-13385,-141764,,,,0,-12600,-694286,53757,-73000,-2920,,-746943,,309824,0.0,0.0,-347604,530000,-604868,-1858,0,131669,46791,-710247,1638477,928230,928230,7346.0,1528.0,27481.0,10929.0,,-18114.0,0.0,33998.0,208175.0,0.0,,0.0,24332.0,-61.0,-5200.0,0.0,441.0,0.0,3358.0,-15.0,0.0,-8217.0,-53616.0,38000.0,,,,-59500.0,,,,,,,,,,,,
1217,2014年01月01日至2014年09月30日,,-337841,-337841,,,221209,4445,5484,8312,129108,-13482,-24567,4965,430,0.0,-13283,326907.0,,,-70581,-478770,-6792,89301,-59603,62050,-436914,,138832,99679,94034,2118,-4213,-4369.0,326081,-110833,216074,-121767,14714,-103667,-18251,-220930,,0.0,0.0,0,0,-560457,55703,0,-661,0.0,-564827,,423198,0.0,0.0,-347604,530000,-572237,-3104,0,289493,40959,-455305,1638477,1183172,1183172,6599.0,0.0,27481.0,8041.0,0.0,-30714.0,0.0,3133.0,209240.0,0.0,,0.0,24332.0,-60.0,-2313.0,,441.0,,,-12942.0,0.0,480.0,-46082.0,50000.0,,,2000.0,,,,,,,,,,,,,
1217,2014年01月01日至2014年06月30日,,-301817,-301817,,,147841,3133,1931,-13101,86248,-7831,-8073,1433,-313,0.0,-13210,201965.0,,,-29170,-245373,-3233,-17013,-39121,-148571,-470259,,83792,166844,45871,878,-4892,-2313.0,290180,-180079,21886,-279931,6427,-66094,-15539,-353965,,,,0,-12600,-313281,4949,0,-603,-1500.0,-333577,,467500,0.0,0.0,-346077,530000,-506104,-3275,0,413284,17844,-256414,1638477,1382063,1382063,5016.0,0.0,12222.0,1172.0,0.0,-18114.0,0.0,1096.0,209240.0,,,,,-60.0,-1109.0,0.0,441.0,,,-7.0,0.0,,0.0,62000.0,6102.0,0.0,,,,,,,,,,,,,,
