公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 未實現外幣兌換損失（利益）,　　 收取之股利,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 非控制權益變動,　　　　 其他項目,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付投資款增加,　　 其他非流動資產減少,　　 舉借長期借款,　　 發放現金股利,　　 處分採用權益法之投資,　　 預付設備款減少,　　 應付短期票券增加,　　 發行公司債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 持有供交易之金融資產（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款
3010,2016年01月01日至2016年09月30日,,1215201,1215201,,,74177,5572,2286,0,83246,-19800,-242290,-329,-22884,0.0,37152.0,,,,567084,-271941,-23086,-6603,3248,678250,-39223,907729,,8597,7132,-563490,46640,-19180,64313,27940,,-431251,476478,416619,1631820,19800,-71445,-325271,1483223,,-50048,95719,,-281471,32685,-15578,32744,-213,-54903.0,848581.0,-7019.0,,622486,,8087732,-8958928,,-23909,,3.0,-1498891,-367111,239707,2100213,2339920,2339920,-5713.0,15544.0,228319.0,,,13180.0,,0.0,,20964.0,-624753.0,,,0.0,,,-59859.0,-3203.0,0.0,,21989.0
3010,2016年01月01日至2016年06月30日,,808415,808415,,,48121,4015,787,0,53710,-16306,-170572,-337,-8075,0.0,,,,,122096,304057,-14682,-2741,3102,409980,-64442,757370,,14037,-19223,-534867,45767,77286,51282,99023,,-268588,488782,393376,1201791,16306,-47424,-229528,997107,,-40030,29458,,-114665,32682,-13852,29455,-213,-54903.0,704974.0,-2496.0,,551781,,5663105,-6266186,,-18185,,3.0,-600299,-226905,721684,2100213,2821897,2821897,-262.0,-4019.0,55962.0,,,-2468.0,,-18629.0,,20964.0,,,,0.0,,,-95406.0,-1893.0,0.0,,
3010,2016年01月01日至2016年03月31日,,444984,444984,,,22307,2191,12488,0,27924,-10396,-143111,0,-7660,,,,,,-112076,1026166,11259,-1994,284,241296,40926,1205861,,-29185,-46246,-856920,10039,-46655,20546,23319,,-926040,279821,160874,605858,10396,-23878,-51977,540399,,-20000,14023,,-26609,0,-9513,9864,-213,-54903.0,393268.0,-1662.0,,304255,,3088891,-3589067,0.0,-11785,3.0,,-511958,-124112,208584,2100213,2308797,2308797,,-29040.0,,,,6350.0,,,,0.0,,,,,,,-118947.0,-938.0,,,
3010,2015年度,,1654609,1654609,,,80272,14770,170234,4694,107059,-63028,-421181,-761,-1448,98631.0,,,,,-292803,179637,-15499,-14605,-1746,-599727,-56930,-808128,,-41709,17686,447857,37511,-61963,14932,83283,,493316,-314812,-116354,1538255,63028,-91261,-365618,1365256,,-374151,138479,,-649971,1296,-171315,170182,-5629,-662010.0,1130592.0,0.0,,-539335,,14382595,-15955422,-150000.0,-1041999,,-40.0,-1217841,5251,-386669,2486882,2100213,2100213,-13002.0,87518.0,220852.0,,14753.0,134700.0,,0.0,5694.0,2295859.0,-763587.0,,,,0.0,,198458.0,-4281.0,-6455.0,-122502.0,
3010,2015年01月01日至2015年09月30日,,1196612,1196612,,,59426,9684,127174,6420,77797,-50312,-338319,-866,-1447,98631.0,,,,,-344306,92673,-3429,-50348,2095,-541935,-9860,-855171,,-34183,1097,351038,29655,-134917,2679,140332,,353645,-501526,-306551,890061,50312,-64820,-303340,792276,,-309343,138479,,-368229,1236,-141901,161569,-3382,-243106.0,999493.0,5742.0,-9757.0,108298,,10450720,-11175278,,-1034903,0.0,,-552803,87953,435724,2486882,2922606,2922606,-12213.0,113396.0,220063.0,,,105604.0,,-122503.0,,2120245.0,-763587.0,,,-150000.0,0.0,,194975.0,-2056.0,-61.0,,
3010,2015年01月01日至2015年06月30日,,778284,778284,,,38954,6295,65946,-3647,50616,-38898,-280851,-831,-2060,98631.0,,,,,-64022,1146024,19811,-61280,2259,-169929,5388,879785,,-29430,-17228,-16299,45984,-24481,17735,167975,,142932,1022717,995038,1773322,38898,-43985,-208029,1630846,,-154121,119072,,-187113,1196,-125447,160137,-2258,,826311.0,9792.0,,647569,,6572644,-8139769,,-1029124,,0.0,-1555452,-236228,486735,2486882,2973617,2973617,-340.0,-13158.0,70640.0,,,51664.0,,,,1190797.0,,,,-150000.0,,,-27679.0,-1324.0,1534.0,,
3010,2015年01月01日至2015年03月31日,,378933,378933,,,19247,2790,20279,-1248,28210,-23540,-67338,-881,-5,,,,,,12018,750069,9039,25728,1838,-104809,25650,719533,,38201,-27824,-107666,36675,-28846,-4599,33461,,-61259,658274,623094,1002027,23540,-24386,-52165,949016,,-59653,5,,-112701,1230,-112387,45085,-1174,719344.0,,-237.0,-4586.0,474926,,3409361,-4201381,-100000.0,-1023674,,0.0,-904094,-126144,393704,2486882,2880586,2880586,,-35266.0,,,,22572.0,,,,1011600.0,,,,,,,-35180.0,-661.0,,,
3010,2014年度,,1763324,1763324,,,77871,20479,52318,1761,107271,-111625,-332253,-12875,-92985,,,-235676.0,,,-459035,-1244803,-25586,6867,-603,-532118,-215122,-2470400,,35097,400,155035,-4637,166359,22386,58570,434.0,433644,-2036756,-2272432,-509108,111625,-99522,-333361,-631762,,-491678,305418,0.0,-558807,15364,-53815,33169,-9591,-372261.0,,-15329.0,16529.0,-1134001,,16509406,-15179359,0.0,-1815247,0.0,-240.0,1161336,106716,-497711,2984593,2486882,2486882,-15212.0,15598.0,198604.0,,0.0,53976.0,0.0,-3000.0,,1346567.0,-694171.0,,,,994380.0,,,,,,
3010,2014年01月01日至2014年09月30日,,1289577,1289577,,,58694,11314,59866,0,77257,-85479,-237349,-12514,-92985,,,-184427.0,,,-334890,-1687143,-45610,16916,1712,-398671,-325671,-2773357,,55599,22570,648917,-7948,37600,53621,91888,2426.0,904673,-1868684,-2053111,-763534,85479,-74635,-282569,-838222,,-491678,306077,0.0,-315753,15003,-48703,22699,-9591,,-624778.0,,-20176.0,-1166900,,12435119,-11028909,,-910284,6170.0,,1198413,94009,-712700,2984593,2271893,2271893,-13645.0,4815.0,197037.0,,0.0,45599.0,0.0,,,296108.0,-694171.0,,,100000.0,994380.0,,,,,,
3010,2014年01月01日至2014年06月30日,,802119,802119,,,38711,7208,12365,0,50529,-59183,-154635,134,-92323,,,-178091.0,,,-86450,-801062,-44180,1432,-66794,-189646,-138681,-1325381,,25313,32767,90178,1191,179809,62295,-276,1642.0,392919,-932462,-1110553,-308434,59183,-50615,-195013,-435498,,-411638,140360,0.0,-297159,110,-42115,20126,-8567,,48821.0,,0.0,-549660,,7598416,-7349140,,-4517,0.0,-241.0,623473,-17591,-379276,2984593,2605317,2605317,-381.0,-20818.0,59381.0,,0.0,40302.0,0.0,,,278955.0,,,402.0,100000.0,,,,,,,
