公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分備供出售金融資產,　　 收取之利息,　　 取得以成本衡量之金融資產,　　 其他非流動資產增加,　　 短期借款減少,　　 應付短期票券減少,　　 發放現金股利,　　　　 處分投資損失（利益）,　　　　　 預付款項（增加）減少,　　　　　 應計退休金負債增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得備供出售金融資產,　　 償還長期借款
1236,2016年01月01日至2016年09月30日,,15213,0.0,15213,,,114972,13437,5215,-371,26,-1184,,,,823,33191,5686,113054,-9207.0,-3402,141430,,-28385,-65760,-33951,11017,-146395,-4965,109232,124445,-5531,-22662,96623,,-68749,87,17,,,-61773,,-40000.0,,-70000,3921,-101141,1090,-65201,203654,138453,138453,12571.0,371.0,,-5699.0,70927.0,9851.0,-75840.0,-17898.0,,,,114197.0,,-29330.0,1285.0,14.0,,,
1236,2016年01月01日至2016年06月30日,,-2376,0.0,-2376,,,75358,9322,4023,-316,51,-1131,,,,14103,157117,238,116833,-3136.0,-2121,282697,,-56171,-71808,-63266,-26031,-242361,40336,120422,118046,-3972,-13551,100839,,-53946,10,1290,,,-54336,,20000.0,-20093.0,25000,-8644,-125403,1090,-77810,203654,125844,125844,8324.0,316.0,0.0,-1579.0,,,,-7221.0,,,,80086.0,-25109.0,,-337.0,24.0,,-8435.0,-141666.0
1236,2016年01月01日至2016年03月31日,,39893,0.0,39893,,,37329,4744,2190,-97,0,-8355,,,,-37328,1510,1909,110963,-7538.0,-966,67731,,-54743,-68869,-61410,-29557,-240375,-172644,-136833,-96940,-2400,-4,-99247,,-38691,0,30,0.0,-1231.0,-39892,,33302.0,49842.0,0,18704,101848,1090,-36201,203654,167453,167453,0.0,97.0,,,,,,,,,,35811.0,-25824.0,,-819.0,28.0,0.0,,
1236,2015年度,,120633,,120633,,,132319,22256,4010,-621,-1685,-1012,,,,-4792,-27883,3789,-18158,,-3285,-54612,,12790,6845,8782,39884,68332,13720,168987,289620,-3935,-11576,274730,,-212366,1792,478,,,-219350,,,,100000,2187,-71981,1090,-15511,219165,203654,203654,0.0,621.0,-150.0,-9104.0,-33323.0,0.0,-140845.0,0.0,-4283.0,,,155267.0,,31.0,,,,,
1236,2015年01月01日至2015年09月30日,,68673,0.0,68673,,,100116,17373,3055,-498,-437,-1582,,,,-10613,-40710,4454,113039,-1894.0,-5276,59000,,-8483,-52269,-25647,22989,-63410,-4410,113617,182290,-950,-11407,170431,,-186211,469,-682,,,-189870,,,,140000,15729,-44963,1663,-62739,219165,156426,156426,0.0,498.0,,-3446.0,-59846.0,0.0,-140846.0,,,,,118027.0,,,,,,,
1236,2015年01月01日至2015年06月30日,,56777,0.0,56777,,,67972,12047,2038,-460,-426,2405,,,,12345,142102,4446,64082,-8470.0,-6157,208348,,-28644,-48317,-50509,3060,-124410,83938,167514,224291,-413,-6087,218251,,-151367,458,2305,,,-151017,,-55426.0,-100000.0,0,-2822,-158248,-2442,-93456,219165,125709,125709,0.0,460.0,0.0,-2413.0,,,,,,,,83576.0,,,,,,,
1236,2015年01月01日至2015年03月31日,,87374,0.0,87374,,,34511,6143,1301,-327,-448,-3600,,,,-31437,-61509,4294,67621,-16411.0,-5228,-42670,,-23326,-37991,-44279,-6885,-112724,-155394,-117814,-30440,-478,-31,-30622,,-72886,448,606,0.0,-1189.0,-73021,,16677.0,0.0,-50000,12567,-20756,3582,-120817,219165,98348,98348,0.0,327.0,,,,,,,,,,37580.0,-243.0,,0.0,0.0,0.0,,
1236,2014年度,,181932,,181932,,,137006,29771,6401,-1887,-113066,-3478,50332.0,,,5840,100517,-4932,-18431,,-319,89108,,-60393,-9457,-29386,139,-99084,-9976,40356,222288,-5433,-11164,207578,,-274579,152409,-2544,,,-139684,,,,50000,-1332,-58812,3581,12663,206502,219165,219165,4944.0,1887.0,0.0,-19914.0,-26635.0,60000.0,-140845.0,-4415.0,6433.0,13.0,,,,,,,,,
1236,2014年01月01日至2014年09月30日,,134834,0.0,134834,,,101882,22946,4813,-1948,-112793,-3490,11410.0,,,2394,119365,51,74503,6690.0,-3384,199619,,-65594,-74693,-65755,-1071,-207113,-7494,3916,138750,-4150,-10947,125601,,-185622,151276,-522,,0.0,-47760,,,,100000,11070,-76934,-897,10,206502,206512,206512,4944.0,1948.0,,-17836.0,-67158.0,20000.0,-140846.0,,,,,,,,,,,,
1236,2014年01月01日至2014年06月30日,,121090,0.0,121090,,,67133,15310,3348,-877,-112822,-3367,-31275.0,,,13554,182788,604,23545,15888.0,-2548,233831,,-90564,-55842,-68912,-11378,-226696,7135,-24140,96950,-3389,-3651,90787,,-113263,151276,79,,,26472,,-62932.0,60000.0,-20000,2773,-20159,-1049,96051,206502,302553,302553,4944.0,877.0,0.0,-16564.0,,,,,,,,,,,,,,,
1236,2014年01月01日至2014年03月31日,,32404,0.0,32404,,,32342,7542,1735,-572,8,-4444,36611.0,,,-5257,33530,-980,56198,2251.0,-2680,83062,,-93204,-48067,-71311,958,-211624,-128562,-91951,-59547,-1728,-12,-61287,,-79381,0,-485,0.0,-8088.0,-83010,,54109.0,90000.0,-20000,-1112,122997,61,-21239,206502,185263,185263,4944.0,,,,,,,,,,,,,,,,,,
1236,2013年度,,156418,,156418,,,136742,25976,8003,-1747,4276,60285,233535.0,,,6102,-99388,126581,39738,,557,69552,,32492,7112,22232,8463,70415,139967,373502,529920,-8263,-18892,504512,,-56261,2015,-252,,,-96355,,,,-120000,1881,-292947,-10413,104797,101705,206502,206502,0.0,1747.0,-21964.0,-19893.0,-58988.0,-40000.0,-75840.0,0.0,-4038.0,116.0,,,,,,,,,
