公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產
4919,2015年度,,571985,571985,,,140602,79535,-4262,1344.0,-16656,-52284.0,0,-891,0.0,0,147388.0,,,41498,-8061,-188827,-243503,-4515,1782,-401626,,126029,86154,29193.0,4787,-65675.0,8253,188741,-212885,-65497,506488,16586,52284.0,-1344.0,-110505,463509,,10000.0,0.0,-146071,936,-1158.0,-22262,-158555,,0.0,-249065.0,-249065.0,16665,72554,1753118,1825672,1825672,,,,,,,,
4919,2015年01月01日至2015年09月30日,,493625,493625,,,104868,59917,-5856,1344.0,-12189,-52284.0,0,-786,0.0,0,95014.0,,,-147809,-5114,-199516,-207742,-11695,1423,-570453,,212493,42059,22047.0,7494,5829.0,-1302,288620,-281833,-186819,306806,15028,52284.0,-1344.0,-105434,267340,,4500.0,,-85620,831,,-20382,-101771,,,-249065.0,-249065.0,24585,-58911,1753118,1694207,1694207,-1100.0,0.0,,,,,,
4919,2015年01月01日至2015年06月30日,,315274,315274,,,69475,40187,-5470,1344.0,-8212,-41712.0,0,-760,0.0,0,54852.0,,,-132015,-12619,7192,-169183,11503,1264,-293858,,205036,1534,13653.0,6014,3841.0,2394,232472,-61386,-6534,308740,4419,41712.0,0.0,-14273,340598,,4500.0,,-54257,801,197.0,-20225,-68984,,0.0,,0.0,-14410,257204,1753118,2010322,2010322,,,,,,,,
4919,2015年01月01日至2015年03月31日,,116751,116751,,,34963,20013,-6901,0.0,-3759,,0,-347,,0,43969.0,,,62,2443,-434,-102088,-15912,582,-115347,,90551,-41353,6176.0,-591,1961.0,177,56921,-58426,-14457,102294,3202,,0.0,-1760,103736,,,,-28447,362,185.0,-6705,-34605,,0.0,,0.0,-14434,54697,1753118,1807815,1807815,,,,,,,,
4919,2014年度,,420559,420559,,,138312,86536,4937,238.0,-16401,-39610.0,-14564,1032,-13183.0,-118,147179.0,,,60842,8893,56583,68780,-24379,-43975,126744,,-12196,51433,27283.0,1688,9324.0,1427,78959,205703,352882,773441,16361,47554.0,-378.0,-98355,738623,,0.0,33872.0,-135276,314,-4888.0,-191178,-297156,,-178830.0,-249065.0,-427895.0,20116,33688,1719430,1753118,1753118,,,,0.0,147179.0,9324.0,0.0,0.0
4919,2014年01月01日至2014年09月30日,,377509,377509,,,103017,66237,3521,238.0,-12310,-39610.0,-13846,1226,-1.0,235,108707.0,,,-9997,-9805,43563,46155,-22070,-44758,3088,,57669,40316,21573.0,7180,6369.0,3513,136620,139708,248415,625924,15289,47554.0,-378.0,-91324,597065,,0.0,,-98632,112,,-173898,-277336,,,-249065.0,-427895.0,476,-107690,1719430,1611740,1611740,-4918.0,-178830.0,,,,,,
4919,2014年01月01日至2014年06月30日,,268394,268394,,,68624,44148,-4398,238.0,-8113,-39600.0,-10318,160,-1.0,499,51239.0,,,-90355,-20114,58425,25300,-7110,258,-33596,,93410,45538,14270.0,3735,3304.0,7237,167494,133898,185137,453531,5462,47544.0,-378.0,-55521,450638,,0.0,,-70503,86,-357.0,-165150,-235924,,-178830.0,,-178830.0,2558,38442,1719430,1757872,1757872,,,,,,,,
4919,2014年01月01日至2014年03月31日,,60238,60238,,,33801,22136,296,238.0,-4018,,-4670,-14,,583,48352.0,,,34674,-7622,49109,14468,-27914,151,62866,,84779,42299,6235.0,9553,330.0,7311,150507,213373,261725,321963,3539,,-378.0,1045,326169,,,,-28292,30,312.0,-56975,-84925,,-178830.0,,-178830.0,15428,77842,1719430,1797272,1797272,,,,,,,,
4919,2013年度,,498285,498285,,,139053,87951,2341,297.0,-17207,-25626.0,-16094,1846,2250.0,-137,,,,125734,-8195,40973,138281,82201,-455,378539,,-73296,-54761,27811.0,-8650,,13554,-90120,288419,463876,962161,21552,30441.0,-157.0,-90259,923738,,,0.0,-171119,1709,-325.0,-137033,-320301,,178830.0,-352842.0,-174012.0,45347,474772,1244658,1719430,1719430,,,,783.0,175457.0,5222.0,-16000.0,2467.0
4919,2013年01月01日至2013年12月31日,,498285,498285,,,139053,87951,2341,297.0,-17207,-25626.0,-16094,1846,2250.0,-137,,,,125734,-8195,40973,138281,82201,-455,378539,,-73296,-54761,27811.0,-8650,,13554,-90120,288419,463876,962161,21552,30441.0,-157.0,-90259,923738,,,,-171119,1709,-325.0,-137033,-320301,,178830.0,-352842.0,-174012.0,45347,474772,1244658,1719430,1719430,,,,783.0,175457.0,5222.0,-16000.0,2467.0
4919,2013年01月01日至2013年09月30日,,457941,457941,,,103645,66074,-2820,0.0,-13111,-25626.0,-12996,2271,2057.0,265,,,,-9388,64410,44524,86682,54579,-396,240411,,17015,-90396,-6619.0,21156,,35085,-19736,220675,341217,799158,20353,30441.0,0.0,-85779,764173,,,,-140507,825,-71.0,-134540,-287826,,0.0,-352842.0,-352842.0,31937,155442,1244658,1400100,1400100,,,,783.0,120542.0,4023.0,-16000.0,2467.0
4919,2013年01月01日至2013年06月30日,,309210,309210,,,68745,43931,4683,0.0,-9043,-25600.0,-9348,2294,2053.0,539,,,,-62902,-41441,26144,11972,68359,-451,1681,,65070,-46301,13667.0,287,,35501,70912,72593,151630,460840,13125,30415.0,0.0,-82544,421836,,,,-72921,795,229.0,-131569,-217284,,0.0,,0.0,36070,240622,1244658,1485280,1485280,,,,783.0,79037.0,2688.0,-16000.0,2182.0
4919,2013年01月01日至2013年03月31日,,95125,95125,,,34001,22738,3686,0.0,-4604,,-1048,1787,,416,,,,47834,-14316,-86972,7243,79733,-319,33203,,-11477,-81842,24357.0,-1335,,11581,-57293,-24090,32886,128011,3012,,0.0,52,131075,,,,-52306,686,319.0,-91081,-158382,,0.0,,0.0,27422,115,1244658,1244773,1244773,,,,,56976.0,1423.0,-16000.0,
