公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　　 非金融資產減損損失,　　 預付投資款增加,　　 取得以成本衡量之金融資產,　　 其他金融資產減少
1471,2016年01月01日至2016年09月30日,,-248707,-248707,,,90269,7249,2760,187,-1403,-4768.0,-3477.0,,,90817,,,-33587,33232,-6805,969,,-8750,-14941,,-128,-24508,-1261,22363,-3534,-18475,72342,-176365,1334,4768.0,-174,-973,-171410,,,,,-9499,5310.0,,,-69002,,,176,176,-44603,-284839,695928,411089,411089,0.0,,,-70000.0,5187.0
1471,2016年01月01日至2016年06月30日,,-160423,-160423,,,61588,5078,8377,10,-987,0.0,-3371.0,0.0,0.0,70695,,,8199,27354,-24280,-7328,,-7813,-3868,,-134,-23685,-875,21882,-2812,-6680,64015,-96408,972,0.0,-7,-973,-96416,,0.0,0.0,0.0,-3459,3376.0,,0.0,-66455,,0.0,176,176,-26448,-189143,695928,506785,506785,0.0,,,-70000.0,3628.0
1471,2016年01月01日至2016年03月31日,,-87943,-87943,,,31612,2615,8249,7,-370,,,,,42113,,,25269,36539,-15918,-1495,,-7826,36569,,-228,-2682,-7975,375,-10510,26059,68172,-19771,355,,-7,-195,-19618,,,,,-1356,,507.0,,-20849,,0.0,340,-49660,-14426,-104553,695928,591375,591375,-50000.0,,-20000.0,,
1471,2015年度,,-366946,-366946,,,154217,13014,-2469,1166,-6491,-8734.0,-5846.0,,,212371,,,310627,-19855,144543,-9282,,-853,425180,,-294,-218515,-14883,-14687,-248379,176801,389172,22226,6716,8734.0,-1274,-4085,32317,,0.0,,,-9585,6456.0,31006.0,-32880.0,-5003,,,2048,-97952,11130,-59508,755436,695928,695928,-100000.0,67514.0,,,
1471,2015年01月01日至2015年09月30日,,-234469,-234469,,,116698,10245,2596,1128,-5925,-8734.0,4.0,0.0,0.0,116012,,,236947,8161,102568,-11002,,18,336692,,-439,-204681,-11301,8110,-208311,128381,244393,9924,5851,8734.0,-1236,-3897,19376,,0.0,0.0,0.0,-6582,0.0,-93761.0,0.0,-100343,,0.0,2038,-147962,6218,-222711,755436,532725,532725,-150000.0,,,,
1471,2015年01月01日至2015年06月30日,,-190107,-190107,,,78509,7079,-6516,823,-4531,0.0,4.0,0.0,0.0,75368,,,280356,16144,76166,-647,,-13,372006,,-137,-243878,-22987,5306,-261696,110310,185678,-4429,3118,0.0,-863,-3766,-5940,,0.0,0.0,0.0,-6200,0.0,-40934.0,0.0,-47134,,-60000.0,1995,-58005,-11188,-122267,755436,633169,633169,,,,,
1471,2015年01月01日至2015年03月31日,,-84748,-84748,,,40258,3878,-2483,690,-2318,0.0,0.0,0.0,0.0,40025,,,212853,18511,16299,-5021,0.0,0,242642,,-562,-160235,-16538,-731,-178066,64576,104601,19853,2202,0.0,-572,-3125,18358,,0.0,0.0,0.0,-276,0.0,-41644.0,0.0,-41920,,85000.0,-12,84988,-7476,53950,755436,809386,809386,,,,,
1471,2014年度,,-69194,-69194,,,173292,21684,-21511,3288,-7173,-402.0,-14161.0,,,155017,,,138496,-7203,108867,-3035,,24,237149,,127,-158668,-22392,1298,-179635,57514,212531,143337,8807,402.0,-3307,-2146,147093,,-17786.0,,,-71491,20666.0,-4191.0,-17852.0,-90654,,,0,-60000,24251,20690,734746,755436,755436,-60000.0,0.0,,,
1471,2014年01月01日至2014年09月30日,,-55928,-55928,,,130320,16954,-13412,2324,-5744,-402.0,-14169.0,0.0,0.0,115871,,,-153972,3206,36630,-7759,,-17,-121912,,-42,107888,-26968,-168,80710,-41202,74669,18741,7385,402.0,-2333,-1508,22687,,-17786.0,0.0,0.0,-42118,18995.0,-3627.0,-15347.0,-59883,,60000.0,0,60000,5502,28306,734746,763052,763052,0.0,,,,
1471,2014年01月01日至2014年06月30日,,-62943,-62943,,,88483,11935,-11444,2111,-3893,0.0,1496.0,0.0,0.0,88688,,,-131256,2494,-2183,-30234,,25,-161154,,4,105654,-28948,-727,75983,-85171,3517,-59426,5540,0.0,-2199,-958,-57043,,0.0,0.0,0.0,-32370,2051.0,58291.0,-10100.0,17872,,-150000.0,-33,-150033,-17744,-206948,734746,527798,527798,,,,,
