公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分子公司,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產減少,　　 應付短期票券減少,　　 發放現金股利,　　 以成本衡量之金融資產減資退回股款,　　 處分不動產、廠房及設備,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 利息收入,　　　　 金融資產減損迴轉利益,　　 收取之利息
1724,2016年01月01日至2016年09月30日,,173817,173817,,,145767,64,-5858,,1288,-29372,352.0,,1835,,,,1792,-42,-28011,-3707,3216,-10736,-27316,-64804,,15755,26150,6952,4187,-1137,-37175,14732,-50072,64004,237821,-1288,-27302.0,209231,,,-173274,-20814.0,-193387,,705000,-745000,49937.0,,,-117877,,-102033,190701,88668,88668,,,,-127814.0,501.0,200.0,,114076.0,,,
1724,2016年01月01日至2016年06月30日,,112200,112200,,,95110,43,-5871,,997,-7169,,,908,,,,2392,-52,-2268,-3855,-2839,1816,-36604,-41410,,14312,25908,5584,9134,12539,-37038,30439,-10971,73047,185247,-1042,-17162.0,167043,,,-93527,-7587.0,-101114,,345000,-495000,49970.0,,,-100030,,-34101,190701,156600,156600,,,,,,,,84018.0,,,
1724,2016年01月01日至2016年03月31日,,52343,52343,,,46520,21,-857,,634,-3136,,,2335,,,,6141,-40,25073,-1190,3202,18693,-43674,8205,,882,1009,-8984,6966,-15757,-37607,-53491,-45286,231,52574,-682,,51892,,,-22204,-15109.0,-37313,,245000,-240000,29950.0,,,34950,,49529,190701,240230,240230,,0.0,,,,,,45517.0,,,
1724,2015年度,,245398,245398,,,178522,108,5799,,3195,-85585,662.0,,-399,,,,1370,45,-56244,4901,-1316,1740,-2810,-52314,,-9215,-2825,10766,-3784,44127,1035,40104,-12210,66426,311824,-3147,-9984.0,298835,,,-141647,-33763.0,-143441,,1725000,-1845000,,,,-145563,,9831,180870,190701,190701,,30336.0,0.0,-25563.0,882.0,751.0,,78636.0,-142.0,-23524.0,142.0
1724,2015年01月01日至2015年09月30日,,102438,102438,,,132195,87,4997,,2539,-4140,-27.0,,4410,,,,352,-34,-59831,5391,-813,8703,-4804,-51036,,-6289,-2734,5295,-5649,4473,1154,-3750,-54786,85275,187713,-2541,-9974.0,175198,,,-99768,-3588.0,-103329,,1170000,-1290000,,,,-145563,,-73694,180870,107176,107176,,0.0,0.0,-25563.0,,27.0,,140061.0,,,
1724,2015年01月01日至2015年06月30日,,38694,38694,,,86963,66,2339,,1885,-2236,0.0,,2400,,,,3634,4,-18855,3958,-70,8354,-6279,-9254,,-12925,3177,11240,-5213,3417,914,610,-8644,82773,121467,-1908,-5794.0,113765,,,-69504,-3399.0,-72903,,910000,-960000,,,,-50000,,-9138,180870,171732,171732,,,0.0,,,,,91417.0,,,
1724,2015年01月01日至2015年03月31日,,11746,11746,,,43017,45,5232,,982,-208,0.0,,2513,,,,6783,5,-4138,-4977,943,33887,116,32619,,-13158,7053,-905,-3576,-1639,462,-11763,20856,72437,84183,-948,0.0,83235,,,-40774,,-36231,,440000,-470000,,,,-30000,,17004,180870,197874,197874,,4543.0,0.0,,,,,51581.0,,,
1724,2014年度,,50288,50288,,,167691,210,1137,0.0,3478,37452,7344.0,0.0,-1441,215871.0,,,-9934,-5,-230337,-5695,150202,-84797,-10551,-191117,,29825,37530,23039,-1014,13692,-7943,95129,-95988,119883,170171,-3520,-6121.0,160530,,0.0,-209819,0.0,-206788,,1650000,-1580000,0.0,,0.0,-15519,0.0,-61777,242647,180870,180870,0.0,1802.0,-59956.0,-25563.0,1229.0,0.0,,,,,
1724,2014年01月01日至2014年09月30日,,13767,13767,,,125343,166,1209,0.0,2507,39747,7344.0,0.0,-1076,175240.0,,,-10024,-2,-208781,-6980,145046,-104650,-13814,-199205,,24984,35752,27887,-6739,11349,-8708,84525,-114680,60560,74327,-2477,-5348.0,66502,,0.0,-195362,0.0,-185734,,1126726,-1081726,0.0,,0.0,-40519,0.0,-159751,242647,82896,82896,0.0,9628.0,-59956.0,-25563.0,,,,,,,
1724,2014年01月01日至2014年06月30日,,-33014,-33014,,,82715,122,1150,0.0,1565,42309,2341.0,0.0,2701,132903.0,,,-9185,-1,-151213,-2490,148773,-79098,-13626,-106840,,11640,32459,19975,-9073,3783,-9015,49769,-57071,75832,42818,-1598,-1557.0,39663,,0.0,-154722,0.0,-143235,,725000,-705000,0.0,,0.0,10030,0.0,-93542,242647,149105,149105,0.0,11487.0,-9970.0,,,,,,,,
