公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息收入,　　 對子公司之收購（扣除所取得之現金）,　　 收取之利息,　　　　 股利收入,　　　　 其他項目,　　 其他金融資產減少,　　 收取之股利,　　 發行公司債,　　 發放現金股利,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 現金減資,　　　　　 應付建造合約款增加（減少）,　　 預付設備款增加,　　 償還公司債,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 非控制權益變動,　　 舉借長期借款,　　 庫藏股票買回成本,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產
2542,2016年01月01日至2016年09月30日,,6419865,6419865,,,60273,11633,-13894,333885,,488,,,,,69072.0,-6760,79148,-2234,,4096157,771597,-491,621677,5628166,,-2658,-1409555,,59662,24901,-7792004,-8995,-196730,,-9097858,-3469692,-3161963,3257902,-833428,-599162,2658740,,,-71649,0,-13166,,-24594,107937,,20688351,-23111449,2102546.0,,-3132.0,-3250994,-263,-484580,12381931,11897351,11897351,-22220.0,,17770.0,-59309.0,,,59309.0,4994800.0,-7895589.0,,,,226672.0,-11055.0,,,307729.0,849.0,-40893.0,847800.0,,280.0,-3407.0,151322.0
2542,2016年01月01日至2016年06月30日,,3776508,3776508,,,39189,8021,-65403,188119,,41,,,,,13736.0,100240,485345,-14109,,2462084,324013,5744,596068,3973121,,-2330,-1332102,,-131593,8417,-4631977,-6403,-144344,,-5846030,-1872909,-1720744,2055764,-576205,-496114,1559650,,,-34319,0,-5704,,-22237,-58117,,8785937,-17698466,0.0,-451765.0,-2080.0,-4375676,-130,-2874273,12381931,9507658,9507658,-17802.0,,15198.0,,,,,4995000.0,,,,,394223.0,-11055.0,-200.0,,152165.0,79.0,-35697.0,607800.0,,,,
2542,2016年01月01日至2016年03月31日,,2873031,2873031,,,19068,3970,-17596,82349,,15,,,,,,54508,405300,10362,,3566380,303365,-37220,523912,4826607,,-31336,-1742785,,-53404,-3244,-4635404,-6961,-83127,,-6226648,-1400041,-1317138,1555893,-274640,-77792,1478101,,,-7418,0,-5628,,-22034,-40019,,6174877,-6221137,0.0,-686562.0,-1037.0,-426409,-17,1011656,12381931,13393587,13393587,-4903.0,,2229.0,,,,,,,,,,329553.0,-7168.0,-200.0,,82903.0,60.0,-25510.0,607800.0,,,,
2542,2015年度,,9873872,9873872,,,55586,12273,298168,237780,,1064,,,,,,35590,-427132,66284,,-5180246,1065331,-48843,885864,-3603152,,-43859,1142253,,1334456,2950,-1177364,-71544,317601,,1652265,-1950887,-1480319,8393553,-1284181,-632840,7760713,,,-54716,1571,-9614,,-340,75536,,19741248,-24583694,1786712.0,,-100408.0,-6176843,-164,1659242,10722689,12381931,12381931,-55940.0,,63492.0,-78363.0,,,78363.0,0.0,-4335292.0,,,,139500.0,-3220.0,0.0,,470568.0,8272.0,545073.0,2505930.0,-452231.0,,,
2542,2015年01月01日至2015年09月30日,,3450646,3450646,,,44079,9145,271342,122156,,227,,,,,,163184,-45160,87724,,-9293123,261373,4576,-852270,-9673696,,-70229,-1601903,,-133180,-32609,402089,-65437,291588,,-1203107,-10876803,-10551601,-7100955,-926287,-260360,-7361315,,,-26971,196,-8011,,-70,6804,,13041702,-10235371,2689413.0,0.0,-99384.0,4322764,-53,-3031800,10722689,7690889,7690889,-43384.0,,47458.0,-78363.0,,,,0.0,0.0,,,,-1253.0,-5798.0,,,325202.0,7827.0,-147309.0,,,,,
2542,2015年01月01日至2015年06月30日,,2945968,2945968,,,29412,6171,-7560,75390,,217,,,,,,121361,444737,68996,,-5288220,96191,-7302,-213488,-4777725,,-59711,-1684131,,-180559,-32430,150663,-24642,194084,,-1697607,-6475332,-6404457,-3458489,-593894,-196980,-3655469,,,-21790,197,-2367,,-1980,8456,,5467416,-5894956,1788002.0,,,1488854,-218,-2158377,10722689,8564312,8564312,-32755.0,,37576.0,,,,,0.0,,,,,-68588.0,-3180.0,,,70875.0,7707.0,731672.0,-9386.0,,,,
2542,2015年01月01日至2015年03月31日,,3003467,3003467,,,12703,3149,-88787,43241,,-26,,,,,,28528,518178,53126,,-455434,256437,-41389,-190218,169228,,38157,-1532671,,-107363,-9206,-1306396,969,58055,,-2835460,-2666232,-2707691,295776,-292240,-177587,118189,,,-9245,82,-842,,-397,3324,,2116991,-4339160,75831.0,,-4693.0,-1711599,-152,-1590238,10722689,9132451,9132451,-11739.0,,16619.0,,,0.0,,,,,,,15321.0,-2893.0,,,-41459.0,7674.0,731672.0,,,,,
2542,2014年度,,11172002,11172002,,,45552,13089,-65283,316370,0.0,-843,,256219.0,,,,-367268,-527990,85866,,137859,439091,82891,139295,-10256,,17894,852374,,-2736,31485,-1119480,91458,-32464,291.0,-253311,-263567,-7348,11164654,-1269003,-911191,10253463,,,-52740,1734,-11988,,-503202,-554228,,18708858,-23320907,228075.0,0.0,-18697.0,-4904847,543,4794931,5927758,10722689,10722689,-52666.0,0.0,42222.0,0.0,,0.0,0.0,2000000.0,-1232473.0,,,,-92133.0,-30254.0,-700.0,,,,,,,,,
2542,2014年01月01日至2014年09月30日,,9570767,9570767,,,31828,9968,-9003,240167,0.0,-847,,241065.0,,,,-148462,-86230,118619,,1974832,590036,-34267,-334542,2079986,,-56125,-362226,,303521,37692,-2869490,4485,24550,144.0,-2890999,-811013,-569948,9000819,-990108,-848370,8152449,,,-33119,1732,-12220,,-500687,-546250,,13402353,-16976948,,-192035.0,-14012.0,-4003223,211,3603187,5927758,9530945,9530945,-31048.0,0.0,28758.0,0.0,,0.0,0.0,2000000.0,-1232473.0,,,,26450.0,-30714.0,,,,,,,,,,
2542,2014年01月01日至2014年06月30日,,3197195,3197195,,,20358,6567,5547,163758,0.0,-851,,176015.0,,,,68373,-260686,125556,0.0,-4352810,-98396,7858,199325,-4310780,,-30305,-350201,,45405,27450,1227380,3855,46172,58.0,867021,-3443759,-3267744,-70549,-640190,-595507,-666056,,,-21377,1733,-4820,0.0,0,-397991,,9742065,-7389401,1652674.0,0.0,-9339.0,4855809,-515,3791247,5927758,9719005,9719005,-19364.0,0.0,18832.0,,,-374338.0,,1500000.0,,,,,-102793.0,-18021.0,,,,,,,,,,
