公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　 收取之股利,　　 處分子公司,　　 處分待出售非流動資產,　　 應付短期票券減少,　　　　 股利收入,　　　　 金融資產減損損失,　　 其他非流動資產增加,　　 備供出售金融資產減資退回股款,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得採用權益法之投資
1104,2014年01月01日至2014年03月31日,,251967,251967,,,32471,1563,474,2320,-676,-193276,-350,140.0,325,,,,-157009.0,,,57106,7627.0,34357,21186,-453,34758,-927,-3395,150259,,-50667,-12063,-63329,-32968,-17299,8009,-3632.0,-171949,-21690,-178699,73268,676,-49,73895,,-145325,1769.0,-49152,350,0.0,-12242.0,,93.0,-204507,,305000,0.0,-9.0,-38,-2320,0,102754,188,-27670,429215,401545,401545,,,,,,-199879.0,,,0.0,,,-157009.0,-3632.0,
1104,2013年度,,1148493,1148493,,,124615,11587,536,6823,-2178,-843929,-12893,8652.0,13582,,,,-828630.0,,,2099,-12019.0,-89795,34862,-3057,-6240,-14049,-13777,-101976,,30072,-25543,39768,-34074,28093,3545,1940.0,43801,-58175,-886805,261688,2505,-5273,548411,,-500287,196179.0,-272478,11590,-297.0,,50673.0,8734.0,-417900,,306000,194875.0,569.0,-452922,-6811,1409,43120,2112,175743,253472,429215,429215,2073.0,-826.0,289491.0,1291.0,86695.0,,-136672.0,,,0.0,,,,
1104,2013年01月01日至2013年12月31日,,1148493,1148493,,,124615,11587,536,6823,-2178,-843929,-12893,8652.0,13582,0.0,,,-828630.0,,,2099,-12019.0,-89795,34862,-3057,-6240,-14049,-13777,-101976,,30072,-25543,39768,-34074,28093,3545,1940.0,43801,-58175,-886805,261688,2505,-5273,548411,,-500287,196179.0,-272478,11590,-297.0,,50673.0,8734.0,-417900,,306000,194875.0,569.0,-452922,-6811,1409,43120,2112,175743,253472,429215,429215,2073.0,-826.0,289491.0,1291.0,86695.0,,-136672.0,0.0,,,,,,
1104,2013年01月01日至2013年09月30日,,779028,779028,,,95019,8322,-161,4888,-1513,-543345,-4623,5337.0,12335,-5556.0,,-3859.0,-431909.0,,,81460,-7878.0,20957,44156,-12145,-8168,-10715,-23105,84562,,3137,-38713,-1543,-84668,6585,1718,1588.0,-111896,-27334,-459243,319785,1840,-3345,469388,,-500224,196116.0,-214039,3194,-185.0,,51106.0,10097.0,-365949,,482000,,224.0,-452922,-4876,-23893,-4467,4058,103030,253472,356502,356502,2073.0,-826.0,151108.0,1288.0,86698.0,-5000.0,,,,,,,,
1104,2013年01月01日至2013年06月30日,,541368,541368,,,62358,5142,-1102,2938,-749,-337272,-2625,4654.0,12670,0.0,-2679.0,-3859.0,-259277.0,,,-981,13525.0,76586,25979,-116613,29950,-9613,-23411,-4578,,-4790,-34900,-18082,-98946,24020,4864,258.0,-127576,-132154,-391431,149937,715,-13649,137003,,-500224,174502.0,-127840,2065,-104.0,-18677.0,0.0,-9.0,-382301,,288000,5000.0,10856.0,-3,-2934,-8893,292026,4181,50909,253472,304381,304381,2073.0,-826.0,0.0,1288.0,86698.0,,,,,,,,,
1104,2013年01月01日至2013年03月31日,,186259,186259,,,30664,2302,-1027,1179,-285,-149956,-1756,4468.0,14801,0.0,-514.0,-3859.0,-103983.0,,,21600,3393.0,70525,21487,3168,78966,-2571,-369,196199,,-64880,-42222,-32243,-101490,-4674,5567,1380.0,-238562,-42363,-146346,39913,269,-4,40178,,-229848,136129.0,-106433,1398,-172.0,-28598.0,0.0,-9.0,-227533,,78000,145000.0,0.0,-3,-1158,8386,230225,2439,45309,253472,298781,298781,,,,,,,,,,,,,,
1104,2012年01月01日至2012年12月31日,,719269,719269,,,122580,9456,10682,2568,-3477,-678710,-8117,1317.0,-1468,125327.0,,,-514552.0,,,-51818,-32154.0,-103620,-59893,-40275,-68114,-8457,-9267,-373598,,8337,1823,-1339,81353,32365,-33041,-3282.0,86216,-287382,-801934,-82665,3405,-44730,74512,,-95132,74941.0,-203026,5775,-219.0,,33779.0,9007.0,-172185,,42500,1987.0,1790.0,-362342,-2705,-19762,-338532,-3867,-440072,693544,253472,253472,-4669.0,0.0,198502.0,2690.0,0.0,,-116841.0,26800.0,,,,,,
1104,2012年01月01日至2012年09月30日,,598265,598265,,,92037,6090,6524,1848,-2451,-439631,-7185,1317.0,0,-1633.0,,-3846.0,-346930.0,,,21616,-25347.0,-83019,-53493,-5935,-57141,-2611,-37398,-243328,,-8396,-6532,-44938,55241,-5126,-20131,-4832.0,-34714,-278042,-624972,-26707,2899,-41127,16726,,-34863,30436.0,-161607,5712,-150.0,,7713.0,8993.0,-143766,,52000,,1854.0,-362342,-1929,-19663,-330080,-4208,-461328,693544,232216,232216,0.0,0.0,81661.0,0.0,0.0,0.0,,,,,,,,
1104,2012年01月01日至2012年06月30日,,412060,412060,,,60547,3831,6313,1107,-1255,-278763,-6266,1214.0,0,59.0,0.0,-3846.0,-217059.0,,,17292,-20892.0,5304,-51072,-97494,-67385,-6063,-7282,-227592,,-30497,-858,-40623,-25029,13836,8171,-393.0,-75393,-302985,-520044,-107984,1731,-40046,-144589,,-31989,30436.0,-122394,5619,-137.0,0.0,7713.0,8994.0,-101758,,27000,80000.0,1854.0,0,-1070,-9037,98747,-2943,-150543,693544,543001,543001,0.0,0.0,1710.0,0.0,0.0,,,,,,,,,
1104,2012年01月01日至2012年03月31日,,150539,150539,,,30719,1625,1333,456,-579,-135399,-820,905.0,0,90.0,0.0,-3846.0,-105516.0,,,30733,-15025.0,-63775,-57546,1759,-12958,-1052,7718,-110146,,-33572,-3351,-15636,66972,-32012,-25855,-1973.0,-45427,-155573,-261089,-110550,710,-15,-109855,,0,24066.0,-79994,0,0.0,0.0,6843.0,8994.0,-40091,,5000,0.0,1827.0,0,-528,-8994,-2695,-1067,-153708,693544,539836,539836,,,,,,,,,,,,,,
