公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 其他非流動資產增加,　　 收取之利息-營業活動,　　 收取之股利,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 發行公司債,　　 現金增資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 股利收入,　　　　 金融資產減損損失,　　　　　 應付票據增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他預付款項增加,　　 應付短期票券增加,　　 舉借長期借款,　　 發行特別股負債
3049,2016年01月01日至2016年09月30日,,-845307,0,-845307,,,1064040,32961,,104411,-6713,,2813,,0,0,180000,,,1382032,,,241188.0,103206,5734,-504438,26713,46044,,-463,-82016,,-8195,-54075,523989,-16318,0,4157,460804,378788,1760820,915513,7341,-111051,721424,,0,,0,-142304,1650,,,,-201041,,-1972741,,350000,,-1480000,-344800,,-1596117,2255476,659359,659359,-90379.0,,-5000.0,-416.0,,,,,0.0,,,,4520.0,11246.0,0.0,-1625630.0,145000.0,375000.0,265200.0
3049,2016年01月01日至2016年06月30日,,-1044363,0,-1044363,,,709704,24354,,71622,-5830,,0,,0,0,120000,,0.0,919850,,,241188.0,117678,5734,9492,26713,62627,,-18484,444948,,-55390,-49823,277586,-13068,0,-6856,150886,595834,1515684,471321,5746,-69985,316703,,0,,0,-190641,0,0.0,,,-161,,-195853,,0,,-780000,-780000,0.0,-659150,2255476,1596326,1596326,-90379.0,,-5000.0,-51.0,,,,,,,,,,-1563.0,,,,,
3049,2016年01月01日至2016年03月31日,,-414018,0,-414018,,,355772,12401,0.0,40482,-3164,0.0,0,,0,0,60000,0.0,0.0,451083,,,0.0,365643,5734,1864,26634,130668,0.0,-1182,529361,,-104018,-40034,-23850,-22903,0,1142,-190085,339276,790359,376341,3123,-40899,338565,,0,0.0,0,-94157,0,0.0,0.0,-471.0,0,,-99628,,0,0.0,-698260,-698260,0.0,-459323,2255476,1796153,1796153,,,-5000.0,0.0,,,,,,0.0,-14408.0,,0.0,-422.0,,,,,
3049,2015年度,,388239,-218255,169984,,,1354517,50532,0.0,168704,-9714,0.0,-263,,35230,-9662,223576,0.0,0.0,1872920,,,0.0,112873,-4331,1807,213577,84887,-776.0,21860,429897,,-222548,86373,22175,-309252,-71471,8435,-484725,-54828,1818092,1988076,9997,-154938,1843135,,14889,0.0,72091,-333560,2414,-1368.0,0.0,0.0,1154890,716.0,669031,,-140166,0.0,-2996400,-1336566,0.0,1175600,1079876,2255476,2255476,0.0,0.0,0.0,,,0.0,,,1800000.0,0.0,0.0,0.0,60000.0,1563.0,-241041.0,,,,
3049,2015年01月01日至2015年09月30日,,350234,-137205,213029,,,1014936,37895,0.0,126288,-6357,,-263,0.0,14180,-9662,124205,0.0,0.0,1301222,,,,110948,-4117,-5244,214861,48839,0.0,22515,387802,,-240112,74489,12313,-253288,-71471,10859,-467210,-79408,1221814,1434843,0,-121455,1320294,,14889,,62341,-247593,2414,,0.0,,1154890,-669.0,164642,,-140166,0.0,-2198560,-538726,0.0,946210,1079876,2026086,2026086,0.0,0.0,0.0,,6906.0,0.0,-821630.0,0.0,1800000.0,0.0,,,,,,,,,
3049,2015年01月01日至2015年06月30日,,103946,-74180,29766,,,675603,25232,0.0,86370,-5251,0.0,-263,0.0,14180,-9662,60000,0.0,1159.0,847368,,,147.0,182395,-856,-5242,205858,110792,0.0,15778,508872,,-256640,45740,-50958,-285158,-71471,12799,-605688,-96816,750552,780318,6008,-83243,703083,,14889,0.0,63339,-208374,2414,-1368.0,0.0,0.0,1228889,0.0,1099370,,89371,0.0,-1500000,-1410629,0.0,391824,1079876,1471700,1471700,0.0,0.0,0.0,-419.0,,,,,,,,,,,,,,,
3049,2015年01月01日至2015年03月31日,,181102,-44180,136922,,,337607,12501,0.0,45107,-2536,0.0,413,0.0,14180,-9662,30000,0.0,311.0,427921,,,174.0,94358,-340,-3342,212203,-31124,0.0,4030,275959,,-214293,35691,-20857,39313,-56,9990,-150212,125747,553668,690590,2694,-43452,649832,,14889,0.0,62349,-119510,1347,-1368.0,0.0,-310.0,789750,-453.0,746694,,59834,0.0,-700000,-640166,0.0,756360,1079876,1836236,1836236,,,,,,,,,,,,,,,,,,,
3049,2014年度,,726679,-65633,661046,,,1383381,50278,8675.0,258515,-5294,0.0,-15650,,-192074,0,201316,0.0,10620.0,1699392,,,-147.0,232394,22005,144243,-187708,184884,-448.0,-4469,390754,,-100115,13239,-401807,-82085,-128525,-15893,-715186,-324432,1374960,2036006,4379,-264153,1706359,,0,0.0,2460163,-758089,148975,-1848.0,5008.0,-1274995.0,1733328,5447.0,2143014,,-1313542,-299903.0,-4530000,-4143446,11599.0,-282474,1362350,1079876,1079876,-70248.0,-25000.0,-149975.0,,,375.0,,,0.0,1999999.0,0.0,-375.0,0.0,0.0,0.0,,,,
3049,2014年01月01日至2014年09月30日,,529808,111418,641226,,,1036530,37856,-8676.0,209364,-2046,,1724,156.0,-192074,0,0,39853.0,122.0,1122809,,,,193113,11812,143351,-91503,160888,-335.0,1073,418399,,-300043,14092,-371318,-278305,-119592,-35248,-1090414,-672015,450794,1092020,375,-207698,815742,,0,,0,-602027,4239782,,0.0,,4440,4673.0,3473317,,-1021919,-299903.0,-3730000,-3051823,14622.0,1251858,1362350,2614208,2614208,-70248.0,-25000.0,-149975.0,,2043.0,-375.0,0.0,1049.0,0.0,1999999.0,,,,,,,,,
3049,2014年01月01日至2014年06月30日,,408278,111418,519696,,,691341,25167,-7818.0,144488,-1679,0.0,-4158,157.0,-192074,0,0,60455.0,9252.0,725131,,,-137.0,432401,-33572,134690,-395222,53456,-222.0,24857,216251,,-229019,14197,-351095,-238476,-95138,-30605,-930136,-713885,11246,530942,1676,-141044,321326,,0,0.0,0,-501214,4126255,-1848.0,0.0,0.0,28520,6355.0,3483093,,-669726,-299903.0,-2730000,-3699629,4225.0,109015,1362350,1471365,1471365,-70248.0,-25000.0,-149975.0,0.0,,,,,,,,,,,,,,,
