公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 處分無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損損失,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他營業負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分投資性不動產,　　 收取之股利,　　 發放現金股利,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得無形資產,　　 其他金融資產減少,　　　　 金融資產減損損失,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　　　　 負債準備增加（減少）,　　 其他應收款增加,　　　　　 應付票據－關係人增加（減少）,　　 其他應收款－關係人增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 處分待出售非流動資產,　　 其他應收款－關係人減少,　　 其他非流動資產增加,　　 其他應付款－關係人增加,　　 庫藏股票買回成本,　　　　 其他項目,　　 其他非流動資產減少,　　 預付設備款減少,　　　　 非金融資產減損迴轉利益,　　　　 已實現銷貨損失（利益）
1103,2016年01月01日至2016年09月30日,,-71221,-71221,,,245468,,0.0,-137162,145482,-40623,38242,-153,,23687,53452.0,,,,51278,12755,26353,22,355,,152895,-28089,9813,,502308,,-32527,-36755,2534,-17376,46319,-11255,,-64094,438214,595629,524408,-155525,-10649,358234,,,,0.0,2431010,,,,-132552,2376,32833.0,,,-15914.0,-486420,,40576,3306523,,-3751.0,,65000.0,0.0,0.0,-3282883.0,1937,,0,-3299514,-73529,291714,1829306,2121020,2121020,-183316.0,0.0,3056.0,,,5792.0,,,0.0,180734.0,-79817.0,0.0,,,1306942.0,,,,,,,-75975.0,,157415.0,276926.0,-15034.0,0.0,,0.0,,0.0,9282.0,17121.0,,,
1103,2016年01月01日至2016年06月30日,,-234869,-234869,,,166509,,,63540,99751,-30718,36814,-147,,0,37429.0,,,,549,11796,28371,22,3401,,67737,-28944,9864,,78006,,-33069,47014,16350,-29956,14168,-9985,,3855,81861,380126,145257,-103779,-7219,34259,,,,,0,,,,-63219,2215,,32520.0,,-15928.0,-63685,,26990,659222,,99637.0,,118000.0,0.0,,-750085.0,1937,,0,-530511,-25844,137126,1829306,1966432,1966432,-81181.0,0.0,0.0,,,5792.0,,,0.0,72808.0,0.0,,,,751300.0,,,,,,,-91169.0,,298265.0,-14790.0,-667.0,0.0,0.0,0.0,,,6300.0,1598.0,,-32.0,
1103,2016年01月01日至2016年03月31日,,-191528,-191528,,,72252,,,21279,49469,-17021,20187,-268,,0,39555.0,,,,60505,7251,21410,3,4107,,32279,-32941,0,,77824,,-714,-92781,4387,-20051,-3313,744,,-112041,-34217,154399,-37129,-52117,-4820,-94066,,,,,0,,,,-13882,275,-3.0,,,-5636.0,-91334,,17389,847985,,15000.0,,62000.0,,,-441515.0,3294,,0,-361221,-25734,366964,1829306,2196270,2196270,,,,,,,,,,,,,,,1042560.0,,,,,,,-102282.0,,188616.0,-14790.0,-313.0,0.0,,898.0,,,3185.0,,,-22.0,0.0
1103,2015年度,,194900,194900,,,343420,,-177.0,293885,226225,-95223,117219,-27306,,-168671,-60523.0,,,,251866,-5738,2639,6962,13242,0.0,-72910,3216,7583,,1105642,,32758,-195439,-4387,-40558,-24353,-333,,-275989,829653,425448,620348,-225741,-91217,303390,,,,-2328680.0,662407,,,,-100593,31040,-34489.0,,,-37078.0,-1107989,0.0,134226,-775173,,-745193.0,,0.0,-236000.0,334291.0,,1560,,-28442,-925916,63317,-1334382,3163688,1829306,1829306,-559107.0,-980475.0,476096.0,,,4730.0,,0.0,1188107.0,559107.0,-231298.0,4234.0,,,27937.0,17641.0,,0.0,,,,0.0,,-404205.0,898782.0,-43677.0,147940.0,68754.0,0.0,,-20834.0,12791.0,1977.0,3197.0,,
1103,2015年01月01日至2015年09月30日,,-369795,-369795,,,257731,,2072.0,292992,167200,-72081,54413,-1737,,12616,-18560.0,,,,287651,-1259,46908,6566,8329,,-15607,-39487,1575,,414042,,-641,-301996,12328,-113353,224544,37,,-185929,228113,479037,109242,-165242,-43783,-99783,,,,-2328680.0,106674,,,,-84216,3693,23703.0,,,-37025.0,-1244224,,112392,-2502791,,-85185.0,,-112000.0,,1259918.0,,5545,,-28442,991849,-20675,-1631400,3163688,1532288,1532288,-556490.0,-45981.0,158749.0,,,4730.0,,0.0,61552.0,552994.0,-34122.0,4234.0,,,116123.0,,,0.0,-6042.0,55077.0,0.0,,,250924.0,119366.0,-806.0,147940.0,,2242.0,0.0,-13865.0,,,,,
1103,2015年01月01日至2015年06月30日,,-9609,-9609,,,166787,,0.0,-60766,104009,-50586,15069,-2490,,4058,,,,,221717,230,57560,-4824,15784,,-380,-53480,251,5983.0,352143,,209,-298305,-12745,-37942,115794,2408,,-235265,116878,-35222,-44831,-105247,-37824,-187902,,,,,102635,,,,-68456,2490,22480.0,,,-37005.0,-111213,,75841,700202,,351826.0,,-41000.0,,,-431537.0,10604,,-200,-112963,-18921,380416,3163688,3544104,3544104,-291334.0,-39907.0,3060.0,,-60.0,0.0,,0.0,55479.0,290691.0,-2656.0,,,,97625.0,,,0.0,-4091.0,121695.0,,,,-152100.0,109302.0,-533.0,147940.0,,,,,,,,,
1103,2015年01月01日至2015年03月31日,,-209547,-209547,,,83581,,0.0,-57103,52280,-25728,5220,0,,3775,,,,,197357,2464,33179,-26211,23175,,20079,-78592,2405,2479.0,176335,,-772,-247448,10239,-39040,-7124,1625,,-284893,-108558,-46533,-256080,-53373,-140,-309593,,,,,19333,,,,-38363,0,-20.0,,,-6783.0,-36305,,17605,349797,,779000.0,,114000.0,,,-934097.0,7958,,-200,-33339,-17796,-10931,3163688,3152757,3152757,,,,,0.0,,,,,,,,,,231566.0,,,0.0,-2101.0,,,,,62025.0,0.0,-272.0,147940.0,14824.0,,,,,,,,
1103,2014年度,,9301,9301,,,377787,,-718.0,2173,193067,-93360,17916,-9436,,41200,,252402.0,,,107539,9282,77291,-6953,30744,-10977.0,-372939,42775,-631,-924980.0,-1048849,,-599,-58404,11701,-34007,4652,2418,-2882.0,-52381,-1101230,-848828,-839527,-196738,-78763,-1115028,,0.0,669179.0,0.0,262645,,,,-99669,15884,-12483.0,,,-1093061.0,-197537,-105201.0,90742,-642933,,260916.0,0.0,236000.0,,2230865.0,0.0,58250,0.0,-531078,1561084,65946,-130931,3294619,3163688,3163688,-545535.0,0.0,241515.0,0.0,-29.0,16848.0,,200.0,0.0,545535.0,-693869.0,0.0,0.0,,133088.0,27793.0,0.0,-672967.0,24769.0,,,-196136.0,,,,,,,,,,,,,,
1103,2014年01月01日至2014年09月30日,,222931,222931,,,278534,,-3.0,44538,138426,-51061,10214,-8597,,20054,0.0,-98373.0,,,196770,6983,35171,3,22900,,-348520,-2414,-15916,-999011.0,-1104034,,-629,-107258,53909,-77666,9917,-1298,-2631.0,-81832,-1185866,-1284239,-1061308,-143169,-77295,-1281772,,-4979.0,577271.0,0.0,197449,,,,-81123,14882,-12355.0,,,-1115912.0,-538333,,56232,-992231,,2270311.0,0.0,604000.0,,59122.0,0.0,89380,0.0,-531078,1825068,22895,-426040,3294619,2868579,2868579,-533198.0,,2720.0,17075.0,-93.0,10935.0,,200.0,,528580.0,-666667.0,0.0,0.0,,164754.0,,,-672967.0,26643.0,-116865.0,199.0,,,,,,,,,,,,,,,
1103,2014年01月01日至2014年06月30日,,30519,30519,,,186879,,-3.0,137476,87069,-33361,9982,-5998,,0,,86174.0,,,277287,5299,70665,6,22416,,-267002,5453,-17450,-610563.0,-513889,,-364,-109595,14000,-30867,-10099,-1495,-823.0,-91450,-605339,-519165,-488646,-90643,-50994,-630283,,-4516.0,381944.0,0.0,0,,,,-46769,10284,-15594.0,,,-1062575.0,-547495,,29413,-1723047,,1391107.0,,768756.0,,,-111099.0,81553,0.0,-531078,1596931,-12661,-769060,3294619,2525559,2525559,-298590.0,,2720.0,0.0,-564.0,10935.0,0.0,200.0,,250279.0,-2308.0,,,,69398.0,,,-672967.0,48357.0,-125584.0,,,,,,,,,,,,,,,,
