公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 存出保證金增加,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　 發放現金股利,　　 取得子公司股權,　　　　 金融資產減損損失,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　 非金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　 預付投資款增加,　　 預付設備款增加,　　 取得以成本衡量之金融資產,　　 應付短期票券增加,　　 其他籌資活動
3057,2016年01月01日至2016年09月30日,,-159689,-159689,,,59521,48857,,3619,-3853,20182,599,-29516,,,,126755,25504,-54039,13482,117094,,8762,-13439,-46005,,-49644,67450,166043,6354,-23354,-17000,,-37540,34.0,,-25325,0.0,3863,-49155,,1416985,-1391758,,,0,3572,-3941,97873,-15326,16392,848311,864703,864703,-1480.0,-389457.0,441661.0,-49.0,664.0,,0.0,,,0.0,,98593.0,-407.0,,5392.0,1445.0,-9820.0,-1162.0,-31360.0,72975.0,40.0
3057,2016年01月01日至2016年06月30日,,-111035,-111035,,,38095,31106,,2281,-2603,15379,226,-14092,,,,169584,36462,-39806,2419,173859,,-52185,-13062,-53628,,-115281,58578,133797,22762,-23219,-457,,-22657,34.0,-85.0,-24594,,2613,-112601,,958235,-1016858,,,0,1470,-2235,13585,-5724,-105197,848311,743114,743114,58.0,-389457.0,354216.0,,4769.0,,,,,0.0,,75219.0,-293.0,,5200.0,3887.0,,-946.0,-31725.0,72973.0,
3057,2016年01月01日至2016年03月31日,,-52182,-52182,,,18203,15561,,1354,-1625,7652,6,-14490,,,,95939,-20493,-33018,58611,106431,,-13671,-5428,-45467,,-57187,49244,79973,27791,-6778,21013,,-13557,,,-13085,,1623,-104371,,546900,-381523,,,0,1470,-1464,165383,-5620,76405,848311,924716,924716,-28.0,-55550.0,522.0,-87.0,4096.0,,,,,0.0,,30729.0,-153.0,,5392.0,7532.0,-23499.0,-738.0,,,
3057,2015年度,,116521,116521,,,99677,41742,,3150,-6441,26391,770,8523,,,,-41891,-30915,-5944,215389,131247,,-84954,-38439,-80244,,-204131,-72884,133644,250165,-31998,218167,,-75181,0.0,,-24432,11891.0,6447,-183537,,1033472,-951712,0.0,,-66063,26983,-2755,-280033,10941,-234462,1082773,848311,848311,-1244.0,-518293.0,479359.0,-416.0,985.0,0.0,-319978.0,,,20.0,,206528.0,-494.0,32975.0,-5392.0,0.0,-32825.0,-30087.0,,,
3057,2015年01月01日至2015年09月30日,,113882,113882,,,72008,31406,-5455.0,2293,-5494,19350,599,27265,,,,79552,-83237,-22303,210178,184190,,-90730,-36427,-74704,,-202241,-18051,123162,237044,-42317,194727,,-63481,0.0,,-15169,11891.0,5507,-176659,,730108,-700492,0.0,,-52850,25753,-2219,-319658,10272,-291318,1082773,791455,791455,-1226.0,-518293.0,429338.0,-26452.0,467.0,0.0,-319978.0,,,20.0,,141213.0,-380.0,,,,,,,,
3057,2015年01月01日至2015年06月30日,,93226,93226,,,46781,21027,0.0,1818,-4426,13752,690,-29272,,,,82845,-50947,-17520,170733,185111,,-42117,-48104,-84842,,-175325,9786,60115,153341,-24215,129126,,-24671,0.0,-29005.0,-5297,0.0,4182,-242784,,563255,-507545,0.0,,-26425,24738,-1750,52293,-10420,-71785,1082773,1010988,1010988,-41.0,-238063.0,50070.0,,,0.0,,,,20.0,,50329.0,-262.0,,,,,,,,
3057,2015年01月01日至2015年03月31日,,76288,76288,,,22201,10609,0.0,823,-2216,7390,59,-31905,,,,25286,-28215,-15143,81808,63736,,21504,-43212,-96207,,-118049,-54313,-47371,28917,-17938,10979,,-20983,,,-1023,0.0,1965,-36247,,323386,-221775,0.0,,-13213,9158,-783,96793,-1773,69752,1082773,1152525,1152525,-19.0,-25175.0,10070.0,-1101.0,,,,,,20.0,,6942.0,-134.0,,,,,,,,
3057,2014年度,,499477,499477,,,81182,42929,-2808.0,3648,-6550,30202,303,11385,160461.0,,,41993,29944,-2421,-73229,-3713,,22269,10041,35973,128.0,68411,64698,225159,724636,-127559,597077,,-78048,313.0,,-3810,95693.0,6924,50196,,480913,-409861,-1400.0,0.0,-123697,21727,-3634,-326617,21126,341782,740991,1082773,1082773,-287.0,-358495.0,388259.0,-640.0,374.0,,-254895.0,0.0,83.0,-35770.0,,,,,,,,,,,
3057,2014年01月01日至2014年09月30日,,342934,342934,,,55919,32435,-2808.0,2915,-4826,21566,189,-1090,104202.0,,,112812,-22,-20147,42122,134765,,18793,-887,3093,228.0,21227,155992,260194,603128,-90181,512947,,-63377,595.0,,-3694,69704.0,5099,-102551,,312107,-230593,-1400.0,0.0,-110485,7164,-2914,-281016,2603,131983,740991,872974,872974,-181.0,-358493.0,248204.0,-589.0,0.0,83.0,-254895.0,0.0,,,,,,,,,,,,,
3057,2014年01月01日至2014年06月30日,,221089,221089,,,35003,21763,-2724.0,2232,-3514,12567,162,-3773,61743.0,,,55166,-22463,-679,113470,145494,,33542,-13491,-32464,253.0,-12160,133334,195077,416166,-61929,354237,,-46376,576.0,-215.0,-2536,69704.0,3603,-24658,,141534,-172265,-1400.0,0.0,-97272,3765,-2240,-127878,-2504,199197,740991,940188,940188,-56.0,-119493.0,70079.0,,0.0,83.0,,,,,,,,,,,,,,,
3057,2014年01月01日至2014年03月31日,,93429,93429,,,15938,10834,-1497.0,1480,-1386,4209,34,5500,35056.0,,,92913,-38359,-11423,92280,135411,,52269,-7077,-66632,128.0,-21312,114099,149155,242584,-20100,222484,,-25289,,0.0,-313,69704.0,1583,83294,,126534,-157265,-1400.0,0.0,-84060,3399,-1476,-114268,3275,194785,740991,935776,935776,-56.0,-30494.0,70079.0,-1976.0,,,,,,,,,,,,,,,,,
3057,2013年度,,378034,378034,,,63319,44541,9222.0,10259,-5822,8075,1131,27899,159944.0,,,-125605,74730,-11331,-84060,-146266,,86998,34837,94362,303.0,216500,70234,230178,608212,-53596,554616,,-49326,143.0,,-7208,112637.0,5484,20831,,568267,-611076,-304368.0,105700.0,-2390,20456,-6885,-298951,-4934,271562,469429,740991,740991,-24.0,-80000.0,40001.0,-900.0,1344.0,,-57371.0,-11284.0,0.0,0.0,,,,,,,,,,,
