公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　　　　 股利收入,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之股利,　　 存出保證金增加,　　 處分投資性不動產,　　 存入保證金增加,　　 發放現金股利,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 金融資產減損損失,　　　　　 應收票據（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 其他應收款減少,　　　　 呆帳費用提列（轉列收入）數,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 預付設備款減少,　　　　　 其他金融資產（增加）減少,　　　　 非金融資產減損損失,　　 取得持有至到期日金融資產
3041,2014年度,,312656,312656,,,45369,118657,-2515,42,-61703,93694,0,1512,,-1702.0,-2426,265385,,,433405,-371728,-168741,,-84580,-337656,,,18690.0,-92691,,5436,11329,,-57236,-394892,-129507,183149,63441,-42,-108199,138399,,-20083.0,3485.0,-403134,,-29339,185,,-124719,-683.0,-620564,11460,-1158489,1577367,418878,418878,,0.0,,1126.0,-687784.0,-50.0,-146016.0,50.0,-414.0,0.0,,-688910.0,0.0,,25965.0,4.0,,,,97.0,43176.0,,,,,5269.0,-45862.0
3041,2014年01月01日至2014年09月30日,,275721,275721,,,34009,87079,-2179,26,-46579,68228,0,637,0.0,-1690.0,1013,205554,,,308020,-498834,-161438,,-34693,-298823,,,,-108883,,1392,-10041,,-117532,-416355,-210801,64920,45210,-26,-103294,6860,,-19728.0,3459.0,-323436,,-18675,23,,-16190,0.0,-374481,4532,-1051999,1577367,525368,525368,,0.0,,0.0,-688910.0,-50.0,-24290.0,50.0,66.0,0.0,,-688910.0,,,25965.0,4.0,,,,521.0,38574.0,,,,112408.0,,
3041,2014年01月01日至2014年06月30日,,141581,141581,,,22834,60130,-2647,24,-32056,33737,0,520,0.0,,3176,100413,,,392239,-204686,-188325,,-18348,-36033,,,-6003.0,-116273,,6793,-5572,,-121055,-157088,-56675,84906,31269,-24,-67527,48624,,-9927.0,,-185419,,-14675,20,,-10376,,-220365,-4027,-175768,1577367,1401599,1401599,,0.0,,0.0,0.0,,-16917.0,,63.0,,,,,,,4.0,,,,643.0,14052.0,,,-51.0,,,
3041,2014年01月01日至2014年03月31日,,92991,92991,,,11611,31676,4010,16,-15385,16868,0,45,0.0,,190,56346,,,358523,-248016,-50358,,4007,57888,,,61482.0,-90643,,869,5364,,-22928,34960,91306,184297,17789,-16,-1239,200831,,,,-1003136,,-10944,20,-15.0,-3302,,-1017428,-173,-816770,1577367,760597,760597,,,,,,,-6272.0,,,,,,,,,4.0,,,,645.0,6660.0,10.0,0.0,-51.0,,,
3041,2013年度,,1003654,1003654,,,46665,120290,6465,80,-54189,55411,-282,1875,,0.0,-1492,-697185,,,6656,-30213,95917,,-8737,59446,,,-151039.0,1409,,1845,18795,,-128990,-69544,-766729,236925,53708,-80,-149582,141062,,-47698.0,0.0,-1439536,,-46357,13,,-98143,0.0,57574,17075,-386073,1963440,1577367,1577367,,-10250.0,,-6731.0,-601784.0,-91.0,-4173.0,91.0,-4094.0,1703639.0,,-595053.0,-897111.0,,1140.0,-4.0,,,,2927.0,21127.0,,,,,0.0,0.0
3041,2013年01月01日至2013年12月31日,,1003654,1003654,,,46665,120290,6465,80,-54189,55411,-282,1875,,0.0,-1492,-721239,,,9583,-30213,117044,-8204.0,-533,83500,,0.0,-151039.0,1409,,1845,18795,,-128990,-45490,-766729,236925,53708,-80,-149582,141062,,-47698.0,0.0,-1439536,,-46357,13,,-98143,,57574,17075,-386073,1963440,1577367,1577367,0.0,-10250.0,,-6731.0,-601784.0,-91.0,-4173.0,91.0,-4094.0,1703639.0,,-595053.0,-897111.0,0.0,1140.0,-4.0,0.0,0.0,0.0,,,,,,,,
3041,2013年01月01日至2013年09月30日,,907953,907953,,,36924,88340,4176,64,-36699,38511,-582,-896899,-3.0,0.0,-632,-766891,,,108472,22851,44683,-8066.0,-833,161869,,0.0,-187044.0,-185318,0.0,827,2620,,-368915,-207046,-973937,-65984,37283,-64,-147689,-176363,,-47698.0,0.0,-994616,0.0,-34904,13,,-57906,-1762.0,552785,5102,-220260,1963440,1743180,1743180,0.0,-10071.0,,,-601784.0,-91.0,-5238.0,91.0,-3910.0,1703639.0,-6731.0,-595053.0,,,,,,,,,,,,,,,
3041,2013年01月01日至2013年06月30日,,912335,912335,,,25074,59884,120,48,-23512,24066,-31,-896943,-3.0,0.0,-1182,-812479,,,242000,22353,-46936,-19428.0,-38,197951,,0.0,-68805.0,-124143,0.0,34,6084,,-186830,11121,-801358,110977,22026,-48,-143098,-10143,,-47698.0,0.0,-1137922,0.0,-26379,1703652,-3815.0,-48115,,429537,5360,418023,1963440,2381463,2381463,0.0,-10186.0,,-6731.0,-6731.0,,,,,,,,,,,,,,,,,,,,,,
3041,2013年01月01日至2013年03月31日,,-40565,-40565,,,12578,29546,106,32,-9876,12033,-1571,2,-3.0,0.0,-362,42485,,,238088,20035,8116,-5869.0,-4888,255482,,0.0,-152414.0,-89841,0.0,629,8675,0.0,-232951,22531,65016,24451,10455,-32,-263,34611,,-47698.0,0.0,-52372,0.0,-12133,13,-3698.0,-14796,-204.0,-130888,6107,-90170,1963440,1873270,1873270,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,2012年01月01日至2012年12月31日,,977057,977057,,,30882,94235,5592,244,-43521,20824,2083,39109,,-10.0,0,173251,,,-8648,134159,-271545,9686.0,6513,-135995,,-14.0,110884.0,80231,,-1195,11722,,177686,41691,214942,1191999,41699,-244,-129078,1104500,,-20000.0,20010.0,-519490,,-37903,0,,-64537,,-1112316,-29630,-558219,2521659,1963440,1963440,-29560.0,0.0,,-77.0,-520773.0,-124.0,-6160.0,124.0,-1438.0,0.0,,-520696.0,0.0,23937.0,0.0,0.0,-23942.0,-507398.0,48000.0,,,,,,,,
