公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得避險之衍生金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分避險之衍生金融資產,　　 其他應收款－關係人減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 員工執行認股權,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　　 股份基礎給付酬勞成本,　　 處分子公司,　　 其他投資活動,　　 應付短期票券減少,　　 舉借長期借款
6116,2015年01月01日至2015年09月30日,,-814993,-814993,,,2312484,113874,108090.0,44339,-58954,-8.0,29767,13395,-571958.0,45793,-8864,2027958.0,,,47840,-5612.0,-93073,296779,-131955,20755,143336,-1413,138446,1241759.0,1656862,,-1909.0,-21037.0,-331287,-231343,-653773,-358715,-16780,-87208,-1995.0,-1704047,-47185,1980773,1165780,-8518.0,1157262,,-270.0,-1800000.0,-96589.0,0.0,209080.0,927232.0,-1232070,12813,-175308.0,-144055,0.0,2943.0,59695,8.0,-2236521,,0.0,-225727.0,-560000,0.0,-421683.0,-44825,-1252235,25941,-2305553,5884260,3578707,3578707,,,,,,,,,,,,,,,,,,,,,
6116,2015年01月01日至2015年06月30日,,-44332,-44332,,,1547504,76292,14927.0,32462,-41238,0.0,65171,16883,-550583.0,45793,-7712,1199499.0,,,85271,-80729.0,-1123054,356911,-187880,22301,119502,-942,142877,-615467.0,-1281210,,-4468.0,-15354.0,531176,-216027,-829790,-358954,-12765,-17384,11858.0,-911708,-2192918,-993419,-1037751,-7791.0,-1045542,,-270.0,,,0.0,209080.0,840000.0,-873656,16293,,-138644,,5434.0,35751,0.0,-254832,,-166275.0,,-280000,,-421683.0,-33529,-901487,30418,-2171443,5884260,3712817,3712817,-96589.0,-252231.0,,,,,,,,,,,,,,,,,,,
6116,2015年01月01日至2015年03月31日,,704930,704930,,,761791,38904,5072.0,18454,-21140,0.0,-12481,15922,-550583.0,0,-6119,249820.0,,,77318,,-754179,-70464,-25545,21978,163983,-471,105446,623749.0,141815,,-10036.0,-6020.0,4900,-226400,-651253,-47555,-7326,-88752,,-1032442,-890627,-640807,64123,,64123,,-270.0,,,,209080.0,840000.0,-408950,17067,,-7935,3488.0,,19652,0.0,309220,,-70368.0,,-280000,,,-17686,-368054,17167,22456,5884260,5906716,5906716,-110681.0,-252231.0,,,,,,,,,,,,,,,,,,,
6116,2014年度,,572002,572002,,,2898138,207079,-2006.0,76078,-88996,-31168.0,-60357,27428,,901851,-5976,,,,203616,,189848,426526,23274,-72569,-234052,-1657,339346,439853.0,1311129,,-1853.0,23960.0,-629725,160717,895527,-39185,-3316,184500,,590625,1901754,6609085,7181087,,7181087,,-297999.0,,,-2048055.0,,,-4216865,3790,,-171437,3619.0,,110146,31168.0,-6628372,,,-226887.0,-560000,-439818.0,,-77291,-1303996,-2438,-753719,6637979,5884260,5884260,-145502.0,,,93529.0,691731.0,4707331.0,-3056.0,433917.0,-331154.0,0.0,0.0,0.0,,,,,,,,,
6116,2014年01月01日至2014年09月30日,,1200489,1200489,,,2125133,157904,-1038.0,58929,-68510,-2780.0,-77389,25140,0.0,746973,-2407,2961955.0,,,11149,0.0,209059,608889,42125,-38293,-767245,-1243,294435,131014.0,489890,,12970.0,33013.0,170881,-8744,204175,18992,-3700,-66996,0.0,360591,850481,3812436,5012925,0.0,5012925,,-296516.0,0.0,-68953.0,-1933055.0,0.0,0.0,-3685935,2861,0.0,-154477,-969.0,0.0,82924,2780.0,-6051340,,128221.0,0.0,-560000,-439818.0,0.0,-59817,-931414,9457,-1960372,6637979,4677607,4677607,,,,,,,,,,,,,,,,,,,,,
6116,2014年01月01日至2014年06月30日,,1780922,1780922,,,1369286,118293,-300.0,39991,-47141,-2396.0,-81270,21777,0.0,1851,899,1420990.0,,,105856,0.0,-342713,673248,53354,-202480,-390153,-829,-14707,-411565.0,-529989,,-12390.0,-444.0,75738,-5035,216517,439675,-3528,-48398,0.0,662135,132146,1553136,3334058,0.0,3334058,,-128765.0,,,-158059.0,0.0,0.0,-3068885,2477,,-154477,,10662.0,59061,2395.0,-3508030,,249696.0,,-280000,,0.0,-41167,-71471,-4108,-249551,6637979,6388428,6388428,-72439.0,0.0,,,,,,,,,,,,,,,,,,,
6116,2014年01月01日至2014年03月31日,,1076096,1076096,,,620546,59050,-661.0,20326,-23400,-2237.0,-48000,4775,0.0,1851,-581,631669.0,,,95906,,-121364,840794,-162886,-420836,-220066,-414,10478,2074959.0,2096571,,11477.0,-39787.0,-279725,6822,33413,353735,-2745,-48280,,34910,2131481,2763150,3839246,,3839246,,0.0,,,,0.0,0.0,-2867291,1042,,-4463,11185.0,,42157,2237.0,-2905419,,69075.0,,-280000,,,-19093,-230018,12216,716025,6637979,7354004,7354004,-90286.0,0.0,,,,,,,,,,,,,,,,,,,
6116,2013年度,,6177427,6177427,,,2324821,326794,708.0,166075,-152698,-7072.0,-98284,21645,,92086,13328,,,,-437104,,575750,-922719,85249,47112,615887,-1796,-1255362,-679522.0,-1972505,,-14982.0,39787.0,-1610865,-318694,-10433,97521,-1312,37522,,-1781456,-3753961,-346206,5831221,,5831221,,0.0,,,0.0,,,-6305026,45340,,-209424,7902.0,,136477,7072.0,-6671565,,,-1093892.0,-4216000,0.0,,-166828,-5441572,48883,-6233033,12871012,6637979,6637979,-74617.0,,,239.0,720113.0,3407755.0,0.0,0.0,0.0,-279500.0,211.0,35148.0,,,,,,,,,
6116,2013年01月01日至2013年12月31日,,6177427,6177427,,,2324821,326794,,166075,-152698,-7072.0,-98284,21645,,92086,13328,,,,-437104,,576458,-922719,85249,47112,615887,-1796,-1934884,,-1971797,,-14982.0,,-1571078,-318694,-10433,97521,-1312,37522,,-1781456,-3753253,-346206,5831221,,5831221,,,,-74617.0,,,,-6305026,45340,,-209424,7902.0,,136477,7072.0,-6671565,,,-1093892.0,-4216000,,,-166828,-5441572,48883,-6233033,12871012,6637979,6637979,,,,239.0,720113.0,3407047.0,,0.0,,-279500.0,211.0,35148.0,,,,,0.0,0.0,0.0,0.0,0.0
6116,2013年01月01日至2013年09月30日,,6028327,6028327,,,1729750,250887,39639.0,141772,-117425,-6679.0,-210564,21562,,90999,16436,,,,-156144,,-542538,-762087,84774,6923,331962,75660,-1518767,,-2480217,,,,-534823,-215995,478517,257815,-5433,-353807,,-373726,-2853943,-775295,5253032,,5253032,,0.0,,-74389.0,0.0,,,-3888295,19716,,-165329,-211095.0,,114940,6679.0,-4477062,,,-1040308.0,-4216000,0.0,,-154894,-5376054,43049,-4557035,12871012,8313977,8313977,,,,239.0,5741.0,2078648.0,,,,-279500.0,211.0,35148.0,116291.0,,,,,,,,
