公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 其他非流動負債減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他金融資產增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 短期借款減少,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分無形資產損失（利益）,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 其他非流動負債增加,　　 員工購買庫藏股,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　 取得子公司股權,　　 其他金融資產減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 其他籌資活動
3454,2016年01月01日至2016年09月30日,,408153,408153,,,43279,69825,2825,-5520,21796,2909.0,98.0,0,,,,17569,-272,-43600,-9675,,0.0,-36444,,102474,-48921,-3276,-524,49753,13309,145962,554115,5597,-2825,-107573,449314,,,0,-10275.0,-48201,,-67415,-17875,-134329,,-3473,,,-327303,-8969,-21287,1099726,1078439,1078439,,,49.0,,-344504.0,-2608.0,,0.0,6000.0,8226.0,460.0,-11785.0,,,,132653.0,0.0,0.0,9437.0,-466.0,,17773.0
3454,2016年01月01日至2016年06月30日,,282921,282921,,,28632,44290,1804,-3336,14453,1065.0,98.0,0,,,,-11548,-617,49027,-4440,,0.0,31435,,104762,-14123,7880,-416,98103,129538,215505,498426,3330,-1804,-72582,427370,,0.0,0,-10275.0,-23836,,-46804,-7966,-76375,,-1621,0.0,,-10271,-3441,337283,1099726,1437009,1437009,0.0,12506.0,108.0,0.0,,-1147.0,,0.0,,,,-8871.0,221.0,0.0,,85967.0,,,,-963.0,-24.0,
3454,2016年01月01日至2016年03月31日,,93859,93859,,,14268,20123,913,-1986,7436,,0.0,0,,,,50139,-1111,-27638,-32781,,,-11391,,34838,-93985,1766,-207,-57588,-68979,-28204,65655,1950,-913,-384,66308,,0.0,0,,-11039,,-22664,-4049,-34790,,-1420,,,-96,-4282,27140,1099726,1126866,1126866,,2962.0,485.0,,,-464.0,,,,,-12.0,1336.0,,,,40775.0,,,,,,
3454,2015年度,,506693,506693,,,58131,103787,3513,-7018,21412,0.0,29.0,-409,,,,-231082,1358,-250156,-11080,,,-490960,,100621,66200,-1825,-609,164387,-326573,-147420,359273,7161,-3513,-39407,323514,,-20000.0,70379,0.0,-55915,0.0,-134957,-10588,-143637,,-1567,,0.0,-264716,9224,-75615,1175341,1099726,1099726,,0.0,,0.0,-295871.0,-292.0,0.0,0.0,,0.0,21.0,37629.0,,0.0,,179153.0,,-4928.0,7444.0,,,
3454,2015年01月01日至2015年09月30日,,429928,429928,,,44062,70436,2583,-5654,397,0.0,29.0,1071,,,,-315698,169,-283191,-25294,,0.0,-624014,,110689,808,-7911,1462,105567,-518447,-401793,28135,5814,-2583,-47913,-16547,,0.0,48899,0.0,-27736,,-108528,-16813,-99194,,-2424,0.0,,-265705,10302,-371144,1175341,804197,804197,,4984.0,4988.0,0.0,-295871.0,-1258.0,,0.0,,,21.0,37497.0,,0.0,,116654.0,519.0,-4928.0,,,,
3454,2015年01月01日至2015年06月30日,,262852,262852,,,28952,48098,1720,-4011,265,0.0,29.0,-11,,,,-387440,234,-283357,-17768,,0.0,-688331,,199167,-12571,15477,-408,201665,-486666,-412404,-149552,4059,-1720,-36121,-183334,,-20000.0,20011,0.0,-19294,,-65618,-13384,-110312,,-2066,0.0,,22275,-3853,-275224,1175341,900117,900117,0.0,-12027.0,0.0,0.0,,-780.0,,0.0,,,,24355.0,-14.0,0.0,,74262.0,,,,0.0,0.0,
3454,2015年01月01日至2015年03月31日,,86581,86581,,,14429,24324,860,-2202,2646,0.0,29.0,-11,,,,-120273,58,-205406,-27256,,,-352877,,194985,-76538,5534,1396,125377,-227500,-187738,-101157,2267,-860,-569,-100319,,-20000.0,20011,,-7120,,-31987,-1784,-11386,,-965,,,11279,-2068,-102494,1175341,1072847,1072847,,29494.0,2.0,,,-315.0,,0.0,,,-6.0,12250.0,,,,39762.0,,,,,,
3454,2014年度,,412832,412832,,,54382,71512,3705,-8926,101325,3794.0,29.0,-258,225056.0,,,65697,16181,-11209,-17376,,,53293,,-15758,-69570,14477,-532,-71383,-18090,206966,619798,8998,-3764,-93995,531037,,-79970.0,136258,0.0,-64080,0.0,-194557,-5262,-230971,,-23543,,0.0,-298896,10272,11442,1163899,1175341,1175341,,-23360.0,,,-493501.0,-507.0,0.0,0.0,-23000.0,0.0,33.0,186100.0,,55015.0,,,,,,,,
3454,2014年01月01日至2014年09月30日,,343426,343426,,,39842,41091,2891,-6862,101254,1528.0,12.0,-163,180194.0,,,-5298,-8197,-67625,-3667,,0.0,-84787,,-10419,-103072,1511,543,-111437,-196224,-16030,327396,7104,-2950,-91200,240350,,-59970.0,116163,0.0,-44022,,-84772,-6289,-102227,,-25323,0.0,,-300709,3024,-159562,1163899,1004337,1004337,,-23337.0,573.0,-23000.0,-493501.0,,,28.0,,,,186100.0,,55015.0,,,,,,,,
3454,2014年01月01日至2014年06月30日,,186392,186392,,,26080,26848,2019,-4696,101064,1185.0,,-163,152848.0,,,-155338,-6835,-201172,38,,0.0,-363307,,125914,-43677,20855,563,103655,-259652,-106804,79588,4727,-2065,-74072,8178,,-59970.0,116163,,-31415,,-58238,-9968,-55259,,-25959,0.0,,207951,205,161075,1163899,1324974,1324974,0.0,-11831.0,102.0,-5000.0,,381.0,,28.0,,,,183894.0,1.0,55015.0,,,,,,,,
