公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款（增加）減少,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 無活絡市場之債務商品投資到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 應付租賃款增加,　　 應付租賃款減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 金融資產減損損失,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 現金增資,　　 處分子公司股權（未喪失控制力）,　　　　 處分其他資產損失（利益）,　　　　 非金融資產減損損失,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之股利,　　 其他應付款－關係人減少,　　　　 股利收入,　　　　 處分投資性不動產損失（利益）,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 處分投資性不動產,　　 取得子公司股權,　　　　　 應付建造合約款增加（減少）,　　 其他預付款項減少,　　 其他投資活動,　　 應付短期票券增加,　　 停業單位稅前淨利（淨損）,　　 支付之股利,　　 發放現金股利,　　 其他籌資活動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 其他非流動負債增加,　　 其他應收款增加,　　 其他應收款減少
1310,2016年01月01日至2016年09月30日,,1217372,1217372,,,219583,79184,814,-134,38961,-6498,-9422,-532,-5269,4462,,,,2977,-31359,10662,10556,196628,69866,-383,12299,268731,,-3528,-196962,,-1690,-11858,-6372,,-219324,49407,386587,1603959,7569,-40619,-15976,1554895,,,-34136,50725,,0.0,,8085.0,,-65933,1318.0,0.0,,,,,0.0,14906.0,-18.0,216,,0.0,-1113000.0,-89968.0,0,-388766,,-15631.0,,,,54572.0,-2081522,-7407,-533818,2673347,2139529,2139529,,4500.0,,,-24550.0,,,,24502.0,,-2515.0,12971.0,,-12971.0,,,,,-1780.0,-408.0,,36848.0,0.0,0.0,-38.0,-527870.0,,,337180.0,1494.0,0.0,0.0,921.0,,
1310,2016年01月01日至2016年06月30日,,760597,760597,,,147523,46407,780,-733,29099,-5110,46825,-338,-445,4762,,,,2741,34775,9110,8965,-1753,65890,143,13035,100769,,-3430,-59963,,-33878,-10174,-7101,,-111541,-10772,277898,1038495,5736,-30383,-13057,1000759,,,-18474,4258,,,,5706.0,,-40324,309.0,131.0,,,,0.0,0.0,15273.0,-18.0,-643,,0.0,-438000.0,-89970.0,0,-360411,0.0,-15570.0,,,,54572.0,-850326,-3682,146108,2673347,2819455,2819455,,4500.0,,,,,,,17284.0,,-32137.0,1884.0,,-1884.0,,,,,-1780.0,2016.0,0.0,35612.0,0.0,,-32.0,,,,288670.0,989.0,-5000.0,0.0,833.0,,
1310,2016年01月01日至2016年03月31日,,502071,502071,,,74507,24144,5,106,15744,-3265,16226,0,0,2936,,,,3018,-230936,-7302,-390,180850,24204,-676,9858,-23107,,-2,-102349,,4158,-11944,-7400,,-117048,-140155,-9752,492319,3037,-15205,-5936,474206,,,-7917,0,,,,,,-2391,,104.0,,,,,-89.0,,0.0,-15555,,17000.0,,-89971.0,0,-52803,0.0,-15318.0,,,-1498.0,,-142523,-1381,314747,2673347,2988094,2988094,,,,,0.0,,,,,,-1733.0,,,,,,,,,-8.0,,0.0,0.0,,-9.0,,,,130403.0,497.0,-5000.0,,67.0,,-262.0
1310,2015年度,,747157,747157,,,211245,85035,-5353,139,44452,-7118,2045,3020,-21026,-35912,,,,59914,-156181,30633,20096,-260691,57447,-10033,5636,-251213,,5766,750577,,35359,-724,-17552,,769169,517956,928808,1675965,8376,-45160,-24560,1614541,,,-240767,174332,,-950.0,,12760.0,0.0,-685632,265.0,0.0,-331.0,,7263.0,,-5980.0,,-18135.0,-875172,,65000.0,,0.0,514000,-235844,,-241.0,,,-3545.0,,424031,1703,1165103,1508244,2673347,2673347,0.0,6000.0,,,-6507.0,,,,145643.0,,1966.0,23370.0,-1540.0,-17318.0,,0.0,,,-14000.0,-6458.0,,-61982.0,99952.0,0.0,-80.0,0.0,0.0,,410852.0,2201.0,,-73181.0,249.0,303.0,
1310,2015年01月01日至2015年09月30日,,692854,692854,,,141825,60886,-2058,115,28764,-4721,-26489,1928,-17685,-41994,,,,61718,-272280,3111,27974,-155915,49500,-420,-2606,-289643,,-16839,112459,,13844,-14696,46965,,137061,-152582,44115,736969,4609,-28110,-25994,687416,,,-231188,162599,,-950.0,,9590.0,0.0,-509746,196.0,27.0,-31.0,,0.0,,-10455.0,,-60416.0,-765611,,100000.0,0.0,0.0,408000,-219713,0.0,-241.0,,,-2067.0,,392058,3370,317233,1508244,1825477,1825477,,6000.0,,,,,,,61888.0,,-725.0,10901.0,,-11762.0,,0.0,,,-14000.0,-6363.0,,-62957.0,119885.0,0.0,-58.0,,,,196697.0,1691.0,,-73181.0,194.0,,
1310,2015年01月01日至2015年06月30日,,623386,623386,,,86953,38711,-2086,242,18491,-3806,-33897,73,-16907,-43367,,,,59193,-562030,5023,10370,-471581,23206,3131,-108,-928923,,-10099,718129,,54783,-8378,37930,,788909,-140014,-29086,594300,3172,-17802,-25098,554553,,,-160783,139037,,,,5390.0,0.0,-428898,0.0,135.0,0.0,,0.0,15.0,-7097.0,,,-588493,,125000.0,0.0,,368600,-213142,120.0,,,,-604.0,,399878,-2178,363760,1508244,1872004,1872004,,6000.0,,,,,,,61888.0,,3873.0,1060.0,,-1367.0,,,,,,-4512.0,126.0,-64297.0,119904.0,0.0,-19.0,,,,110928.0,1056.0,,-73181.0,,,
1310,2015年01月01日至2015年03月31日,,43753,43753,,,41110,16944,-2135,-498,8533,-2051,9698,43,-105,-43806,,,,62531,-316528,30540,9698,-39651,5576,2195,-2238,-248445,,-1079,328556,,-5323,-12458,1680,,307056,58611,86344,130097,1654,-8031,-3872,119843,,,-69155,9877,,,,,0.0,-237837,0.0,,,,,,-65.0,,-715.0,-372693,,40000.0,0.0,,156000,-6571,150.0,,,,0.0,,209479,-1199,-44570,1508244,1463674,1463674,,,,,-4798.0,,,,,,-568.0,,,,,,,,,-4877.0,,-50000.0,19900.0,,-5.0,,,,27733.0,557.0,-20000.0,,,,
1310,2014年度,,-406619,-116831,,,201060,85494,-3635,-242,34100,-10083,-34805,-979,-348008,50866,-20542.0,,,-41168,656474,-1809,-22464,383712,221108,1770,4773,1199264,,-10796,-1136862,,-31373,620,-2150,-6782.0,-1215897,-16633,-37175,-154006,8518,-33489,-1264,-180307,,,-187708,242940,,-6400.0,0.0,12000.0,482283.0,-911495,35555.0,2931.0,,,51050.0,0.0,,-263.0,-36914.0,-274711,,,165000.0,-19954.0,1021000,-406284,,-19617.0,,,-5189.0,,295610,5241,-154167,1662411,1508244,1511898,-3654.0,3000.0,,,,,0.0,,14841.0,0.0,-3132.0,34151.0,-10800.0,-12151.0,,2583.0,0.0,,-177194.0,-28554.0,,4576.0,,289788.0,-66.0,-251366.0,14.0,,,,,,,,
1310,2014年01月01日至2014年09月30日,,216878,186055,,,158081,67343,-2765,61,25719,-7095,-50819,-8096,-348283,27859,-144182.0,,,18968,500826,15971,-28333,-29736,239225,683,2056,716051,,7334,-668047,,-52622,-13325,-2528,-4951.0,-754850,-38799,-182981,3074,6801,-25988,-1071,-17226,,,-160977,226772,,-5450.0,0.0,12000.0,482283.0,-627546,34495.0,922.0,-14828.0,,51550.0,0.0,,0.0,-18290.0,-5841,,,-118138.0,-19954.0,828200,-397213,37.0,0.0,,,-4300.0,,111438,1673,90044,1662411,1752455,1752455,0.0,0.0,,,,,0.0,,0.0,0.0,-3609.0,6187.0,0.0,-6187.0,,2583.0,,,-177194.0,-20711.0,,4458.0,,-30823.0,-42.0,,,,,,,,,,
1310,2014年01月01日至2014年06月30日,,355746,324923,,,113550,44977,-2721,0,18477,-5246,-19251,-7380,-344044,6385,-195253.0,,,15532,-44945,21809,-27728,-49535,238897,1241,11746,167017,,11657,-337994,,-13196,-8135,10090,1414.0,-345766,-178749,-374002,-49079,5361,-19277,-900,-63895,,,-86285,69793,0.0,0.0,0.0,12000.0,482283.0,-511122,33078.0,,-14828.0,51050.0,,0.0,,0.0,214.0,38640,,,-216075.0,99911.0,314000,-38142,,37.0,0.0,,-3276.0,0.0,156455,-168,131032,1662411,1793443,1793443,0.0,0.0,0.0,0.0,562.0,0.0,0.0,,,,,,,,,,,,,-9602.0,,1895.0,,-30823.0,,,,,,,,,,,
