公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　 應付短期票券減少
1762,2015年01月01日至2015年09月30日,,247423,247423,,,75879,1167.0,6438,-295,-3017.0,0.0,971.0,-233088.0,6362.0,-145583.0,,,571,-21587,10011,-5836,-20053,-2797,-39691,,142.0,-24288,8188,-1549,-2948,-20455,-60146,-205729,41694,295.0,3017.0,-6718,-18859.0,19429,,-15000.0,679250.0,-71655,-845.0,-3023.0,588727,,-5000.0,-58.0,350000.0,-960000,-38780.0,-16545.0,-670383,702,-61525,221456,159931,159931,,,,,,
1762,2015年01月01日至2015年06月30日,,209252,209252,,,50903,757.0,4767,-169,,,971.0,-233088.0,6362.0,-169497.0,,,831,-43277,11619,-1276,19884,-4914,-17133,,817.0,-19068,973,181,-1302,-18399,-35532,-205029,4223,169.0,,-4981,-17601.0,-18190,,,679250.0,-47848,-350.0,-998.0,630054,,,15.0,110000.0,-740000,,-16545.0,-661530,-340,-50006,221456,171450,171450,-15000.0,,,,,
1762,2015年01月01日至2015年03月31日,,193492,193492,,,25854,334.0,3136,-116,,,971.0,-233088.0,6362.0,-196547.0,,,170,-82980,10750,-5173,-6966,-3811,-88010,,-893.0,26049,-2106,1008,-2200,21858,-66152,-262699,-69207,116.0,,-3447,-17271.0,-89809,,,679250.0,-23092,,,656158,,95000.0,29901.0,,-740000,,-16545.0,-631644,-141,-65436,221456,156020,156020,,0.0,,,,
1762,2014年度,,37907,37907,,,95484,1008.0,14022,-582,-2514.0,480.0,81.0,,,,,,-71,1610,-10338,398,-98078,1932,-104547,,578.0,29626,-3792,-7842,-15914,2656,-101891,6088,43995,582.0,2514.0,-14285,-9725.0,23081,,-15000.0,,-144128,-2461.0,,-160700,,45000.0,119879.0,1300000.0,-1225000,-93002.0,,146877,713,9971,211485,221456,221456,,889.0,,0.0,107979.0,
1762,2014年01月01日至2014年09月30日,,13625,13625,,,69843,674.0,10066,-303,-2514.0,480.0,0.0,0.0,0.0,78246.0,,,-2316,13913,-4069,-6377,-130034,-1235,-130118,,2024.0,19718,-736,-3767,-11762,5477,-124641,-46395,-32770,303.0,2514.0,-10047,-9742.0,-49742,,-15000.0,0.0,-108682,-2461.0,892.0,-125251,,645000.0,89822.0,650000.0,-1175000,-77560.0,-15442.0,116820,204,-57969,211485,153516,153516,,,,,,
1762,2014年01月01日至2014年06月30日,,41001,41001,,,46102,365.0,6487,-287,,,0.0,0.0,0.0,52667.0,,,-2497,58861,-3699,-367,-74474,-6742,-28918,,1395.0,11355,-5738,-4061,-7766,-4815,-33733,18934,59935,287.0,,-6691,-774.0,52757,,,0.0,-70578,-2140.0,894.0,-71824,,,19982.0,370000.0,-325000,,-15442.0,19540,42,515,211485,212000,212000,-30000.0,,,,,
1762,2014年01月01日至2014年03月31日,,14187,14187,,,22886,0.0,3212,-3,,,0.0,0.0,0.0,26095.0,,,-1661,8456,-2961,-4150,-51724,-3499,-55539,,-315.0,26097,-3980,-10856,-3892,7054,-48485,-22390,-8203,3.0,,-3459,-367.0,-12026,,,0.0,-41091,,,-40199,,480000.0,20062.0,,-462500,,0.0,37562,803,-13860,211485,197625,197625,,892.0,,,,
1762,2013年度,,113682,113682,,,83265,0.0,12319,-399,-2514.0,0.0,0.0,,,,,,1448,27701,3777,-581,26743,-519,58569,,315.0,-28115,-29978,4203,-14876,-68451,-9882,80464,194146,399.0,2514.0,-12254,-39565.0,145240,,-9838.0,,-110044,0.0,,-119900,,0.0,-20048.0,650000.0,-550000,-123619.0,,-43667,617,-17710,229195,211485,211485,,-18.0,,-2325.0,90346.0,
1762,2013年01月01日至2013年12月31日,,113682,113682,,,83265,,12319,-399,-2514.0,0.0,,,,,,,1448,27701,3777,-581,26743,-519,58569,,315.0,-28115,-29978,4203,-14876,-68451,-9882,80464,194146,399.0,2514.0,-12254,-39565.0,145240,,-9838.0,,-110044,,-18.0,-119900,,0.0,,650000.0,-550000,-116340.0,-7279.0,-43667,617,-17710,229195,211485,211485,,,,-2325.0,90346.0,-20048.0
1762,2013年01月01日至2013年09月30日,,111033,111033,,,60875,0.0,9063,-110,-2514.0,0.0,,,,,,,-1099,56670,2691,-1707,-22426,-5553,28576,,1668.0,-26222,-27696,2604,-10296,-59942,-31366,33623,144656,110.0,2514.0,-9112,-38959.0,99209,,0.0,,-78494,0.0,,-79931,,180000.0,-20000.0,450000.0,-537500,-116340.0,-7279.0,-51119,120,-31721,229195,197474,197474,,-1437.0,,-2325.0,64989.0,
