公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款增加,　　 庫藏股票買回成本,　　 非控制權益變動,　　 現金減資,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得持有至到期日金融資產,　　 發放現金股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分持有至到期日金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司股權（未喪失控制力）,　　　　 股利收入,　　　　　 其他應付款－關係人增加（減少）,　　 收取之股利,　　 應付短期票券減少
2459,2016年01月01日至2016年09月30日,,424587,424587,,,205456,7813,-6444,16844,-13925,2368,-26947,,,,-19356,-329194,-18173,-15215,3126,19239,-7102,-366675,,521,30360,-1539,-25898,-10960,9542,,,-14585,-381260,-197119,227468,-99993,127475,,-54200,45523,,,,-171132,626,,812.0,-601,,13990,-21693,,,0.0,376000,-250000,-17301,-159164,-216177,-269559,1102306,832747,832747,,,80700.0,0.0,-30328.0,,-1583908.0,-376709.0,-268252.0,,184141.0,-17277.0,1744326.0,-157653.0,171881.0,344328.0,0.0,0.0,-1024.0,666.0,1024.0,-49983.0
2459,2016年01月01日至2016年06月30日,,225268,225268,,,135076,5283,-3811,9909,-8432,177,-22713,,,,-17435,-407953,-9039,-6188,-554958,16382,-5401,-984592,,236,562787,2333,-1631,-15021,-12201,,0.0,553029,-431563,-317116,-91848,-66003,-157851,,-44000,29012,,,,-118933,0,,447.0,-148,,8443,-73519,,,0.0,106000,-80000,-10663,162694,-109987,-178663,1102306,923643,923643,,,197340.0,0.0,0.0,,-1371084.0,-196917.0,,,114447.0,-17487.0,1437963.0,-114302.0,174866.0,120092.0,0.0,0.0,-1042.0,34013.0,1042.0,-49983.0
2459,2016年01月01日至2016年03月31日,,102038,102038,,,67768,2666,-1321,4797,-6465,3,-13908,,,,-3684,280931,4832,-4041,-70565,12717,-5658,214532,,496,-153053,-2004,-36720,-4969,-9576,,,-223520,-8988,44552,146590,-19790,126800,,-3500,0,,,,-26766,0,,142.0,0,,6465,164819,,-228879.0,0.0,780000,-754000,-5234,-208113,-33283,50223,1102306,1152529,1152529,,,,,,,-620023.0,-24861.0,,,53540.0,-17694.0,677877.0,0.0,125163.0,30322.0,0.0,0.0,,,,
2459,2015年01月01日至2015年09月30日,,405866,405866,,,208128,5452,0,12747,-24935,-122,-21974,,,,7356,-339288,10068,-4949,-142711,26688,-13345,-456181,,516,198083,-277,-39493,13040,-1210,,,171654,-284527,-105274,300592,-93964,206628,,-231300,789849,,,,-86884,1059,,3484.0,-6930,,24935,-436148,,,49976.0,250000,-161000,-12107,109998,106915,-12607,1404199,1391592,1391592,,,474092.0,-173297.0,-36593.0,,-3243060.0,-114910.0,-284151.0,,179253.0,995.0,2206964.0,-281272.0,102301.0,326181.0,73392.0,3078.0,-43.0,0.0,43.0,0.0
2459,2015年01月01日至2015年06月30日,,257466,257466,,,140063,3475,0,8080,-18270,-65,-12203,,,,4094,-126169,9181,-11410,-83551,32813,-8001,-183043,,231,136507,-94,-28915,5754,-19881,,33121.0,127385,-55658,65379,322845,-71565,251280,,-163200,695383,,,,-51090,296,,359.0,-6658,,18270,-165932,,,49980.0,50000,-111000,-7827,-71078,-111506,-97236,1404199,1306963,1306963,,,28756.0,-47472.0,-36593.0,,-1912819.0,-110401.0,,,121037.0,662.0,1047051.0,-148196.0,101275.0,290363.0,73392.0,3078.0,-43.0,0.0,43.0,0.0
2459,2015年01月01日至2015年03月31日,,107984,107984,,,70729,1600,50,4256,-8639,-45,-4276,,,,-2073,321393,9088,2734,-117775,24301,5796,243464,,507,-246618,1546,-57521,1498,19658,,0.0,-280599,-37135,26540,134524,-28177,106347,,-64000,619295,,,,-29464,109,,150.0,-1484,,8639,63343,,-89100.0,24990.0,0,-61000,-4453,-126485,-72398,-29193,1404199,1375006,1375006,,0.0,,,,,-799000.0,-76672.0,,,63675.0,331.0,116379.0,-50442.0,51071.0,215370.0,73392.0,3078.0,,,,
2459,2014年度,,684782,684782,,,268720,6382,-680,16802,-31830,13210,-27681,244923.0,,,-12969,469785,11598,-11378,-108285,-38068,10946,321629,,4,-202933,2201,44079,898,-7888,1256.0,-135028.0,-297411,24218,269141,953923,-144288,809635,,-3350364,2914355,-50918.0,60025.0,0.0,-223640,1268,-545.0,,-1503,,31830,-844144,,-278041.0,,640000,-585000,-16999,-631159,192531,-473137,1877336,1404199,1404199,,,142425.0,,-36278.0,-284152.0,-10795.0,-213857.0,-213114.0,,,,,,,,,,,,,
2459,2014年01月01日至2014年09月30日,,531251,531251,,,199881,4775,-590,12009,-44130,3342,-114,175173.0,,,-39102,235579,9936,-25623,-84879,10410,310,106631,,697,-128564,-207,42738,1017,-30889,936.0,-265992.0,-380264,-273633,-98460,432791,-111671,321120,,-2466821,1991328,-65440.0,69887.0,0.0,-161651,936,-54.0,,-1472,,44130,-589157,,-9132.0,,155000,-100000,-12062,-286624,35500,-519161,1877336,1358175,1358175,,,0.0,,-36278.0,-284152.0,,,,,,,,,,,,,,,,
2459,2014年01月01日至2014年06月30日,,319452,319452,,,133076,3179,-280,8034,-27538,2661,-32,119100.0,,,-21353,444059,7385,8463,-66964,6238,-3917,373911,,104,-200571,401,20613,-2259,6126,618.0,-11630.0,-186598,187313,306413,625865,-66791,559074,,-1216140,1126577,0.0,10289.0,0.0,-91400,805,332.0,,-810,,27538,-142809,,-300850.0,,80000,-100000,-8361,-365489,-55137,-4361,1877336,1872975,1872975,,,,,-36278.0,,,,,,,,,,,,,,,,,
2459,2014年01月01日至2014年03月31日,,128151,128151,,,66948,1617,-210,4527,-12129,390,-10,61133.0,,,16556,850367,11120,-287,-28173,2780,-10,852353,,514,-470583,-203,-21886,2476,-535,308.0,-42416.0,-532325,320028,381161,509312,-23822,485490,,-504330,343276,0.0,10442.0,0.0,-21906,304,52.0,,-824,,12129,-160857,,-323935.0,,50000,-50000,-5092,-329027,8188,3794,1877336,1881130,1881130,,,,,,,,,,,,,,,,,,,,,,
2459,2013年度,,613442,613442,,,258507,5805,490,17227,-39871,17688,-39250,220596.0,,,-751,-64613,26044,-7063,22538,-12066,-13262,-49173,,113,-71232,287,-8510,-5894,24115,858.0,25981.0,-34282,-83455,137141,750583,-184491,566092,,-1010065,812917,-10330.0,132452.0,137914.0,-220847,2647,-699.0,,-9818,,39871,-125958,,-421314.0,,480000,-500000,-17127,-544757,121029,16406,1860930,1877336,1877336,,,250905.0,,-53069.0,0.0,0.0,0.0,-284152.0,,,,,,,,,,,,,
2459,2013年01月01日至2013年12月31日,,613442,613442,,,258507,5805,490,17227,-39871,17688,-39250,220596.0,,,-751,-64613,26044,-7063,22538,-12066,-13262,-49398,,113,-71232,287,-8510,-5894,24115,858.0,-258171.0,-318434,-367832,-147236,466206,-184491,281715,,-1010065,812917,-10330.0,132452.0,137914.0,-220847,2647,-699.0,,-9818,,39871,-125958,,-421314.0,0.0,480000,-500000,-17127,-207536,68185,16406,1860930,1877336,1877336,-225.0,,250905.0,0.0,,,,,,,,,,,,,,,,,,
2459,2013年01月01日至2013年09月30日,,486026,486026,,,192249,4254,300,12477,-28956,726,-39244,141806.0,,,-16025,-502770,20668,-16300,-60934,11236,-1978,-566021,,686,419723,180,-27256,-6492,1863,1351.0,-244826.0,145229,-420792,-278986,207040,-133344,73696,,-628646,647776,-236.0,77361.0,137914.0,-185416,2493,-444.0,,-9140,,28956,70618,,-274906.0,0.0,150000,-180000,-12733,-102444,18474,60344,1860930,1921274,1921274,82.0,0.0,215195.0,,,,,,,,,,,,,,,,,,,
2459,2013年01月01日至2013年06月30日,,303296,303296,,,127722,2725,300,8740,-20895,705,-39066,80231.0,,,-30075,-101337,28869,-7919,-35980,4552,-6085,-147867,,425,297781,521,21179,-3346,26486,1127.0,53720.0,397893,250026,330257,633553,-102881,530672,,-245000,309545,-236.0,0.0,137914.0,-156444,427,-619.0,,-8357,,20895,58125,,-113503.0,0.0,0,-180000,-8026,-301529,56042,343310,1860930,2204240,2204240,108.0,0.0,,,,,,,,,,,,,,,,,,,,
2459,2013年01月01日至2013年03月31日,,155285,155285,,,62215,1021,100,4954,-11104,193,-38965,18414.0,,,-4679,450151,18925,2273,-50619,9010,-3707,421354,,12722,-266950,461,-41958,-3634,2566,920.0,-27150.0,-323023,98331,116745,272030,-33576,238454,,-160000,110062,-134902.0,0.0,137914.0,-48769,262,-457.0,0.0,-5200,67.0,11104,-89919,,-34725.0,0.0,0,-180000,-4507,-219232,72098,1401,1860930,1862331,1862331,,,,,,,,,,,,,,,,,,,,,,
2459,2012年01月01日至2012年12月31日,,606708,606708,,,236601,9651,0,15631,-35167,14181,-1350,239547.0,,,28103,76306,-4073,-12030,192541,-10288,11366,277551,,-190,-102281,-27,-13364,9111,-27601,720.0,-261136.0,-394768,-117217,122330,729038,-128600,600438,,-991502,979332,-192464.0,19709.0,0.0,-320543,9896,-649.0,,-2760,,35167,-463814,,-559179.0,-49957.0,500000,-4996,-14070,-28698,-18053,89873,1771057,1860930,1860930,-4374.0,,170754.0,-71250.0,,,,,,,,,,,,,,,,,,
2459,2012年01月01日至2012年09月30日,,466282,466282,,,174334,2579,0,11348,-24337,-5688,-1250,156986.0,,,37458,193912,-3303,-21963,114110,-21317,1767,304490,,2767,-88399,397,43786,1194,-22791,-9.0,-261136.0,-324191,-19701,137285,603567,-85158,518409,,-725502,699848,0.0,19709.0,0.0,-232720,9903,-240.0,,-1628,,24337,-206293,,-431704.0,-49957.0,300000,-3740,-10448,-166262,22338,168192,1771057,1939249,1939249,3826.0,0.0,29587.0,,,,,,,,,,,,,,,,,,,
2459,2012年01月01日至2012年06月30日,,293975,293975,,,114075,1779,-270,7602,-15879,-6172,-648,100487.0,,,13551,-136609,2526,-2945,163646,-22308,11418,31955,,-173,167428,-11,-2349,2844,-10712,1435.0,0.0,158462,190417,290904,584879,-49043,535836,,-392612,186673,0.0,19709.0,0.0,-128881,9803,-358.0,,-379,,15879,-290166,,-477139.0,-49957.0,300000,-2488,-6500,-236084,27672,37258,1771057,1808315,1808315,2676.0,0.0,,,,,,,,,,,,,,,,,,,,
2459,2012年01月01日至2012年03月31日,,106778,106778,,,56095,810,-220,4126,-7181,753,-77,54306.0,,,9248,339487,3417,-4802,154775,-20209,5904,487820,,4021,-299733,105,32923,2412,-30456,219.0,0.0,-290509,197311,251617,358395,-12784,345611,,-151622,22277,0.0,19709.0,0.0,-183764,1360,0.0,145.0,-223,2361.0,7181,-282576,,-514523.0,37.0,300000,-1242,-4822,-220550,73968,-83547,1771057,1687510,1687510,,,,,,,,,,,,,,,,,,,,,,
