公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他預付款項增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 停業單位稅前淨利（淨損）,　　　　 非金融資產減損迴轉利益,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債券投資,　　 採用權益法之被投資公司減資退回股款,　　 收取之股利,　　 處分子公司股權（未喪失控制力）,　　 取得按攤銷後成本衡量之金融資產
6189,2015年01月01日至2015年09月30日,,546998,546998,,,19761,1408,-12201,6938,20338,-992,305,-185.0,0,7500.0,2499,11095,56466.0,,,-6655.0,26178,-67040,96619,255271,35152,339525,,216.0,-87,-462009,-10790,-9159,0.0,39321,-542.0,-443050,-103525,-47059,499939,-20338,-144541,335060,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.0,72.0,0.0,-12363,231.0,-3609,-2300.0,-5218.0,992,-22454,,190848,0.0,50000.0,-17153,-1050,-572945.0,-6698,-356998,4567,-39825,1205467,1165642,1165642,,,,,,,,,,,,,,,,,,
6189,2015年01月01日至2015年06月30日,,302392,302392,,,13132,964,-6182,4752,13377,-841,204,-185.0,0,7500.0,-21742,1546,12525.0,,,486.0,-23568,176687,216199,-58742,39931,350993,,-112.0,-89,-651441,-31190,-9866,,-2439,-365.0,-695502,-344509,-331984,-29592,-13377,-82201,-124329,,,,,,,0.0,0.0,0.0,334.0,0.0,-7829,231.0,-1326,,-1922.0,841,-10512,,181344,,,-11409,-1050,,-8210,210675,-3110,72724,1205467,1278191,1278191,50000.0,0.0,,,,,,,,,,,,,,,,
6189,2015年01月01日至2015年03月31日,,175981,175981,,,6440,546,-7482,5217,6516,-197,100,,0,7500.0,0,-989,-31.0,,,,10068,115203,273991,-402724,33152,29690,,,-89,-434906,-32176,-1846,-2329.0,-80,0.0,-471426,-441736,-441767,-265786,-6516,-2,-272304,,,,,-8480.0,8697.0,0.0,,5489.0,,,-6754,,-1373,,0.0,197,-2224,,16592,,0.0,-5691,-1050,,-248,9603,-791,-265716,1205467,939751,939751,,,0.0,-17682.0,,,-272304.0,,,,,,,,,,,
6189,2014年01月01日至2014年09月30日,,601817,601817,,,17411,3450,2000,2184,15664,-1125,292,-485.0,-440,1282.0,10462,11209,61904.0,,,0.0,-33761,-432851,122478,-592243,-13174,-949551,,-244.0,-2274,792488,-16279,20364,8151.0,3024,316.0,805546,-144005,-82101,519716,-15664,-123481,380571,,0.0,0.0,0.0,-4716.0,5776.0,-4441.0,4462.0,0.0,9667.0,-4776.0,-22241,485.0,2627,0.0,-10089.0,1125,-22121,,0,-171130.0,0.0,-16846,-140,-537136.0,-9485,-734737,1824,-374463,1354705,980242,980242,,,,,,,,,,,,,,,,,,
6189,2014年01月01日至2014年06月30日,,405756,405756,,,11559,2457,5000,-298,10726,-948,197,0.0,-8,1282.0,11933,10584,52484.0,,,1007.0,-14406,-212275,217847,-217377,-51037,-276241,,0.0,-2266,258139,27028,-958,,-38946,287.0,243284,-32957,19527,425283,-10726,-59104,356401,,,,,,,-4441.0,3449.0,-675.0,0.0,-4776.0,-21328,0.0,1524,,3106.0,948,-23141,,-446015,,,-11205,-140,,-9999,-507359,-477,-174576,1354705,1180129,1180129,-40000.0,0.0,,,,,,,,,,,,,,,,
6189,2014年01月01日至2014年03月31日,,208853,208853,,,5715,1362,0,42,5732,-272,0,,0,1282.0,12701,2888,29450.0,,,,-18411,-157038,108509,-99420,-17590,-183950,,,-2264,139142,-30449,2866,1475.0,-11617,-118.0,99035,-84915,-55465,153388,-5732,-150,147506,,,,,0.0,2913.0,-3452.0,,-789.0,,,-3515,,1526,,-6972.0,272,-10017,,-315656,,-40000.0,-5590,-140,,-6385,-367771,1422,-228860,1354705,1125845,1125845,,,0.0,0.0,,,147506.0,,,,,,,,,,,
6189,2013年01月01日至2013年12月31日,,730645,730645,,,26220,6574,-1886,-1225,19883,-1181,382,0.0,-282,1469.0,7783,2121,,,,,32300,-549652,42076,203078,55016,-217182,,,2261,60792,43860,51880,1113.0,10524,,169608,-47574,15024,745669,-19883,-207580,518206,,,,,-5611.0,3526.0,-23265.0,35685.0,,,0.0,-12214,0.0,-1862,-520.0,-7087.0,1181,-8331,,665324,,-40000.0,-23937,350,-393899.0,-7358,242068,1596,753539,601166,1354705,1354705,0.0,,,,,,,,-70.0,2810.0,62598.0,-822.0,15.0,0.0,1751.0,70.0,41588.0,
6189,2013年01月01日至2013年09月30日,,587355,587355,,,17459,4823,-4919,1035,14115,-726,288,0.0,798,1469.0,0,2802,,,,,3426,-645941,119967,47757,-13970,-488761,,,-3,7747,52665,37364,10201.0,39421,,147399,-341362,-310369,276986,-14115,-206223,56648,,-5611.0,3443.0,-23265.0,,,,,,,,-6189,0.0,-379,-2245.0,,726,1048,,567904,,0.0,-18373,350,-393899.0,-7104,148878,1010,207584,601166,808750,808750,,,,-6151.0,,,,,,,30993.0,4.0,,0.0,1751.0,,,32817.0
6189,2013年01月01日至2013年03月31日,,201045,201045,,,5856,1581,1000,133,4462,-185,593,,-9,,16847,714,,,,,13077,-261882,332020,46627,40866,170708,,,18,-200475,-8455,25395,28323.0,7500,,-147690,23018,54010,255055,-4462,-13908,236685,,,,,-521.0,3412.0,-21478.0,20133.0,,,,-1106,,30,0.0,-1516.0,185,-861,,171192,,-40000.0,-5482,210,,-7358,118562,1561,355947,601166,957113,957113,,,0.0,,,,236685.0,,,,30992.0,4.0,,0.0,,,,
6189,2012年01月01日至2012年12月31日,,577547,577547,,,22761,6539,1286,-2003,18725,-1023,1034,123.0,-17146,4000.0,6157,-9336,,,,,15180,339635,-139349,-369336,-50893,-204763,,,-101,-124807,-1350,-2614,702.0,643,,-128660,-333423,-297160,280387,-18275,-64135,197977,,,,,-82411.0,81794.0,-7123.0,60508.0,,,-6876.0,-22519,5119.0,-167,-2388.0,-2922.0,1023,30126,,-20212,,0.0,-3656,840,-393899.0,-6391,-363318,-1380,-136595,737761,601166,601166,60000.0,,,,,,,,-2.0,5148.0,36263.0,-1133.0,0.0,6086.0,0.0,2.0,0.0,
