公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　　　 買回應付公司債損失（利益）,　　 存出保證金減少,　　 償還公司債,　　　　　 持有供交易之金融資產（增加）減少,　　 收取之利息,　　 應付短期票券增加,　　　 收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 收益費損項目合計,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 其他預付款項減少,　　 應付短期票券減少,　　　　 處分其他資產損失（利益）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存入保證金減少,　　 庫藏股票買回成本
3308,2016年01月01日至2016年09月30日,,8736,,8736,,,34983,57,6398,-1080.0,12678,-7061,4,2357.0,-1121,534,,,,,-4128,628,55755,-5348,46786,,-20,2363,8476,6460,17279,64065,16929,25665,-12334,-3881,16898,,-8217,,,0,,70803,,1406616,-1434965,,-27800,180,-75960,-19131,-7390,1355609,1348219,1348219,-121.0,,57.0,,,7448.0,619667.0,,,-47136.0,-184935.0,226697.0,37201.0,-639658.0,-94885.0,0.0,,0.0
3308,2016年01月01日至2016年06月30日,,49353,,49353,,,23627,38,5582,-828.0,8677,-5007,4,1679.0,-892,362,,,,,10798,-3554,61880,-4526,64518,,-20,-83139,8012,1650,-73497,-8979,-70622,-21269,-8453,-3249,-27416,,-6002,,,-97,,32853,,881485,-920965,,-18533,261,-57727,-7875,-60165,1355609,1295444,1295444,-80.0,,34.0,,,5555.0,419742.0,,,-61643.0,-163935.0,162345.0,40508.0,-419717.0,-94885.0,0.0,0.0,
3308,2016年01月01日至2016年03月31日,,57405,,57405,,,11812,19,1349,259.0,4535,-2482,4,,-49,1486,,,,,130671,-2231,19248,3519,151167,,-11,-76367,1004,1285,-74089,77078,-874,56531,-4381,-1894,52662,,-4153,,,-97,,39165,,467485,-464500,,-9267,-1,-6271,-12590,72966,1355609,1428575,1428575,-40.0,,53.0,,,2406.0,209865.0,,-94885.0,-77952.0,-99583.0,99673.0,43272.0,-209853.0,,,,
3308,2015年01月01日至2015年09月30日,,24404,,24404,,,35892,49,1027,-1653.0,14023,-14572,3,16956.0,-5266,853,,,,,48949,697,98980,4298,152796,,-28,-108909,-3580,4041,-108476,44320,91632,116036,-13532,-4660,113634,,-9260,,,-97,,168382,,1395435,-1362490,,-40931,47,-11578,21012,291450,966355,1257805,1257805,-128.0,,-14.0,,,15790.0,699526.0,,,47312.0,-132701.0,347155.0,0.0,-699538.0,0.0,-36701.0,,-3627.0
3308,2015年01月01日至2015年06月30日,,-8416,,-8416,,,24234,30,1019,-176.0,9282,-11369,3,5394.0,224,567,,,,,33236,24,126146,4794,164089,,-28,-194963,1457,656,-192878,-28789,419,-7997,-9114,-2830,-8349,,-6041,,,-97,,102084,,922560,-891700,,-28799,0,2079,1394,97208,966355,1063563,1063563,-111.0,,22.0,,,11592.0,420306.0,,,29208.0,-99694.0,244595.0,0.0,-420284.0,0.0,-36701.0,-4.0,
3308,2015年01月01日至2015年03月31日,,-19442,,-19442,,,12471,14,1005,0.0,4685,-5873,0,,828,4912,,,,,103542,-123,89043,2878,195298,,-28,-177416,-2004,-38,-179486,15812,33854,14412,-4602,-1607,12677,,-5640,,,0,,23667,,441500,-410200,,-15255,-2,16053,542,52939,966355,1019294,1019294,-42.0,,9.0,,,4474.0,210152.0,,0.0,18042.0,-68242.0,97540.0,0.0,-210142.0,,,,
3308,2014年01月01日至2014年06月30日,,-107585,0.0,-107585,,,29388,90,362,,9830,-10212,3675,5237.0,-1690,555,37235.0,,,0.0,-12776,1325,37086,4370,29904,,4000,-203672,-36083,4588,-231167,-201263,-164028,-271613,-9606,-2973,-275913,,-28583,882.0,,0,,-31692,,1024360,-978695,,-57268,-4,58393,16737,-232475,1310644,1078169,1078169,-101.0,,-3991.0,,,8279.0,70000.0,,,,,,,,,,,
3308,2014年01月01日至2014年03月31日,,-66725,,-66725,,,15978,45,-501,,4956,-5214,176,2969.0,425,282,19116.0,,,0.0,208604,-5272,9865,1601,214747,,4000,-250803,-17726,2269,-262260,-47513,-28397,-95122,-4922,11078,-79663,,-13843,,,0,0.0,-17847,,479320,-463695,,-28596,-1,-12972,14261,-96221,1310644,1214423,1214423,-51.0,,-4004.0,,,9303.0,,,,,,,,,,,,
3308,2013年01月01日至2013年12月31日,,-126422,,-126422,,,63199,185,-651,0.0,18628,-11796,429,42912.0,-4162,1356,110100.0,,,103.0,-10366,-1565,25706,3761,17437,,-6,322608,44499,2648,369749,387186,497286,370864,-22589,-54160,307222,,-31503,771.0,,-282,,-29957,,1579835,-1584925,85000.0,-118329,8,-73411,-2859,200995,1109649,1310644,1310644,-202.0,0.0,1057.0,-35000.0,0.0,13107.0,,,,,,,,,,,,
3308,2013年01月01日至2013年09月30日,,-90604,,-90604,,,47807,136,-354,0.0,13891,-8191,364,36277.0,2759,1082,93771.0,,,-1240.0,-151349,11213,61342,2878,-77307,,5,99998,13770,11969,125742,48435,142206,51602,-17900,-50211,-16509,,-15000,770.0,-115.0,-282,,-14627,,1164835,-1140000,35000.0,-88979,5,-64139,1216,-94059,1109649,1015590,1015590,-151.0,0.0,0.0,-35000.0,,,,,,,,,,,,,,
