公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入（含財務收入）,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 營業外金融商品按公允價值衡量之損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 附賣回票券投資（增加）減少,　　　　　 應收證券融資款（增加）減少,　　　　　 轉融通保證金（增加）減少,　　　　　 應收轉融通擔保價款（增加）減少,　　　　　 客戶保證金專戶（增加）減少,　　　　　 借券擔保價款（增加）減少,　　　　　 借券保證金－存出（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 預付退休金（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 附買回債券負債增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 融券保證金增加（減少）,　　　　　 應付融券擔保價款增加（減少）,　　　　　 借券保證金－存入增加（減少）,　　　　　 期貨交易人權益增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 代收款項增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付商業本票增加,　　 應付商業本票減少,　　 其他非流動負債減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付設備款增加,　　 短期借款減少,　　 其他非流動負債增加,　　 非控制權益變動,　　　　　 附賣回債券投資（增加）減少,　　 發放現金股利,　　 處分子公司股權（未喪失控制力）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分投資損失（利益）,　　 取得備供出售金融資產,　　　　 金融資產重分類淨損失（利益）,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　　 應收證券借貸款項（增加）減少,　　　　　 應收期貨交易保證金（增加）減少,　　 處分不動產及設備,　　 預付設備款減少,　　　 收益費損項目,　　　　 收益費損項目合計
2855,2015年01月01日至2015年03月31日,,645816,,645816,,,23611,6931,-438,71147,76887,-351057,-3959,-28120,1,-25230,,,,-9662406,,-810751,219,-6032,-436008,12224,11042,-169,-8599591,-21742,,-981546,0,-448768,-20960648,,4091784,228951,-946725,-1207731,-650057,425003,6026067,24,1007642,854535,,-59994,28810,9798309,-11162339,-11392566,-10746750,297950,3670,-9231,-10454361,,-1999,-375,0.0,193567.0,183590,,2891691,6600000.0,0.0,0.0,-68041,9424304,-27523,-873990,6355219,5481229,5481229,,,,-7603.0,,654.0,,-17120.0,,,0.0,0.0,0.0,,,,,,,,,-230227.0
2855,2014年度,,1791363,,1791363,,,99490,18091,2285,-111138,178055,-1300487,-266970,-71854,2,-4531,-1456609.0,,,-2887007,,-1895243,24476,57964,-651794,17769,38575,2366,1548437,26484,,-288473,322120,190899,-4810894,,2812355,836096,283209,242585,406262,635715,-2169058,34,-158136,307120,,201187,532,3397901,-1412993,-2869602,-1078239,1233955,310042,-82959,382799,,-36025,-143252,-146510.0,0.0,-380734,,5281717,0.0,-3200000.0,0.0,-167729,934815,130855,1067735,5287484,6355219,6355219,0.0,0.0,21903.0,-31490.0,0.0,2402.0,-2466.0,-1317467.0,-979109.0,,,448.0,-45416.0,,,,,,56.0,0.0,,
2855,2014年01月01日至2014年09月30日,,1380083,0.0,1380083,,,74722,10765,1808,235907,127581,-982714,-260836,-48975,2,217,-841075.0,,,3403721,,-904191,22451,57648,-540678,5461,18107,1568,-4004187,21028,,-553650,322120,-190096,-4490695,,-550816,1828896,46341,-47958,-364280,547384,2832765,1474,966191,310399,,44494,2853,5617743,1127048,285973,1666056,904565,283866,-76140,2778347,,-23404,-45655,-142085.0,0.0,-263927,,2380402,0.0,-2500000.0,-30.0,-117970,-1219173,77072,1372319,5287484,6659803,6659803,0.0,0.0,21903.0,-29269.0,,,-2466.0,-2149997.0,-979109.0,,,448.0,-45417.0,,,,,,,,,
2855,2014年01月01日至2014年06月30日,,1250418,0.0,1250418,,,49897,7351,2038,-313985,84707,-592841,-30571,-30524,0,-4278,-827758.0,,,-1230749,,-1139143,24446,55391,-232919,17817,30056,2172,-3184191,35117,0.0,-10345,254996,738423,-6876088,,806592,1984451,-485152,-736768,-365406,217336,1704176,2029,45207,20316,,146096,8142,3347019,-3529069,-4356827,-3106409,567790,18127,-52861,-2573353,,-11089,-41350,-53428.0,,-160451,,4051453,0.0,-1550000.0,0.0,-85312,2417046,4370,-312388,5287484,4975096,4975096,0.0,0.0,14947.0,-24115.0,0.0,905.0,,-2237159.0,,,0.0,448.0,-45416.0,0.0,0.0,0.0,0.0,0.0,,,,
2855,2014年01月01日至2014年03月31日,,529634,0.0,529634,,,24952,3511,2087,-36371,42215,-293022,-1435,-14914,0,-292,-272821.0,,,509314,,-1026370,24695,55918,-254547,25618,45664,2298,-4427773,28218,,-11313,294484,636758,-6865126,,492981,1953664,-356249,-559281,-367483,245661,4946769,-28,-143956,-149316,,74191,4584,6141537,-723589,-996410,-466776,259604,1434,-5201,-210939,,-3429,-39098,-24693.0,,-127546,,849529,,-350000.0,-919.0,-42785,455825,42929,160269,5287484,5447753,5447753,,,,-14521.0,,,,-2768090.0,,,,448.0,-45805.0,,,,,,,,,
2855,2013年度,,1489487,,1489487,,,103752,10795,12334,-303088,126838,-932506,-143868,-55919,402,3850,-1171810.0,,,-1624152,,-1744158,-24321,-46733,720228,15810,-8235,-1686,-2917055,-25556,,5809,-105204,354082,-5586068,,-1707598,783198,-9174,-6971,-614980,-720228,2863349,-6712,168198,51016,,-28199,-420,771479,-4814589,-5986399,-4496912,942208,219408,-87716,-3423012,,-17629,-11867,0.0,3708.0,-61267,,0,4950000.0,0.0,-7605.0,-123757,3791371,46966,354058,4933426,5287484,5287484,5600.0,-715.0,6600.0,-41364.0,-337076.0,0.0,-2169.0,-184897.0,-688022.0,,,0.0,0.0,,,,,,0.0,0.0,,
2855,2013年01月01日至2013年12月31日,,1489487,0.0,1489487,,,103752,10795,12334,-303088,126838,-932506,-143868,-55919,402,3850,-1171810.0,,,-1624152,,-1744158,-24321,-46733,720228,15810,-8235,-1686,-2917055,-25556,,5809,-105204,354082,-5586068,,-1707598,783198,-9174,-6971,-614980,-720228,2863349,-6712,168198,51016,,-28199,-420,771479,-4814589,-5986399,-4496912,942208,219408,-87716,-3423012,,-17629,-11867,,3708.0,-61267,,0,4950000.0,,-7605.0,-123757,3791371,46966,354058,4933426,5287484,5287484,5600.0,-715.0,6600.0,-41364.0,-337076.0,,-2169.0,-184897.0,-688022.0,0.0,,,,,,,,,,,,
2855,2013年01月01日至2013年09月30日,,993834,0.0,993834,,,78927,7824,13142,-180205,94014,-683884,-139972,-38280,398,6130,-836306.0,,,4159879,,-502173,-397,2535,384959,-8723,-8159,-23,-7209580,-2454,,-215944,100617,-275475,-4180251,,-5651888,1409584,-189778,-300869,-621298,-384958,4238182,-4924,885865,-87330,-11161.0,126794,2000,-589781,-4770032,-5606338,-4612504,737202,203069,-76114,-3748347,,-9003,-5954,,5181.0,-24100,,1046320,3950000.0,,-1687.0,-93470,4210971,31680,470204,4933426,5403630,5403630,5600.0,-715.0,6600.0,-20209.0,,0.0,-2170.0,-605313.0,-688022.0,0.0,0.0,,,,,,,,,,,
2855,2013年01月01日至2013年06月30日,,535544,0.0,535544,,,53370,4910,-122,26570,69448,-467158,-23737,-28479,393,8982,-350223.0,,,5708491,-460285.0,-503408,374,8357,161763,8402,7596,712,-864011,6313,-19033.0,-6391,216916,1030725,5296521,,-5209644,362076,-657898,-881418,-773489,-161763,-78906,-5746,-22886,-140671,-11161.0,79088,2176,-7500242,-2203721,-2553944,-2018400,507860,17677,-22058,-1514921,,-6153,-2231,-72628.0,0.0,-90424,,0,2250000.0,,,-71764,1629660,58628,82943,4933426,5016369,5016369,5600.0,-713.0,6600.0,-15299.0,-548897.0,321.0,0.0,,,,,,,,,,,,,,,
2855,2013年01月01日至2013年03月31日,,332997,0.0,332997,,,26954,2367,-114,-22058,34943,-229560,-1486,-15932,392,-4348,-208842.0,,,1201022,-1202807.0,-119990,-2319,7701,152876,12314,10116,1134,-350345,-17572,-5064.0,4714,111666,1173663,977109,,-1575012,1126921,-348734,-535520,-1009201,-152876,1278874,-6852,-29478,-155544,-9014.0,37899,-53,-1378590,-401481,-610323,-277326,258972,1486,-5719,-22587,,-4941,-1058,0.0,-21786.0,-27785,,245149,0.0,-250000.0,-1304.0,-32290,-38445,47238,-41579,4933426,4891847,4891847,,,,,,,,,,,,,,,,,,,,,,
