公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 其他金融資產減少,　　 其他金融資產增加,　　　　 非金融資產減損迴轉利益,　　 處分子公司,　　 存出保證金增加
2342,2015年01月01日至2015年09月30日,,-900471,-900471,,,151077,3771,22261,-876,-268.0,0,-440.0,0,-93579.0,139515.0,0.0,457975.0,-13049,-129869.0,536518.0,,,405,-54023,88,46878,126888,895,94924,-9220,206835,,-10875,-23176,0,-17836,-3432,-7787.0,-63106,143729,680247,-220224,878,268.0,267,-218811,,0,0.0,93579.0,-4161,440.0,45.0,3520.0,103.0,93526,,-101959,-24933,-53531,-13,-22212,-202648,13049,-314884,606440,291556,291556,,,,,,,,,,,
2342,2015年01月01日至2015年06月30日,,-860286,-860286,,,107227,-2173,15168,-743,,0,-220.0,0,,139515.0,0.0,457975.0,10068,-129869.0,596948.0,,,142,-78262,6976,52104,106029,910,94924,-607,182216,,-620,-3003,0,-13978,-2970,-5192.0,-25763,156453,753401,-106885,744,,279,-105862,,0,0.0,,-3104,220.0,45.0,,103.0,-2736,,-99790,-22940,-49326,0,-15103,-187158,-10068,-305824,606440,300616,300616,1.0,,,,,,,,,,
2342,2015年01月01日至2015年03月31日,,-472757,-472757,,,59129,-933,8053,-478,,0,-220.0,0,,139618.0,0.0,157217.0,4388,,366774.0,,,-584,-69372,7070,15846,21284,-918,94950,-2492,65784,,-27981,-14158,0,560,-3260,-2596.0,-47435,18349,385123,-87634,478,,200,-86956,,0,0.0,,-1725,220.0,45.0,,,-1460,,-89717,-20943,-45121,-1,-7951,-163733,-4388,-256537,606440,349903,349903,,,,,,,,,,,
2342,2014年度,,-407369,-407369,,,324851,3513,34270,-2036,-3187.0,-4846,-1000.0,-363125,,13545.0,,,-60788,8567.0,,,,-344,59186,5719,-7530,42074,-677,66085,-15812,148701,,-9612,-3593,-9620,-44676,686,,-77119,71582,21346,-386023,2083,3187.0,139,-380614,,545757,2184.0,,-31374,1000.0,128.0,0.0,,517695,,-81564,-7418,-36027,-52,-34321,-159382,60788,38487,567953,606440,606440,,,-50236.0,0.0,-10304.0,0.0,0.0,,,,
2342,2014年01月01日至2014年09月30日,,-281342,-281342,,,244889,-5389,25826,-1739,-2344.0,-18553,0.0,-269542,0.0,0.0,-104.0,0.0,-20324,0.0,-47280.0,,,483,4435,-2688,31451,18441,339,69775,-5271,116965,,-6242,-17066,-10669,-33429,578,-7383.0,-74211,42754,-4526,-285868,1765,2344.0,160,-281599,,413309,2184.0,0.0,-30275,0.0,43.0,0.0,0.0,385261,,-76495,-6371,-33925,-37,-25752,-142580,20324,-18594,567953,549359,549359,,,,,,,,,,,
2342,2014年01月01日至2014年06月30日,,-64000,-64000,,,163801,-7098,17498,-1215,,-30677,0.0,-265456,,0.0,-104.0,0.0,2273,0.0,-120978.0,,,776,-47442,-4883,-15653,34645,-581,71432,-515,37779,,32453,-14346,-6497,-23415,966,-5022.0,-15861,21918,-99060,-163060,1213,,184,-161663,,406433,2184.0,,-29017,0.0,0.0,,0.0,379600,,-56787,-2181,-25151,-28,-17427,-101574,-2273,114090,567953,682043,682043,0.0,,,,,,,,,,
2342,2014年01月01日至2014年03月31日,,54141,54141,,,81948,1972,8927,-664,,-17962,0.0,-186978,,0.0,-104.0,0.0,-20838,,-133699.0,,,-1516,-42547,-15277,-35210,27375,-862,89415,-5700,15678,,25575,-24022,-1372,-11228,123,-2661.0,-13585,2093,-131606,-77465,610,,171,-76684,,287886,2184.0,,-10691,0.0,0.0,,,279379,,-698,-1051,-2299,-14,-8785,-12847,20838,210686,567953,778639,778639,,,,,,,,,,,
2342,2013年度,,-1177010,-1177010,,,389755,-15365,44416,-3821,-7533.0,-55568,0.0,-264481,,109475.0,,,-50570,361647.0,,,,126,-18714,494,100875,354102,-96,-82346,-25079,329362,,26334,18450,-1376,-35531,1016,,5144,334506,842461,-334549,3813,12313.0,92,-318331,,508670,1680.0,,-91525,0.0,33.0,8930.0,,432134,,-105731,-22609,-48598,-49,-45542,-222529,50570,-58156,626109,567953,567953,,,507955.0,-2650.0,-1099.0,-119.0,4465.0,,,,
2342,2013年01月01日至2013年12月31日,,-1177010,-1177010,,,389755,-15365,44416,-3821,-7533.0,-55568,0.0,-264481,,109475.0,,,-50570,361647.0,,,,126,-18714,494,100875,354102,-96,-82346,-25079,329362,,26334,18450,-1376,-35531,1016,,5144,334506,842461,-334549,3813,12313.0,92,-318331,,508670,1680.0,,-91525,0.0,33.0,8930.0,,432134,,-105731,-22609,-48598,-49,-45542,-222529,50570,-58156,626109,567953,567953,0.0,,507955.0,-2650.0,-1099.0,-119.0,4465.0,,0.0,0.0,0.0
2342,2013年01月01日至2013年09月30日,,-881022,-881022,,,297069,-15771,34026,-3239,-3803.0,-44622,,-228591,,,0.0,,-37511,361647.0,,,,-82,-63730,-3633,50988,343802,-54,-81529,-22202,223560,,32572,-2050,-1841,-23258,499,,5083,228643,587848,-293174,3202,3803.0,86,-286083,,448566,1680.0,,-52238,,0.0,8930.0,,411284,,-78507,-17015,-36449,-24,-34715,-166710,37511,-3998,626109,622111,622111,,,359205.0,-2650.0,1811.0,-119.0,4465.0,,,,
