公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 處分不動產、廠房及設備,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 存出保證金減少,　　 收取之股利,　　 發放現金股利,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　 取得以成本衡量之金融資產,　　 短期借款增加,　　 舉借長期借款,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 其他非流動資產增加,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 非控制權益變動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 營業活動之付現類別,　　　 營業活動之付現類別合計,　　 其他籌資活動,　　　　　 持有供交易之金融負債增加（減少）,　　 支付之股利,　　 其他非流動負債減少
1219,2016年01月01日至2016年09月30日,,90109,90109,,,106705,5791,3000,3222,32503,-932,-16232,1327,248,9,,-3800,,,,,,,287710,-33630,26430,37219,0,240134,,,,4019,9146,6932,,13226,253360,384979,475088,932,-32913,-42344.0,406320,,-1020.0,-332241,10708.0,-14080.0,-341166,,-432958,-100000.0,0,,192072,702,257928,833690,1091618,1091618,-222.0,397.0,29841.0,-113987.0,6551.0,1649.0,30099.0,,0.0,,,,5557.0,-79706.0,,0.0,,,816623.0,991.0,-5921.0,,,,,,131619.0,-38619.0,,,406320.0,,,,,,-11887.0
1219,2016年01月01日至2016年06月30日,,76870,76870,,,66353,3673,3000,2793,21200,-703,-10480,-1,158,9,,-3870,,,,,,,140396,-19958,25377,-14227,-383,24504,,,,-11815,27660,-3098,,31016,55520,137607,214477,703,-21427,0.0,199132,,-1020.0,-232257,11737.0,,-207763,,-498283,-75000.0,0,,242146,923,234438,833690,1068128,1068128,-45.0,397.0,21111.0,-134219.0,6407.0,23894.0,9413.0,,0.0,,,,,0.0,,0.0,,,823676.0,991.0,12389.0,,,,,,82087.0,-15038.0,,,199132.0,,,-8247.0,0.0,5379.0,
1219,2016年01月01日至2016年03月31日,,42371,42371,,,26744,1733,0,13159,7593,-122,-6007,-267,129,0,,-4620,,,,,,,219268,-10612,19006,19702,293,272560,,,,-27164,-4402,5319,,42174,314734,353076,395447,122,-7704,,387865,,-1020.0,-115886,4276.0,,-113279,,-249864,-25000.0,0,,-237193,650,38043,833690,871733,871733,,336.0,79457.0,-55956.0,1402.0,5536.0,78141.0,,0.0,,,,0.0,0.0,,,,,41589.0,0.0,0.0,,0.0,-985.0,,,38342.0,-15256.0,,,387865.0,,0.0,-3918.0,,,
1219,2015年度,,93387,93387,,,105429,5232,-1716,1379,18252,-2168,-23922,1437,919,-1136,0.0,12781,,,,,,,-501779,-23201,-3013,-50006,5633,-516736,,,,17920,-116739,5193,,-81897,-598633,-484442,-391055,2168,-17318,-5766.0,-411971,,-2001.0,-1035269,-17493.0,,-1006655,,827320,0.0,298,,1377516,-450,-41560,875250,833690,833690,-275.0,1331.0,5502.0,52455.0,-2327.0,40510.0,-22203.0,,0.0,14091.0,,,16183.0,-56374.0,0.0,-2021.0,,,606272.0,0.0,-3648.0,,0.0,20151.0,0.0,,114191.0,-6578.0,,,-411971.0,,,,,,
1219,2015年01月01日至2015年09月30日,,42567,42567,,,77910,3570,-2100,3787,14490,-1234,-6487,-450,781,-1136,,717,,,,,,,27144,-11460,1908,-25247,3624,-27012,,,,-4374,-111925,9852,,-114008,-141020,-37286,5281,1234,-14130,-5766.0,-13381,,-2001.0,-617138,-7474.0,1055.0,-624104,,0,0.0,243,,561312,99,-76074,875250,799176,799176,15907.0,1081.0,-6351.0,-3167.0,-13463.0,11393.0,-13647.0,,0.0,,,,0.0,-56374.0,-2021.0,0.0,,562646.0,54797.0,8143.0,0.0,,0.0,-7770.0,,,103734.0,-5307.0,,,,,,,,,
1219,2015年01月01日至2015年06月30日,,21113,21113,,,50923,4272,-4100,8835,8100,-960,1951,-215,5215,-1111,0.0,-807,,,,,,,45290,1244,4398,-12643,4504,74312,,,,-6550,-41903,76,,-75117,-805,85184,106297,960,-7936,-5766.0,93555,,,-415294,-4390.0,0.0,-430866,,311670,0.0,182,,316549,96,-20666,875250,854584,854584,15907.0,843.0,31707.0,29193.0,-29381.0,5412.0,-31707.0,6116.0,0.0,,,,,0.0,0.0,-2021.0,,,4697.0,,-2060.0,-2001.0,0.0,-14080.0,,,85989.0,-445.0,,,,,,,,,
1219,2015年01月01日至2015年03月31日,,26381,26381,,,25026,1914,-4100,5886,3839,-150,-1146,7,63,-133,,-254,,,,,,,-203185,-897,-2729,-3093,4069,-81412,,,,-24889,-61647,10095,,-57931,-139343,-108391,-82010,150,-3680,0.0,-85540,,0.0,-152294,-633.0,,-165319,,221958,0.0,303,,213170,40,-37649,875250,837601,837601,0.0,81.0,47728.0,88244.0,-11549.0,8961.0,9109.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-9091.0,3135.0,-1528.0,,,-14080.0,,,30952.0,440.0,,,,,,,,,
1219,2014年度,,145728,145728,,,96577,5139,482,-5647,16476,-1771,-26963,86,928,-341,0.0,1010,85671.0,,,,,,-167884,-27353,27761,-5978,356,-245083,,,,19138,109021,-5326,-28395.0,112593,-132490,-46819,98909,1805,-15810,-514.0,84390,,,-436925,-3873.0,,-367658,,321382,,-299,,539807,443,256982,618268,875250,875250,-305.0,254.0,26105.0,-98177.0,87.0,-3310.0,21465.0,10365.0,0.0,,,,19470.0,-47004.0,0.0,0.0,,,172728.0,,-5411.0,-3003.0,91192.0,-39727.0,93000.0,,,,,,,,,,,,
1219,2014年01月01日至2014年09月30日,,60005,60005,,,71868,3665,5544,755,12890,-898,-10014,-86,140,-341,0.0,-397,102291.0,,,,,,-167190,-15847,33476,7156,-2302,-300922,,,,2283,33407,89742,-26095.0,116867,-184055,-81764,-21759,932,-12385,-278.0,-33490,,,-185424,-654.0,-4489.0,-323105,,221336,,-299,,355851,570,-174,618268,618094,618094,19165.0,98.0,27443.0,-185489.0,1831.0,4916.0,12614.0,,-143000.0,0.0,,,0.0,-47004.0,,,,,181818.0,10364.0,,,,,,,,,,,,,,,,,
1219,2014年01月01日至2014年06月30日,,59882,59882,,,47799,2325,3244,764,7596,19165,-9120,-56,89,-197,0.0,337,71163.0,,,,,,-799059,-19319,33084,-559,-1996,-798566,,,,3189,-5565,56860,-16309.0,29597,-768969,-697806,-637924,817,-9414,-278.0,-646799,,,-32741,,0.0,-54382,,518560,190909.0,-299,,709170,785,8774,618268,627042,627042,-783.0,68.0,93423.0,-82872.0,-21268.0,-4389.0,-4189.0,,-24500.0,0.0,0.0,-510.0,0.0,0.0,,,,,,5216.0,-1915.0,,,,,,,,,,,,,,,,
1219,2014年01月01日至2014年03月31日,,50793,50793,,,23801,1159,3244,-579,2816,-1187,-3602,0,58,-197,0.0,158,25671.0,,,,,,-402647,-10054,28375,-1431,-628,-394482,,,,-12608,4677,39147,-7124.0,50677,-343805,-318134,-267341,1221,-2019,0.0,-268139,,,-21708,,0.0,-32311,,393146,-25000.0,-299,,367847,423,67820,618268,686088,686088,0.0,,78406.0,-88851.0,2348.0,26475.0,110.0,,-14700.0,0.0,0.0,-1119.0,0.0,0.0,,,,,,5216.0,,,,,,,,,,,,,,,,,
1219,2013年度,,20290,20290,,,90435,3761,-2183,-6047,16933,-1753,-17856,360,697,9932,0.0,327,87265.0,,,,,,620468,-17593,3377,2811,-10304,789096,,,,-10175,710,2766,-14162.0,-110431,678665,765930,786220,1928,-17329,-3666.0,767153,,,-131207,-2478.0,,-140597,,-650563,,17,,-631251,-6081,-10776,629044,618268,618268,-153.0,1070.0,127994.0,65849.0,-3506.0,-49533.0,-40037.0,20156.0,-44100.0,,,,22100.0,-30705.0,-7000.0,-188.0,,,50000.0,,-6138.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1219,2013年01月01日至2013年12月31日,,20290,20290,,,90435,3761,-2183,-6047,16933,-1753,-17856,360,697,9932,,327,87265.0,,,,,,620468,-17593,3377,2811,-10304,789096,,,,-10175,710,2766,-14162.0,-110431,678665,765930,786220,1928,-17329,-3666.0,767153,,,-131207,-2478.0,-6138.0,-140597,,-650563,0.0,17,,-631251,-6081,-10776,629044,618268,618268,-153.0,1070.0,127994.0,65849.0,-3506.0,-49533.0,-40037.0,20156.0,-44100.0,,,,22100.0,-30705.0,-7000.0,-188.0,0.0,0.0,50000.0,,,,,,,,,,,,,,,,,,
1219,2013年01月01日至2013年09月30日,,-46234,-46234,,,77820,2564,5578,-2231,11171,-1098,-11502,444,549,771,400.0,254,84567.0,,,,,,418090,-18279,14958,8672,-1604,530761,,,,3552,2672,10299,-15036.0,-113743,417018,501585,455351,1273,-13508,-3407.0,439709,,,-109522,,-2638.0,-86088,,-434634,50000.0,17,,-415322,-3999,-65700,629044,563344,563344,-153.0,,124436.0,-8501.0,-7011.0,-65059.0,-50171.0,3761.0,-14700.0,16395.0,571.0,-2055.0,22100.0,-30705.0,,,,,,,,,,,,,,,,,,,,,,,
