公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 處分投資性不動產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 存入保證金減少,　　 應付款項增加,　　 應付款項減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 處分不動產、廠房及設備,　　　　 股利收入,　　 收取之股利,　　 取得投資性不動產,　　 其他應付款－關係人增加,　　 處分採用權益法之投資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　　　　 其他應收款－關係人（增加）減少,　　 現金增資,　　 處分子公司,　　 其他非流動資產減少,　　 庫藏股票處分,　　 存出保證金增加,　　 其他應付款－關係人減少,　　　　　 其他應付款－關係人增加（減少）,　　 採用權益法之被投資公司減資退回股款,　 匯率變動對現金及約當現金之影響,　　 其他非流動資產增加
1413,2016年01月01日至2016年09月30日,,-42083,-42083,,,35679,,12774,-34,0,,0,,,,,55053,-58023,8188,-21771,-909,8994,0.0,-2113,0,-1,-10887,,333,0.0,-10581,-7450,-10650,0,-96623,341,,-125450,-136337,-88267,-130350,34,-12788,0.0,-137071,,-7489,,0,,17506,,947247,-979760,0.0,0.0,0.0,0,0.0,0.0,160582,41017,26163,67180,67180,-444.0,95.0,0.0,23444.0,0.0,6033.0,,0.0,0.0,,48070.0,-820.0,827275.0,-634180.0,0.0,-305.0,0.0,0.0,0.0,0.0,,,,2066.0,,-515.0
1413,2016年01月01日至2016年06月30日,,-18511,-18511,,,23783,,8577,-30,0,,0,,,,,33013,1708,15671,-10744,-900,-60522,,-3030,0,-478,-26539,,574,0.0,-18664,3244,-6692,0,-61225,148,,-83065,-109604,-77213,-95724,30,-8524,0.0,-98185,,-4016,,0,,21100,,697247,-546818,,,,0,0.0,0.0,102589,25504,26163,51667,51667,-34.0,95.0,0.0,23034.0,,6033.0,,,0.0,,32391.0,-562.0,351240.0,-399080.0,0.0,-1257.0,0.0,,16.0,,,,112.0,2066.0,0.0,
1413,2016年01月01日至2016年03月31日,,-3319,-3319,,,11908,,4197,-5,0,,0,,,,,-31547,-4026,43954,-26171,22998,-20296,,1008,0,-8112,-23675,,-903,,3368,-13266,-11172,0,-13844,16,,-36087,-59762,-43696,-47015,5,-4018,,-51028,,-922,,0,,-872,,286991,-237037,,,,0,0.0,0.0,54122,2222,26163,28385,28385,-34.0,0.0,0.0,34.0,,,,,,,16066.0,-286.0,148500.0,-144332.0,0.0,-1483.0,,,16.0,,,,,,,
1413,2015年度,,18935,18935,,,90500,0.0,20292,-165,77,0.0,-11244,,,,0.0,-2014,-7810,-35521,-2032,-22951,253638,0.0,-796,0,12278,186799,,-56595,-4788.0,-5135,7586,-4462,-4183,-125341,-231,,-318330,-131531,-238189,-219254,165,-16896,-26309.0,-262294,,-28657,0.0,36806,0.0,348637,,1508272,-1846811,0.0,0.0,0.0,0,,,-157598,-71255,97418,26163,26163,-206086.0,-32.0,24.0,354101.0,0.0,0.0,,,715.0,,-106658.0,-125181.0,190000.0,-142676.0,-38536.0,-7993.0,195000.0,-14082.0,,8653.0,-270.0,-31500.0,,,,
1413,2015年01月01日至2015年09月30日,,-18729,-18729,,,73450,,15758,-151,0,,-11244,,,,,-28682,-29810,-13323,-12535,51,131116,0.0,-5924,20278,0,39771,,-55258,-4788.0,1789,91630,3517,-4183,-78734,-278,,-172587,-132816,-179845,-198574,151,-15214,-9961.0,-223598,,-17615,,36806,,205697,,949826,-1250085,0.0,0.0,0.0,0,0.0,0.0,-28683,-46584,97418,50834,50834,-124810.0,-32.0,24.0,199418.0,0.0,0.0,,0.0,715.0,,-47029.0,-126282.0,236459.0,-130000.0,-38536.0,-21400.0,195000.0,-14082.0,431.0,8653.0,,,,,,
1413,2015年01月01日至2015年06月30日,,7441,7441,,,51815,0.0,10804,-18,8518,,-7392,,,,0.0,-28378,20209,25876,0,-13,23074,-2785.0,-3620,-225,19875,-17813,,13358,-4773.0,-17032,50219,-6052,-4184,-82376,-60,,-177182,-194995,-240628,-233187,18,-14155,-2.0,-247326,,-8830,430.0,11935,,231530,,553831,-873364,0.0,0.0,0.0,-85,138000.0,-21161.0,-48561,-64357,97418,33061,33061,-110827.0,1467.0,24.0,227256.0,,,,0.0,715.0,,-45633.0,-126282.0,20000.0,-20000.0,-40782.0,-71826.0,195000.0,,,,,,,,,
1413,2015年01月01日至2015年03月31日,,-29516,-29516,,,25904,0.0,5639,-2,58,0.0,-7392,,,,0.0,-14528,20190,27497,-19,-12273,-38398,824.0,-1487,4,7957,-10233,,72901,0.0,-88468,100625,-18129,-3780,-8145,224,,-83357,-93590,-69473,-98989,2,-5582,0.0,-104569,,0,430.0,11935,0.0,13104,,329591,-343509,0.0,0.0,0.0,-85,63680.0,-9281.0,21447,-70018,97418,27400,27400,,-90.0,24.0,,,,,,715.0,,24117.0,-138585.0,20000.0,-537.0,-38412.0,,,,,,,,,,,
1413,2014年度,,-245757,-245757,,,106400,0.0,23188,-93,-2,0.0,8967,128424.0,,,0.0,103537,26848,17841,400,869,164414,458.0,255,26,13812,328460,,-6479,-372.0,-92865,11278,-21239,204,-48568,-185,-20657.0,-178883,149577,278001,32244,93,-23390,-139.0,14319,,-8446,0.0,18737,0.0,159549,,1114663,-1171666,0.0,-68000.0,35.0,-40,99000.0,-111122.0,-137130,36738,60680,97418,97418,0.0,-4525.0,149258.0,0.0,-5511.0,5511.0,,0.0,0.0,,,,,,,,,,,,,,,,,
1413,2014年01月01日至2014年09月30日,,-170131,-170131,,,80052,0.0,17274,-39,-92,0.0,8967,100651.0,,,0.0,114390,26513,30460,400,-607,92931,-1068.0,235,27,19480,282761,,11634,-68.0,-72072,-298,-24802,155,-56230,61,-15344.0,-156964,125797,226448,56317,39,-17425,-136.0,44306,,-5834,0.0,18737,0.0,12903,,1011359,-1054682,67000.0,-68000.0,35.0,-40,0.0,-27842.0,-72170,-14961,60680,45719,45719,0.0,0.0,0.0,0.0,-5511.0,5511.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1413,2014年01月01日至2014年06月30日,,-69537,-69537,,,53826,0.0,11313,-36,35,,8967,74105.0,,,0.0,-9127,33650,20516,400,472,-31871,-2230.0,-852,26,8364,19348,,20303,-160.0,-14173,-1,-22367,332,50576,132,-10105.0,24537,43885,117990,48453,36,-11435,-136.0,36918,,-4936,0.0,18737,,13801,,794762,-828351,67000.0,-68000.0,25.0,-40,0.0,-18561.0,-49165,1554,60680,62234,62234,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,
