公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 處分以成本衡量之金融資產,　　 短期借款增加,　　　　 處分採用權益法之投資損失（利益）,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　 處分採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 其他非流動負債增加,　　　　 金融資產減損迴轉利益,　　 應付款項增加,　　 庫藏股票買回成本,　　　　 股份基礎給付酬勞成本,　　　　 股利收入,　　　　　 其他營業負債增加（減少）,　　 收取之股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 存出保證金減少,　　 備供出售金融資產減資退回股款,　　 應付短期票券增加
3037,2016年01月01日至2016年09月30日,,-546922,-546922,,,6364076,74452,117967,-2069,392752,-91730,221565,14751,-14995,79432,-68672,-4780,,,,-101692,1000320,63635,-81441,-18517,-270451,,-69561,522293,,81549,-371748,-106790,-619808,-7212,,-1022404,-500111,6568685,6021763,98269,-396780,-288592,5450306,,0.0,38769,-11655,-133637,0.0,-3489275,86342,,-58923,,-10584,-3566976,,-1013963.0,,5343220,-6711864,-8066,-28148,-2984582,-226390,-1327642,23283200,21955558,21955558,0.0,0.0,,-2816.0,1944.0,-448929.0,5085.0,,,,,-166832.0,8413.0,-19550.0,5745.0,15646.0,,7068796.0,-4140.0,4958.0,0.0,50000.0
3037,2016年01月01日至2016年06月30日,,-359566,-359566,,,4256719,49507,100380,-1561,260656,-58198,126413,-5226,-8165,35948,-25862,-3243,,,,-47481,1505057,95619,-133581,494220,-1337,0.0,-84926,1827571,,49179,-1378356,-114652,-712126,-10656,,-2170219,-342648,4371120,4011554,66499,-270730,-243883,3563440,,0.0,22393,-11655,-17980,0.0,-2457500,25981,,-37305,,-5870,-2476488,,-817068.0,50000.0,4699282,-4871447,-638,-54647,-1116551,-238250,-267849,23283200,23015351,23015351,0.0,0.0,,0.0,0.0,,,,,,,-122033.0,6103.0,-19703.0,-741.0,,,4713768.0,-2867.0,5448.0,0.0,
3037,2016年01月01日至2016年03月31日,,-154503,-154503,,,2131297,24556,78987,1643,130339,-26848,79995,7725,-5854,33085,-80249,-1640,,,,-7904,1858157,41582,-24401,535451,1374,0.0,18148,2422407,,64409,-1940353,-110891,-542177,-986,,-2532004,-109597,2267234,2112731,42944,-145327,-98415,1911933,,0.0,16067,-4694,-17980,0.0,-1433804,22769,,-13473,,-2954,-1449509,,-436592.0,0.0,2412718,-2016056,20379,23400,3849,-131008,335265,23283200,23618465,23618465,0.0,0.0,,0.0,0.0,,,,,,,0.0,3795.0,,-372.0,,,2376831.0,-1634.0,-15440.0,0.0,
3037,2015年度,,149425,149425,,,8183049,88551,210189,-1416,512838,-168974,271042,-427761,-63294,265562,131930,-6538,,,,114548,960929,-79191,32557,199040,248492,0.0,15097,1491472,,-22608,541118,-16073,-226641,-28789,,287277,1778749,10688437,10837862,282796,-566577,-355271,10242643,,0.0,119084,-1044126,-63117,0.0,-9151993,1115387,,-134503,,221597,-8923625,,-1363083.0,0.0,8145838,-5480267,11229,-285527,-209840,376479,1485657,21797543,23283200,23283200,236.0,0.0,,-56473.0,2160.0,-761792.0,7717.0,,,,,-476238.0,14580.0,-43833.0,2907.0,43833.0,,8909688.0,37363.0,3369.0,800.0,
3037,2015年01月01日至2015年09月30日,,-867863,-867863,,,6091083,65026,426132,1783,380503,-137474,191592,-113315,-56928,233925,41848,-4883,,,,83356,-2517715,-42657,16635,138627,-330845,0.0,-4256,-2656855,,142361,2976515,-26956,-122631,-34762,,2932618,275763,7352594,6484731,224148,-448008,-309534,5951337,,0.0,99296,-36649,-62475,0.0,-7182323,291482,-2464.0,-93613,,200155,-6783631,,-262657.0,0.0,9493650,-6591702,17565,-156300,1262526,385524,815756,21797543,22613299,22613299,0.0,0.0,,-53208.0,2160.0,-761792.0,,,,,,-476238.0,10747.0,0.0,3374.0,,,7076831.0,-5283.0,,800.0,
3037,2015年01月01日至2015年06月30日,,-1097784,-1097784,,,4021169,42312,117077,8945,248039,-98363,69350,-120476,-55209,65268,-133903,-3240,,,,23125,561658,-18555,48208,556309,62811,,21569,1255125,,19580,-267235,-69850,-121125,-30036,,-470621,784504,4952744,3854960,114805,-258224,-206613,3504928,,,94378,-15649,-62475,,-4763770,291889,-199.0,-56873,,103755,-4408944,,1769300.0,,4930850,-4618604,7286,1796,1803963,-462140,437807,21797543,22235350,22235350,0.0,,,0.0,,,,,,,,-286665.0,7271.0,,1591.0,,,4168240.0,-3546.0,,,
3037,2015年01月01日至2015年03月31日,,-751104,-751104,,,2018824,20656,3549,14857,114128,-51519,42085,-123332,-19776,32548,-104878,-1634,,,,42912,2369017,6950,56985,410478,100701,0.0,10150,2997193,,43344,-1517590,-66845,-380538,-18234,,-1939774,1057419,3006562,2255458,45277,-117899,-58862,2123974,,0.0,36470,-4491,-62475,0.0,-2261903,285244,,-21878,,83778,-1943978,,,0.0,3520900,-2792719,5299,-41813,2060155,-229768,2010383,21797543,23807926,23807926,0.0,0.0,1385679.0,0.0,0.0,0.0,,,,,0.0,-17191.0,3635.0,,1809.0,,,1949143.0,-1720.0,1277.0,,
3037,2014年度,,404687,404687,,,7993464,69930,-70264,-2939,458493,-217699,139443,16023,-22573,268797,-3553,-6591,8628517.0,,,-205918,-2233568,-29160,231433,-1049200,-410105,0.0,-29577,-3726095,,15862,467372,76347,1242587,27357,-9859.0,1821698,-1904397,6724120,7128807,211704,-473212,-275804,6623144,,0.0,51508,-88752,-231689,0.0,-10279293,116841,5986.0,-92035,,199710,-10282024,,1530747.0,0.0,13944699,-13206124,-34090,-41266,924513,755080,-1979287,23776830,21797543,21797543,19955.0,0.0,,12069.0,2400.0,-923164.0,33300.0,,0.0,,,-346289.0,5611.0,-31649.0,2032.0,31649.0,,,,,,
3037,2014年01月01日至2014年09月30日,,942751,942751,,,5960174,48247,-48247,-1840,332038,-165697,95161,9524,-14737,88955,44086,-4740,6383647.0,,,-77562,-2332300,-17280,280219,-1332152,-372924,0.0,-32588,-3884587,,56029,1089601,106151,50865,49627,-5435.0,1346838,-2537749,3845898,4788649,171787,-361124,-201530,4397782,,0.0,35270,-61049,-35375,0.0,-7418380,104928,-9385.0,-63656,,16974,-7428273,,3061409.0,0.0,8578878,-10493940,-23907,9069,46784,91987,-2891720,23776830,20885110,20885110,8943.0,0.0,,29804.0,2400.0,-923164.0,,,,,,-161561.0,1976.0,,,,,,,,,
3037,2014年01月01日至2014年06月30日,,356570,356570,,,3998724,30600,-71053,1918,219102,-117767,-12299,2785,-11791,49809,105563,-3166,4231172.0,,,-104855,-858334,2531,156276,-1016673,-301926,0.0,20060,-2102921,,20599,441241,110738,-76105,41985,-3738.0,534720,-1568201,2662971,3019541,115423,-191782,-107731,2835451,,0.0,28841,-61049,0,0.0,-5423322,85089,1463.0,-36226,,9871,-5395333,,1266199.0,0.0,4167875,-5322825,-2823,-21066,-74201,-117475,-2751558,23776830,21025272,21025272,8943.0,0.0,,29804.0,0.0,,,,,,,-161561.0,,,,,,,,,,
