公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之付現類別,　　　 營業活動之付現類別合計,　　 退還（支付）所得稅,　　 其他現金流入（出）,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 現金增資,　　 員工執行認股權,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　 其他非流動資產增加,　　 其他非流動負債增加,　　　　　 其他營業負債增加（減少）,　　 處分無活絡市場之債券投資,　　 取得投資性不動產,　　 舉借長期借款,　　 發放現金股利,　　　　 股利收入,　　　　　 其他營業資產（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 收取之股利,　　　　 利息費用,　　 其他非流動負債減少,　　 處分採用權益法之投資,　　 處分子公司,　　　 收益費損項目,　　　　 收益費損項目合計,　　 存出保證金減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存出保證金增加,　　 應付租賃款增加,　　　　 處分投資損失（利益）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 應付租賃款減少,　　 處分透過其他綜合損益按公允價值衡量之金融資產
3406,2016年01月01日至2016年09月30日,,-553643,-553643,,,1291358,20846,395,,-3334,,349,,,,,6885,446013,37093,212441,-127515,3474,328070,,13571,-573518,-124379,-19557,-703883,-375813,1015584,461941,-10639,,,,,,451302,,-132622,144494,-7210,,3334,267742,,-1159523,39035.0,-582.0,,,-113647,-1273559,132248,-422267,917683,495416,495416,-31406.0,,,,,,,,,-838.0,-250321.0,,838.0,114107.0,,,,,1391397.0,-12597.0,,,,-80.0,,-38842.0,271505.0
3406,2016年01月01日至2016年06月30日,,-698006,-698006,,,882945,14080,2102,,-2788,,2207,,,,,9045,798496,34048,11698,-50511,-4981,702025,,-8964,-585050,-160660,-13358,-768032,-66007,920230,222224,-7692,,,,,,214532,,-299087,113118,-6081,,2788,71280,,-645281,131080.0,-577.0,,,-79218,-583575,82877,-214886,917683,702797,702797,8296.0,,,,,,,,,,-95770.0,,,79476.0,,,,,986237.0,0.0,,-16057.0,10421.0,-81.0,,,276599.0
3406,2016年01月01日至2016年03月31日,,-375566,-375566,,,452143,7217,204,,-658,,696,,,,,6055,1058155,25549,-277957,-15762,-3691,741778,,-23703,-547894,-139032,-8758,-719387,22391,539000,163434,-853,,,,,,162581,,-111569,33429,-2699,,658,172961,,-705880,232296.0,-185.0,,,-41641,-557980,34088,-188350,917683,729333,729333,14548.0,,,,,,,,,,-50571.0,,,42542.0,,,,,516609.0,-27116.0,,,,-83.0,280258.0,-42570.0,
3406,2015年度,,-1351991,-1351991,,,1587284,31694,3025,,-5867,,22324,1050.0,,,,-11253,771771,-97615,137612,-90739,-6100,587437,,-89715,-600423,-268856,2812,-956182,-368745,1525438,173447,-11094,,,,,,162353,,-932579,97485,-11280,,5867,-1228428,,39166,,147.0,,,-162858,821775,8428,-235872,1153555,917683,917683,101566.0,,,,,,,356996.0,,-1048.0,-116239.0,,1048.0,154155.0,,,0.0,,1894183.0,,-279307.0,-109662.0,588324.0,,,,
3406,2015年01月01日至2015年09月30日,,-1192382,-1192382,,,1153469,25118,1961,,-4995,,20582,,,,,-15239,691176,-51652,-5812,-257601,-9220,269555,,16074,-484176,-157314,-16053,-641469,-371914,982236,-210146,-10462,,,,,,-220608,,-544611,84187,-8809,,4995,-459958,,295311,145881.0,5198.0,,,-121077,325313,-52853,-408106,1153555,745449,745449,44104.0,,,,,,,,,,-82097.0,,,113911.0,,0.0,,,1354150.0,4280.0,,,,,,,
3406,2015年01月01日至2015年06月30日,,-1121468,-1121468,,,764782,17062,1408,,-4419,,25598,,,,,-18431,1056993,12742,-1994,-163664,-22579,718481,,7686,-736680,-215070,-30862,-974926,-256445,740569,-380899,-8288,,,,,,-389187,,-290567,47194,-5982,,4419,-244936,,195858,99097.0,,,,-83503,216442,43510,-374171,1153555,779384,779384,117055.0,,,,,,,,,,-144586.0,,,75528.0,4990.0,,,,997014.0,,,,,,,,
3406,2015年01月01日至2015年03月31日,,-569116,-569116,,,385856,8465,659,,-1975,,23042,37317.0,,,,-14493,1519495,-13232,-382565,-274956,-9004,971840,,-63997,-603500,-166147,-19670,-853314,118526,639644,70528,-274,,,,,,70254,,-194205,19830,-5977,,1975,-178377,,97174,-451.0,,,,-35420,66366,21626,-20131,1153555,1133424,1133424,67754.0,,,5063.0,,,,,,,146595.0,,,,,,,,521118.0,,,,,,,,
3406,2014年度,,-832503,-832503,,,1413216,35699,-4585,,-6293,0.0,-8208,139376.0,1631336.0,,,1614,-1293628,8366,152906,-1222629,8166,-1765482,,69828,359685,118006,60956,608475,-1157007,474329,-358174,-23887,,,,,,-382061,,-1164617,130598,-16190,,6321,-941523,,796639,397691.0,,0.0,0.0,-134818,1057218,-78570,-344936,1498491,1153555,1153555,64226.0,,,-2294.0,,,0.0,,0.0,-2095.0,579723.0,,2095.0,,,,100270.0,,,,,,,,,,
3406,2014年01月01日至2014年09月30日,,-793187,-793187,,,1041768,25810,-1273,,-4721,0.0,-17859,103539.0,1188997.0,,,1775,-1380576,-11751,-186721,-682313,7707,-2251879,,116848,535062,136570,41265,829745,-1422134,-233137,-1026324,-22003,,,,,,-1048327,,-617015,77005,-8476,,4750,-474146,,853746,-1858.0,-2299.0,0.0,0.0,-104999,744590,6768,-771115,1498491,727376,727376,41733.0,,-30680.0,,,,0.0,,0.0,,,,,,,100270.0,,,,,,,,,,,
3406,2014年01月01日至2014年06月30日,,-780875,-780875,,,688971,17322,-1226,,-3020,0.0,-11704,,823471.0,,,1592,-422941,-3453,75527,-69475,3277,-415473,,18298,-184919,39787,23811,-103023,-518496,304975,-475900,-17652,,,,,,-493552,,-526832,68447,-4503,,3049,-621904,,516348,-1239.0,,0.0,0.0,-67204,445247,31346,-638863,1498491,859628,859628,67176.0,,-162065.0,0.0,,,,,,,,,,65952.0,-2658.0,,,,,,,,,,,,
3406,2014年01月01日至2014年03月31日,,-423002,-423002,,,349790,8507,-1343,,-1252,0.0,-7540,30880.0,396125.0,,,1570,-135218,-39432,155955,3121,-5803,-18565,,-13490,-239015,-63735,34491,-281749,-300314,95811,-327191,-15746,,,,,,-342937,,-273074,7514,-1323,,1281,-324184,,-37058,-620.0,,0.0,0.0,-26532,-66899,17373,-716647,1498491,781844,781844,17083.0,,-58582.0,-2689.0,,,,,,,1242.0,,,,,,,,,,,,,,,,
