公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 其他非流動負債增加,　　 現金增資,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　 處分不動產、廠房及設備,　　 存入保證金增加,　　 發放現金股利,　　 員工購買庫藏股,　　 舉借長期借款,　　 其他籌資活動,　　 支付之股利,　　 預付投資款增加,　　　　 非金融資產減損迴轉利益,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　　　　 持有供交易之金融資產（增加）減少,　　 取得採用權益法之投資,　　 庫藏股票買回成本,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　 其他項目,　　 員工執行認股權
3583,2016年01月01日至2016年09月30日,,271163,271163,,,159983,195,-16311,0,6509,-346,,11983,6423,,,,93073,177751,61263,-98625,233462,,-251917,11128,-19207,104707,697,,-155555,77907,249031,520194,346,-6789,-26223.0,487528,,,-21054,-5841,-26893,,100000,-336136,-510000,,,,-297275,-11625,151735,304488,456223,456223,2459.0,31.0,,2.0,,-81139.0,,530000.0,,,,,,171124.0,-963.0,,0.0,0.0,0.0,198.0,
3583,2016年01月01日至2016年06月30日,,201499,201499,,,110868,129,5188,0,4917,-225,,24203,9072,,,,-179663,-15550,34741,-111240,-271712,,-117722,24343,-19924,424370,-2266,,308160,36448,192470,393969,225,-5141,-16775.0,372278,,,-11526,-3716,-15240,,107282,-236136,-410000,,,,-208854,-5190,142994,304488,447482,447482,1720.0,18.0,,2.0,,,,330000.0,,,,,,156022.0,-641.0,,0.0,0.0,0.0,132.0,
3583,2016年01月01日至2016年03月31日,,102221,102221,,,55670,65,-3922,0,2642,-47,,19892,5147,,,,-192734,-3945,21592,-19492,-194579,,-22634,5928,8353,139402,-2370,,128360,-66219,14159,116380,47,-2696,-3567.0,110164,,,-3911,-1695,-5605,,16912,-36136,-100000,,,,110776,-4137,211198,304488,515686,515686,854.0,11.0,,1.0,,,,230000.0,,,,,,80378.0,-319.0,,,,,66.0,
3583,2015年度,,118542,118542,,,235144,260,30759,-14939,10872,-888,13575.0,15881,6441,,,,-168704,-305918,-33011,31771,-475862,,245585,-44601,13305,-68262,4630,,149259,-326603,-25447,93095,888,-11009,-45466.0,37508,,0.0,-26497,12455,4141,,251136,-80000,-582509,,,,-86566,1800,-43117,347605,304488,304488,1806.0,-361.0,2267.0,850.0,,-121709.0,,446516.0,,,0.0,0.0,,301156.0,-1398.0,,-4030.0,-47708.0,21363.0,339.0,47708.0
3583,2015年01月01日至2015年09月30日,,49793,49793,,,176233,195,19812,-14939,8304,-735,,13214,11377,,,,-11755,-172888,9436,13102,-162105,,204261,-56326,12143,-31918,7758,,135100,-27005,187572,237365,735,-8347,-45456.0,184297,,,-24238,8396,1590,,215529,-30000,-202098,,,,-115986,7780,77681,347605,425286,425286,754.0,362.0,,99.0,,-121709.0,,70000.0,,,,,,214577.0,-818.0,,-4030.0,-47708.0,21363.0,,
3583,2015年01月01日至2015年06月30日,,38151,38151,,,116915,129,7884,-14939,5315,-326,,6563,9345,,,,-103530,-138290,-17258,10653,-227062,,66827,-45455,6238,-55112,133,,-27933,-254995,-123756,-85605,326,-5495,-33913.0,-124687,,,-12883,1453,-15362,,110529,-30000,-16722,,,,64535,-6699,-82213,347605,265392,265392,0.0,353.0,,98.0,,,,30000.0,,,,,,131239.0,-564.0,21363.0,-4030.0,-29272.0,,,
3583,2015年01月01日至2015年03月31日,,17105,17105,,,57764,65,3345,-14760,2102,-146,,4093,8656,,,,-16708,-140230,6105,370,-150463,,107123,-44717,2923,-47080,-2569,,15393,-135070,-73598,-56493,146,-2685,0.0,-59032,,,-8498,2967,-5433,,65000,-30000,-8355,,,,56645,-1825,-9645,347605,337960,337960,0.0,353.0,,98.0,,,,30000.0,,,,,,61472.0,-287.0,,,,,,
3583,2014年度,,317108,317108,,,220279,259,3016,-522,10671,-1862,0.0,1795,-8760,173035.0,,,-23697,-88573,-48630,-711,-161611,,121157,1049,-10027,89943,2153,-842.0,203433,41822,214857,531965,1862,-10586,-51315.0,471926,,-2680.0,-329269,-25005,-364244,,631855,-526855,-33335,,0.0,,-171752,14727,-49343,396948,347605,347605,3287.0,62.0,1708.0,30.0,,-243417.0,,,0.0,,-7320.0,-56898.0,,,,,,,,,
3583,2014年01月01日至2014年09月30日,,151465,151465,,,163475,194,9835,-523,7579,-1125,0.0,-28386,1074,155410.0,,,67794,-90193,-25710,-11635,-59744,,181830,-24462,-9099,-6019,1538,-636.0,143152,83408,238818,390283,1125,-7613,-51786.0,332009,,0.0,-282068,-21259,-300375,,458792,-293896,-24986,,0.0,,-73507,2172,-39701,396948,357247,357247,3276.0,11.0,0.0,2952.0,0.0,-243417.0,,30000.0,0.0,,,,,,,,,,,,
3583,2014年01月01日至2014年06月30日,,57070,57070,,,107938,129,1780,-254,4974,-654,0.0,-19277,1937,98723.0,,,108825,-9652,-2982,32547,128738,,24524,-44903,-7323,43604,2624,-428.0,18098,146836,245559,302629,654,-5008,-47276.0,250999,,0.0,-151118,-5209,-156303,,143909,-204013,-16645,,0.0,,-76749,-88,17859,396948,414807,414807,2114.0,36.0,0.0,24.0,0.0,,,,,,,,,,,,,,,,
3583,2014年01月01日至2014年03月31日,,13206,13206,,,54038,65,5545,-292,2507,-234,0.0,-18196,-1439,43250.0,,,164527,19837,-5673,24130,202821,,-6189,-65045,-1114,-15252,-1779,-217.0,-89596,113225,156475,169681,234,-2541,-3407.0,163967,,,-105424,-12331,-117755,,65583,-50687,-8316,,0.0,,6580,3321,56113,396948,453061,453061,1254.0,2.0,,,0.0,,,,,,,,,,,,,,,,
3583,2013年度,,327800,327800,,,200651,260,-3031,-640,11868,-602,4015.0,0,-3936,224429.0,,,-205985,200464,51260,-69342,-23603,,-34751,52837,19265,-102981,-940,-1237.0,-67807,-91410,133019,460819,602,-12219,-19239.0,429963,,-3000.0,-189985,3857,-188991,,377737,-482832,-130156,,249576.0,,-107383,7668,141257,255691,396948,396948,8383.0,2484.0,7000.0,137.0,,0.0,,,-121708.0,,0.0,-2023.0,,,,,,,,,
3583,2013年01月01日至2013年12月31日,,327800,327800,,,200651,260,-3368,-640,11868,-602,4015.0,-2023,-3936,224092.0,,,-205985,200464,51260,-69342,-23603,,-34751,52837,19265,-102981,-940,-1237.0,-67807,-91410,132682,460482,602,-12219,,429626,,-3000.0,-189985,3857,-188991,,377737,-482832,-130156,,249576.0,,-107383,8005,141257,255691,396948,396948,8383.0,2484.0,7000.0,137.0,0.0,0.0,0.0,0.0,-121708.0,-19239.0,0.0,,,,,,,,,,
3583,2013年01月01日至2013年09月30日,,212934,212934,,,149555,194,-5835,-363,9246,-304,4015.0,7924,-814,177228.0,,,-107867,27623,37215,-21168,-64197,,-13411,6405,12918,39941,-486,-940.0,44427,-19770,157458,370392,304,-8641,-19156.0,342899,,-3000.0,-144125,-2121,-149110,,320088,-425183,-121849,,249576.0,,-98987,5613,100415,255691,356106,356106,4126.0,2484.0,7000.0,136.0,89.0,0.0,0.0,0.0,-121708.0,,,,,,,,,,,,
3583,2013年01月01日至2013年06月30日,,112185,112185,,,99877,130,-4825,-470,6436,-237,4015.0,2838,-3095,111428.0,,,-125395,-41291,3235,4445,-159006,,171021,6436,9439,14402,-840,-623.0,199835,40829,152257,264442,237,-5834,-19216.0,239629,,-3000.0,-70271,-11486,-84637,,137646,-282741,-103551,,249576.0,,1020,8286,164298,255691,419989,419989,-222.0,-19.0,7000.0,120.0,90.0,0.0,0.0,,,,,,,,,,,,,,
3583,2013年01月01日至2013年03月31日,,42049,42049,,,49941,65,-156,-307,2899,-630,4015.0,3797,-4508,55116.0,,,2561,79469,27263,-32153,77140,,-7576,6713,3538,-56848,-16626,-300.0,-71099,6041,61157,103206,630,-2240,100.0,101696,,0.0,-52726,-500,-53226,,72939,-238034,-18268,89.0,249576.0,0.0,66302,7177,121949,255691,377640,377640,,,,,,,,,,,,,,,,,,,,,
3583,2012年01月01日至2012年12月31日,,212333,212333,,,193971,260,4896,-546,21793,-552,0.0,26336,4160,250799.0,,,113158,19435,5688,37802,176083,,-98729,26255,-19520,-37297,1920,-1090.0,-128461,47622,298421,510754,552,-22379,,477374,,-3000.0,-59700,3107,-75530,,496389,-699340,-844741,,0.0,,-411858,-7473,-17487,273178,255691,255691,0.0,331.0,150.0,7.0,-606.0,-37020.0,3460.0,670000.0,0.0,-11553.0,-15944.0,,,,,,,,,,
3583,2012年01月01日至2012年09月30日,,124414,124414,,,143914,194,6740,-499,17667,-410,0.0,19836,7432,195053.0,,,116223,-27462,34363,22988,146112,,-31857,-435,-12588,8778,356,-855.0,-36601,109511,304564,428978,410,-18677,-11540.0,399171,,-3000.0,-47797,4404,-46388,,208837,-336883,-386487,,0.0,,-308699,-7010,37074,273178,310252,310252,0.0,29.0,150.0,5.0,-606.0,-37020.0,3460.0,240000.0,0.0,,,,,,,,,,,,
3583,2012年01月01日至2012年06月30日,,22739,22739,,,94157,130,19119,0,12173,-231,0.0,10362,2617,138482.0,,,55153,-51037,39112,20164,63392,,-33730,26937,-4337,21209,495,-596.0,9978,73370,211852,234591,231,-13337,-11547.0,209938,,-3000.0,-45943,5345,-43593,,114801,-242801,-64645,,0.0,,-226205,-927,-60787,273178,212391,212391,0.0,5.0,150.0,5.0,0.0,-37020.0,3460.0,,,,,,,,,,,,,,
3583,2012年01月01日至2012年03月31日,,-5499,-5499,,,45258,65,10758,0,6388,-98,0.0,2645,3513,68529.0,,,65567,49960,32081,7798,155406,,-93771,-27554,-2178,53724,-395,-341.0,-70515,84891,153420,147921,98,-5906,-2.0,142111,,-3000.0,-44948,5170,-42778,,45749,-109953,-53222,0.0,0.0,1800.0,-115626,-3702,-19995,273178,253183,253183,,,,,,,,,,,,,,,,,,,,,
