公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人減少,　　 應收款項增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 其他非流動負債減少,　　 處分待出售非流動資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 短期借款減少,　　 現金增資,　　　　 股利收入,　　　　　 其他應付款增加（減少）,　　 收取之股利,　　 其他應收款－關係人增加,　　 其他投資活動,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　　　 持有供交易之金融資產（增加）減少,　　 處分採用權益法之投資,　　 其他金融資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 長期應收租賃款增加,　　 長期應收租賃款減少,　　 發放現金股利,　　 其他金融資產減少
3561,2016年01月01日至2016年09月30日,,-36778,-36778,,,658258,-37934,57036,5751,-52837,,110544,,,,760109,-54121,104284,2670,824398,,-648407,4260.0,-644147,180251,887478,850700,-58732,-1637,823463,,-180464,,,,,-244922,,199812,3120113.0,-3706694,,-600,-387369,-22616,168556,790365,958921,958921,,,,0.0,,,-22143.0,,,,-33132.0,,33132.0,0.0,0.0,,11456.0,,-42315.0,,707227.0,-459.0,0.0,0.0,,0.0,
3561,2016年01月01日至2016年06月30日,,332089,332089,,,443283,-49315,35545,3532,-71668,,11669,,,,382435,-263019,79854,-22458,184395,,-187956,8569.0,-179387,5008,378054,710143,-37238,-756,672149,,-112324,,,,,-168850,,176865,2968200.0,-3380860,,-300,-236095,-24082,243122,790365,1033487,1033487,,,,0.0,,,,,,0.0,,,,0.0,-56526.0,0.0,7583.0,,,,373046.0,,,,,,
3561,2016年01月01日至2016年03月31日,,255551,255551,,,222398,58,15337,1820,-47442,,7761,,,,174868,-235136,40592,-26877,-36971,,33693,-6373.0,27320,-9651,190281,445832,-17037,-250,428545,,-22814,,,,,-28773,,214381,2898200.0,-3380860,,-150,-268429,-8962,122381,790365,912746,912746,,,,0.0,,,,,,,,,,0.0,-5959.0,,9582.0,,,,199932.0,,,,,,
3561,2015年度,,-334017,-334017,,,821495,308864,70235,20969,35104,,-5949,,,,17160,-73393,115862,-39306,26044,,420282,14839.0,435121,461165,1684123,1350106,-70557,-935,1323391,,-579937,,,,,-701491,,0,65100.0,-800440,,-1050,-888493,-1607,-268200,1058565,790365,790365,,15111.0,0.0,-99633.0,,,-30171.0,0.0,-114952.0,0.0,-44777.0,,44777.0,0.0,,,5721.0,,0.0,,1222958.0,1906.0,,,,-37151.0,8250.0
3561,2015年01月01日至2015年09月30日,,-428911,-428911,,,612977,226238,54234,15153,48288,,-8407,,,,-207455,-44609,124619,12137,-159319,,309464,56904.0,366440,207121,1116848,687937,-54482,-984,677248,,-498190,,,,,-629801,,97250,80000.0,-603580,,-900,-464381,-2092,-419026,1058565,639539,639539,,,0.0,-90624.0,,,,,0.0,0.0,-44777.0,,44777.0,-29969.0,-10714.0,,-44011.0,,,,909727.0,6021.0,72.0,-304.0,0.0,-37151.0,
3561,2015年01月01日至2015年06月30日,,-451649,-451649,,,407055,95575,36435,10488,42688,,23561,,,,-66326,-88329,68203,-11269,-135587,,184391,21448.0,205839,70252,686054,234405,-36665,-328,197412,,-341715,,,,,-461247,,-293294,80000.0,-425720,,-450,-639464,3900,-899399,1058565,159166,159166,,,,-90624.0,,,,,,0.0,,,,-23296.0,-5612.0,0.0,-37866.0,,,,615802.0,,,,,,
3561,2015年01月01日至2015年03月31日,,-149428,-149428,,,202558,7961,18447,5962,23091,,23324,,,,134169,-350758,86009,14535,-159525,,191198,-34533.0,156665,-2860,278483,129055,-18328,-297,110430,,-202599,,,,,-281704,,-35711,395000.0,-612860,,0,-253571,1866,-422979,1058565,635586,635586,,,,-61637.0,,,,,,0.0,,,,-8550.0,-8918.0,,-43480.0,,,,281343.0,,,,,,
3561,2014年度,,152043,152043,,,748100,17348,67519,29062,61819,459.0,-2567,899864.0,,,78928,-102988,147589,-45339,57717,,-94237,,-80477,-22760,877104,1029147,-67759,-240,983008,,-1175340,,0.0,,,-1610004,,242016,1017000.0,-1248237,,-525,1010254,698,383956,674609,1058565,1058565,-16.0,0.0,-16912.0,-169201.0,,,,3774.0,,1000000.0,-21860.0,13760.0,21860.0,-219325.0,,,-20473.0,0.0,-33000.0,,,,,,,,
3561,2014年01月01日至2014年09月30日,,147578,147578,,,554830,9483,49598,23045,49861,459.0,-4750,682387.0,,,325881,-167631,-25000,-41789,94034,,18367,21131.0,39498,133532,815919,963497,-50278,-310,912909,,-837860,70.0,0.0,,,-1102586,,0,454000.0,-996580,,-525,315000,2169,127492,674609,802101,802101,-139.0,,-16911.0,-46579.0,,0.0,,,-141895.0,1000000.0,,,,-217489.0,16183.0,,2573.0,,,,,,,,,,
3561,2014年01月01日至2014年06月30日,,238234,238234,,,360173,7400,33708,17028,32466,468.0,-8580,442663.0,,,-409219,43056,126522,36302,-203339,,-74275,7169.0,-67106,-270445,172218,410452,-34488,-177,375787,,-447502,,0.0,,,-661909,,97450,,-774720,,-525,322205,17,36100,674609,710709,710709,0.0,,,0.0,,,,,0.0,1000000.0,,,,-209909.0,-11498.0,7000.0,,,,,,,,,,,
