公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 預付設備款減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得避險之衍生金融資產,　　 預付投資款增加,　　 預付設備款增加,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 預付投資款減少,　　 處分子公司,　　 備供出售金融資產減資退回股款,　　 舉借長期借款,　　 存入保證金增加,　　　　 非金融資產減損迴轉利益,　　　　　 其他應收款－關係人（增加）減少,　　　　　 持有供交易之金融負債增加（減少）
2390,2015年01月01日至2015年09月30日,,111963,111963,,,42852,1785,557,12558,-694,3467.0,51012,934,-302510.0,-13062,-35083,13043.0,2041.0,-223100.0,,,-2441,0.0,-35720,-18552.0,12354,6448,-35.0,-7092,-45038,,3321,-4264,23590,-19702,44242,-626,46561,1523,-221577,-109614,-13486,-25630,-148730,,14571,-1786,0.0,8696.0,0.0,42025,-29371,178.0,-2627,-422,-549.0,507768.0,-61,-6450.0,694,-3467.0,529199,,-119000.0,-205227,-6437.0,0.0,0.0,-316,-330980,-5129,44360,346262,390622,390622,,,,,,,,,,,,,,,,,,,,,
2390,2015年01月01日至2015年06月30日,,21542,21542,,,28669,1380,909,8507,-503,0.0,33397,313,-144205.0,-13062,-35083,,-2202.0,-121880.0,,,-430,-2926.0,5156,-5185.0,15738,13631,-23.0,2914,28875,,998,-21650,16384,-23533,44817,-5063,11953,40828,-81052,-59510,-9164,-20419,-89093,,14572,-1786,0.0,8696.0,0.0,42025,-17385,178.0,-3063,-422,-549.0,233756.0,-61,,503,0.0,273268,,,-71835,-4001.0,,,-532,-113368,6559,77366,346262,423628,423628,0.0,0.0,-3196.0,-37000.0,,,,,,,,,,,,,,,,,
2390,2015年01月01日至2015年03月31日,,8442,8442,,,14410,686,70,4381,-182,,18836,222,-45536.0,-6478,-20786,,357.0,-34020.0,,,-505,-10245.0,-36861,-884.0,7584,5190,-11.0,-675,-36407,,-942,-11610,-498,-24106,8329,-4625,-33452,-69859,-103879,-95437,-4934,-1155,-101526,,7122,-1786,,,0.0,24370,-7640,,-488,-19,-549.0,70760.0,-42,,182,,90772,,-16000.0,-37793,-2533.0,,,-22,-56348,4370,-62732,346262,283530,283530,0.0,,-1138.0,,,,,,,,,,,,,,,,,,
2390,2014年度,,-49990,-49990,,,59208,2383,-1699,16663,-1023,-2138.0,97901,2310,,-28743,0,23677.0,6701.0,,,,1172,,61459,-1757.0,-10222,-20020,,-12947,16477,,385,-28014,-1860,12999,-1717,4985,-13222,3255,178495,128505,-15873,-12704,99928,,32773,0,1418.0,7505.0,-233411.0,0,-26965,,374,-6991,,,138,,1023,2138.0,-221755,,,235437,-278.0,-107652.0,-42829.0,786,165464,-9039,34598,311664,346262,346262,,,243.0,80000.0,,0.0,0.0,0.0,175240.0,0.0,-1208.0,0.0,0.0,0.0,0.0,,,,,,
2390,2014年01月01日至2014年09月30日,,-29005,-29005,,,45005,1660,268,11661,-742,-1903.0,75581,930,0.0,-16933,0,17103.0,4662.0,137292.0,,,-505,-2114.0,-60720,-2457.0,-4109,-37547,-17.0,-9045,-116514,,2143,34182,-1610,3967,-4872,-1956,31854,-84660,52632,23627,-11301,-12577,-251,,19489,0,2883.0,4807.0,-233412.0,0,-21414,0.0,402,-3625,0.0,0.0,-28,-2677.0,742,1903.0,-230930,,239623.0,203722,-399.0,-107652.0,-42829.0,581,293046,-1965,59900,311664,371564,371564,,,,,,,,,,,,,,,,,,,,,
2390,2014年01月01日至2014年06月30日,,14900,14900,,,30394,1086,1556,7082,-540,-1897.0,31830,814,0.0,-2195,0,,-210.0,67920.0,,,-1434,0.0,-170399,-9212.0,-1067,-20586,-31.0,-6528,-209257,,2119,63906,-556,55,-5272,3125,63377,-145880,-77960,-63060,-6722,-12577,-82359,,3377,0,1418.0,4807.0,-233412.0,0,-12774,0.0,-10,-2591,0.0,0.0,-52,,540,1897.0,-236528,,,121543,-484.0,,,365,240316,2918,-75653,311664,236011,236011,0.0,0.0,272.0,118892.0,,,,,,,,,,,,,,,,,
2390,2014年01月01日至2014年03月31日,,-17195,-17195,,,15653,501,2104,3120,-227,,13140,217,0.0,368,0,,-67.0,34809.0,,,40,0.0,-1863,-29.0,2942,-40175,-17.0,-9654,-48756,,2732,29056,12745,50,3311,-576,47318,-1438,33371,16176,-2867,-780,12529,,353,0,,,-120684.0,0,-8303,,24,-1991,0.0,0.0,-10,,227,,-128823,,119376.0,133801,227.0,,,609,254013,-632,137087,311664,448751,448751,0.0,,1561.0,,,,,,,,,,,,,,,,,,
2390,2013年度,,86675,86675,,,60319,2381,-894,12336,-1010,-1588.0,54338,1033,,-117321,-113993,16146.0,11620.0,,,,4184,,59779,0.0,9784,-57783,,11590,53728,,-692,-26643,8363,22122,10803,5403,10306,64034,10584,97259,-12452,-3051,81756,,12922,-6520,175078.0,5364.0,-133448.0,127278,-28927,,7562,-1436,,,1277,,1010,1588.0,200036,,,-95786,1407.0,0.0,0.0,-4015,-135755,-32071,113966,197698,311664,311664,,,4005.0,-37361.0,,34.0,59.0,23090.0,-53450.0,29356.0,-3182.0,-9050.0,-5138.0,13978.0,25443.0,,,,,,
2390,2013年01月01日至2013年12月31日,,86675,86675,,,60319,2381,-894,12336,-1010,-1588.0,54338,1033,,-117321,-113993,16146.0,11620.0,,,,4184,,59779,,9784,-57783,,8408,53728,,-692,-26643,8363,22122,10803,5403,10306,64034,10584,97259,-12452,-3051,81756,,12922,-6520,175078.0,5364.0,-133448.0,127278,-28927,,7562,-1436,0.0,,1277,,1010,1588.0,200036,,,-95786,1407.0,,,-4015,-135755,-32071,113966,197698,311664,311664,,,4005.0,-37361.0,,34.0,59.0,23090.0,-53450.0,29356.0,,-9050.0,-5138.0,13978.0,25443.0,,,,0.0,0.0,0.0
2390,2013年01月01日至2013年09月30日,,39901,39901,,,45214,1181,903,9285,-725,-272.0,34181,909,,-59819,-80298,0.0,2999.0,,,,5233,0.0,70459,-96.0,10463,-36285,489.0,14979,94598,,-862,-16474,-5030,5067,7723,4104,-6111,88487,65414,105315,-9663,-9152,86500,,5223,-6521,95011.0,3960.0,0.0,90047,-23629,,7614,-1086,,,115,,787,272.0,61985,,,-12957,140.0,0.0,0.0,-4451,-88780,-20041,39664,197698,237362,237362,,,-4762.0,-71512.0,,279.0,,23090.0,-23073.0,29356.0,,-639.0,-11019.0,-119470.0,25443.0,,,,,,
2390,2013年01月01日至2013年06月30日,,52682,52682,,,30925,1238,741,6608,-716,0.0,16578,492,,-34007,-80298,,0.0,,,,562,,19736,-14.0,14011,-4242,1413.0,2030,62852,,-889,-35713,-12395,4999,2853,3703,-37882,24970,-10100,42582,-6827,-7038,28717,,5223,-6521,53849.0,3960.0,0.0,90047,-11924,,7243,-10123,,,906,,778,0.0,121543,,,-8379,-691.0,,,-4611,-37292,-5009,107959,197698,305657,305657,,,-166.0,-23611.0,,279.0,,23090.0,-35070.0,29356.0,,-440.0,-10150.0,13978.0,-15557.0,0.0,,,,,
2390,2013年01月01日至2013年03月31日,,39192,39192,,,15393,560,-1451,3189,-178,,4103,218,,-548,-73475,,1336.0,,,,442,-110.0,69104,-60.0,-6773,-25948,0.0,8028,49242,,-614,1029,-6848,3397,-1425,3,-4882,44360,-6823,32369,-3513,-134,28722,,0,-4000,,,0.0,83199,-3441,,7292,-278,,,-11,,240,,91813,,-32035.0,-3999,-558.0,,,-3767,-40359,-3453,76723,197698,274421,274421,,,-897.0,0.0,,-330.0,,,-51183.0,4559.0,,-424.0,-4269.0,13978.0,,,0.0,0.0,,,
2390,2012年01月01日至2012年12月31日,,39782,39782,,,62735,2612,1076,12690,-970,-784.0,-37434,859,,-4216,0,12724.0,2461.0,,,,-792,,-57983,,-10219,-15557,,-17617,-86108,,115,-4039,-5787,9513,-1329,469,2301,-83807,-76183,-36401,-12575,-16458,-65434,,6036,0,48265.0,4000.0,-177377.0,42900,-25035,,-8869,-1309,-70.0,,-1014,,970,784.0,-149367,,,-32744,3346.0,,,-182,218062,-23524,-20263,217961,197698,197698,,,0.0,247642.0,,994.0,0.0,0.0,7624.0,8060.0,,4599.0,-24670.0,-13978.0,0.0,,,,-45123.0,8000.0,-1240.0
