公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 金融資產減損損失,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 存出保證金減少,　　 取得無形資產,　　 償還長期借款,　　 非控制權益變動,　　 取得投資性不動產,　　 發放現金股利,　　　　 非金融資產減損損失,　　 存入保證金減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 處分投資性不動產,　　 庫藏股票買回成本,　　　　　 負債準備增加（減少）
1612,2016年01月01日至2016年09月30日,,77777,,77777,,,58060,2508,2652,513,-2453,-25317,1256,-21169,,-20149,-957,,,,-27286,16242,-95249,236,-120713,-2170,-39,-228979,,-10,4237,6214,2930,61942,-4,,89330,-139649,-144705,-66928,2567,-513,-2442,-67316,,-43054,40586,-8394,0.0,3468.0,-75643,,-47805,30316,-19747.0,-501.0,25317,,-107823,,1265,,,100.0,-85377,1382,-259134,961417,702283,702283,,,0.0,,-6892.0,,-40.0,,-4561.0,-5434.0,-82181.0,,,,-5056.0,-1068.0,0.0,,15089.0
1612,2016年01月01日至2016年06月30日,,24873,,24873,,,38810,1960,1774,316,-1790,-2166,1385,-21050,0.0,-16240,-638,,,,-11577,18265,-79128,-9777,-115197,-38696,-6,-236116,,4,881,6016,-1134,46154,76,,60804,-175312,-172951,-148078,1823,-316,-3037,-149608,,-27004,33550,-8394,0.0,3468.0,-32900,,-15237,30193,,,2166,,-24457,,1200,,,100.0,-3260,3389,-173936,961417,787481,787481,0.0,,0.0,,-6455.0,-58.0,-448.0,,-4560.0,-3338.0,,,,,2361.0,-1167.0,0.0,,9974.0
1612,2016年01月01日至2016年03月31日,,9056,,9056,,,19630,1185,1227,151,-928,-765,-2857,-21050,,0,-319,,,,-25450,17417,-48143,229,-73766,-30194,-7,-159914,,-18,16089,-323,-1226,59088,-2,,78007,-81907,-85633,-76577,948,-151,-446,-76226,,-25465,0,0,,3468.0,-8394,,-10895,30193,-18216.0,,765,,-30649,,524,,,,524,-1386,-107737,961417,853680,853680,,,,,,,-434.0,,,-1671.0,,,,,-3726.0,-74.0,0.0,,4473.0
1612,2015年度,,46149,,46149,,,83316,6133,225,573,-4693,-36289,-3989,4,0.0,-117283,-1314,,,,21066,-10471,-10367,1994,205611,8355,29,216217,,-166,-52141,76870,6082,63396,228,,86874,303091,250442,296591,4791,-573,10724,311533,,-91419,334352,-220647,15087.0,4192.0,43724,0.0,-11528,0,-4342.0,0.0,36289,0.0,81507,,2415,0.0,0.0,0.0,-260867,2397,134570,826847,961417,961417,,,20668.0,0.0,-9600.0,0.0,-2263.0,0.0,-340.0,-12828.0,-194491.0,0.0,0.0,,-52649.0,-7395.0,490.0,-68451.0,
1612,2015年01月01日至2015年09月30日,,28655,,28655,,,62406,4731,-760,439,-3626,-30947,-5132,0,0.0,-116834,-994,,,,49547,21467,-153799,-19498,184051,8498,19,90285,,102,-19142,35149,11074,85201,-47,,104845,195130,124047,152702,3659,-439,-2943,152979,,-119305,330473,-133169,17121.0,,-9607,0.0,-8089,0,-4061.0,0.0,30947,0.0,85659,,682,0.0,,0.0,-194149,2461,46950,826847,873797,873797,,,19634.0,0.0,-9600.0,0.0,-2263.0,0.0,-340.0,-7278.0,-194491.0,,,,-71083.0,-7492.0,490.0,,
1612,2015年01月01日至2015年06月30日,,32775,,32775,,,41526,3158,-703,279,-2212,-9392,-8352,0,0.0,-69322,-676,,,,-29181,-19428,-31365,-6615,153170,-3313,2,63270,,-187,-47589,211,-18571,97690,-23,,31644,94914,68854,101629,2363,-279,-2461,101252,,-113914,237616,-47434,16458.0,0.0,-57743,0.0,-5869,0,0.0,0.0,9392,0.0,43133,,795,,0.0,0.0,455,-1524,143316,826847,970163,970163,0.0,0.0,19634.0,0.0,0.0,5592.0,0.0,0.0,-340.0,-1455.0,,,,,-26060.0,113.0,490.0,,
1612,2015年01月01日至2015年03月31日,,23629,0.0,23629,,,20753,1843,892,106,-1496,-725,-5069,0,0.0,-15317,-356,,,,18196,7209,-102069,-35192,84621,4435,-2,-22802,,1547,-14865,23763,13167,33494,35,,57161,34359,34990,58619,1756,-106,-2344,57925,,-40144,64731,-9087,0.0,0.0,-29473,0.0,-2364,0,-22399.0,0.0,725,0.0,-37903,,4704,0.0,0.0,0.0,4704,-640,24086,826847,850933,850933,0.0,,,,,,,,,-382.0,,,,,631.0,20.0,490.0,,
1612,2014年度,,274088,,274088,,,84412,6040,-9157,1301,-6849,-25515,-42631,-1017,-85931.0,-60414,-1289,-132595.0,,,41103,4149,206418,-103,-50061,-6923,930,195513,,-607,-96653,-91073,6052,-28709,-1006,-7126.0,-219122,-23609,-156204,117884,7367,-1301,-3179,120771,,-190578,92402,-140313,18500.0,80.0,-35873,178542.0,-22737,2350,-4600.0,-7461.0,25515,0.0,-128195,,0,-42507.0,0.0,77.0,-327526,3350,-331600,1158447,826847,826847,,,8455.0,0.0,0.0,0.0,-67.0,-30000.0,-11983.0,-43955.0,-243113.0,0.0,0.0,,,,,,
1612,2014年01月01日至2014年09月30日,,246665,,246665,,,63640,4366,-9061,1137,-5494,-22626,-9144,-890,-85931.0,-47158,-970,-112131.0,,,26852,-3573,65483,-4100,14265,-9941,785,89771,,4242,-98817,-92066,-16502,19040,25,469.0,-183609,-93838,-205969,40696,6009,-1137,-3064,42504,,-190578,75055,-80268,6219.0,,-64480,178542.0,-13476,2177,-45921.0,-5475.0,22626,0.0,-150731,,-49559,,0.0,76.0,-323074,1068,-430233,1158447,728214,728214,,,0.0,0.0,0.0,0.0,-67.0,-30000.0,-478.0,-35085.0,-243113.0,,,,,,,,
1612,2014年01月01日至2014年06月30日,,191996,,191996,,,42410,2767,3357,947,-3879,-3366,-2657,-767,-85931.0,-37502,-647,-85268.0,,,-2431,-30962,118485,-1593,68806,-12789,-30,139486,,-565,-82270,-90443,321,10912,10,352.0,-161683,-22197,-107465,84531,4073,-947,-2890,84767,,-3956,46470,-95468,6081.0,0.0,-155481,3118.0,-14612,2032,0.0,-1576.0,3366,0.0,-209809,,35897,,0.0,77.0,5974,103,-118965,1158447,1039482,1039482,0.0,0.0,0.0,0.0,0.0,284.0,-67.0,-30000.0,0.0,,,,,,,,,,
1612,2014年01月01日至2014年03月31日,,101377,0.0,101377,,,21258,1738,1638,476,-1979,-2161,-2153,-210,0.0,-22671,-323,-4387.0,,,-16153,-6295,-62297,659,63531,-16731,-506,-37792,,-436,81037,-90058,-8754,18970,224,237.0,1220,-36572,-40959,60418,2219,-476,-2724,59437,,-2053,26845,-7852,6081.0,0.0,-143461,438.0,-5151,1996,-7536.0,-1507.0,2161,0.0,-130039,,5510,0.0,0.0,77.0,5587,1156,-63859,1158447,1094588,1094588,0.0,,,,,,,,,,,,,,,,,,
